,https://roic.ai/company/BICX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-0.4434,-0.7164,-4.7429,-2.5555,-4.9105,-8.3699,-45.1439,-12.0676,-24.7363,-23.7993,-94.8920
17,Operating Income,-5021,-13197,-24156,-343527,-622692,-2500365,-3052575,-5117884,-2182021,-2890914,-4626018,-5561268,-7491973,-5510107
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.4451,-0.7173,-3.4972,-2.6070,-5.5345,-3.1093,-4.3984,-12.2818,-23.1470,-61.0986,-114.1471
19,Total Other Income Expenses (Gains),- -,- -,- -,-65440,-261515,-1336557,-75205,451894,-3721961,-26814755,-1958360,-487053,3985466,299469
20,Income Before Tax,- -,- -,- -,-408967,-884207,-3836922,-3127780,-4665990,-5903982,-29705669,-6584378,-6048321,-3506507,-5210638
21,Income Before Tax Ratio,- -,- -,- -,-0.5299,-1.0185,-5.3666,-2.6712,-5.0458,-8.4130,-45.1955,-17.4811,-25.1742,-28.5963,-107.9433
22,Income Tax expense (Gain),- -,- -,- -,- -,1600,1600,- -,- -,- -,- -,- -,- -,- -,67743
23,Net Income,-5021,-13197,-23086,-408967,-885807,-3838522,-3127780,-4665990,-5903982,-29705669,-6511891,-6039630,-3506507,-5278381
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-0.5299,-1.0203,-5.3688,-2.6712,-5.0458,-8.4130,-45.1955,-17.2887,-25.1380,-28.5963,-109.3466
25,EPS,-0.00,-0.01,-0.01,-1.00,-1.00,-3.00,-2.00,-3.00,-3.00,-13.00,-2.60,-1.71,-0.65,-0.98
26,EPS Diluted,-0.00,-0.01,-0.01,-1.00,-1.00,-3.00,-2.00,-3.00,-3.00,-13.00,-2.60,-1.71,-0.65,-0.98
27,Weighted Average Shares Outstanding,4206670,4293736,1765655,505564,1061536,1173817,1388767,1554875,1702459,2326785,2506229,3523208,5377670,5377670
28,Weighted Average Shares Outstanding Diluted,4206670,4293736,1765655,505564,1061536,1173817,1388767,1554875,1702459,2326785,2506229,3523208,5377670,5377670
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1443863/000145236309000040/0001452363-09-000040-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1443863/000149473312000091/0001494733-12-000091-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443863/000147793214001677/0001477932-14-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793215002108/0001477932-15-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793216009752/0001477932-16-009752-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793217001708/0001477932-17-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793218001699/0001477932-18-001699-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793219001764/0001477932-19-001764-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793220001621/0001477932-20-001621-index.html,https://www.sec.gov/Archives/edgar/data/1443863/000147793221001909/0001477932-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793222001817/0001477932-22-001817-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3296,5656,1866,1657,6002,133566,53120,220060,92455,11342,279772,2645852,592053,85838
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3296,5656,1866,1657,6002,133566,53120,220060,92455,11342,279772,2645852,592053,85838
34,Net Receivables,- -,- -,89070,528769,1074552,314220,78500,27750,- -,29950,8000,187418,500,1500
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2500,- -,4195,24317,81317,81745,64253,8400,13210,31458,213283,382372,140988
37,Total Current Assets,3296,8156,90936,534621,1104871,529103,213365,312063,100855,54502,319230,3046553,974925,228326
38,PP&E,- -,- -,- -,6510,5342,8845,6194,3900,22164,19012,44369,607007,128605,102843
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3970575,3970575,3970575,3838223,3705870,1075400,279729,251963,251200,237746,- -,- -
41,Intangible Assets,- -,- -,3970575,3970575,3970575,3838223,3705870,1075400,279729,251963,251200,237746,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2278,2278,49693,157792,13907,67634,13422,13422,41936,- -,488806
45,Total Non-Current Assets,- -,- -,3970575,3979363,3978195,3896761,3869856,1093207,369527,284397,308991,886689,128605,591649
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3296,8156,4061511,4513984,5083066,4425864,4083221,1405270,470382,338899,628221,3933242,1103530,819975
48,Accounts Payable,2975,10922,19068,631461,615304,957786,996253,- -,1057354,714823,656354,709353,2490158,- -
49,Short-Term Debt,280,280,- -,191892,101444,116042,211888,1752025,470542,186590,4362940,388567,433325,341213
50,Tax Payable,- -,- -,- -,- -,1600,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1147938,288469,729860,635613,432836,237347,209474,134924,63331,34981
52,Other Current Liabilities,- -,- -,- -,200956,381444,- -,- -,1367709,490391,499713,898298,1318027,65560,4010250
53,Total Current Liabilities,3255,11202,19068,1024309,2246130,1362297,1938001,3755347,2451123,1638473,6127066,2550871,3052374,4386444
54,Long-Term Debt,- -,- -,- -,- -,- -,792216,553051,5530,688783,2016041,- -,- -,- -,315672
55,Deferred Revenue,- -,- -,- -,- -,- -,741723,1187166,844673,613428,401346,207523,103313,- -,37301
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1306834,98702,82524,4847376,175975,- -,2337944,2984979,3042034
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2840773,1838919,932727,6149587,2593362,207523,2441257,2984979,3395007
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505139,541695,- -
61,Total Liabilities,3255,11202,19068,1024309,2246130,4203070,3776920,4688074,8600710,4231835,6334589,4992128,6037353,7781451
62,Preferred Stock,- -,- -,- -,- -,- -,- -,16000,16000,21616,21616,21616,21616,21616,- -
63,Common Stock,2126,2252,75430,118142,100769,127344,146135,164145,181805,244086,2597,5327,5463,106699
64,Retained Earnings,-5021,-18218,-121562,-712784,-1598591,-5437113,-8564893,-13230883,-19134865,-48840534,-55176450,-61216080,- -,-69966692
65,Other Comprehensive Income/Loss,- -,- -,- -,-23242,- -,-28392,-31531,-33825,-14644,-20766,-26156,-35008,- -,- -
66,Other Total Stockholders Equity,2936,12920,4088575,4107559,- -,5560955,8740590,9801759,10815760,44702662,49544512,60246437,-4121978,69859993
67,Total Stockholders Equity,41,-3046,4042443,3489675,2836936,222794,306301,-3282804,-8130328,-3892936,-5633881,-977708,-4094899,-6961476
68,Total Liabilities And Stockholders Equity,3296,8156,4061511,4513984,5083066,4425864,4083221,1405270,470382,338899,700708,4014420,1942454,819975
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72487,-81178,-838924,- -
70,Total Liabilities & Equity,3296,8156,4061511,4513984,5083066,4425864,4083221,1405270,470382,338899,628221,3933242,1103530,819975
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1443863/000145236309000040/0001452363-09-000040-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1443863/000149473312000091/0001494733-12-000091-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443863/000147793214001677/0001477932-14-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793215002108/0001477932-15-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793216009752/0001477932-16-009752-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793217001708/0001477932-17-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793218001699/0001477932-18-001699-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793219001764/0001477932-19-001764-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793220001621/0001477932-20-001621-index.html,https://www.sec.gov/Archives/edgar/data/1443863/000147793221001909/0001477932-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793222001817/0001477932-22-001817-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-5021,-13197,-23086,-408967,-885807,-3838522,-3127780,-4665990,-5903982,-29705669,-6511891,-6039630,-3506507,-5210638
74,Depreciation and Amortization,- -,- -,- -,1291,1988,135514,135491,125070,30248,33888,7353,96504,77254,64328
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,259148,897400,1989191,802920,582348,830788,2807157,1965703,355040,209515
77,Change in Working Capital,2975,-3087,74914,-561556,-651571,308065,-891442,-1718648,1093016,766297,-4223865,6303518,-2573131,-2080669
78,Accounts Receivable,- -,- -,- -,-528769,-925813,35168,5381,-49772,-32000,-55700,-2800,4850,250,-1000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2975,7947,6146,- -,- -,- -,- -,- -,- -,- -,385616,473490,- -,- -
81,Other Working Capital,41,-3046,71868,-489688,-1141259,-833194,-1724636,-3443284,-2350268,-1583971,-5807836,495682,-2077449,-4158118
82,Other Non-Cash Items,1000,8534,-67338,839942,348484,2601001,2062209,5504507,2211270,25534301,6095623,-5263222,3495472,3479806
83,Cash Provided by Operating Activities,-1046,-7750,-15510,-129290,-927758,103458,167669,47859,-1987100,-2540395,-1825623,-2937127,-2151872,-3537658
84,CAPEX,- -,- -,- -,-3497,-820,-6665,-487,- -,-328241,-2970,-55947,-122593,- -,- -
85,Acquisitions Net,- -,- -,- -,1116,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-88000,-1788,-75000,-3056,-32404,- -,-12300,- -,-25200,800,-9227,-49997
89,Cash Used for Investing Activites,- -,- -,-88000,-4169,-75820,-34721,-32891,- -,-340541,-2970,-55947,-121793,-9227,-49997
90,Debt Repayment,- -,- -,-280,- -,- -,-290252,-45079,-115919,-564412,-187748,- -,-675000,- -,- -
91,Common Stock Issued,4062,10110,100000,- -,- -,- -,- -,- -,100000,940000,1400000,6100000,- -,2250000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,280,- -,- -,127988,1007923,324079,-145145,235000,2664448,1660000,750000,- -,107300,831440
95,Cash Used/Provided by Financing Activities,4342,10110,99720,127988,1007923,33827,-190224,119081,2200036,2412252,2150000,5425000,107300,3081440
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2360,-3790,-5471,4345,102564,-55446,166940,-127605,-131113,268430,2366080,-2053799,-506215
98,Cash at the End of Period,3296,5656,1866,1657,6002,108566,53120,220060,92455,11342,279772,2645852,592053,85838
99,Cash at the Beginning of Period,- -,3296,5656,7128,1657,6002,108566,53120,220060,142455,11342,279772,2645852,592053
100,Free Cash Flow,-1046,-7750,-15510,-132787,-928578,96793,167182,47859,-2315341,-2543365,-1881570,-3059720,-2151872,-3537658
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1443863/000145236309000040/0001452363-09-000040-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1443863/000149473312000091/0001494733-12-000091-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443863/000147793214001677/0001477932-14-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793215002108/0001477932-15-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793216009752/0001477932-16-009752-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793217001708/0001477932-17-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793218001699/0001477932-18-001699-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793219001764/0001477932-19-001764-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793220001621/0001477932-20-001621-index.html,https://www.sec.gov/Archives/edgar/data/1443863/000147793221001909/0001477932-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1443863/000147793222001817/0001477932-22-001817-index.htm
102,false,,,,,,,,,,,,,,
