,https://roic.ai/company/HUSA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,14000000,9650000,- -,- -,- -,707445,- -,- -,- -,- -,- -,- -,- -,- -,260,- -
33,Cash and Short-Term Investments,- -,939,663422,721613,1724100,14409008,10067818,9910694,14010637,26656450,10637729,5626345,7578730,4052212,2123520,481172,392062,755702,97915,1503,4895
34,Net Receivables,- -,7140,66003,240141,573322,325436,577512,1989182,2830545,9618664,6225897,5531533,1921217,8934109,262016,- -,347548,136042,80195,96,215
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,7026,5938,89947,9965,- -,49255,20240,8913,3065122,3069885,3092789,46175,124960,38257,3750,3750,66381,39505,-225,85
37,Total Current Assets,- -,15105,735363,1051701,2307387,14734444,10694585,11920116,16850095,39340236,19933511,14250667,9546122,13111281,2423793,484922,743360,958125,217615,1374,5195
38,PP&E,- -,233620,953237,1403551,2631245,5248272,10017045,5263131,11356255,10691421,23795880,5886969,3862804,5500027,3132943,2456927,6813791,6861479,6651044,5011,5080
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197009,260405,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,5277354,5680026,1997079,3195583,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,4745,40030,3167,113851,3167,3167,176453,176453,3447692,1732962,3167,3167,3167,3167,3167,3167,3167,3167,-260405,459
45,Total Non-Current Assets,- -,238365,993267,1406718,2745096,5251439,10020212,10716938,17212734,16136192,28724425,5890136,3865971,5503194,3136110,2460094,6816958,6864646,6851220,5011,5539
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,253470,1728630,2458419,5052483,19985883,20714797,22637054,34062829,55476428,48657936,20140803,13412093,18614475,5559903,2945016,7560318,7822771,7068835,6385,10734
48,Accounts Payable,- -,5245,76512,195774,252872,399159,260222,1363827,469528,122536,84300,84740,8119,181683,23195,50122,127036,61826,270119,- -,70
49,Short-Term Debt,- -,1128523,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695475,110577,57
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,10191,128,4950531,27074,1711007,190181,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,149706,4400,84535,3095968,133125,75861,19455,15077,4962494,212671,5021058,221517,9132781,16315,11005,24621,933,447,-110345,15
53,Total Current Liabilities,- -,1283474,80912,280309,3348840,532284,336083,1383282,484605,5085030,296971,5105798,229636,9314464,39510,61127,151657,62759,966041,232,142
54,Long-Term Debt,- -,- -,1000000,1000000,934167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,41249,38816,135267,205524,332912,26761,45039,201270,8424,28147,25262,27444,84903,82719,263596,- -,280
58,Total Non-Current Liabilities,- -,- -,1000000,1000000,975416,38816,135267,205524,332912,26761,45039,201270,8424,28147,25262,27444,84903,82719,263596,- -,280
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317300,218439,- -
61,Total Liabilities,- -,1283474,1080912,1280309,4324256,571100,471350,1588806,817517,5111791,342010,5307068,238060,9342611,64772,88571,236560,145478,1229637,172,280
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,2,2,2,- -
63,Common Stock,- -,13425,19285,19968,19971,27920,27920,28001,30891,31081,31165,52180,52170,52170,52170,52170,59260,62425,65947,7,10
64,Retained Earnings,- -,-1327004,-1671334,-1556051,-2057830,-2569927,-2076470,-1611526,-2280974,11911121,7575747,-49181702,-52355183,-56708362,-60538568,-63180193,-65217807,-65469143,-67984837,- -,-73043
65,Other Comprehensive Income/Loss,- -,-745661,-802096,-1010855,-1372552,-2260463,-3708308,-14363581,-16264212,-1489301,106371,- -,-50349833,-52201878,-54676723,-55563591,-55725080,-56082902,-57267145,- -,- -
66,Other Total Stockholders Equity,- -,1029236,3101863,3725048,4138638,24217253,26000305,36995354,51759607,39911736,40602643,63963257,115826879,118129934,120658252,121548059,128207383,129166911,131025231,6438965,83345
67,Total Stockholders Equity,- -,-1030004,647718,1178110,728227,19414783,20243447,21048248,33245312,50364637,48315926,14833735,13174033,9271864,5495131,2856445,7323758,7677293,5839198,6438974,10312
68,Total Liabilities And Stockholders Equity,- -,253470,1728630,2458419,5052483,19985883,20714797,22637054,34062829,55476428,48657936,20140803,13412093,18614475,5559903,2945016,7560318,7822771,7068835,6439146,10592
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6432761,142
70,Total Liabilities & Equity,- -,253470,1728630,2458419,5052483,19985883,20714797,22637054,34062829,55476428,48657936,20140803,13412093,18614475,5559903,2945016,7560318,7822771,7068835,6385,10734
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1156041/000119312509055217/0001193125-09-055217-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000119312510068851/0001193125-10-068851-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036111016532/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036112013863/0001140361-12-013863-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036113014794/0001140361-13-014794-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036114012768/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036115012458/0001140361-15-012458-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000156761916002037/0001567619-16-002037-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315217002481/0001493152-17-002481-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315218004278/0001493152-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315219004519/0001493152-19-004519-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315220005273/0001493152-20-005273-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315221007599/0001493152-21-007599-index.htm,https://www.sec.gov/Archives/edgar/data/1156041/000149315222008596/0001493152-22-008596-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-932620,-394384,-344330,115283,-501780,-512096,493456,464945,-669448,21029940,-4335374,-56757449,-3173481,-4353179,-3830206,-2641625,-2037614,-251336,-2515694,-4037074,-1021530
74,Depreciation and Amortization,37592,24166,56434,211759,363196,1036468,1122331,5816099,1897669,3156034,- -,- -,- -,- -,- -,- -,- -,- -,515047,364810,245606
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-5277354,-402672,3682947,-1704378,3195583,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1086887,1080129,2357230,2342892,2023175,1513779,451010,91625,138912,306000,96616,156091,434581,323611
77,Change in Working Capital,71440,-1268369,1922820,116941,-1812845,15243613,-3843658,178332,5828656,17889716,-14618666,-10491671,171617,-5519669,-1412534,-1960488,167908,303663,-1643792,749569,3910
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,278716,-1516043,605333,1691660,319016,- -,-83878,- -,- -,-347548,211506,55847,-15568,-118899
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117008,-136208,-129344,-552273,21617,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-1268369,654451,771392,-1041453,14202160,10358502,10536834,16365490,34255206,19636540,9144869,9316486,3796817,2384283,423795,591703,895366,-748426,1143,5053
82,Other Non-Cash Items,831977,1481214,-1788623,-145988,2646010,-14528539,4029352,-816855,-8219011,-39825196,13682494,59409525,1384651,7674213,3313138,3166048,-153141,211849,2763329,1623327,-232288
83,Cash Provided by Operating Activities,8389,-157373,-153699,297995,694581,1239446,1801481,1452054,-484677,8290671,-4633032,-2620837,-103434,-1747625,-1837977,-1297153,-1716847,360792,-725019,-864787,-680691
84,CAPEX,- -,-210427,-764940,-611897,-1589594,-3507371,-6142672,-10841353,-8273545,-78126,-13280858,-26033065,-1219917,-3364932,-168680,-209222,-4412456,-505407,-692319,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-17000000,-3150000,-3000000,- -,- -,-601074,-156817,- -,- -,- -,- -,- -,- -,-197009,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3000000,7500000,12650000,- -,- -,- -,660625,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,21650,- -,- -,- -,9979206,1071782,12738613,1951398,2487701,3275736,1586039,116117,- -,- -,- -,- -,-1571785,-238180
89,Cash Used for Investing Activites,- -,-210427,-764940,-590247,-1589594,-17507371,-1792672,8787853,-7201763,12660487,-11930534,-23041556,2055819,-1778893,-52563,-209222,-4412456,-505407,-889328,-1571785,-238180
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,-100000,- -,- -
91,Common Stock Issued,1000,285000,1386922,350443,- -,15852833,- -,- -,13525200,- -,- -,23144000,- -,- -,- -,- -,4101013,747205,606960,4434169,6575889
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1785546,- -,- -,-38152,-135973,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1122031,-980057,-6837845,- -,- -,- -,- -,- -,- -,-140420,-238950,-230400,-231900,-37201
94,Other Financing Activites,- -,74350,194200,- -,1897500,-900000,- -,375000,-758760,570000,-162600,- -,- -,- -,- -,- -,2679600,- -,680000,-621052,-1967800
95,Cash Used/Provided by Financing Activities,1000,359350,1581122,350443,1897500,14952833,- -,-747031,11786383,-6267845,-162600,21358454,- -,- -,-38152,-135973,6040193,508255,956560,3581217,4570888
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1000,-8450,662483,58191,1002487,-1315092,8809,9492876,4099943,14683313,-16726166,-4303939,1952385,-3526518,-1928692,-1642348,-89110,363640,-657787,1144645,3652017
98,Cash at the End of Period,9389,939,663422,721613,1724100,409008,417817,9910694,14010637,26656450,9930284,5626345,7578730,4052212,2123520,481172,392062,755702,97915,1242560,4894577
99,Cash at the Beginning of Period,- -,9389,939,663422,721613,1724100,409008,417818,9910694,11973137,26656450,9930284,5626345,7578730,4052212,2123520,481172,392062,755702,97915,1242560
100,Free Cash Flow,8389,-367800,-918639,-313902,-895013,-2267925,-4341191,-9389299,-8758222,8212545,-17913890,-28653902,-1323351,-5112557,-2006657,-1506375,-6129303,-144615,-1417338,-864787,-680691
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1156041/000119312509055217/0001193125-09-055217-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000119312510068851/0001193125-10-068851-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036111016532/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036112013863/0001140361-12-013863-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036113014794/0001140361-13-014794-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000114036114012768/form10k.htm,https://www.sec.gov/Archives/edgar/data/1156041/000114036115012458/0001140361-15-012458-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000156761916002037/0001567619-16-002037-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315217002481/0001493152-17-002481-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315218004278/0001493152-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315219004519/0001493152-19-004519-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315220005273/0001493152-20-005273-index.html,https://www.sec.gov/Archives/edgar/data/1156041/000149315221007599/0001493152-21-007599-index.htm,https://www.sec.gov/Archives/edgar/data/1156041/000149315222008596/0001493152-22-008596-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
