,https://roic.ai/company/CNIG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0791,0.0689,0.0685,0.0535,0.0636,0.0421,0.0635,0.0929,-0.0276,0.0189,0.1004,0.0702,0.1511,0.0974,0.1074,0.1473,0.1645,0.1645,0.1907,0.1512,0.1729,0.2095,0.2231,0.1237
19,Total Other Income Expenses (Gains),- -,63353,-1182239,-926061,-902172,-1171963,-875863,-1098623,-3276022,-214240,-1449301,-772818,-782502,-642646,-288725,-797405,-808281,-851174,438429,-1740546,-2099767,-2997555,-3063221,-2370024
20,Income Before Tax,- -,- -,483529,748590,613690,-97605,521473,1026653,-4020000,250000,1140000,890000,2610000,1580000,1800000,2660000,3380000,2851710,4197860,2800675,3827527,4446920,4161696,1988705
21,Income Before Tax Ratio,- -,- -,0.0199,0.0239,0.0257,-0.0038,0.0237,0.0449,-0.1493,0.0102,0.0442,0.0376,0.1163,0.0692,0.0926,0.1133,0.1328,0.1267,0.2130,0.0932,0.1117,0.1251,0.1285,0.0564
22,Income Tax expense (Gain),- -,- -,12077,142040,87537,-151931,62017,425256,-1040000,-10000,130000,220000,970000,230000,450000,880000,1310000,1069630,1076470,700047,1683259,1322690,-960338,3695526
23,Net Income,640157,437948,471452,606550,526153,-91512,612869,626530,-3620000,260000,1010000,670000,1640000,1350000,1350000,1790000,2070000,1782080,3121390,2100628,2144268,3124230,5122034,1524903
24,Net Income ratio,0.0384,0.0269,0.0194,0.0194,0.0221,-0.0036,0.0279,0.0274,-0.1345,0.0106,0.0392,0.0283,0.0731,0.0591,0.0694,0.0763,0.0813,0.0792,0.1584,0.0699,0.0626,0.0879,0.1582,0.0433
25,EPS,0.70,0.48,0.51,0.66,0.57,-0.10,0.68,0.68,-3.94,0.27,0.68,0.44,0.88,0.63,0.57,0.66,0.71,0.61,1.03,0.62,0.63,0.95,0.97,0.42
26,EPS Diluted,0.70,0.48,0.51,0.66,0.57,-0.10,0.68,0.68,-3.94,0.27,0.67,0.43,0.87,0.63,0.57,0.66,0.71,0.61,1.03,0.62,0.63,0.94,0.95,0.42
27,Weighted Average Shares Outstanding,918694,918694,918694,918694,918694,918503,907028,918273,918273,963957,1475544,1546143,1875090,2095437,2343694,2715184,2916220,2939576,2975140,2986153,3010465,3035479,3060233,3082702
28,Weighted Average Shares Outstanding Diluted,918694,918694,918694,918694,918694,918503,907028,918273,918273,965376,1511773,1551717,1885082,2118264,2358913,2715184,2916220,2939576,2975140,2986153,3010465,3328595,3353349,3085013
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24751/000002475106000019/0000024751-06-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475107000019/0000024751-07-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475108000007/0000024751-08-000007-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475109000034/0000024751-09-000034-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475110000150/0000024751-10-000150-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475111000059/0000024751-11-000059-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475112000060/0000024751-12-000060-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224413000012/0001582244-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224414000080/0001582244-14-000080-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224415000075/0001582244-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224416000187/0001582244-16-000187-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1582244/000158224419000049/0001582244-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000117494720001229/0001174947-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1582244/000117494721001128/0001174947-21-001128-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,284426,205787,257035,225239,281036,266160,253863,255037,1170070,14614,- -,177566,69552,173245,70083,14244,108086,75289,3808968,442930,219962,314341,411700,333846
32,Short-Term Investments,785361,1021696,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1069787,1227483,257035,225239,281036,266160,253863,255037,1170070,14614,- -,177566,69552,173245,70083,14244,108086,75289,3808968,442930,219962,314341,411700,333846
34,Net Receivables,1038524,1883915,1310689,1244121,1398496,1317897,1004095,1083909,1460621,1084220,589767,978978,1251584,1598241,1626283,2192076,2234601,2111765,4830969,3403584,3945563,2777520,527280,2481456
35,Inventory,1539727,768998,2833327,1124663,2254017,3407165,3794710,4006755,343286,4306008,5744596,2972421,3471072,4020949,3284368,3459481,3229124,2478259,2312214,2719053,3439890,3986020,3156345,3605300
36,Other Current Assets,1205937,754211,884524,972358,670799,707510,699516,968722,763136,835861,656381,1595429,967038,258015,726744,848701,982198,1203355,1580598,1449588,1468030,1726353,5136598,3861332
37,Total Current Assets,4853975,4634607,5285575,3566381,4604348,5698732,5752184,6314423,3737113,6240703,6990744,5724394,5759246,6050450,5707478,6514502,6554009,5868668,12532749,8015155,9073445,8804234,9231923,10281934
38,PP&E,16098681,16495300,16693210,16934870,17529205,17139134,16359373,16832318,17887461,18994730,22474642,26766654,30748265,33128614,38310657,42248030,49108689,53313143,77831733,82135928,87593135,91778126,139743289,150540525
39,Goodwill,348235,1851625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918121,918121
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,348235,1851625,1763338,1628051,2943686,1493719,1493719,1457117,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918121,918121
42,Investments,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,2000000,2000000,2276200,2366870,2267268,2620914,2830218,3588895,4447037,4803679,4919954,4934153,4782089,2457752,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1694428,- -,1308298,1375665,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3523867,3507663,6584389,7200952,3776742,6404331,5340035,4277428,2713388,3060233,2320934,2535624,2617258,2250858,3599490,3425850,3270468,7786930,11836313,11289373,10142472,13244199,-15891779,-17685833
45,Total Non-Current Assets,19970783,21854588,25040937,25763873,24249633,25037184,23193127,25566863,23600849,24054963,26795576,33272906,35732393,38955038,45906726,48504098,55968052,65547110,94471725,98345255,102669760,109804414,127227383,133772813
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24824758,26489195,30326512,29330254,28853981,30735916,28945311,31881286,27337962,30295666,33786320,38997300,41491639,45005488,51614204,55018600,62522061,71415778,107004474,106360410,111743205,118608648,136459306,144054747
48,Accounts Payable,1266918,1404370,1715628,2163274,2262896,2136859,1413695,270139,1333940,2177221,2084870,1278511,1367884,1882249,1501193,2087927,1903594,1721720,3321522,2140058,3247376,1826604,2293980,3844210
49,Short-Term Debt,2325000,2367774,5549694,4460127,5891005,6859977,6604787,9049056,8461662,6085721,7270393,9798442,7362066,5873847,4518548,6234627,7311681,11926732,13739655,9771006,10456355,11136598,13969337,46145319
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,210438,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1083068,- -,- -,952237,976734,1357452,1654684,1277528,1227398,1403139,7575832,- -
52,Other Current Liabilities,1513166,1847017,1949289,1947947,1979060,2382147,2069423,2475537,2581364,2654125,1650017,1604620,1373872,2279975,2442366,1217792,1077635,1159118,1096127,1165786,894043,925116,-5088746,-24350590
53,Total Current Liabilities,5105084,5619161,9214611,8571348,10132961,11378983,10087905,11794732,12376966,10917067,11005280,12681573,11186890,10036071,8462107,10492583,11269644,16165022,19811988,14354378,15825172,15291457,18750403,25638939
54,Long-Term Debt,10459351,11223256,11429421,10905093,10593738,10539867,9670263,9259857,8646842,8295585,9613179,8673416,8656394,11534801,12565527,13460781,14571746,12554397,31295781,33683907,36636581,37662900,44291626,53576714
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2353665,2413080,2448994,2463608,1581536,1171966,1121386,837727,275320,146215,171941,- -,31035,- -,- -,150859,1223875,3207741,5639619,6785440,4896771,6209336,- -,8149853
57,Other Non-Current Liabilities,1510179,2121532,- -,- -,- -,- -,- -,- -,- -,3758200,5114880,8245449,7940523,8788034,9611009,7522446,8871610,9760186,13546610,14257096,16592110,20060357,- -,56689241
58,Total Non-Current Liabilities,14323195,15757868,13878415,13368701,12175274,11711833,10791649,10097584,8922162,12200000,14900000,16918865,16627952,20322835,22176536,21134086,24667231,25522324,50482010,54726443,58125462,63932593,44291626,118415808
59,Other Liabilities,- -,- -,29938791,29237952,26727454,27604823,24812478,25150478,21237865,- -,29830727,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000529,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,19428279,21377029,25274987,24440599,24685141,27271973,24108734,26847626,24692669,23105077,25936007,29600438,27814842,30358906,30638643,31626669,35936875,41687346,70293998,69080821,73950634,79224050,136459306,144054747
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4920314,4936801,4951847,4966893,4954937,- -
63,Common Stock,2300000,2300000,2300000,2300000,2300000,2415000,2534590,2534590,2534590,4047750,4072750,5053235,5732270,8938845,11101355,11313270,24302,24496,24793,29948,30218,30470,30725,35503386
64,Retained Earnings,2403489,2093937,1967389,1975939,2352592,2008540,2333193,2959723,-656229,-396684,609665,1281950,2054115,1018766,1421918,2098044,2921478,3312638,4901774,5170855,5399751,6634085,7747197,7148246
65,Other Comprehensive Income/Loss,- -,-9113046,-9734579,-10287225,-10846228,-1750483,-990718,-1420165,-192580,-618231,-1039856,-2956685,-2239852,-2693196,-3246475,-2038503,-2398197,28929,95166,57518,90593,7313,10891,917
66,Other Total Stockholders Equity,692990,9831275,10518715,10900941,10362476,790886,959512,959512,959512,4157754,4207754,6018362,8130264,7382167,11698763,12019120,26037603,26362369,26768429,27084467,27320162,27745837,28144702,- -
67,Total Stockholders Equity,5396479,5112166,5051525,4889655,4168840,3463943,4836577,5033660,2645293,7190589,7850313,9396862,13676797,14646582,20975561,23391931,26585186,29728432,36710476,37279589,37792571,39384598,40888452,35472550
68,Total Liabilities And Stockholders Equity,24824758,26489195,30326512,29330254,28853981,30735916,28945311,31881286,27337962,30295666,33786320,38997300,41491639,45005488,51614204,55018600,62522061,71415778,107004474,106360410,111743205,118608648,177347758,179527297
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40888452,-35472550
70,Total Liabilities & Equity,24824758,26489195,30326512,29330254,28853981,30735916,28945311,31881286,27337962,30295666,33786320,38997300,41491639,45005488,51614204,55018600,62522061,71415778,107004474,106360410,111743205,118608648,136459306,144054747
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24751/000002475106000019/0000024751-06-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475107000019/0000024751-07-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475108000007/0000024751-08-000007-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475109000034/0000024751-09-000034-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475110000150/0000024751-10-000150-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475111000059/0000024751-11-000059-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475112000060/0000024751-12-000060-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224413000012/0001582244-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224414000080/0001582244-14-000080-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224415000075/0001582244-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224416000187/0001582244-16-000187-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1582244/000158224419000049/0001582244-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000117494720001229/0001174947-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1582244/000117494721001128/0001174947-21-001128-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,640157,437948,471452,606550,526153,-91512,612869,626530,-3620000,260000,1010000,670000,1640000,1350000,1350000,1790000,2070000,1782080,3121390,2100628,2144268,3124230,5122034,1524903
74,Depreciation and Amortization,837151,895280,- -,- -,- -,- -,- -,- -,520000,630000,690000,762197,713066,1478953,1698458,2204869,1538377,1620700,1757604,2143084,2375500,2499558,2621385,3338769
75,Deferred Income Tax,-86301,105415,167017,67274,-15884,-35898,-404757,748234,279106,-60733,-404802,-1326224,1472093,-1550808,55574,1683049,1240705,991631,1066466,598547,1640887,1308524,1232417,446070
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235902,176057,246353,206276,- -,- -,- -,- -,- -,- -,- -,51430
77,Change in Working Capital,-347284,-733445,-2944482,-1075931,-523646,-151638,1344530,-1144588,-3159544,3963489,661828,-2942643,1529535,1442023,1230992,-1223452,-737554,-5580719,3017115,940016,-412504,264504,-3031257,-5838525
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-535984,-492074,-532163,-325244,- -,-497976,42868,-91222,567531,-690825,802815,-113216,-479978
79,Inventory,-132094,1352494,-4543,3099,-1129354,-1153148,-387545,-212045,3663469,-3962722,-1437588,2772175,-498651,-549877,770583,-175113,230357,750865,186096,-406839,-720837,-546130,114083,-448955
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-806359,89373,514365,-381056,586734,-184333,-181874,836961,-1238965,1107318,-1420772,370452,1550230
81,Other Working Capital,-251109,-984554,-3929036,-5004967,-5528613,-5680251,-4335721,-5480309,-8639853,-4676364,-4014536,-6957179,-5427644,-3985621,-2754629,-3978081,-4715635,-10296354,-7279239,-6339223,-6751727,-6487223,-9518480,-15357005
82,Other Non-Cash Items,-100802,1576991,1020644,3675749,813593,-344538,-716987,-971410,8817539,-7090470,556946,4996795,-1314193,-115388,-2884349,-117473,1470659,6690821,-5841625,-2830388,137833,-589377,-406222,4720778
83,Cash Provided by Operating Activities,942921,2282189,-1285369,3273642,800216,-623586,835655,-741234,2837101,-2297714,2513972,2160125,4276403,2780837,1697028,4543269,5582187,5504513,3120950,2951887,5885984,6607439,5538357,4243425
84,CAPEX,-971035,-1150718,-674773,-913460,-1365964,-1250736,-826130,-1160121,-1654229,-1732767,-4174163,-5054209,-4694677,-3859302,-6880501,-6142242,-8399036,-5825154,-7504955,-6447279,-7832707,-6628162,-8672162,-10988091
85,Acquisitions Net,-1879531,-600907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000,-281000,-800000,-1130000,-15660184,469544,-165000,- -,-1893081,- -
86,Purchases of Investments,-301145,-172719,-135362,-144019,-196116,-208055,-180942,-214282,-406580,-956200,-3666053,-1562639,-1552126,-2174041,-1241816,-1187092,-422721,-934831,-1642238,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,182284,- -,- -,- -,- -,- -,- -,78160,431037,1847021,2841363,- -,1576686,2097174,1484744,1250761,497408,1036993,1546730,62550,120107,91286,184324,-233681
88,Other Investing Activites,-971035,-1150718,-195000,-36064,-2862,1152400,1283914,- -,908113,4711402,- -,-3549545,-4694677,-3859302,-6880501,-6142242,-8177314,-5904920,-7151511,-6365336,-7948505,-6427649,-8675376,-10530992
89,Cash Used for Investing Activites,-2969427,-1924344,-1005135,-1093543,-1564942,-306391,276842,-1296243,-721659,3869456,-4998853,-5112184,-4670117,-3936169,-6748573,-6359573,-8902627,-6932758,-22907203,-5833242,-7993398,-6336363,-10384133,-10764673
90,Debt Repayment,- -,-146818,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18071361,-18975342,-18672343,-20042745,-8484879,-4105517,-2774259,-764005,-5980403,-40338442,-3747997,-4625617,-5538585
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,2861340,2233548,673140,6232753,212510,2467812,29785,125392,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-598001,-598000,-598000,-598000,-299000,- -,- -,- -,- -,- -,- -,-194840,-548150,-774896,-948409,-995762,-1075566,-1231057,-1301671,-1651374,-1729966,-1784830,-1859564,-2071110
94,Other Financing Activites,2646181,308334,2939752,-1613895,1119523,915101,-1124794,2038651,-1200409,-2727198,2395267,18534486,17575644,20033124,19706784,11028596,6127553,5370979,25460216,7147094,43952854,5356130,11428316,14053089
95,Cash Used/Provided by Financing Activities,2048180,-436484,2341752,-2211895,820523,915101,-1124794,2038651,-1200409,-2727198,2470267,3129625,285700,1259025,4948383,1760465,3414282,1395448,23519932,-484683,1884446,-176697,4943135,6443394
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21674,-78639,51248,-31796,55797,-14876,-12297,1174,915033,-1155456,2470267,3129625,-108014,103693,-103162,-55839,93842,-32797,3733679,-3366038,-222968,94379,97359,-77854
98,Cash at the End of Period,284426,205787,257035,225239,281036,266160,253863,255037,1170070,14614,- -,177566,69552,173245,70083,14244,108086,75289,3808968,442930,219962,314341,411700,333846
99,Cash at the Beginning of Period,262752,284426,205787,257035,225239,281036,266160,253863,255037,1170070,14614,- -,177566,69552,173245,70083,14244,108086,75289,3808968,442930,219962,314341,411700
100,Free Cash Flow,-28114,1131471,-1960142,2360182,-565748,-1874322,9525,-1901355,1182872,-4030481,-1660191,-2894084,-418274,-1078465,-5183473,-1598973,-2816849,-320641,-4384005,-3495392,-1946723,-20723,-3133805,-6744666
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24751/000002475106000019/0000024751-06-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475107000019/0000024751-07-000019-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475108000007/0000024751-08-000007-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475109000034/0000024751-09-000034-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475110000150/0000024751-10-000150-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475111000059/0000024751-11-000059-index.html,https://www.sec.gov/Archives/edgar/data/24751/000002475112000060/0000024751-12-000060-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224413000012/0001582244-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224414000080/0001582244-14-000080-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224415000075/0001582244-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000158224416000187/0001582244-16-000187-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1582244/000158224419000049/0001582244-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/1582244/000117494720001229/0001174947-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1582244/000117494721001128/0001174947-21-001128-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
