,https://roic.ai/company/ETSY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-1175000,-675000,-4009000,-26110000,-20453000,20369000,-19708000,-8115000,-58300000,5922000
20,Income Before Tax,-2530000,58000,-10260000,-27994000,-2876000,32265000,55078000,80646000,365709000,471654000
21,Income Before Tax Ratio,-0.0339,0.0005,-0.0525,-0.1024,-0.0079,0.0731,0.0912,0.0985,0.2119,0.2025
22,Income Tax expense (Gain),-145000,854000,4983000,26069000,27025000,-49535000,-22413000,-15248000,16463000,-21853000
23,Net Income,-2385000,-796000,-15243000,-54063000,-29901000,81800000,77491000,95894000,349246000,493507000
24,Net Income ratio,-0.0320,-0.0064,-0.0779,-0.1977,-0.0819,0.1854,0.1284,0.1172,0.2024,0.2119
25,EPS,-0.03,-0.01,-0.16,-0.59,-0.26,0.69,0.64,0.80,2.88,3.88
26,EPS Diluted,-0.03,-0.01,-0.16,-0.59,-0.26,0.68,0.61,0.76,2.69,3.40
27,Weighted Average Shares Outstanding,93694906,93694906,93694906,91122291,113562738,118538687,120146076,119665248,121251588,127224974
28,Weighted Average Shares Outstanding Diluted,93694906,93694906,93694906,91122291,113562738,122267673,127084785,125720073,136414592,146683324
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370637/000137063716000032/0001370637-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063717000018/0001370637-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063718000020/0001370637-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063719000028/0001370637-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063720000046/0001370637-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063721000012/0001370637-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063722000024/0001370637-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36795000,69659000,271244000,181592000,315442000,366985000,443293000,1244099000,780196000
32,Short-Term Investments,- -,18075000,19184000,21620000,100494000,25108000,257302000,373959000,425119000,204416000
33,Cash and Short-Term Investments,- -,54870000,88843000,292864000,282086000,340550000,624287000,817252000,1669218000,984612000
34,Net Receivables,- -,16392000,25977000,39537000,56243000,78335000,33316000,65172000,169411000,247472000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5523000,15173000,26653000,32703000,20379000,22686000,38614000,56152000,109417000
37,Total Current Assets,- -,76785000,129993000,359054000,371032000,439264000,680289000,921038000,1894781000,1341501000
38,PP&E,- -,23107000,75538000,105021000,126407000,117617000,120179000,144864000,112495000,275062000
39,Goodwill,- -,5346000,30831000,27752000,35657000,38541000,37482000,138731000,140810000,1371064000
40,Intangible Assets,- -,493000,5410000,2871000,7507000,4100000,34589000,199236000,187449000,607170000
41,Intangible Assets,- -,5839000,36241000,30623000,43164000,42641000,72071000,337967000,328259000,1978234000
42,Investments,- -,- -,- -,- -,- -,- -,- -,89343000,39094000,85034000
43,Tax Assets,- -,- -,- -,51396000,34264000,- -,23464000,14257000,115000,95863000
44,Other Non-Current Assets,- -,428000,7363000,6967000,6326000,6061000,5848000,34883000,29745000,56115000
45,Total Non-Current Assets,- -,29374000,119142000,194007000,210161000,166319000,221562000,621314000,509708000,2490308000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,106159000,249135000,553061000,581193000,605583000,901851000,1542352000,2404489000,3831809000
48,Accounts Payable,- -,10636000,18804000,33644000,40795000,58280000,65434000,101870000,261126000,363806000
49,Short-Term Debt,- -,780000,1755000,5610000,6829000,5798000,3884000,8275000,8537000,2418000
50,Tax Payable,- -,- -,- -,- -,- -,- -,12232000,39250000,109662000,146048000
51,Deferred Revenue,- -,2760000,3452000,4712000,5648000,6262000,7478000,7617000,11264000,12339000
52,Other Current Liabilities,- -,5043000,17442000,36156000,30736000,32137000,35266000,70766000,173737000,237025000
53,Total Current Liabilities,- -,19219000,41453000,80122000,84008000,102477000,112062000,188528000,454664000,615588000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,276486000,785126000,1107278000,2385701000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1259000,3081000,61420000,65068000,23786000,30455000,64497000,58481000,79484000
57,Other Non-Current Liabilities,- -,81678000,55381000,81021000,87360000,82426000,81950000,97567000,41642000,122417000
58,Total Non-Current Liabilities,- -,82937000,58462000,142441000,152428000,106212000,388891000,947190000,1207401000,2587602000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,818000,55223000,64985000,69485000,69962000,65970000,61886000,53516000,112701000
61,Total Liabilities,- -,102156000,99915000,222563000,236436000,208689000,500953000,1135718000,1662065000,3203190000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,33000,97000,113000,116000,122000,120000,119000,126000,127000
64,Retained Earnings,- -,-17134000,-32377000,-86440000,-116341000,-96290000,-153442000,-227414000,-146819000,71744000
65,Other Comprehensive Income/Loss,- -,160000,-3934000,10805000,18472000,-6379000,-7813000,-8699000,5951000,-75014000
66,Other Total Stockholders Equity,- -,20944000,185434000,406020000,442510000,499441000,562033000,642628000,883166000,631762000
67,Total Stockholders Equity,- -,4003000,149220000,330498000,344757000,396894000,400898000,406634000,742424000,628619000
68,Total Liabilities And Stockholders Equity,- -,106159000,249135000,553061000,581193000,605583000,901851000,1542352000,2404489000,3831809000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,106159000,249135000,553061000,581193000,605583000,901851000,1542352000,2404489000,3831809000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1370637/000137063716000032/0001370637-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063717000018/0001370637-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063718000020/0001370637-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063719000028/0001370637-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063720000046/0001370637-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063721000012/0001370637-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063722000024/0001370637-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-2385000,-796000,-15243000,-54063000,-29901000,81800000,77491000,95894000,349246000,493507000
74,Depreciation and Amortization,7930000,12380000,17223000,18550000,22525000,27197000,26742000,48031000,58189000,74267000
75,Deferred Income Tax,-736000,- -,-817000,17132000,17132000,-47972000,-22414000,-15248000,2202000,-88952000
76,Stock Based Compensation,4094000,3834000,10050000,10841000,15901000,26559000,38231000,44395000,65114000,139910000
77,Change in Working Capital,-1390000,57254000,30974000,190392000,8092000,49763000,231440000,164283000,707607000,23883000
78,Accounts Receivable,-6304000,-7739000,-10172000,-15764000,-19102000,-22303000,40651000,-35833000,-112681000,-103197000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4598000,4705000,4926000,15753000,7325000,16314000,-10072000,22224000,104691000,69772000
81,Other Working Capital,312000,57566000,88540000,278932000,287024000,336787000,568227000,732510000,1440117000,1441000
82,Other Non-Cash Items,2171000,-56130000,-30100000,-153641000,13010000,-69927000,-152565000,-130435000,-503402000,8936000
83,Cash Provided by Operating Activities,9684000,16542000,12087000,29211000,46759000,67420000,198925000,206920000,678956000,651551000
84,CAPEX,-13946000,-17072000,-9584000,-20835000,-47750000,-13156000,-56050000,-17241000,-7990000,-28170000
85,Acquisitions Net,-200000,-675000,-4688000,- -,-7880000,- -,- -,-270409000,- -,-1699974000
86,Purchases of Investments,-16081000,-39000,-21698000,-26040000,-160504000,-62348000,-514286000,-661821000,-499237000,-418518000
87,Sales/Maturities of Investments,1350000,2761000,20588000,23592000,80704000,137340000,284943000,461098000,495848000,590630000
88,Other Investing Activites,- -,- -,-5341000,- -,- -,- -,-35494000,-1963000,-880000,-1937000
89,Cash Used for Investing Activites,-28877000,-15025000,-20723000,-23283000,-135430000,61836000,-285393000,-488373000,-11379000,-1557969000
90,Debt Repayment,-1387000,-1265000,-1480000,-3377000,-6086000,-13681000,-16221000,-10833000,-146379000,-52764000
91,Common Stock Issued,- -,- -,35000000,199467000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-60000,-188000,- -,- -,-1258000,-16718000,-134647000,-176985000,-268653000,-302774000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,44419000,1350000,11717000,3518000,13154000,33838000,294874000,547425000,534314000,808287000
95,Cash Used/Provided by Financing Activities,42972000,-103000,45237000,199608000,5810000,3439000,144006000,359607000,119282000,452749000
96,Effect of Forex Changes on Cash,-27000,446000,-3737000,-3951000,-6791000,1155000,-5995000,-1846000,13947000,-10234000
97,Net Change In Cash,23752000,1860000,32864000,201585000,-89652000,133850000,51543000,76308000,800806000,-463903000
98,Cash at the End of Period,34935000,36795000,69659000,271244000,181592000,315442000,372326000,448634000,1249440000,785537000
99,Cash at the Beginning of Period,11183000,34935000,36795000,69659000,271244000,181592000,320783000,372326000,448634000,1249440000
100,Free Cash Flow,-4262000,-530000,2503000,8376000,-991000,54264000,142875000,189679000,670966000,623381000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370637/000137063716000032/0001370637-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063717000018/0001370637-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063718000020/0001370637-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063719000028/0001370637-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063720000046/0001370637-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063721000012/0001370637-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063722000024/0001370637-22-000024-index.htm
102,false,,,,,,,,,,
