,https://roic.ai/company/MSC,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-113054000,14579000,68313000,139518000,228504000,-167425000,-136841000
84,CAPEX,-871072000,-111731000,-43797000,-153247000,-78588000,-202813000,-404480000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-9884000,-24823000,-60152000,- -,-278700000
87,Sales/Maturities of Investments,- -,- -,- -,34675000,60152000,- -,278700000
88,Other Investing Activites,-101454000,5021000,-1664000,-4120000,-12334000,-7077000,-4449000
89,Cash Used for Investing Activites,-972526000,-106710000,-55345000,-147515000,-90922000,-209789000,-407235000
90,Debt Repayment,- -,-95560000,- -,-400000000,-558466000,-850000000,-252944000
91,Common Stock Issued,- -,- -,- -,405152000,- -,499222000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5063000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2887000,-27226000,-1285000,- -,373553000,974589000,-33297000
95,Cash Used/Provided by Financing Activities,-2887000,-122786000,-1285000,5152000,-189976000,623811000,471508000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2519000,2061000,1530000,-3372000
97,Net Change In Cash,-1088467000,-214917000,11683000,-5364000,-50333000,248127000,471508000
98,Cash at the End of Period,586163000,371246000,382929000,377565000,327232000,575359000,499419000
99,Cash at the Beginning of Period,1674630000,586163000,371246000,382929000,377565000,327232000,575359000
100,Free Cash Flow,-984126000,-97152000,24516000,-13729000,149916000,-370238000,-541321000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/13239/000001323916000082/0000013239-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323917000009/0000013239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323918000007/0000013239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1713334/000119312519091865/0001193125-19-091865-index.html,https://www.sec.gov/Archives/edgar/data/13239/000001323920000006/0000013239-20-000006-index.html,- -,- -
102,false,,,,,,,
