,https://roic.ai/company/TS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1181,0.1381,0.0814,0.1981,0.2904,0.3730,0.2854,0.2371,0.2146,0.2063,0.1951,0.2070,0.2078,0.1709,0.0240,0.0080,0.0809,0.1440,0.1280,-0.1203,0.1906
22,Income Tax expense (Gain),218838000,207771000,63918000,220376000,568753000,869977000,823924000,1011675000,513211000,450004000,525247000,541558000,627877000,586061000,244505000,17102000,-17136000,229207000,202452000,23150000,189448000
23,Net Income,155903000,94304000,210308000,784703000,1277547000,1945314000,1923748000,2275620000,1161555000,1127367000,1331157000,1699047000,1551394000,1158517000,-80162000,55298000,544737000,876063000,742686000,-634418000,1100191000
24,Net Income ratio,0.0491,0.0293,0.0661,0.1897,0.1897,0.2517,0.1916,0.1876,0.1425,0.1462,0.1335,0.1568,0.1464,0.1121,-0.0113,0.0129,0.1030,0.1144,0.1018,-0.1233,0.1687
25,EPS,0.22,0.26,0.36,1.32,2.16,3.30,3.26,3.60,1.96,1.90,2.26,2.88,2.62,2.28,-0.14,0.09,0.92,1.48,1.26,-1.08,1.86
26,EPS Diluted,0.22,0.26,0.36,1.32,2.16,3.30,3.26,3.60,1.96,1.90,2.26,2.88,2.62,2.28,-0.14,0.09,0.92,1.48,1.26,-1.08,1.86
27,Weighted Average Shares Outstanding,355373594,366468000,583615000,590253500,590268500,590268500,590268500,590268500,590268415,590268500,590268500,590268500,590268500,590268500,590268415,590268415,590268415,590268415,590268500,590268500,590268500
28,Weighted Average Shares Outstanding Diluted,355373594,366468000,583615000,590253500,590270000,590268500,590268500,1180537000,590268415,590268500,590268500,590268500,590268500,590268500,590268415,590268415,590268415,590268415,590268500,590268500,590268500
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,304536000,247834000,311579000,707356000,1372329000,962497000,1538769000,1542829000,843861000,823743000,828458000,614529000,417645000,286547000,399737000,330221000,428361000,1554299000,584681000,318127000
32,Short-Term Investments,- -,- -,138266000,119666000,119907000,183604000,87530000,45863000,601247000,676224000,430776000,665981000,1248902000,1838379000,2140862000,1633142000,1192306000,487734000,210376000,872488000,397849000
33,Cash and Short-Term Investments,- -,304536000,386100000,431245000,827263000,1555933000,1050027000,1584632000,2144076000,1520085000,1254519000,1494439000,1863431000,2256024000,2427409000,2032879000,1522527000,916095000,1764675000,1457169000,715976000
34,Net Receivables,- -,825932000,664564000,970237000,1467453000,1897873000,1971243000,2374777000,1530426000,1646002000,2070114000,2281911000,2206943000,2235154000,1385763000,1162803000,1408096000,1952996000,1477803000,1136591000,1526665000
35,Inventory,- -,680113000,831879000,1269470000,1376113000,2372308000,2598856000,3091401000,1687059000,2460384000,2806409000,2985805000,2702647000,2779869000,1843467000,1563889000,2368304000,2524341000,2265880000,1636673000,2672593000
36,Other Current Assets,- -,- -,153352000,341140000,102455000,202718000,242757000,201607000,260280000,329065000,262179000,224961000,152451000,125275000,86392000,209000000,82227000,70760000,162249000,57239000,65939000
37,Total Current Assets,- -,1810581000,2035895000,3012092000,3773284000,6028832000,5862883000,7252417000,5621841000,5955536000,6393221000,6987116000,6925472000,7396322000,5743031000,4968571000,5381154000,5464192000,5670607000,4287672000,4981173000
38,PP&E,- -,1934237000,1960314000,2164601000,2230038000,2939241000,3269007000,2982871000,3254587000,3780580000,4053653000,4434970000,4673767000,5159557000,5672258000,6001939000,6229143000,6063908000,6323143000,6435134000,5933539000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1804670000,2147066000,2146243000,1806945000,1806754000,1745379000,1333770000,1292665000,1292481000,1288344000,1320245000,1085968000,1084644000
40,Intangible Assets,- -,32684000,54037000,49211000,159099000,2844498000,4542352000,3826987000,1866250000,1434750000,1229687000,1392971000,1260482000,1012251000,809682000,570162000,368378000,177621000,10427399000,343088000,287532000
41,Intangible Assets,- -,32684000,54037000,49211000,159099000,2844498000,4542352000,3826987000,3670920000,3581816000,3375930000,3199916000,3067236000,2757630000,2143452000,1862827000,1660859000,1465965000,- -,1429056000,1372176000
42,Investments,- -,- -,- -,- -,- -,- -,- -,565362000,636739000,715447000,672791000,985664000,915256000,666741000,906963000,828322000,790201000,923723000,904899000,1204434000,1704028000
43,Tax Assets,- -,49412000,130812000,161173000,194874000,291641000,310590000,390323000,197603000,210523000,234760000,214199000,197159000,268252000,200706000,144613000,153532000,181606000,- -,205590000,245547000
44,Other Non-Current Assets,- -,190532000,128490000,275211000,348733000,491030000,1259755000,82752000,101618000,120429000,133280000,142060000,152080000,262176000,220564000,197003000,183329000,151905000,1944342000,154303000,212968000
45,Total Non-Current Assets,- -,2206865000,2273653000,2650196000,2932744000,6566410000,9381704000,7848295000,7861467000,8408795000,8470414000,8976809000,9005498000,9114356000,9143943000,9034704000,9017064000,8787107000,9172384000,9428517000,9468258000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4017446000,4309548000,5662288000,6706028000,12595242000,15244587000,15100712000,13483308000,14364331000,14863635000,15963925000,15930970000,16510678000,14886974000,14003275000,14398218000,14251299000,14842991000,13716189000,14449431000
48,Accounts Payable,- -,483418000,459795000,592092000,625324000,838259000,847842000,896791000,556419000,818226000,901735000,883190000,834629000,831803000,503845000,556834000,750739000,693673000,555887000,462105000,845256000
49,Short-Term Debt,- -,393690000,458872000,838591000,332180000,794197000,1150779000,2864715000,791583000,1023926000,781101000,1211785000,684717000,968407000,748295000,808694000,931214000,509820000,819121000,346763000,254092000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,306539000,- -,- -,254603000,266760000,352353000,136018000,101197000,102405000,250233000,127625000,90593000,143486000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,70051000,55564000,134010000,56911000,133609000,134780000,39668000,56707000,62683000,189809000,48692000,92436000
52,Other Current Liabilities,- -,326170000,410010000,569163000,741597000,1133048000,1062403000,28511000,622468000,466343000,665299000,600389000,543472000,669010000,367855000,325934000,332239000,452187000,215640000,308915000,367861000
53,Total Current Liabilities,- -,1203278000,1328677000,1999846000,1699101000,2765504000,3061024000,3790017000,1970470000,2378546000,2403699000,2829374000,2119729000,2602829000,1754775000,1731130000,2070899000,1718363000,1780457000,1166475000,1559645000
54,Long-Term Debt,- -,322205000,374779000,420751000,678112000,2857046000,2869466000,1242302000,654774000,220310000,149675000,530860000,244747000,30104000,223050000,31507000,34586000,29187000,40880000,315739000,194126000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,435579000,418333000,371975000,353395000,991945000,1233836000,1053838000,860787000,934226000,828545000,749235000,751105000,714123000,750325000,550657000,457970000,379039000,- -,254801000,274721000
57,Other Non-Current Liabilities,- -,175547000,226495000,208521000,199547000,279117000,550411000,312668000,276441000,280669000,308773000,294130000,345523000,357308000,292768000,276909000,253793000,249218000,- -,532701000,315237000
58,Total Non-Current Liabilities,- -,933331000,1019607000,1001247000,1231054000,4128108000,4653713000,2608808000,1792002000,1435205000,1286993000,1574225000,1341375000,1101535000,1266143000,859073000,746349000,657444000,40880000,1103241000,784084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,917042000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,586000,423000,260000,2177000,2046000,1215000,542000,165000,197000,44000,230167000,257343000,117285000
61,Total Liabilities,- -,2136609000,2348284000,3001093000,2930155000,6893612000,7714737000,6398825000,3762472000,3813751000,3690692000,4403599000,3461104000,3704364000,3020918000,2590203000,2817248000,2375807000,2656619000,2269716000,2343729000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,875401000,1180288000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000,1180537000
64,Retained Earnings,- -,55014000,304612000,536459000,1656503000,3397584000,4813701000,6489899000,7143823000,7869807000,8799581000,10050024000,11094598000,11721873000,11110469000,10658136000,10718853000,11116116000,11492836000,10658155000,11439587000
65,Other Comprehensive Income/Loss,- -,763639000,-252889000,169195000,61029000,150765000,402306000,-223779000,29533000,242282000,-83624000,-452278000,-594448000,-858029000,-1187395000,-1160989000,-1026938000,-1123504000,-1176094000,-1185537000,-1269279000
66,Other Total Stockholders Equity,- -,- -,609269000,609733000,609733000,609733000,609733000,729914000,738271000,609733000,609733000,609733000,609733000,609733000,609733000,609733000,609733000,609733000,491679000,609733000,609733000
67,Total Stockholders Equity,- -,1694054000,1841280000,2495924000,3507802000,5338619000,7006277000,8176571000,9092164000,9902359000,10506227000,11388016000,12290420000,12654114000,11713344000,11287417000,11482185000,11782882000,11988958000,11262888000,11960578000
68,Total Liabilities And Stockholders Equity,- -,3830663000,4189564000,5497017000,6437957000,12232231000,14721014000,14575396000,12854636000,13716110000,14196919000,15791615000,15751524000,16358478000,14734262000,13877620000,14299433000,14158689000,14645577000,13532604000,14304307000
69,Minority Interest,- -,186783000,119984000,165271000,268071000,363011000,523573000,525316000,628672000,648221000,666716000,172310000,179446000,152200000,152712000,125655000,98785000,92610000,197414000,183585000,145124000
70,Total Liabilities & Equity,- -,4017446000,4309548000,5662288000,6706028000,12595242000,15244587000,15100712000,13483308000,14364331000,14863635000,15963925000,15930970000,16510678000,14886974000,14003275000,14398218000,14251299000,14842991000,13716189000,14449431000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,94304000,210308000,784703000,1277547000,1945314000,1923748000,2275620000,1161555000,1127367000,1331157000,1699047000,1551394000,1158517000,-80162000,55298000,544737000,876063000,742686000,-634418000,1100191000
74,Depreciation and Amortization,- -,176315000,199799000,208119000,214227000,255004000,514820000,532934000,504864000,506902000,554345000,567654000,610054000,615629000,658778000,662412000,608640000,664357000,510584000,678806000,594721000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57979000,117633000,-160951000,125416000,79062000,-91080000,-128079000,-193989000,58494000,- -,-117214000,35602000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-191661000,-107156000,-621187000,-433939000,-469517000,-110425000,-1051632000,1737348000,-644050000,-646369000,-303012000,188780000,-72066000,1373985000,348199000,-855282000,-737952000,523109000,1059135000,-1045907000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-374463000,792345000,-111340000,-456874000,-166985000,129939000,20886000,828265000,146824000,-259375000,-517579000,428326000,409163000,-334781000
79,Inventory,- -,46074000,-151766000,-411045000,-101143000,-455567000,-252810000,-492545000,1414157000,-773325000,-335337000,-174670000,287874000,-72883000,936402000,244720000,-804415000,-176443000,- -,828796000,-1060465000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,261807000,66378000,-19720000,-62470000,-3755000,-327958000,59939000,193905000,-57066000,-180857000,-184442000,383417000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,30257000,-42955000,78446000,-77099000,76383000,1171000,-95112000,17039000,5976000,- -,-34388000,43744000
82,Other Non-Cash Items,- -,382478000,-27315000,-273347000,237488000,80055000,-307519000,-291917000,-339819000,-61420000,-73462000,57675000,-120526000,262925000,353483000,-74265000,-126131000,-250160000,-1776379000,534074000,-565532000
83,Cash Provided by Operating Activities,- -,461436000,275636000,98288000,1295323000,1810856000,2020624000,1465005000,3063948000,870820000,1283304000,1860413000,2355118000,2044067000,2215004000,863565000,-22025000,610802000,- -,1520383000,119075000
84,CAPEX,- -,-124605000,-162624000,-183312000,-284474000,-441472000,-447917000,-443238000,-460927000,-847316000,-862658000,-781719000,-720312000,-1141607000,-1121429000,-763264000,-552793000,-343463000,-313915000,-194353000,-221858000
85,Acquisitions Net,- -,-320000,-65283000,-97595000,-48292000,-2334254000,-1998842000,1095220000,-73584000,-302000,-11254000,-507685000,- -,-29440000,-4400000,-17108000,313532000,- -,-155388000,-1025367000,23640000
86,Purchases of Investments,- -,- -,- -,- -,-119907000,-63697000,- -,-41667000,-533812000,-96549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-887216000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,96074000,41667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-55681000,-24338000,81011000,159882000,17374000,63553000,-372806000,-433197000,-823992000,-593550000,-976644000,-1286899000,-1756371000,-1769182000,-81240000,35586000,399108000,114996000,-178650000,244257000
89,Cash Used for Investing Activites,- -,-180606000,-252245000,-199896000,-292791000,-2822049000,-2287132000,722414000,-1040593000,-920843000,-604804000,-1484329000,-1286899000,-1785811000,-1773582000,-98348000,349118000,399108000,-40392000,-2092264000,267897000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2122268000,-2096925000,-862921000,-953413000,-1271537000,-3143241000,-2890717000,-2063992000,-1295560000,-1090129000,-1432202000,132133000,-945539000,-1169526000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-80774000,-129066000,-135084000,-363757000,-204233000,-567894000,-535804000,-553717000,-401383000,-401383000,-448604000,-507631000,-531242000,-531242000,-507631000,-484020000,-484020000,- -,-82637000,-318744000
94,Other Financing Activites,- -,-103602000,45884000,300094000,-240372000,1904938000,371210000,1087649000,631544000,612709000,686888000,1294602000,2433999000,2998353000,2060200000,1150567000,1172732000,1015780000,-485891000,652857000,840313000
95,Cash Used/Provided by Financing Activities,- -,-184376000,-83182000,165010000,-604129000,1700705000,-196684000,-1570423000,-2019098000,-651595000,-667908000,-425539000,-1216873000,-423606000,-535034000,-652624000,-401417000,-900442000,-353758000,-375319000,-647957000
96,Effect of Forex Changes on Cash,- -,-5732000,3089000,343000,-11636000,-5095000,52487000,-46277000,9124000,-6924000,-17561000,7079000,-25857000,-16350000,-36635000,-211000,5834000,-12841000,-6231000,-22492000,-5531000
97,Net Change In Cash,- -,90722000,-56702000,63745000,386767000,684417000,-410705000,570719000,3685000,-708542000,-6969000,-42376000,-174511000,-181700000,-130247000,112382000,-68490000,96627000,1127558000,-969692000,-266516000
98,Cash at the End of Period,- -,304536000,247834000,311579000,680591000,1365008000,954303000,1525022000,1528707000,820165000,813196000,772656000,598145000,416445000,286198000,398580000,330090000,426717000,- -,584583000,318067000
99,Cash at the Beginning of Period,- -,213814000,304536000,247834000,293824000,680591000,1365008000,954303000,1525022000,1528707000,820165000,815032000,772656000,598145000,416445000,286198000,398580000,330090000,- -,1554275000,584583000
100,Free Cash Flow,- -,336831000,113012000,-85024000,1010849000,1369384000,1572707000,1021767000,2603021000,23504000,420646000,1078694000,1634806000,902460000,1093575000,100301000,-574818000,267339000,- -,1326030000,-102783000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
