,https://roic.ai/company/CPRX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,53880,42636,54370,14748,1654758,520465,1838693,2810730,1184656,303388,157456,154799,647532,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,53880,42636,54370,14748,1654758,520465,1838693,2810730,1184656,303388,157456,154799,647532,- -,3894000
59,Other Liabilities,66701,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948050,28772,- -
61,Total Liabilities,66701,- -,67800,342988,772846,357165,1472753,348522,313709,2488559,2167130,3978302,8665756,4625259,2397923,4423618,9666153,24746274,22756287,30957000
62,Preferred Stock,- -,- -,700,700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,29184,68875,12517,12528,14060,18038,19395,24701,41421,54133,69119,82851,82972,102549,102739,103397,103782,103000
64,Retained Earnings,- -,- -,-1224380,-3029760,-5759214,-9898707,-20463304,-27705232,-31711555,-38102617,-42179003,-54333599,-69842660,-90075618,-108148070,-126560447,-160563961,-128688624,-53705624,-26310000
65,Other Comprehensive Income/Loss,- -,- -,-366,-1740,-6668,-22429,-55186,-85413,-111154,-59074,-69963,-92446,-113193,-70074,-113480,-159169,-20248,9505,31332,-148000
66,Other Total Stockholders Equity,44888,- -,1312438,3408387,25599998,26231365,31064645,35390467,37321093,41897688,56829660,75763164,105129064,145539152,147487508,207580879,211265279,216205678,223168149,233186000
67,Total Stockholders Equity,44888,- -,117576,446462,19846633,16322757,10560215,7617860,5517779,3760698,14622115,21391252,35242330,55476311,39308930,80963812,50783809,87629956,169597639,206831000
68,Total Liabilities And Stockholders Equity,111589,- -,185376,789450,20619479,16679922,12032968,7966382,5831488,6249257,16789245,25369554,43908086,60101570,41706853,85387430,60449962,112376230,192353926,237788000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,111589,- -,185376,789450,20619479,16679922,12032968,7966382,5831488,6249257,16789245,25369554,43908086,60101570,41706853,85387430,60449962,112376230,192353926,237788000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1369568/000095014407002985/0000950144-07-002985-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000095014408002272/0000950144-08-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312509064431/0001193125-09-064431-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312510073610/0001193125-10-073610-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312511084965/0001193125-11-084965-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312512143728/0001193125-12-143728-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312513136777/0001193125-13-136777-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312514104658/0001193125-14-104658-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312515091323/0001193125-15-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312516505167/0001193125-16-505167-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312517083667/0001193125-17-083667-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312518082292/0001193125-18-082292-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312519078253/0001193125-19-078253-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312520075048/0001193125-20-075048-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312521081545/0001193125-21-081545-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312522077228/0001193125-22-077228-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-539820,-1805380,-2729454,-4139493,-10564597,-7241928,-4006323,-6391062,-4076386,-12154596,-15509061,-20232958,-18072452,-18412377,-34003514,31875337,74983000,39482000
74,Depreciation and Amortization,- -,- -,366,1374,4927,15761,32757,30227,25741,42835,10889,22483,26574,34468,43406,45689,37978,297726,885317,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32971264,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,717568,601438,450089,416735,340039,175855,777969,1585458,1836085,2407961,3550644,3824815,6260923,- -
77,Change in Working Capital,- -,- -,14101,312468,19386397,-3586575,-5743362,-2891767,-2116829,-82061,9685631,8100416,14792366,18487735,-17101304,41561769,-35244943,41588829,49222806,46555313
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10536997,4549571,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56012,-1900780,-2693808,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,112841,-83072,-143702,158001,1101729,-514874,963421,-20083,-860951,1012399,391792,1780080,138573,- -
81,Other Working Capital,- -,- -,116111,428579,19814976,16228401,10485039,7593272,5476443,5394382,15080013,23180429,37972795,56460530,39359226,80920995,45676052,87264881,136487687,183043000
82,Other Non-Cash Items,- -,- -,294833,1036178,-17840402,3285373,7297222,1818841,1889917,1028504,-11100539,-6019832,-13029631,-17889924,15330762,-39345614,39955429,-42975234,-53345918,-86037313
83,Cash Provided by Operating Activities,- -,- -,-230520,-455360,-1178532,-4424934,-8260412,-7683189,-3757405,-4985049,-5140366,-9875674,-12941783,-18015221,-17963503,-13742572,-25704406,34611473,45034864,- -
84,CAPEX,- -,- -,-1831,-3940,-21053,-65872,-1345,-2298,-2867,-3620,-52382,-9432,-57323,-23465,-96061,- -,-92018,-19369,-11398,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14007269,-7487369,-8683707,-1846,-68603,-3958,-36802418,-34725401,-10000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18812,3717229,- -,21368425,71969365,5000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1345,-2298,-2867,-3620,-52382,-9432,-57323,-23465,-96061,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1831,-3940,-21053,-65872,-1345,-2298,-2867,-3620,-14059651,-7496801,-8741030,-6499,3552565,-3958,-15526011,37224595,-5011398,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,1046516,20863160,- -,4087900,3698135,1456153,5542578,9564640,14071694,26725130,34873869,- -,53772560,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5016249,4106800,1838503,2286089,68986,3577608,293115,1116242,701933,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1046516,20863160,- -,4084490,3698135,1456153,5542578,14580889,18178494,28563633,37159958,68986,57350168,293115,1116242,701933,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-232351,587216,19663575,-4490806,-4177267,-3987352,-2304119,553909,-4619128,806019,6880820,19138238,-14341952,43603638,-40937302,72952310,40725399,- -
98,Cash at the End of Period,- -,- -,183911,771127,20434702,15943896,11766629,7779277,5475158,6029067,1409939,2215958,9096778,28235016,13893064,57496702,16559400,89511710,130237109,- -
99,Cash at the Beginning of Period,- -,- -,416262,183911,771127,20434702,15943896,11766629,7779277,5475158,6029067,1409939,2215958,9096778,28235016,13893064,57496702,16559400,89511710,130237109
100,Free Cash Flow,- -,- -,-232351,-459300,-1199585,-4490806,-8261757,-7685487,-3760272,-4988669,-5192748,-9885106,-12999106,-18038686,-18059564,-13742572,-25796424,34592104,45023466,- -
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1369568/000095014407002985/0000950144-07-002985-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000095014408002272/0000950144-08-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312509064431/0001193125-09-064431-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312510073610/0001193125-10-073610-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312511084965/0001193125-11-084965-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312512143728/0001193125-12-143728-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312513136777/0001193125-13-136777-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312514104658/0001193125-14-104658-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312515091323/0001193125-15-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312516505167/0001193125-16-505167-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312517083667/0001193125-17-083667-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312518082292/0001193125-18-082292-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312519078253/0001193125-19-078253-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312520075048/0001193125-20-075048-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312521081545/0001193125-21-081545-index.htm,https://www.sec.gov/Archives/edgar/data/1369568/000119312522077228/0001193125-22-077228-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
