,https://roic.ai/company/PPSI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,-311498,-417000,-1466000,-1025000,-1182000,-1495000,-3283000,-1531000,-2530000,-3488000,994000,1303000,98000
20,Income Before Tax,- -,- -,7605192,3273000,3244000,4922000,5952000,255000,-8583000,-176000,857000,-5361000,-10759000,-2981000,-1395000
21,Income Before Tax Ratio,- -,- -,0.1873,0.0693,0.0472,0.0586,0.0675,0.0028,-0.0806,-0.0015,0.0085,-0.0504,-0.5227,-0.1530,-0.3988
22,Income Tax expense (Gain),- -,- -,2490000,327000,773000,1733000,682000,523000,-2702000,887000,3554000,303000,1278000,5000,3000
23,Net Income,- -,-3500,5115192,2946000,-60000,2990000,5270000,-268000,-5881000,-1063000,-9344000,-5664000,-1439000,-2986000,-1398000
24,Net Income ratio,- -,-Infinity,0.1260,0.0624,-0.0009,0.0356,0.0598,-0.0029,-0.0552,-0.0093,-0.0922,-0.0532,-0.0699,-0.1532,-0.3997
25,EPS,- -,-0.00,1.10,0.50,-0.01,0.51,0.84,-0.04,-0.76,-0.07,-1.07,-0.65,-0.17,-0.34,-0.16
26,EPS Diluted,- -,-0.00,1.10,0.50,-0.01,0.51,0.84,-0.04,-0.76,-0.07,-1.07,-0.65,-0.17,-0.34,-0.16
27,Weighted Average Shares Outstanding,- -,1200000,4658520,5872400,5907000,5907000,6263000,7185000,7746000,8700000,8717000,8726000,8726000,8726000,8726000
28,Weighted Average Shares Outstanding Diluted,- -,1200000,4658520,5931000,5949000,5913000,6298000,7185000,7746000,8700000,8717000,8726000,8726000,8726000,8726000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1449792/000119380511000604/0001193805-11-000604-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000152153612000233/0001521536-12-000233-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420413019007/0001144204-13-019007-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420414015838/v371492_10k.htm,https://www.sec.gov/Archives/edgar/data/1449792/000144979215000011/0001449792-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420416091897/0001144204-16-091897-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713117001719/0001387131-17-001719-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713118001369/0001387131-18-001369-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713119002262/0001387131-19-002262-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713120003440/0001387131-20-003440-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713121004036/0001387131-21-004036-index.htm,https://www.sec.gov/Archives/edgar/data/1449792/000138713122004473/0001387131-22-004473-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6000,1560229,516000,1398000,467000,425000,3832000,648000,246000,218000,211000,8213000,7567000,9924000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,936000,- -,- -
33,Cash and Short-Term Investments,- -,6000,1560229,516000,1398000,467000,425000,3832000,648000,246000,218000,211000,9149000,7567000,9924000
34,Net Receivables,- -,- -,5491886,6549000,8689000,10648000,9804000,13575000,14799000,17580000,14175000,16893000,5516000,2587000,2429000
35,Inventory,- -,- -,6432897,7814000,13711000,14912000,12643000,14429000,17663000,26147000,23192000,27310000,4554000,2403000,4160000
36,Other Current Assets,- -,- -,103101,820000,1631000,1495000,3273000,2143000,1759000,2215000,9747000,2510000,795000,1399000,8622000
37,Total Current Assets,- -,6000,13588113,15699000,25429000,27522000,26145000,33979000,34869000,46188000,47332000,46924000,20014000,13956000,25135000
38,PP&E,- -,- -,987261,5123000,9983000,10937000,12213000,11195000,7349000,6591000,6335000,5284000,640000,433000,2753000
39,Goodwill,- -,- -,- -,5534000,6862000,6892000,7998000,9606000,10068000,9972000,8527000,8527000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,4436000,5585000,5329000,5285000,10013000,9956000,8168000,4922000,3584000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,9970000,12447000,12221000,13283000,19619000,20024000,18140000,13449000,12111000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,20171,1311000,679000,700000,1091000,7124000,3642000,5659000,2729000,2971000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,300000,798000,1129000,921000,1055000,830000,45000,5222000,7465000,- -,39000
45,Total Non-Current Assets,- -,- -,1007432,16404000,23409000,24656000,27716000,38859000,32070000,31220000,22558000,25588000,8105000,433000,2792000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6000,14595545,32103000,48838000,52178000,53861000,72838000,66939000,77408000,69890000,72512000,28119000,14389000,27927000
48,Accounts Payable,- -,- -,2567715,7442000,11316000,12044000,8370000,14396000,20030000,18139000,15942000,27845000,7533000,4027000,- -
49,Short-Term Debt,- -,- -,133505,6063000,8870000,7335000,2903000,9343000,18041000,24241000,24859000,23698000,374000,633000,- -
50,Tax Payable,- -,- -,1775516,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1441000,714000,2423000
52,Other Current Liabilities,- -,3500,1925516,161000,999000,1260000,1072000,523000,237000,1360000,4883000,873000,543000,164000,4159000
53,Total Current Liabilities,- -,3500,4626736,13666000,21185000,20639000,12345000,24262000,38308000,43740000,45684000,52416000,9891000,5538000,6582000
54,Long-Term Debt,- -,- -,- -,17000,9015000,9795000,7205000,9539000,21000,4005000,4153000,2619000,- -,780000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2320000,3301000,2992000,3306000,7852000,781000,2400000,1665000,1592000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,361751,1008000,569000,837000,213000,351000,435000,1064000,886000,3934000,1793000,1257000,1793000
58,Total Non-Current Liabilities,- -,- -,361751,3345000,12885000,13624000,10724000,17742000,1237000,7469000,6704000,8145000,1793000,2037000,1793000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3500,4988487,17011000,34070000,34263000,23069000,42004000,39545000,51209000,52388000,60561000,11684000,7428000,8375000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6000,29000,30000,6000,6000,7000,7000,9000,9000,9000,9000,9000,9000,10000
64,Retained Earnings,- -,-3500,4904208,7850000,7790000,10780000,16050000,15782000,9901000,8838000,-506000,-6127000,-7566000,- -,-12312000
65,Other Comprehensive Income/Loss,- -,- -,-690698,-3545000,-1000000,-1000000,-1000000,-3000000,-6000000,-6000000,-6000000,-6000000,-1809000,14000,14000
66,Other Total Stockholders Equity,- -,- -,- -,10757000,7972000,8129000,15735000,18045000,23484000,23352000,23999000,24069000,25801000,13836000,31840000
67,Total Stockholders Equity,- -,2500,9607058,15092000,14768000,17915000,30792000,30834000,27394000,26199000,17502000,11951000,16435000,13859000,19552000
68,Total Liabilities And Stockholders Equity,- -,6000,14595545,32103000,48838000,52178000,53861000,72838000,66939000,77408000,69890000,72512000,28119000,21287000,27927000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6898000,- -
70,Total Liabilities & Equity,- -,6000,14595545,32103000,48838000,52178000,53861000,72838000,66939000,77408000,69890000,72512000,28119000,14389000,27927000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1449792/000119380511000604/0001193805-11-000604-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000152153612000233/0001521536-12-000233-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420413019007/0001144204-13-019007-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420414015838/v371492_10k.htm,https://www.sec.gov/Archives/edgar/data/1449792/000144979215000011/0001449792-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420416091897/0001144204-16-091897-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713117001719/0001387131-17-001719-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713118001369/0001387131-18-001369-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713119002262/0001387131-19-002262-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713120003440/0001387131-20-003440-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713121004036/0001387131-21-004036-index.htm,https://www.sec.gov/Archives/edgar/data/1449792/000138713122004473/0001387131-22-004473-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-3500,5115192,2946000,-60000,2990000,5270000,-268000,-5881000,-1063000,-9344000,-5664000,-1439000,-2986000,-2167000
74,Depreciation and Amortization,- -,- -,307077,767000,1086000,1536000,1555000,1601000,3159000,3087000,3059000,3304000,1437000,464000,438000
75,Deferred Income Tax,- -,- -,2000,-216000,-524000,-153000,-1474000,461000,-3121000,-405000,2201000,-329000,1245000,- -,-100000
76,Stock Based Compensation,- -,- -,- -,161000,254000,270000,228000,226000,231000,62000,466000,165000,12000,3000,186000
77,Change in Working Capital,- -,3500,8997482,-6928377,2211000,2639000,6917000,-4083000,-13156000,5887000,-800000,-7140000,15615000,-1705000,10135000
78,Accounts Receivable,- -,- -,104955,1721000,-381000,-2288000,460000,-1322000,-2207000,-3560000,2594000,-1373000,1855000,1158000,115000
79,Inventory,- -,- -,-81624,1502000,-3775000,-1000000,1912000,-1634000,-4840000,-8244000,-2077000,-2118000,-1145000,2139000,127000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7645000,-3000,-3352000,- -
81,Other Working Capital,- -,2500,8961377,2033000,4244000,6883000,13800000,9717000,-3439000,2448000,1648000,-5492000,10123000,8418000,18553000
82,Other Non-Cash Items,- -,- -,-10109791,6579377,-1369000,-4874000,-9471000,2158000,14805000,-17026000,5817000,11817000,-22443000,611000,-10833000
83,Cash Provided by Operating Activities,- -,- -,4311960,3309000,1598000,2408000,3025000,95000,-3963000,-9458000,1399000,2153000,-5573000,-3613000,-2341000
84,CAPEX,- -,- -,-333939,-1680000,-1361000,-2069000,-2693000,-723000,-1052000,-668000,-1450000,-589000,-153000,- -,-237000
85,Acquisitions Net,- -,- -,- -,-832000,-7830000,- -,-1601000,-884000,-2106000,- -,- -,- -,39923000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2436000,- -
88,Other Investing Activites,- -,- -,- -,202000,-300000,-300000,-30000,-206000,-243000,50000,22000,762000,- -,194000,- -
89,Cash Used for Investing Activites,- -,- -,-333939,-2310000,-9491000,-2369000,-4324000,-1813000,-3401000,-618000,-1428000,173000,39770000,2630000,-237000
90,Debt Repayment,- -,- -,-4546495,-1793000,-3786000,-3539000,-6911000,-5316000,-5035000,-30157000,-40993000,-44692000,-42144000,-670000,-864000
91,Common Stock Issued,- -,6000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-2705882,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1047000
94,Other Financing Activites,- -,- -,-237925,-246000,12541000,2496000,8327000,11039000,9554000,40116000,41936000,41280000,15914000,1007000,8563000
95,Cash Used/Provided by Financing Activities,- -,6000,-2490302,-2039000,8755000,-1043000,1416000,5723000,4519000,9959000,943000,-3412000,-26230000,337000,6710000
96,Effect of Forex Changes on Cash,- -,- -,-295158,-4000,20000,73000,-159000,-598000,-339000,-285000,-942000,1079000,36000,- -,- -
97,Net Change In Cash,- -,6000,1192561,-1044000,882000,-931000,-42000,3407000,-3184000,-402000,-28000,-7000,8002000,-646000,4132000
98,Cash at the End of Period,- -,6000,1560229,516000,1398000,467000,425000,3832000,648000,246000,218000,211000,8213000,7567000,11699000
99,Cash at the Beginning of Period,- -,- -,367668,1560000,516000,1398000,467000,425000,3832000,648000,246000,218000,211000,8213000,7567000
100,Free Cash Flow,- -,- -,3978021,1629000,237000,339000,332000,-628000,-5015000,-10126000,-51000,1564000,-5726000,-3613000,-2578000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1449792/000119380511000604/0001193805-11-000604-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000152153612000233/0001521536-12-000233-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420413019007/0001144204-13-019007-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420414015838/v371492_10k.htm,https://www.sec.gov/Archives/edgar/data/1449792/000144979215000011/0001449792-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000114420416091897/0001144204-16-091897-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713117001719/0001387131-17-001719-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713118001369/0001387131-18-001369-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713119002262/0001387131-19-002262-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713120003440/0001387131-20-003440-index.html,https://www.sec.gov/Archives/edgar/data/1449792/000138713121004036/0001387131-21-004036-index.htm,https://www.sec.gov/Archives/edgar/data/1449792/000138713122004473/0001387131-22-004473-index.htm
102,false,,,,,,,,,,,,,,,
