,https://roic.ai/company/ONCY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-574462.0000,-11.6553,-Infinity,-29.1644,-27.2707,-18.5152,-16.3147,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.95,-2.09,2.02,1.80,2.57,3.57,3.17,3.18,-3.71,-3.99,-3.28,-3.04,-3.90,-4.56,-2.66,-2.00,-1.14,-1.24,-1.14,-1.06,-1.50,-0.56,-0.65
26,EPS Diluted,-0.95,-2.09,2.02,1.80,2.57,3.57,3.17,3.18,-3.71,-3.99,-3.28,-3.04,-3.90,-4.56,-2.66,-2.00,-1.14,-1.24,-1.14,-1.06,-1.50,-0.56,-0.65
27,Weighted Average Shares Outstanding,616477,1728778,1946038,2225816,2454143,3005536,3442399,3822908,4221908,4354679,5177424,6576348,7464359,8010731,8792721,9249370,11854071,12618949,13936374,16016366,22137990,40338789,40338789
28,Weighted Average Shares Outstanding Diluted,616477,1828568,1946038,2225816,2454143,3005536,3442399,3822908,4221908,4354679,5177424,6576348,7464359,8010731,8792721,9249370,11854071,12618949,13936374,16016366,22137990,40338789,40338789
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000091228209000336/0000912282-09-000336-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000091228210000338/0000912282-10-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992812000013/0001129928-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992813000016/0001129928-13-000016-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992816000013/0001129928-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992817000003/0001129928-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992818000028/0001129928-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992819000014/0001129928-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992820000012/0001129928-20-000012-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4549177,17619110,14970756,8319245,2641127,12408516,3511357,3491511,6715096,7429895,32448939,39296682,32918751,19323541,25220328,14152825,24016275,12034282,11836119,13699881,14148021,31219574,41262044
32,Short-Term Investments,- -,- -,- -,- -,18111608,21510707,36894810,24122237,18498733,5846634,1679937,3609246,1936787,1969228,2001644,2031685,2060977,2088800,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4549177,17619110,14970756,8319245,20752735,33919223,40406167,27613748,25213829,13276529,34128876,42905928,34855538,21292769,27221972,16184510,26077252,14123082,11836119,13699881,14148021,31219574,41262044
34,Net Receivables,19748,137720,95322,48536,64224,47767,47390,84003,80085,86322,64787,284988,55392,44979,105853,191751,340059,54406,4804826,51650,2068772,89661,866055
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,15291,39339,24188,77158,156837,250365,540368,638540,260300,179668,507408,278934,721576,331094,361743,291553,506669,260841,1176063,700986,2713591,2427200,2775800
37,Total Current Assets,4584216,17796169,15090266,8444939,20973796,34217355,40993925,28336291,25554214,13542519,34701071,43469850,35632506,21668842,27689568,16667814,26923980,14438329,17817008,14452517,18930384,33736435,44903899
38,PP&E,18288,58898,211117,308942,290501,5259286,189863,149596,201103,263926,208320,226911,392111,409248,532459,525376,459818,319955,333441,412736,727481,609132,976292
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2561319,3803336,3771176,4207871,4674878,- -,- -,- -,5026540,180750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,2561319,3803336,3771176,4207871,4674878,- -,- -,- -,5026540,180750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1,5006503,111425,11999,5110538,5079805,- -,- -,- -,735681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2579607,3862234,3982294,9523316,5076804,5271285,5300401,5229401,5227643,444676,892320,962592,392111,409248,532459,525376,459818,319955,333441,412736,727481,609132,976292
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7163823,21658403,19072560,17968255,26050600,39488640,46294326,33565692,30781857,13987195,35593391,44432442,36024617,22078090,28222027,17193190,27383798,14758284,18150449,14865253,19657865,34345567,45880191
48,Accounts Payable,86103,604892,2321063,1260239,884929,949258,1692481,2616421,2821227,- -,- -,- -,- -,7291310,6008661,3373997,2709492,4068664,3684023,1825853,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339846,248885,293672
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545645,927400,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4534111,4226933,2500682,6504238,- -,- -,- -,- -,- -,- -,61322,12529197,2460228,2396166
53,Total Current Liabilities,86103,604892,2321063,1260239,884929,949258,1692481,2616421,2821227,4534111,4226933,2500682,6504238,7291310,6008661,3373997,2709492,4068664,5229668,2814575,12869043,2709113,2689838
54,Long-Term Debt,150000,150000,150000,150000,150000,150000,150000,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166429,153174,361081
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4636935,5802887,6730287,6730287,6730287
56,Deferred Tax Liabilities,- -,988188,647619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-1,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52428,- -,- -,- -
58,Total Non-Current Liabilities,150000,1138188,797619,150000,150000,149999,150000,150000,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,4636935,5855315,6896716,6883461,7091368
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506275,402059,654753
61,Total Liabilities,236103,1743080,3118682,1410239,1034929,1099257,1842481,2766421,2821228,4534111,4226933,2500682,6504238,7291310,6008661,3373997,2709492,4068664,9866603,8669890,19765759,9592574,9781206
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198155091,228612564,237657056,261324692,262321825,271710138,285193061,311077859,356824172,391348183
64,Retained Earnings,-574462,-4187614,-10359075,-16450560,-24994592,-37950712,-50732542,-65030066,-80522257,-102556751,-118788000,-138761772,-171440832,-207814353,-231347000,-249966335,-263689330,-278829309,-294446160,-311483385,-344606273,-367111330,-393415609
65,Other Comprehensive Income/Loss,-1679,-9633,-57432,2702718,5297675,9696769,4429933,4216740,5346260,-385837,-450767,-513843,-117501,-57115,79698,280043,760978,554060,373730,607504,464101,400225,387738
66,Other Total Stockholders Equity,7503861,24112570,26370385,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24503157,24868104,25848429,26277966,26643044,30646138,31878183,32956419,34639926,37778673
67,Total Stockholders Equity,6927720,19915323,15953878,16558015,25015672,38389383,44451846,30799271,27960630,9453084,31366458,41931760,29520379,14786780,22213366,13819193,24674306,10689620,8283846,6195363,-107894,24752993,36098985
68,Total Liabilities And Stockholders Equity,7163823,21658403,19072560,17968254,26050601,39488640,46294327,33565692,30781858,13987195,35593391,44432442,36024617,22078090,28222027,17193190,27383798,14758284,18150449,14865253,19657865,34345567,45880191
69,Minority Interest,- -,- -,- -,1,-1,- -,-1,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7163823,21658403,19072560,17968255,26050600,39488640,46294326,33565692,30781857,13987195,35593391,44432442,36024617,22078090,28222027,17193190,27383798,14758284,18150449,14865253,19657865,34345567,45880191
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000091228209000336/0000912282-09-000336-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000091228210000338/0000912282-10-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992812000013/0001129928-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992813000016/0001129928-13-000016-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992816000013/0001129928-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992817000003/0001129928-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992818000028/0001129928-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992819000014/0001129928-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992820000012/0001129928-20-000012-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-574462,-3613152,-6171461,-6091486,-8544031,-12956120,-12781830,-14297524,-15642191,-17550204,-16231249,-19973772,-29044701,-36373521,-23532647,-18619335,-13722995,-15139979,-15616851,-17037225,-33122888,-22505057,-26304279
74,Depreciation and Amortization,1679,205196,465454,574237,663524,751755,855991,926681,1003141,410254,245680,63156,92590,109275,131623,163501,180411,162233,90768,95375,485574,446187,452065
75,Deferred Income Tax,- -,-126812,-340570,-647617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,64039,424273,3251041,1805503,730751,424384,980325,429537,406078,578703,1415833,1470153,2558974,3825901
77,Change in Working Capital,38432,376769,1773720,-1123551,-486170,-69065,584765,789154,530300,1787279,-613383,-1717978,3790510,1187967,-1374172,-2650372,-1027929,1890653,132297,3889808,-1874485,174069,-907987
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6237,21535,-220201,229596,10413,-60874,-85898,-148308,285653,-4767100,4767100,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,38432,376769,1773720,-1123551,-486170,-69065,131169,-1,-56664,- -,- -,- -,- -,- -,- -,206384,-77535,343212,6182580,547707,78708,- -,-194142
82,Other Non-Cash Items,- -,- -,- -,32717,2888939,3048467,288612,426317,539156,- -,110800,343821,814915,89890,-89721,448926,-893854,203402,-76235,-284029,13135522,-2742614,500291
83,Cash Provided by Operating Activities,-534351,-3157999,-4272857,-7255700,-5477738,-9224963,-11052462,-12155372,-13569594,-15288632,-16063879,-18033732,-22541183,-34255638,-24440533,-19676955,-15034830,-12477613,-14891318,-11920238,-19906124,-22068441,-22434009
84,CAPEX,-19967,-48564,-585513,-1052214,-1096598,-974039,-61309,-35836,-944719,-111577,-9324,-133527,-257790,-126412,-254834,-152750,-108268,-23527,-105765,-107466,-10905,-29305,-285948
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-18111608,-6777179,-22195253,-1035428,-949496,-347901,-1679937,-1929309,- -,-32441,- -,- -,-29292,-27823,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3114000,6656746,13808000,6573000,13000000,5846634,- -,1672459,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-50293,-324259,- -,-147474,3002846,133609,-1025069,-842610,- -,- -,- -,-51681,- -,- -,-32416,-30041,- -,- -,2088800,- -,- -,- -,- -
89,Cash Used for Investing Activites,-70260,-372823,-585513,-1199688,-16205360,-4503609,-16624885,11894126,4678785,12540522,4157373,-2062836,1414669,-158853,-287250,-182791,-137560,-51350,1983035,-107466,-10905,-29305,-285948
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-447497,-460724,-365510
91,Common Stock Issued,3097180,13602110,2210016,34001,700882,8121296,18780190,241400,12114394,3421309,20042570,26759921,- -,19763795,30218796,9044492,23667636,956133,12469264,13174181,17997226,38296146,32911791
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2054998,2998645,- -,1769875,15304099,15374665,- -,- -,- -,41600,17010330,528211,14824658,1084990,179240,- -,- -,- -,343440,124955,3465867,1938382,469396
95,Cash Used/Provided by Financing Activities,5152178,16600755,2210016,1803876,16004981,23495961,18780190,241400,12114394,3462909,37052900,27288132,14824658,20848785,30398036,9044492,23667636,956133,12812704,13299136,21015596,39773804,33015677
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127350,-343821,-76075,-29504,226534,-252249,1368204,-409163,-102584,592330,-650427,-604505,-253250
97,Net Change In Cash,4547567,13069933,-2648354,-6651510,-5678117,9767389,-8897159,-19846,3223585,714799,25019044,6847743,-6377931,-13595210,5896787,-11067503,9863450,-11981993,-198163,1863762,448140,17071553,10042470
98,Cash at the End of Period,4549177,17619110,14970756,8319245,2641127,12408516,3511357,3491511,6715096,7429895,32448939,39296682,32918751,19323541,25220328,14152825,24016275,12034282,11836119,13699881,14148021,31219574,41262044
99,Cash at the Beginning of Period,1610,4549177,17619110,14970755,8319244,2641127,12408516,3511357,3491511,6715096,7429895,32448939,39296682,32918751,19323541,25220328,14152825,24016275,12034282,11836119,13699881,14148021,31219574
100,Free Cash Flow,-554318,-3206563,-4858370,-8307914,-6574336,-10199002,-11113771,-12191208,-14514313,-15400209,-16073203,-18167259,-22798973,-34382050,-24695367,-19829705,-15143098,-12501140,-14997083,-12027704,-19917029,-22097746,-22719957
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000091228209000336/0000912282-09-000336-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000091228210000338/0000912282-10-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992812000013/0001129928-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992813000016/0001129928-13-000016-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1129928/000112992816000013/0001129928-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992817000003/0001129928-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992818000028/0001129928-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992819000014/0001129928-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1129928/000112992820000012/0001129928-20-000012-index.html,- -,- -
102,Forex Rate,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
