,https://roic.ai/company/MGA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296400000,793000000,637600000,- -,632000000,620000000,890000000,1227000000,1528000000,1519000000,1682000000,1885000000,2954000000,2757000000,1334000000,2105000000,1325000000,1522000000,1554000000,1253000000,2863000000,974000000,726000000,684000000,1276000000,3268000000,2948000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470100000,674700000,845200000,- -,1584000000,1684000000,1752000000,2140000000,2615000000,3276000000,3436000000,3629000000,3981000000,2832000000,3112000000,3645000000,4398000000,4774000000,5246000000,5651000000,5439000000,6165000000,6878000000,6605000000,5927000000,6394000000,6307000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308200000,382800000,485600000,- -,672000000,767000000,842000000,918000000,1116000000,1376000000,1388000000,1437000000,1681000000,1647000000,1721000000,1896000000,2045000000,2512000000,2637000000,2757000000,2564000000,2804000000,3379000000,3403000000,3304000000,3444000000,3969000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,17800000,25300000,- -,46000000,66000000,74000000,84000000,112000000,110000000,97000000,109000000,154000000,115000000,136000000,168000000,378000000,327000000,486000000,346000000,278000000,220000000,237000000,1142000000,238000000,260000000,278000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1094700000,1868300000,1993700000,- -,2934000000,3137000000,3558000000,4369000000,5371000000,6281000000,6603000000,7060000000,8770000000,7351000000,6303000000,7814000000,8146000000,9135000000,9923000000,10007000000,11144000000,10163000000,11220000000,11834000000,10745000000,13366000000,13502000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882200000,1098500000,1502600000,- -,3543000000,3589000000,3595000000,4415000000,3300000000,3967000000,4124000000,4114000000,4307000000,3701000000,3811000000,3889000000,4236000000,5273000000,5441000000,5664000000,6005000000,7022000000,8141000000,8095000000,10071000000,10381000000,9993000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000000,295000000,259000000,467000000,505000000,747000000,918000000,1096000000,1237000000,1160000000,1132000000,1188000000,1196000000,1473000000,1440000000,1350000000,1344000000,1923000000,2099000000,1979000000,1976000000,2095000000,2122000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64600000,92100000,216100000,- -,- -,- -,170000000,290000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,187000000,144000000,112000000,621000000,650000000,560000000,484000000,481000000,493000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64600000,92100000,216100000,- -,267000000,295000000,429000000,757000000,505000000,747000000,918000000,1096000000,1237000000,1160000000,1132000000,1188000000,1196000000,1665000000,1627000000,1494000000,1456000000,2544000000,2749000000,2539000000,2460000000,2576000000,2615000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,- -,139000000,- -,- -,- -,- -,238000000,277000000,438000000,385000000,391000000,419000000,399000000,1850000000,2088000000,2189000000,1210000000,947000000,1593000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,96000000,114000000,176000000,179000000,195000000,208000000,255000000,280000000,182000000,168000000,150000000,69000000,90000000,120000000,147000000,271000000,268000000,236000000,300000000,308000000,372000000,421000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180400000,131300000,153600000,- -,361000000,291000000,210000000,311000000,461000000,280000000,468000000,629000000,749000000,795000000,651000000,580000000,594000000,561000000,488000000,408000000,431000000,719000000,959000000,988000000,996000000,963000000,962000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1127200000,1321900000,1872300000,- -,4264000000,4271000000,4348000000,5773000000,4445000000,5328000000,5718000000,6094000000,6573000000,5838000000,6000000000,6084000000,6533000000,7974000000,8067000000,8132000000,8562000000,12403000000,14173000000,14111000000,15045000000,15239000000,15584000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2221900000,3190200000,3866000000,- -,7198000000,7408000000,7906000000,10142000000,9816000000,11609000000,12321000000,13154000000,15343000000,13189000000,12303000000,13898000000,14679000000,17109000000,17990000000,18139000000,19706000000,22566000000,25393000000,25945000000,25790000000,28605000000,29086000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430100000,522900000,775700000,- -,1391000000,1314000000,1451000000,2040000000,2471000000,3006000000,3241000000,3608000000,3492000000,2744000000,3001000000,3586000000,3961000000,4450000000,4781000000,5105000000,4746000000,5430000000,6299000000,6094000000,5628000000,6266000000,6465000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57600000,38500000,32300000,- -,409000000,384000000,362000000,323000000,333000000,220000000,220000000,161000000,463000000,1066000000,64000000,51000000,187000000,320000000,271000000,217000000,236000000,762000000,367000000,1299000000,106000000,129000000,729000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220600000,212000000,338500000,- -,471000000,385000000,448000000,573000000,631000000,835000000,927000000,1014000000,1703000000,1283000000,1234000000,1563000000,1576000000,1914000000,2257000000,2289000000,2294000000,2503000000,2503000000,2911000000,2795000000,3348000000,3207000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,708300000,773400000,1146500000,- -,2271000000,2083000000,2261000000,2936000000,3435000000,4061000000,4388000000,4783000000,5658000000,5093000000,4299000000,5200000000,5724000000,6684000000,7309000000,7611000000,7276000000,8695000000,9169000000,10304000000,8529000000,9743000000,10401000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158600000,515700000,180600000,- -,253000000,268000000,244000000,366000000,308000000,768000000,700000000,605000000,337000000,143000000,115000000,46000000,46000000,112000000,102000000,811000000,2346000000,2394000000,3195000000,3084000000,3062000000,3973000000,4944000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,- -,70000000,- -,- -,- -,- -,19000000,15000000,- -,11000000,7000000,5000000,3000000,12000000,13000000,106000000,74000000,52000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76600000,92100000,87100000,- -,233000000,224000000,276000000,325000000,230000000,288000000,342000000,248000000,252000000,136000000,141000000,131000000,81000000,141000000,200000000,172000000,132000000,293000000,323000000,401000000,419000000,452000000,440000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,293000000,275000000,199000000,292000000,287000000,278000000,326000000,361000000,454000000,454000000,369000000,367000000,626000000,703000000,733000000,867000000,832000000,953000000,961000000,891000000,2575000000,2665000000,1076000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235300000,607800000,267700000,- -,779000000,767000000,719000000,1075000000,825000000,1404000000,1368000000,1214000000,1043000000,733000000,644000000,559000000,753000000,967000000,1042000000,1855000000,3313000000,3652000000,4492000000,4482000000,6130000000,7142000000,6460000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,24000000,19000000,16000000,15000000,16000000,1848000000,1934000000,1680000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,943600000,1381200000,1414200000,- -,3050000000,2850000000,2980000000,4011000000,4260000000,5465000000,5756000000,5997000000,6701000000,5826000000,4943000000,5759000000,6477000000,7651000000,8351000000,9466000000,10589000000,12347000000,13661000000,14786000000,14659000000,16885000000,16861000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000000,277000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1592000000,- -,2470000000,2505000000,3708000000,- -,3613000000,4335000000,- -,4391000000,4230000000,3979000000,3942000000,3796000000,3617000000,3380000000,3198000000,3271000000,3403000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408900000,584100000,944800000,- -,1531000000,1789000000,2220000000,2570000000,2390000000,2935000000,3409000000,3773000000,3526000000,3357000000,2843000000,2725000000,3317000000,4462000000,5011000000,5155000000,6387000000,7318000000,8089000000,8376000000,8596000000,8704000000,9231000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-542100000,-668500000,-725100000,- -,-1293000000,-1591000000,-1815000000,-2254000000,-2628000000,-3374000000,-3830000000,-4446000000,-5523000000,-5380000000,-6218000000,-6548000000,-6633000000,-7525000000,313000000,-558000000,-1470000000,-1451000000,-600000000,-1175000000,-1090000000,- -,-900000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300500000,1780800000,2149800000,- -,3786000000,4004000000,4080000000,5105000000,3299000000,5881000000,4516000000,5325000000,6931000000,9386000000,7122000000,7553000000,11491000000,8101000000,69000000,83000000,107000000,105000000,122000000,120000000,127000000,-605000000,102000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167300000,1696400000,2369500000,- -,4024000000,4202000000,4485000000,5421000000,4930000000,5442000000,6565000000,7157000000,8642000000,7363000000,7360000000,8065000000,8175000000,9429000000,9623000000,8659000000,8966000000,9768000000,11228000000,10701000000,10831000000,11370000000,11836000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2110900000,3077600000,3783700000,- -,7074000000,7052000000,7465000000,9432000000,9190000000,10907000000,12321000000,13154000000,15343000000,13189000000,12303000000,13824000000,14652000000,17080000000,17974000000,18125000000,19555000000,22115000000,24889000000,25487000000,25490000000,28255000000,28697000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,112600000,82300000,- -,124000000,356000000,441000000,710000000,626000000,702000000,- -,- -,- -,- -,- -,74000000,27000000,29000000,16000000,14000000,151000000,451000000,504000000,458000000,300000000,350000000,389000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2221900000,3190200000,3866000000,- -,7198000000,7408000000,7906000000,10142000000,9816000000,11609000000,12321000000,13154000000,15343000000,13189000000,12303000000,13898000000,14679000000,17109000000,17990000000,18139000000,19706000000,22566000000,25393000000,25945000000,25790000000,28605000000,29086000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000110465909021369/0001104659-09-021369-index.html,https://www.sec.gov/Archives/edgar/data/749098/000110465910017713/0001104659-10-017713-index.html,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312512143610/0001193125-12-143610-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312513131919/0001193125-13-131919-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/749098/000119312516521370/0001193125-16-521370-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312517102145/0001193125-17-102145-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312518099856/0001193125-18-099856-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312519092912/0001193125-19-092912-index.html,https://www.sec.gov/Archives/edgar/data/749098/000119312520088979/0001193125-20-088979-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,14300000,77000000,109200000,169000000,232500000,224900000,437800000,137000000,430000000,598000000,580000000,554000000,522000000,692000000,639000000,528000000,663000000,71000000,-493000000,973000000,1018000000,1433000000,1561000000,1882000000,2013000000,2031000000,2206000000,2296000000,1765000000,757000000,1514000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,91500000,80500000,81300000,85900000,108800000,138500000,168400000,126000000,362000000,392000000,425000000,445000000,505000000,598000000,711000000,790000000,872000000,873000000,737000000,661000000,686000000,914000000,1201000000,1038000000,912000000,1191000000,1307000000,1450000000,1450000000,1581000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,9400000,9800000,- -,- -,-1500000,10600000,16400000,12000000,7000000,52000000,39000000,9000000,63000000,79000000,-12000000,-92000000,-123000000,-131000000,56000000,- -,-76000000,-46000000,-100000000,94000000,-7000000,22000000,-3000000,31000000,31000000,17000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-38100000,-10300000,31600000,-18600000,3300000,-163600000,-4200000,-97000000,-79000000,-336000000,6000000,248000000,-82000000,-95000000,158000000,157000000,-94000000,-275000000,-94000000,177000000,-631000000,72000000,-127000000,-245000000,-344000000,81000000,-232000000,-153000000,-153000000,536000000,-189000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161000000,-126000000,-116000000,-215000000,- -,-313000000,- -,- -,- -,- -,-40000000,-611000000,-909000000,-46000000,-584000000,-767000000,-410000000,-446000000,-297000000,-351000000,-351000000,-42000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,16700000,-12000000,- -,- -,-43000000,-36200000,-66700000,-20000000,4000000,-135000000,-104000000,83000000,-37000000,-82000000,-83000000,60000000,-97000000,-124000000,17000000,-178000000,-282000000,-315000000,-141000000,-343000000,-241000000,-159000000,-362000000,-92000000,-92000000,37000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241000000,579000000,475000000,249000000,329000000,677000000,139000000,562000000,494000000,265000000,265000000,274000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,-8000000,-14000000,-53000000,-2000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,16600000,25500000,13400000,5800000,-27100000,5700000,-122000000,6000000,30000000,-51000000,-21000000,204000000,208000000,132000000,202000000,213000000,275000000,516000000,321000000,61000000,213000000,-167000000,32000000,23000000,-242000000,61000000,51000000,94000000,625000000,387000000,1615000000
