,https://roic.ai/company/RBBN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-24373.0000,-1.0872,-3.7554,-1.1156,-0.1755,0.1251,-0.0021,0.0805,-0.1616,-0.1492,-0.0500,-0.0464,-0.0482,-0.1910,-0.0762,-0.0582,-0.1254,-0.0539,-0.1674,-0.1132,-0.3365,0.0020,-0.1394
19,Total Other Income Expenses (Gains),- -,- -,- -,-444342000,-1157000,1525000,3804000,9388000,15405000,19310000,12710000,3993000,1561000,1287000,814000,408000,2611000,1329000,2193000,1537000,-8002000,66567000,91648000,-90347000
20,Income Before Tax,- -,- -,- -,- -,- -,-14834000,25164000,8979000,37896000,-32459000,-34007000,-7391000,-9998000,-11238000,-47728000,-20667000,-14641000,-29888000,-11416000,-53692000,-73410000,-122893000,93317000,-208143000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.1591,0.1474,0.0461,0.1356,-0.1013,-0.1086,-0.0325,-0.0401,-0.0433,-0.1878,-0.0747,-0.0494,-0.1200,-0.0452,-0.1627,-0.1270,-0.2182,0.1106,-0.2463
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,302000,687000,611000,-64958000,-8822000,79557000,-2459000,693000,1465000,2441000,1452000,2214000,2007000,2516000,-18440000,3400000,7182000,4726000,-30958000
23,Net Income,-6914000,-23887000,-50038000,-645432000,-68470000,-15136000,24477000,8368000,102854000,-23637000,-118796000,-4932000,-10691000,-12703000,-50169000,-22119000,-16855000,-31895000,-13932000,-35252000,-76810000,-130075000,88591000,-177185000
24,Net Income ratio,-Infinity,-23887.0000,-0.9665,-3.7265,-1.0945,-0.1624,0.1434,0.0430,0.3680,-0.0738,-0.3794,-0.0217,-0.0429,-0.0489,-0.1974,-0.0799,-0.0569,-0.1281,-0.0552,-0.1068,-0.1329,-0.2310,0.1050,-0.2097
25,EPS,-2.37,-3.07,-2.60,-18.70,-1.80,-0.35,0.50,0.15,2.05,-0.45,-2.20,-0.10,-0.20,-0.25,-0.90,-0.40,-0.34,-0.64,-0.28,-0.60,-0.74,-1.19,0.64,-1.20
26,EPS Diluted,-2.37,-3.07,-2.60,-18.70,-1.80,-0.35,0.50,0.15,2.00,-0.45,-2.20,-0.10,-0.20,-0.25,-0.90,-0.40,-0.34,-0.64,-0.28,-0.60,-0.74,-1.19,0.61,-1.20
27,Weighted Average Shares Outstanding,2914800,8603176,19175400,34476400,37977800,44139200,49166000,49716800,50754200,52584800,54295400,54746000,55094000,55708000,56018000,55685600,50245000,49560000,49385000,58822000,103916000,109734000,138967000,147575000
28,Weighted Average Shares Outstanding Diluted,2914800,8603176,19175400,34476400,37977800,44139200,50763200,50604800,51667600,52584800,54295400,54746000,55094000,55708000,56018000,55685600,50245000,49560000,49385000,58822000,103916000,109734000,144650000,147575000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708055/000162828018002933/0001628280-18-002933-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805519000005/0001708055-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805520000019/0001708055-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805521000014/0001708055-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805522000003/0001708055-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8885000,87108000,49123000,50307000,133715000,121931000,155679000,44206000,118933000,122207000,125323000,62501000,105451000,88004000,72423000,41157000,50111000,31923000,57073000,43694000,44643000,128428000,103915000
32,Short-Term Investments,- -,14681000,54957000,75944000,60860000,171677000,170145000,140569000,256485000,207088000,180786000,239223000,258831000,224090000,161905000,138882000,64443000,58533000,61836000,17224000,7284000,- -,- -,- -
33,Cash and Short-Term Investments,- -,23566000,142065000,125067000,111167000,305392000,292076000,296248000,300691000,326021000,302993000,364546000,321332000,329541000,249909000,211305000,105600000,108644000,93759000,74297000,50978000,44643000,128428000,103915000
34,Net Receivables,- -,- -,14100000,9440000,2956000,23754000,32486000,72321000,70726000,100279000,75788000,47998000,52813000,53126000,68654000,64463000,62943000,51533000,53862000,165156000,187853000,192706000,237738000,282917000
35,Inventory,- -,2210000,20668000,18865000,10776000,13739000,28346000,37831000,22266000,45560000,22553000,21925000,22499000,15434000,25910000,21793000,22114000,17136000,18283000,21303000,22602000,14800000,45750000,54043000
36,Other Current Assets,- -,298000,2893000,2952000,3806000,6935000,10891000,16352000,40331000,74525000,15048000,18070000,16882000,12732000,16087000,15729000,16230000,17828000,12010000,21463000,17002000,27146000,35730000,40115000
37,Total Current Assets,- -,26074000,179726000,156324000,128705000,349820000,363799000,422752000,434014000,546385000,416382000,452539000,413526000,410833000,360560000,313290000,206887000,195141000,177914000,282219000,278435000,279295000,447646000,480990000
38,PP&E,- -,4269000,14273000,23335000,11174000,5009000,8217000,15181000,19051000,18459000,17852000,14646000,21284000,22084000,23767000,19102000,17845000,13620000,11741000,24780000,27042000,65630000,118645000,100832000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,8397000,5025000,5053000,5062000,5062000,33796000,32379000,39263000,40310000,49393000,335716000,383655000,224896000,416892000,300892000
40,Intangible Assets,- -,- -,- -,4536000,1174000,2402000,- -,- -,- -,2607000,568000,341000,1600000,1200000,15237000,10091000,22594000,26087000,30197000,244414000,251391000,213366000,417356000,350730000
41,Intangible Assets,- -,- -,- -,4536000,1174000,2402000,- -,- -,- -,11004000,5593000,5394000,6662000,6262000,49033000,42470000,61857000,66397000,79590000,580130000,635046000,438262000,834248000,651622000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84965000,49598000,87087000,55427000,29698000,34364000,42407000,33605000,32371000,9031000,- -,- -,115183000,43931000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,52613000,49296000,1611000,711000,1271000,1137000,1011000,2121000,1043000,1879000,1542000,8434000,9152000,4959000,10651000,47287000
44,Other Non-Current Assets,- -,439000,836000,689000,480000,1193000,21812000,18624000,83926000,68906000,9182000,17849000,26124000,8972000,7191000,6137000,2596000,2249000,4901000,6289000,7484000,26762000,20892000,23075000
45,Total Non-Current Assets,- -,4708000,15109000,28560000,12828000,8604000,30029000,33805000,155590000,147665000,119203000,88198000,142428000,93882000,110700000,104194000,125748000,117750000,130145000,628664000,678724000,535613000,1099619000,866747000
46,Other Assets,18416000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18416000,30782000,194835000,184884000,141533000,358424000,393828000,456557000,589604000,694050000,535585000,540737000,555954000,504715000,471260000,417484000,332635000,312891000,308059000,910883000,957159000,814908000,1547265000,1347737000
48,Accounts Payable,- -,1412000,13439000,8630000,4142000,3248000,8654000,20408000,17219000,17379000,9200000,5337000,16936000,12754000,10580000,11164000,7497000,5949000,6525000,45851000,45304000,31412000,63387000,97121000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,55000000,10500000,32554000,37461000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,13349000,29235000,62698000,65105000,88199000,60383000,82743000,40962000,74748000,42776000,38565000,37094000,41169000,36967000,38716000,43504000,100571000,105087000,100406000,96824000,109119000
52,Other Current Liabilities,- -,5058000,30690000,37322000,38128000,22912000,18456000,33447000,44215000,81059000,39132000,20045000,30337000,22895000,27558000,37078000,32943000,32784000,27040000,76380000,84263000,64419000,134865000,100752000
53,Total Current Liabilities,- -,6470000,44129000,59301000,71505000,88858000,92215000,142054000,121817000,181181000,89294000,100130000,90049000,74214000,75232000,89411000,77407000,77449000,77069000,242802000,289654000,206737000,327630000,344453000
54,Long-Term Debt,- -,3402000,- -,22698000,13293000,10000000,10613000,485000,- -,- -,- -,- -,- -,- -,2380000,- -,- -,- -,- -,22500000,24100000,45995000,441649000,405413000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37991000,25242000,42811000,11601000,11647000,10528000,8009000,7374000,7188000,14184000,17572000,20482000,26010000,20619000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,25131000,25960000,33853000,35254000,18523000,1865000,1127000,4138000,3599000,5955000,5293000,6869000,5042000,4680000,15976000,35535000,58439000,65123000,50086000
58,Total Non-Current Liabilities,- -,3402000,- -,22698000,13293000,35131000,36573000,34338000,35254000,19283000,39856000,26369000,46949000,15200000,19982000,15821000,14878000,12416000,11868000,52660000,77207000,124916000,532782000,476118000
59,Other Liabilities,25513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44921000,89637000,72599000
61,Total Liabilities,25513000,9872000,44129000,81999000,84798000,123989000,128788000,176392000,157071000,200464000,129150000,126499000,136998000,89414000,95214000,105232000,92285000,89865000,88937000,295462000,366861000,331653000,860412000,820571000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,22000,184000,205000,207000,247000,250000,252000,262000,273000,275000,277000,277000,279000,281000,266000,49000,49000,49000,10000,11000,11000,15000,15000
64,Retained Earnings,- -,-33882000,-83966000,-729398000,-797868000,-808562000,-784085000,-775717000,-728233000,-751920000,-870716000,-878810000,-889501000,-902204000,-952373000,-974492000,-991347000,-1023242000,-1037174000,-1072426000,-1136992000,-1267067000,-1178476000,-1355661000
65,Other Comprehensive Income/Loss,- -,-1806000,-6634000,-21481000,-36650000,-49128000,-51793000,-55446000,-44198000,-55939000,-59953000,-67222000,-66726000,-74324000,-82332000,-88532000,-77732000,-79800000,-83714000,3000000,4000000,3000000,-4942000,7578000
66,Other Total Stockholders Equity,- -,10467000,241122000,853559000,891046000,1091878000,1100668000,1111076000,1204702000,1301172000,1336829000,1359993000,1374906000,1391550000,1410470000,1375010000,1309380000,1326019000,1339961000,1684837000,1723279000,1747311000,1870256000,1875234000
67,Total Stockholders Equity,-7097000,-25199000,150706000,102885000,56735000,234435000,265040000,280165000,432533000,493586000,406435000,414238000,418956000,415301000,376046000,312252000,240350000,223026000,219122000,615421000,590298000,483255000,686853000,527166000
68,Total Liabilities And Stockholders Equity,18416000,-15327000,194835000,184884000,141533000,358424000,393828000,456557000,589604000,694050000,535585000,540737000,555954000,504715000,471260000,417484000,332635000,312891000,308059000,910883000,957159000,814908000,1547265000,1347737000
69,Minority Interest,- -,46109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18416000,30782000,194835000,184884000,141533000,358424000,393828000,456557000,589604000,694050000,535585000,540737000,555954000,504715000,471260000,417484000,332635000,312891000,308059000,910883000,957159000,814908000,1547265000,1347737000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708055/000162828018002933/0001628280-18-002933-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805519000005/0001708055-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805520000019/0001708055-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805521000014/0001708055-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805522000003/0001708055-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-23887000,-50038000,-645432000,-68470000,-15136000,24477000,8368000,102854000,-23637000,-118796000,-4932000,-10691000,-12703000,-50169000,-22119000,-16855000,-31895000,-13932000,-35252000,-76810000,-130075000,88591000,-177185000
74,Depreciation and Amortization,- -,5887000,5112000,122948000,16988000,12132000,8198000,7976000,9508000,13687000,12816000,10336000,11946000,12029000,15664000,16875000,16085000,19068000,15470000,25598000,60923000,61174000,78098000,83588000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-519000,-73100000,-4798000,78094000,449000,406000,66000,785000,-553000,885000,752000,1088000,-20361000,513000,5299000,-4616000,-45596000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22830000,12810000,15285000,7865000,9003000,17873000,23914000,21699000,19768000,25657000,11072000,12601000,13899000,19418000
77,Change in Working Capital,- -,1876000,115993000,-38574000,-39823000,203762000,10622000,9114000,31499000,53007000,-38116000,25321000,-28932000,13142000,-51291000,-61449000,-94399000,-11788000,-16847000,-61428000,-50636000,83777000,47458000,-55288000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10010000,27790000,-4689000,-217000,-8924000,3536000,4771000,11369000,-851000,-30759000,-13017000,-3936000,9578000,-47279000
79,Inventory,- -,- -,-18458000,2284000,1063000,-3290000,-14607000,-11321000,-3943000,-2829000,19333000,-2456000,-9506000,22900000,-7713000,4150000,5414000,-1001000,4858000,5786000,993000,7776000,11842000,-9029000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9167000,-4229000,11539000,-3537000,-4949000,-555000,-3759000,-1257000,-821000,13415000,-6057000,-16282000,-49561000,34482000
81,Other Working Capital,- -,19604000,135597000,97023000,57200000,260962000,271584000,280698000,312197000,365204000,327088000,352409000,323477000,336619000,285328000,223879000,129480000,117692000,100845000,39417000,-11219000,72558000,120016000,6904000
82,Other Non-Cash Items,- -,149000,-85422000,559853000,75434000,-195933000,-32198000,-15717000,-44943000,-6011000,26437000,-10227000,30493000,-26309000,36699000,83480000,100412000,22033000,13645000,73866000,45343000,22909000,-121866000,194245000
83,Cash Provided by Operating Activities,- -,-15975000,-14355000,-1205000,-15871000,4825000,11099000,9222000,25818000,32248000,-16735000,33757000,18507000,-5910000,-39309000,34107000,30042000,19869000,19192000,8080000,-9595000,55685000,101564000,19182000
84,CAPEX,- -,-4151000,-14832000,-23050000,-3008000,-3187000,-9004000,-14229000,-10639000,-11669000,-9709000,-6612000,-19295000,-13173000,-10540000,-6949000,-9541000,-7792000,-4626000,-3999000,-7907000,-10824000,-26721000,-17132000
85,Acquisitions Net,- -,- -,- -,-6125000,- -,- -,- -,- -,- -,-8846000,-4909000,- -,- -,- -,-35508000,- -,-33022000,-10897000,-20669000,-42951000,-46389000,- -,-346852000,2944000
86,Purchases of Investments,- -,-23784000,-72538000,-63403000,-43440000,-130355000,-182044000,-270129000,-470758000,-403906000,-370102000,-268971000,-392343000,-219800000,-159828000,-182491000,-112800000,-54772000,-78528000,-28731000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,22020000,32262000,42416000,58524000,19538000,162547000,302741000,312646000,446923000,378267000,243984000,330374000,282041000,258278000,196980000,179365000,67980000,75178000,96112000,18919000,7295000,- -,- -
88,Other Investing Activites,- -,-436000,-681000,-194000,-96000,-757000,410000,65000,250000,-24659000,25000000,- -,-2000000,-310000,- -,- -,268000,896000,1298000,576000,- -,- -,43500000,- -
89,Cash Used for Investing Activites,- -,-6351000,-55789000,-50356000,11980000,-114761000,-28091000,18448000,-168501000,-2157000,18547000,-31599000,-81264000,48758000,52402000,7540000,24270000,-4585000,-27347000,21007000,-35377000,-3529000,-330073000,-14188000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000,-233000,-221000,-88000,-31944000,-117000,-2464000,-76000,-43000,-13599000,-163152000,-190879000,-144061000,-93079000
91,Common Stock Issued,- -,24539000,153062000,11884000,3002000,189738000,5390000,6781000,41353000,45161000,3755000,1119000,1353000,1513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-65000,-19000,-177000,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59674000,-93224000,-7917000,-9530000,- -,- -,-4536000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3088000,-4630000,1711000,2250000,-3359000,-182000,-87000,-10044000,-1261000,-1073000,-622000,-1409000,-621000,1605000,3257000,10557000,1791000,-297000,9115000,194925000,144138000,463364000,59396000
95,Cash Used/Provided by Financing Activities,- -,27627000,148367000,13576000,5075000,186373000,5208000,6694000,31309000,43900000,2507000,264000,-277000,804000,-30339000,-56534000,-85131000,-6202000,-9870000,-4484000,31773000,-51277000,319303000,-33683000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-616000,-99000,736000,-1045000,694000,212000,-702000,-201000,-694000,-447000,-128000,-163000,547000,-180000,70000,260000,-523000
97,Net Change In Cash,- -,5301000,78223000,-37985000,1184000,76437000,-11784000,33748000,-111473000,74727000,3274000,3116000,-62822000,42950000,-17447000,-15581000,-31266000,8954000,-18188000,25150000,-13379000,949000,91054000,-29212000
98,Cash at the End of Period,- -,8885000,87108000,49123000,50307000,133715000,121931000,155679000,44206000,118933000,122207000,125323000,62501000,105451000,88004000,72423000,41157000,50111000,31923000,57073000,43694000,44643000,135697000,106485000
99,Cash at the Beginning of Period,- -,3584000,8885000,87108000,49123000,57278000,133715000,121931000,155679000,44206000,118933000,122207000,125323000,62501000,105451000,88004000,72423000,41157000,50111000,31923000,57073000,43694000,44643000,135697000
100,Free Cash Flow,- -,-20126000,-29187000,-24255000,-18879000,1638000,2095000,-5007000,15179000,20579000,-26444000,27145000,-788000,-19083000,-49849000,27158000,20501000,12077000,14566000,4081000,-17502000,44861000,74843000,2050000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708055/000162828018002933/0001628280-18-002933-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805519000005/0001708055-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805520000019/0001708055-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805521000014/0001708055-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1708055/000170805522000003/0001708055-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
