,https://roic.ai/company/TAOP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
31,Cash and Cash Equivalents,34999,172316,19755182,9565252,13478633,18166857,14019634,10747998,11083592,11189191,3786846,3752375,3260808,1653260,1519666,882770
32,Short-Term Investments,- -,- -,14966752,5835838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,34999,172316,34721934,15401090,13478633,18166857,14019634,10747998,11083592,11189191,3786846,3752375,3260808,1653260,1519666,882770
34,Net Receivables,- -,1986898,12695781,53589932,87293699,101459820,103612620,97504869,24321678,24281357,3180138,6281271,13611970,22633606,14056385,7702803
35,Inventory,- -,- -,4779930,7107537,10936004,19931866,22317260,16797673,15655723,5418446,2141093,1477783,631610,693677,302938,254678
36,Other Current Assets,- -,- -,1791440,8601570,14503272,19486466,29711584,18733842,30150768,44123626,24780971,4133758,4014297,3897157,3152847,3589483
37,Total Current Assets,34999,2159214,53989085,84700129,126211608,159045009,169661098,143784382,81211761,85012620,33889048,15645187,21518685,28877700,19031836,12429734
38,PP&E,19996,49826,13826896,23555603,53586514,79348883,91161093,79391683,44753469,12803185,8372961,8674850,11830698,11599416,11835516,10851899
39,Goodwill,- -,- -,7154395,24018894,50609866,51918275,53983687,27622490,27719869,24133230,4753454,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,4894397,13115151,15463752,15654468,16337075,14416976,14307939,15459340,2530103,1556306,808707,59921,1496,4302000
41,Intangible Assets,- -,- -,12048792,37134045,66073618,67572743,70320762,42039466,42027808,39592570,7283557,1556306,808707,59921,1496,4302000
42,Investments,- -,- -,- -,- -,2862016,3296252,2401561,2580096,2661385,2648378,- -,43205,46094,- -,- -,30592
43,Tax Assets,1442,- -,- -,- -,668730,538460,683042,540384,347264,4278748,460237,100435,108927,- -,- -,- -
44,Other Non-Current Assets,- -,- -,8989022,3078405,1426452,29600377,27564586,19085878,18237303,35070308,16085901,8267016,3326319,1078777,9746698,3162426
45,Total Non-Current Assets,21438,49826,34864710,63768053,124617330,180356715,192131044,143637507,108027229,94393189,32202656,18641812,16120745,12738114,21583710,18346917
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56437,2209040,88853795,148468182,250828938,339401724,361792142,287421889,189238990,179405809,66091704,34286999,37639430,41615814,40615546,30776651
48,Accounts Payable,2556,- -,3079304,10707728,32817346,37785809,19013509,20289783,17857866,20810765,6943248,5993211,6844440,11766898,12651972,14927021
49,Short-Term Debt,5113,- -,- -,6327992,15927780,35326566,40983457,50813046,58948331,62684843,15272986,7799852,7817610,6082574,7501175,7391084
50,Tax Payable,- -,- -,- -,- -,3290245,3809708,3525949,3660926,3720807,3750088,4285977,3514283,4320975,3560779,3997690,4089013
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6403966,3754442,4623283,2754644,2651156,1668049,2473288,355204,562638,476987
52,Other Current Liabilities,5360,564391,1707892,8427335,27077877,27109896,41363696,47200359,46561688,54068916,10671386,5923204,5877673,5807211,5291376,7005359
53,Total Current Liabilities,13029,564391,4787196,25463055,75823003,100222271,107764628,122057630,127991168,140319168,35538776,21384316,23013011,24011887,26007161,29800451
54,Long-Term Debt,9034,- -,- -,- -,1907100,5863205,109524,74175,312547,214630,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,2564604,1824434,1365680,1263423,742696,280137,86332,100435,108927,- -,- -,- -
57,Other Non-Current Liabilities,1,- -,- -,- -,2635397,5916120,12624,12728,13129,13065,12359,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,9035,- -,- -,- -,7107101,13603759,1487828,1350326,1068372,507832,98691,100435,108927,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,22064,564391,4787196,25463055,82930104,113826030,109252456,123407956,129059540,140827000,35637467,21484751,23121938,24011887,26007161,29800451
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,550,50000,190891,209121,233548,255115,286326,286326,2484076,1760271,776546,426744,123950544,126146996,126257156,131247787
64,Retained Earnings,-30687,1435184,13170549,33748480,60462275,90240665,95600619,5804023,-113513766,-142910476,-154979095,-173149696,-172395246,-170935437,-174517769,-192212544
65,Other Comprehensive Income/Loss,- -,159465,3223352,11012840,5016575,11325040,19925259,36343651,39699595,39511403,38363802,37806452,38013861,37262428,37067114,37656682
66,Other Total Stockholders Equity,64510,- -,57421150,64127339,86828965,105251867,115054326,100250216,110853869,122572049,136883267,138624663,15814328,15782904,16461333,15643404
67,Total Stockholders Equity,34373,1644649,74005942,109097780,152541363,207072687,230866530,142684216,39523774,20933247,21044520,3708163,5383487,8256891,5267834,-7664671
68,Total Liabilities And Stockholders Equity,56437,2209040,78793138,134560835,235471467,320898717,340118986,266092172,168583314,161760247,56681987,25192914,28505425,32268778,31274995,22135780
69,Minority Interest,- -,- -,10060657,13907347,15357471,18503007,21673156,21329717,20655676,17645562,9409717,9094085,9134005,9347036,9340551,8640871
70,Total Liabilities & Equity,56437,2209040,88853795,148468182,250828938,339401724,361792142,287421889,189238990,179405809,66091704,34286999,37639430,41615814,40615546,30776651
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,37761,1594649,13331452,23786976,30094569,34402004,7909398,-89630508,-119236823,-29231347,-7504262,-18170601,858605,1691983,-3582332,-17694775
74,Depreciation and Amortization,10432,1131,1443515,4345833,5855564,9509568,12611639,13825153,10601420,4766987,2541494,2581756,2856906,3674537,2900951,3479644
75,Deferred Income Tax,8505,- -,- -,- -,-1268670,110200,-1694374,306838,1501645,-4818786,3761084,365401,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1453110,3130000,- -,- -,6900000,201782,200765,273102,583720,628417,580642,743840
77,Change in Working Capital,2556,-1257020,-13935667,-25187900,-26836672,-26594699,-12112052,-4521351,-9349466,-9127990,-15250029,2079938,-565395,-4530012,-5422068,-2325366
78,Accounts Receivable,- -,- -,- -,- -,-24850334,-27889936,-4538402,-7460031,510419,-7594307,2914918,-913486,-6839165,-10293342,-4338484,-3325636
79,Inventory,- -,- -,-1399838,-472829,-1219083,-8943882,-6171310,3579538,773293,5669661,1546570,-590274,652921,-320267,207233,59002
80,Accounts Payable,- -,- -,- -,- -,11068019,3761608,7101150,7175522,-11124374,103734,-24134831,-1811119,-239628,4032186,-503267,1025912
81,Other Working Capital,- -,- -,- -,- -,- -,-2044930,-7742989,-4275718,3313319,-3192383,10077246,-152357,668229,-1019777,-656906,-116268
82,Other Non-Cash Items,1,- -,767891,1603068,2179882,6392464,9626716,70752358,98205684,25579829,-9663653,10049351,806413,1008877,3840703,14013818
83,Cash Provided by Operating Activities,59255,338760,1607191,4547977,11477783,26949537,16341327,-9267510,-11377540,-12629525,-25914601,-2821053,4540249,2473802,-1682104,-1782839
84,CAPEX,- -,-50957,-6452450,-9415598,-19513606,-59830147,-18626690,-5499766,-4513894,-3589492,-3071079,-3463915,-3783064,-1797510,-1619325,-1668363
85,Acquisitions Net,- -,- -,-25960250,-13510732,-1093306,- -,- -,-158600,-378144,-6652086,-1488969,12267199,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-5655605,- -,- -,- -,-158600,-378144,-767624,- -,-45179,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,14966752,5864400,- -,- -,- -,- -,- -,- -,12312378,- -,- -,- -,- -
88,Other Investing Activites,- -,-447791,447791,-7429904,-2562988,-32494713,-1850595,-1903449,-430743,14602092,46578095,-11967901,7845,-2269429,1771180,-65280
89,Cash Used for Investing Activites,- -,-498748,-31964909,-21045087,-14664274,-62355594,-18626690,-5560549,-3228301,6320709,42084917,9102582,-3775219,-4066939,151855,-1733643
90,Debt Repayment,- -,- -,- -,- -,-12827823,-39451721,-89069604,-89535518,-101424273,-70831230,-80050315,-17315757,-9366326,-8178074,-7231612,-7052014
91,Common Stock Issued,50,- -,- -,- -,- -,9383440,- -,- -,9000000,3683028,12786353,- -,- -,1500000,- -,1151738
92,Common Stock Repurchased,- -,- -,- -,- -,-11468,- -,-684046,-315577,-3000000,-1290000,-1310184,-379710,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-542806,- -,- -,- -,- -,- -
94,Other Financing Activites,-33398,332304,49535182,5228098,19952949,68632625,87584316,101327260,110142578,74833590,44980166,10541720,8880840,6854860,8817959,8973224
95,Cash Used/Provided by Financing Activities,-33348,332304,49535182,5228098,7113658,38564344,-2169334,11476165,14718305,6395388,-24136786,-7153747,-485486,176786,1586347,3072948
96,Effect of Forex Changes on Cash,- -,- -,405402,1079082,-13786,1529937,307474,80258,223130,19027,564125,837747,-771111,-191197,-189692,20782
97,Net Change In Cash,25907,332304,19582866,-10189930,3913381,4688224,-4147223,-3271636,335594,105599,-7402345,-34471,-491567,-1607548,-133594,-422752
98,Cash at the End of Period,34999,172316,19755182,9565252,13478633,18166857,14019634,10747998,11083592,11189191,3786846,3752375,3260808,1653260,1519666,1096914
99,Cash at the Beginning of Period,9092,- -,172316,19755182,9565252,13478633,18166857,14019634,10747998,11083592,11189191,3786846,3752375,3260808,1653260,1519666
100,Free Cash Flow,59255,287803,-4845259,-4867621,-8035823,-32880610,-2285363,-14767276,-15891434,-16219017,-28985680,-6284968,757185,676292,-3301429,-3451202
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,
