,https://roic.ai/company/GLRE,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18476000,- -,- -,2505000,6263000,6280000,6263000
14,Depreciation and Amortization,- -,2000,20000,40000,40000,117000,225000,232000,250000,325000,436000,405000,390000,368000,260000,21000,21000,- -
15,EBITDA,6775000,26267000,57019000,40000,-120864000,211876000,225000,7248000,14934000,226562000,109404000,-309299000,45780000,-45035000,-346957000,2781000,10591000,27587000
16,EBITDA ratio,0.6674,0.8978,0.6619,Infinity,10.8136,0.5056,0.0040,0.0180,0.0274,0.2961,-2.2267,16.0708,-1.8653,2.2673,30.9203,3.9729,0.0223,0.5501
17,Operating Income,- -,- -,56999000,- -,-24933000,211808000,- -,8813000,18535000,233006000,105323000,-314184000,42640000,-38745000,-369664000,-8521000,- -,21324000
18,Operating Income ratio,- -,- -,0.6616,- -,2.2307,0.5054,- -,0.0219,0.0340,0.3045,-2.1436,16.3246,-1.7374,1.9506,32.9439,-12.1729,- -,0.4252
19,Total Other Income Expenses (Gains),- -,27934000,- -,- -,- -,-2312000,- -,- -,- -,- -,7328000,-19504000,4569000,-6080000,15667000,5018000,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,209496000,- -,8813000,18535000,233006000,112651000,-333688000,47209000,-44825000,-353997000,-3503000,4290000,21324000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.4999,- -,0.0219,0.0340,0.3045,-2.2928,17.3380,-1.9235,2.2567,31.5477,-5.0043,0.0090,0.4252
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-49000,- -,247000,86000,538000,-624000,-1755000,509000,-451000,332000,483000,424000,3746000
23,Net Income,6775000,26265000,56999000,- -,-120904000,211808000,- -,6769000,14598000,225699000,109592000,-326425000,44881000,-44952000,-350054000,-3986000,3866000,17578000
24,Net Income ratio,0.6674,0.8977,0.6616,- -,10.8172,0.5054,- -,0.0168,0.0268,0.2950,-2.2305,16.9607,-1.8287,2.2631,31.1963,-5.6943,0.0081,0.3505
25,EPS,0.32,1.24,2.67,1.17,-3.36,5.78,2.49,0.19,0.40,6.13,2.94,-8.90,1.20,-1.21,-9.74,-0.11,0.11,0.51
26,EPS Diluted,0.32,1.24,2.66,1.15,-3.36,5.71,2.44,0.18,0.39,6.01,2.89,-8.90,1.20,-1.21,-9.74,-0.11,0.11,0.51
27,Weighted Average Shares Outstanding,21225000,21226868,21366140,30311639,35970479,36230501,36420719,36548466,36702128,36838128,37242687,36670466,37267145,37002260,35951659,36079419,36172216,34204364
28,Weighted Average Shares Outstanding Diluted,21234350,21265801,21457443,30813243,35970479,36723552,37224173,37286454,37361338,37585167,37874387,36670466,37340018,37002260,35951659,36079419,36278028,34351016
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000095013608001391/0000950136-08-001391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000138561311000006/0001385613-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561312000009/0001385613-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561313000005/0001385613-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561314000017/0001385613-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561315000012/0001385613-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561316000118/0001385613-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561317000007/0001385613-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561318000013/0001385613-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561319000016/0001385613-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561320000012/0001385613-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561321000016/0001385613-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561322000026/0001385613-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,82704000,64192000,94144000,31717000,45540000,42284000,21890000,3722000,12030000,112162000,39858000,27285000,18215000,25813000,8935000,76307000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183591000
33,Cash and Short-Term Investments,- -,- -,82704000,64192000,94144000,31717000,45540000,42284000,21890000,3722000,12030000,112162000,39858000,27285000,18215000,25813000,8935000,259898000
34,Net Receivables,- -,- -,20076000,44078000,80992000,118125000,54882000,70868000,249746000,304266000,211445000,229669000,331945000,372611000,370817000,278117000,353184000,405365000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-44078000,- -,- -,-54882000,-70868000,-249746000,-304266000,-211445000,-229669000,-331945000,-372611000,-370817000,-278117000,- -,- -
37,Total Current Assets,- -,- -,- -,64192000,- -,- -,45540000,42284000,21890000,3722000,12030000,112162000,39858000,27285000,18215000,25813000,- -,665263000
38,PP&E,- -,- -,- -,- -,- -,- -,1236000,1464000,1214000,1929000,1493000,1088000,698000,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,238799000,571960000,479543000,689039000,855531000,901461000,1044478000,1286468000,1315387000,945081000,866474000,1210852000,36908000,- -,- -,47384000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,350696000,457913000,393429000,233838000,564881000,701392000,727775000,1069533000,1052738000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1253621000,1503605000,1681826000,1550718000,1511050000,1568564000,1938627000,1106441000,1052738000,- -,- -
46,Other Assets,- -,327935000,518608000,1029953000,958005000,1624216000,2292462000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357650000,762231000
47,Total Assets,- -,327935000,518608000,1094145000,958005000,1624216000,2338002000,1295905000,1525495000,1685548000,1562748000,1623212000,1608422000,1965912000,1124656000,1078551000,1357650000,1427494000
48,Accounts Payable,- -,- -,- -,19140000,34963000,32013000,295817000,266683000,381417000,372348000,296034000,443024000,363482000,838980000,139218000,122665000,92247000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98057000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534107000,- -,- -,- -,727755000,661831000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1830141000,- -,- -,- -,866973000,784496000,- -,98057000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91185000,93514000,95794000,98057000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,1760000,1300000,1700000,- -,- -,- -,755717000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,1760000,1300000,1700000,91185000,93514000,95794000,853774000
59,Other Liabilities,- -,96113000,206441000,488563000,466565000,894978000,1498841000,1497790000,1862343000,2009022000,- -,1865509000,1774306000,2514836000,- -,- -,988587000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,96113000,206441000,488563000,466565000,894978000,1498841000,1497790000,1862343000,2008972000,1801251000,1863749000,1773006000,2513136000,957673000,878010000,892793000,951831000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2123000,2156000,3610000,3604000,3632000,3646000,36544000,3670000,3705000,3738000,3703000,3737000,3736000,3638000,3699000,3452000,- -
64,Retained Earnings,- -,33040000,90039000,125111000,4207000,213560000,304202000,310971000,325569000,551268000,660860000,325287000,370168000,324272000,-26077000,-30063000,-27083000,-9505000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,196659000,219972000,476861000,477571000,481449000,485555000,455588000,492469000,496622000,500553000,496401000,500337000,503316000,499726000,503547000,488488000,485168000
67,Total Stockholders Equity,- -,231822000,312167000,605582000,485382000,698641000,793403000,803103000,821708000,1051595000,1165151000,825391000,874242000,831324000,477287000,477183000,464857000,475663000
68,Total Liabilities And Stockholders Equity,- -,327935000,518608000,1094145000,951947000,1593619000,2292244000,2300893000,2684051000,3060567000,2966402000,2689140000,2647248000,3344460000,1434960000,1355193000,1357650000,1427494000
69,Minority Interest,- -,- -,- -,- -,6058000,30597000,45758000,-1004988000,-1158556000,-1375019000,-1403654000,-1065928000,-1038826000,-1378548000,-310304000,-276642000,- -,- -
70,Total Liabilities & Equity,- -,327935000,518608000,1094145000,958005000,1624216000,2338002000,1295905000,1525495000,1685548000,1562748000,1623212000,1608422000,1965912000,1124656000,1078551000,1357650000,1427494000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000095013608001391/0000950136-08-001391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000138561311000006/0001385613-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561312000009/0001385613-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561313000005/0001385613-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561314000017/0001385613-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561315000012/0001385613-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561316000118/0001385613-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561317000007/0001385613-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561318000013/0001385613-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561319000016/0001385613-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561320000012/0001385613-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561321000016/0001385613-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561322000026/0001385613-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,26265000,56999000,- -,-120904000,211808000,- -,6769000,14598000,225699000,109592000,-326425000,44881000,-44952000,-350054000,-3986000,3866000,17578000
74,Depreciation and Amortization,- -,2000,20000,40000,40000,117000,225000,232000,250000,325000,436000,405000,390000,368000,260000,21000,21000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,2884000,3000000,3410000,4088000,2923000,3689000,3675000,3964000,4274000,3970000,4853000,4624000,3882000,2475000,- -
77,Change in Working Capital,- -,3784000,- -,64192000,-64192000,- -,45540000,-3256000,-20394000,-18168000,-1821833000,1930273000,-72304000,-12573000,-876043000,90075000,758683000,567206000
78,Accounts Receivable,- -,-3610000,-91213000,- -,- -,- -,-26819000,-31711000,-36636000,23503000,21461000,-84029000,-30522000,-109391000,-12735000,86041000,-89304000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,5502000,73802000,- -,- -,- -,-14137000,18215000,3100000,3497000,1583000,7524000,23089000,102643000,-4840000,-16553000,-30418000,- -
81,Other Working Capital,- -,- -,- -,64192000,- -,- -,45540000,42284000,21890000,3722000,-1818111000,112162000,39858000,27285000,-848758000,-758683000,- -,567206000
82,Other Non-Cash Items,- -,-61782000,-2332000,-340834000,228437000,-165332000,-11393000,-33096000,-48735000,-304228000,1574109000,-1668472000,-12724000,146723000,1161905000,-88361000,-856368000,-584784000
83,Cash Provided by Operating Activities,- -,-31731000,54687000,-273718000,46381000,50003000,38460000,-26428000,-50592000,-92697000,-133732000,-59945000,-35787000,94419000,-59308000,1631000,-91323000,- -
84,CAPEX,- -,-40000,-200000,- -,- -,-1478000,- -,-460000,- -,-1040000,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-7744000,-10762000,-9502000,- -,-7756000,2079000,-13650000,-1278000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1570683000,-1239953000,-1067595000,-1677795000,-901173000,-995189000,-1617158000,-1278734000,-1371251000,-1145263000,-800468000,-50136000,-82588000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1404904000,1469658000,1137240000,1709445000,942761000,1023638000,1835947000,1395164000,1490544000,1119454000,1143605000,114077000,158347000,- -
88,Other Investing Activites,- -,- -,38000,- -,151646000,-340961000,-94314000,-8026000,-3964000,57369000,-67247000,61256000,-141972000,-82804000,-1174750000,671000,19867000,- -
89,Cash Used for Investing Activites,- -,-40000,-162000,- -,-14133000,-112734000,-24669000,23164000,29880000,74016000,142040000,177686000,-30435000,-106534000,-845263000,63334000,95626000,- -
90,Debt Repayment,- -,8325000,16691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,4270000,255706000,17000,28000,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2334000,- -,- -,- -,- -,- -,- -,-17692000,- -,-2819000,-16503000,- -,-17781000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-500000,21000,276000,32000,- -,318000,513000,- -,83000,- -,- -,96576000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,8325000,20961000,255206000,-2296000,304000,32000,8000,318000,513000,- -,-17609000,- -,-2819000,80073000,- -,-17781000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6082000,2361000,-3369000,-290000,-122000,- -
97,Net Change In Cash,- -,-23446000,75486000,-18512000,29952000,-62427000,13823000,-3256000,-20394000,-18168000,8308000,100132000,-72304000,-12573000,-827867000,64675000,-13600000,- -
98,Cash at the End of Period,- -,7218000,82704000,64192000,94144000,31717000,45540000,42284000,21890000,3722000,12030000,112162000,39858000,27285000,703231000,767906000,754306000,- -
99,Cash at the Beginning of Period,- -,30664000,7218000,82704000,64192000,94144000,31717000,45540000,42284000,21890000,3722000,12030000,112162000,39858000,1531098000,703231000,767906000,754306000
100,Free Cash Flow,- -,-31771000,54487000,-273718000,46381000,48525000,38460000,-26888000,-50592000,-93737000,-133732000,-59945000,-35787000,94419000,-59308000,1631000,-91323000,- -
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000095013608001391/0000950136-08-001391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1385613/000138561311000006/0001385613-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561312000009/0001385613-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561313000005/0001385613-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561314000017/0001385613-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561315000012/0001385613-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561316000118/0001385613-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561317000007/0001385613-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561318000013/0001385613-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561319000016/0001385613-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561320000012/0001385613-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561321000016/0001385613-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1385613/000138561322000026/0001385613-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,
