,https://roic.ai/company/TRI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,477301063,553958409,667016439,644033852,695030068,842112282,920000000,830000000,873000000,906000000,931000000,681000000,724000000,1314000000,1547000000,1590000000,1505000000,2975000000,3697000000,2904000000,3508000000,3138000000,3025000000,992000000,679000000,1796000000,5106000000
11,COGS and Expenses,6439383938,6940605618,5022000000,5426000000,5076000000,5764000000,6401000000,6532000000,6393000000,6810000000,7262000000,5383000000,5999000000,10014000000,11842000000,11713000000,14512000000,10627000000,11221000000,10109000000,9731000000,9776000000,4289000000,4743000000,4726000000,4065000000,5106000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,28000000,19000000,8000000,4000000,3000000,2000000,7000000,8000000,38000000,44000000,6000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,291000000,252000000,235000000,223000,221000,12000,224000000,410000000,383000000,396000000,390000000,460000000,442000000,416000000,-287000000,362000000,260000000,163000000,201000000,196000000
14,Depreciation and Amortization,477301063,553958409,667016439,644033852,695030068,842112282,1024000000,876000000,911000000,939000000,931000000,681000000,724000000,1242000000,1556000000,1574000000,1709000000,1748000000,1830000000,1822000000,1680000000,1552000000,1463000000,619000000,717000000,792000000,770000000
15,EBITDA,1362889622,1227873039,1321016439,2599033852,1360030068,2078112282,1968000000,1974000000,2186000000,2452000000,2152223000,1920221000,4883012000,3222000000,2511000000,3005000000,1008000000,4365000000,3275000000,4235000000,3385000000,4348000000,3291000000,4921000000,2443000000,2186000000,8262000000
16,EBITDA ratio,0.1885,0.1590,0.2259,0.4146,0.2364,0.3190,0.2719,0.2545,0.2874,0.3028,0.2473,0.2891,0.6693,0.2752,0.1932,0.2299,0.0730,0.3287,0.2578,0.3359,0.3007,0.3894,0.6213,0.8946,0.4136,0.3653,1.3015
17,Operating Income,790612395,781977381,959076600,912009820,805073616,790772103,1786000000,1224000000,1191000000,1341000000,1464000000,1258000000,1297000000,1693000000,1575000000,1419000000,-705000000,2651000000,1516000000,2545000000,1734000000,1390000000,1755000000,780000000,1199000000,1929000000,1242000000
18,Operating Income ratio,0.1094,0.1013,0.1640,0.1455,0.1400,0.1214,0.2468,0.1578,0.1566,0.1656,0.1682,0.1894,0.1778,0.1446,0.1212,0.1086,-0.0511,0.1997,0.1194,0.2019,0.1540,0.1245,0.3313,0.1418,0.2030,0.3224,0.1957
19,Total Other Income Expenses (Gains),94976164,-108062751,-456076600,-301009820,-263073616,-206772103,-884000000,-325000000,-178000000,-211000000,-251000000,-220000000,-46000000,80000000,-1030000000,-347000000,-398000000,-373000000,-513000000,-527000000,-583000000,-353000000,-1248000000,-247000000,-228000000,-165000000,-188000000
20,Income Before Tax,885588559,673914630,503000000,611000000,542000000,584000000,902000000,899000000,1013000000,1130000000,1213000000,1038000000,1251000000,1773000000,545000000,1072000000,-1103000000,2278000000,1003000000,2018000000,1151000000,1037000000,507000000,533000000,971000000,1764000000,1054000000
21,Income Before Tax Ratio,0.1225,0.0873,0.0860,0.0975,0.0942,0.0897,0.1246,0.1159,0.1332,0.1395,0.1394,0.1563,0.1715,0.1514,0.0419,0.0820,-0.0799,0.1716,0.0790,0.1601,0.1022,0.0929,0.0957,0.0969,0.1644,0.2948,0.1660
22,Income Tax expense (Gain),86028603,92958774,75000000,109000000,105000000,-15000000,168000000,192000000,156000000,267000000,287000000,119000000,155000000,351000000,-299000000,139000000,293000000,157000000,848000000,62000000,34000000,-15000000,71000000,109000000,-1000000,71000000,1607000000
23,Net Income,799559956,580955856,579000000,1846000000,560000000,1251000000,776000000,615000000,867000000,1011000000,934000000,1120000000,4004000000,1405000000,844000000,909000000,-1390000000,2070000000,137000000,1909000000,1255000000,3098000000,1395000000,3933000000,1564000000,1122000000,5689000000
24,Net Income ratio,0.1106,0.0752,0.0990,0.2945,0.0974,0.1920,0.1072,0.0793,0.1140,0.1248,0.1073,0.1686,0.5488,0.1200,0.0649,0.0695,-0.1007,0.1559,0.0108,0.1514,0.1115,0.2774,0.2634,0.7150,0.2648,0.1875,0.8962
25,EPS,1.48,1.04,1.00,3.27,0.95,2.16,1.31,1.02,1.48,1.70,1.56,1.91,6.87,2.00,1.11,1.20,-1.84,2.75,0.18,2.60,1.76,4.56,2.14,5.91,3.12,2.25,11.45
26,EPS Diluted,1.48,1.04,1.00,3.27,0.95,2.16,1.31,1.02,1.48,1.70,1.56,1.91,6.83,1.99,1.11,1.19,-1.84,2.74,0.18,2.59,1.76,4.55,2.14,5.91,3.11,2.25,11.42
27,Weighted Average Shares Outstanding,534124704,544599703,549069311,547216922,461334119,566432191,571442941,581836989,581327015,594261818,594610563,585149422,581696186,699843467,753556007,755652165,756697836,751414717,751955401,733489747,709318063,678499529,652571015,667586385,500829753,496722292,496722292
28,Weighted Average Shares Outstanding Diluted,534124704,544599703,549069311,553913353,556733411,566432191,571442941,581836989,592862477,595411288,594610563,585149422,585449065,703785038,756228348,759410607,756697836,753197271,754450988,736243435,711919243,679982140,653863683,668210717,502521200,498032006,498032006
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1075124/000104746903010365/a2106712zex-99_2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746904007349/a2130643zex-2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746905005195/a2152731zex-3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012306002433/y17925exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012307003038/y30999exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746908002429/a2183444zex-99_3.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,709000000,683000000,405000000,407000,334000,7497000,841000000,826000000,706000000,397000000,950000000,1125000000,794000000,957000000,1738000000,863000000,2699000000,825000000,1787000000,778000000
32,Short-Term Investments,- -,- -,566000000,307000000,329000000,337000000,532000000,709000000,683000000,405000000,407000000,334000000,7497000000,841000000,297000000,178000000,98000000,391000000,295000000,180000000,185000000,818000000,109000000,83000000,533000000,612000000,108000000
33,Cash and Short-Term Investments,- -,- -,566000000,307000000,329000000,337000000,532000000,1418000000,1366000000,810000000,407407000,334334000,7504497000,1682000000,1123000000,884000000,495000000,1341000000,1420000000,974000000,1142000000,2556000000,972000000,2782000000,1358000000,2399000000,886000000
34,Net Receivables,- -,- -,1256000000,1276000000,1243000000,1522000000,1662000000,1534000000,1521000000,1648000000,1699000000,1369000000,1565000000,1780000000,1742000000,1809000000,1984000000,1835000000,1751000000,1810000000,1805000000,1465000000,1510000000,1382000000,1239000000,1216000000,1057000000
35,Inventory,- -,- -,266000000,239000000,232000000,232000000,256000000,287000000,310000000,312000000,322000000,73000000,- -,- -,79000000,86000000,66000000,55000000,46000000,46000000,33000000,32000000,31000000,33000000,23000000,26000000,- -
36,Other Current Assets,- -,- -,592000000,270000000,396000000,437000000,313000000,-220000000,-153000000,122000000,580593000,1488666000,608503000,211000000,719000000,880000000,1369000000,920000000,683000000,816000000,577000000,581000000,464000000,324000000,451000000,334000000,510000000
37,Total Current Assets,- -,- -,2680000000,2092000000,2200000000,2528000000,2763000000,3019000000,3044000000,2892000000,3009000000,3265000000,9678000000,3673000000,3663000000,3659000000,3914000000,4151000000,3900000000,3646000000,3557000000,4634000000,2977000000,4521000000,3071000000,3975000000,2453000000
38,PP&E,- -,- -,1434000000,1466000000,1103000000,1379000000,1552000000,1548000000,1539000000,1624000000,781000000,625000000,731000000,1555000000,1546000000,1567000000,1509000000,1423000000,1291000000,1182000000,1067000000,961000000,921000000,473000000,615000000,545000000,502000000
39,Goodwill,- -,- -,2735000000,3044000000,2938000000,6171000000,7903000000,8076000000,8155000000,9119000000,9019000000,6552000000,6935000000,19348000000,18130000000,18892000000,15932000000,16256000000,16871000000,16403000000,15878000000,14485000000,15042000000,5076000000,5853000000,5976000000,5940000000
40,Intangible Assets,- -,- -,4923000000,5164000000,4403000000,4659000000,4921000000,4713000000,4467000000,4721000000,5231000000,4108000000,4159000000,9894000000,10189000000,10327000000,10111000000,9817000000,9512000000,8653000000,7903000000,7049000000,6773000000,4232000000,4418000000,4257000000,4153000000
41,Intangible Assets,- -,- -,7658000000,8208000000,7341000000,10830000000,12824000000,12789000000,12622000000,13840000000,14250000000,10660000000,11094000000,29242000000,28319000000,29219000000,26043000000,26073000000,26383000000,25056000000,23781000000,21534000000,21815000000,9308000000,10271000000,10233000000,10093000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000000,- -,- -,564000000,389000000,301000000,289000000,298000000,250000000,2260000000,1625000000,1334000000,6736000000
43,Tax Assets,- -,- -,524000000,520000000,487000000,1284000000,1439000000,1768000000,1638000000,1570000000,1560000000,998000000,974000000,2674000000,1785000000,1684000000,1422000000,1305000000,1917000000,1433000000,1265000000,1158000000,708000000,780000000,576000000,1204000000,1139000000
44,Other Non-Current Assets,- -,- -,1037000000,161000000,1427000000,-322000000,-176000000,-582000000,-163000000,-283000000,-164000000,4584000000,354000000,-1124000000,-1038000000,-598000000,-412000000,-944000000,-1441000000,-1021000000,-847000000,-733000000,-191000000,-324000000,1137000000,590000000,1226000000
45,Total Non-Current Assets,- -,- -,10653000000,10355000000,10358000000,13171000000,15639000000,15523000000,15636000000,16751000000,16427000000,16867000000,13153000000,32347000000,30910000000,31872000000,28562000000,28421000000,28539000000,26951000000,25555000000,23218000000,23503000000,12497000000,14224000000,13906000000,19696000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,13333000000,12447000000,12558000000,15699000000,18402000000,18542000000,18680000000,19643000000,19436000000,20132000000,22831000000,36020000000,34573000000,35531000000,32476000000,32572000000,32439000000,30597000000,29112000000,27852000000,26480000000,17018000000,17295000000,17881000000,22149000000
48,Accounts Payable,- -,- -,1253000000,1270000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422000000,519000000,508000000,461000000,406000000,411000000,282000000,311000000,307000000,326000000,265000000,217000000,1363000000
49,Short-Term Debt,- -,- -,290031480,200981976,455035598,540738765,1093000000,634000000,571000000,302000000,300000000,597000000,595000000,685000000,782000000,645000000,434000000,1008000000,596000000,534000000,1555000000,1111000000,1644000000,3000000,579000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,251000000,169000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,215000000,185000000,214000000,250000,153000,48000,100000000,1187000000,1300000000,1379000000,1224000000,1348000000,1355000000,1319000000,901000000,937000000,815000000,833000000,866000000,874000000
52,Other Current Liabilities,- -,- -,1328968520,602018024,2021964402,2424261235,2737000000,2353000000,2389000000,2567000000,2806750000,3141847000,2643952000,3806000000,2321000000,2547000000,2283000000,2302000000,2411000000,2297000000,2251000000,2239000000,1908000000,1547000000,1542000000,1569000000,344000000
53,Total Current Liabilities,- -,- -,2872000000,2073000000,2477000000,2965000000,3830000000,3202000000,3145000000,3083000000,3107000000,3739000000,3239000000,4591000000,4712000000,5011000000,4604000000,4995000000,4761000000,4597000000,5407000000,4562000000,4796000000,2691000000,3219000000,2652000000,2581000000
54,Long-Term Debt,- -,- -,3967000000,2408000000,1909000000,2321000000,3651000000,3487000000,3684000000,4013000000,3983000000,3681000000,4264000000,6834000000,6821000000,6873000000,7160000000,6223000000,7470000000,7576000000,6829000000,6278000000,5382000000,3213000000,2929000000,3772000000,3786000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394000000,1005000000
57,Other Non-Current Liabilities,- -,- -,1548000000,1221000000,1176000000,2595000000,2701000000,2899000000,2651000000,2585000000,2383000000,2231000000,1757000000,4469000000,3773000000,4325000000,4307000000,4209000000,4172000000,4246000000,4263000000,4239000000,3225000000,1904000000,1587000000,1083000000,943000000
58,Total Non-Current Liabilities,- -,- -,5515000000,3629000000,3085000000,4916000000,6352000000,6386000000,6335000000,6598000000,6366000000,5912000000,6021000000,11303000000,10594000000,11198000000,11467000000,10432000000,11642000000,11822000000,11092000000,10517000000,8607000000,5117000000,4516000000,5249000000,5734000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,8387000000,5702000000,5562000000,7881000000,10182000000,9588000000,9480000000,9681000000,9473000000,9651000000,9260000000,15894000000,15306000000,16209000000,16071000000,15427000000,16403000000,16419000000,16499000000,15079000000,13403000000,7808000000,7735000000,7901000000,8315000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,442000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,110000000,110000000,110000000,110000000,110000000,110000000,110000000,110000000,- -
63,Common Stock,- -,- -,1587000000,1730000000,1881000000,2035000000,2198000000,2803000000,2639000000,2696000000,2489000000,2689000000,2617000000,2940000000,9847000000,9967000000,10024000000,10091000000,10060000000,9866000000,9576000000,9283000000,9196000000,3333000000,3466000000,3609000000,5496000000
64,Retained Earnings,- -,- -,3665000000,5099000000,5225000000,5943000000,6253000000,6215000000,6302000000,6808000000,6992000000,7169000000,10355000000,10969000000,10561000000,10518000000,7633000000,8311000000,7024000000,6835000000,6458000000,7477000000,7201000000,4739000000,4965000000,5211000000,9149000000
65,Other Comprehensive Income/Loss,- -,- -,-612000000,-168000000,-220000000,-320000000,-462000000,-64000000,259000000,458000000,245000000,513000000,284000000,-1978000000,-1471000000,-1480000000,-1516000000,-1537000000,-1614000000,-3147000000,-3697000000,-4293000000,-3673000000,-877000000,-782000000,-689000000,-811000000
66,Other Total Stockholders Equity,- -,- -,306000000,84000000,110000000,160000000,231000000,-442000000,- -,- -,237000000,110000000,315000000,8195000000,330000000,317000000,264000000,170000000,456000000,514000000,166000000,196000000,243000000,1921000000,1801000000,1739000000,- -
67,Total Stockholders Equity,- -,- -,4946000000,6745000000,6996000000,7818000000,8220000000,8954000000,9200000000,9962000000,9963000000,10481000000,13571000000,20126000000,19267000000,19322000000,16405000000,17145000000,16036000000,14178000000,12613000000,12773000000,13077000000,9226000000,9560000000,9980000000,13834000000
68,Total Liabilities And Stockholders Equity,- -,- -,13333000000,12447000000,12558000000,15699000000,18402000000,18542000000,18680000000,19643000000,19436000000,20132000000,22831000000,36020000000,34573000000,35531000000,32476000000,32572000000,32439000000,30597000000,29112000000,27852000000,26480000000,17034000000,17295000000,17881000000,22149000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,13333000000,12447000000,12558000000,15699000000,18402000000,18542000000,18680000000,19643000000,19436000000,20132000000,22831000000,36020000000,34573000000,35531000000,32476000000,32572000000,32439000000,30597000000,29112000000,27852000000,26480000000,17018000000,17295000000,17881000000,22149000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1075124/000104746903010365/a2106712zex-99_2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746904007349/a2130643zex-2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746905005195/a2152731zex-3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012306002433/y17925exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012307003038/y30999exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746908002429/a2183444zex-99_3.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,799559956,580955856,579000000,1846000000,560000000,1251000000,776000000,615000000,867000000,1011000000,934000000,1120000000,4004000000,1405000000,844000000,909000000,-1390000000,2070000000,137000000,1909000000,1255000000,3098000000,1395000000,3933000000,1564000000,1122000000,5689000000
74,Depreciation and Amortization,477301063,553958409,667016439,644033852,695030068,842112282,1024000000,876000000,911000000,939000000,931000000,681000000,724000000,1242000000,1556000000,1574000000,1709000000,1748000000,1830000000,1822000000,1680000000,1552000000,1463000000,619000000,717000000,792000000,770000000
75,Deferred Income Tax,57059039,48011675,60020986,68027650,-29031589,-70676090,75000000,101000000,22000000,-3000000,-16000000,-121000000,-124000000,32000000,-544000000,-205000000,-202000000,-118000000,434000000,-273000000,-193000000,-11000000,-511000000,-167000000,-1395000000,-231000000,662000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-10047671,- -,- -,- -,-72993710,-330710761,78000000,69000000,-93000000,-157000000,-20000000,-45000000,-133000000,192000000,-219000000,-55000000,-279000000,-159000000,60000000,-432000000,-183000000,18000000,-566000000,-134000000,-247000000,102000000,832000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-10990530,4000533,-3000000,-29000000,-20000000,-9000000,-8000000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-164000000,-4000000,-153000000,-60000000,220000000,-318000000,216000000,-220000000,-133000000,- -
81,Other Working Capital,- -,- -,- -,- -,-1,1,-60000000,-60000000,-79000000,-40000000,-63000000,-50000000,-77000000,- -,-212000000,-50000000,-101000000,-70000000,26000000,-98000000,-100000000,-174000000,-206000000,47000000,-168000000,198000000,- -
82,Other Non-Cash Items,-666446644,-214009486,-114991605,-1660006072,-35979816,-596246034,-330000000,30000000,-53000000,18000000,50000000,490000000,-2655000000,-110000000,1029000000,432000000,2759000000,-837000000,-358000000,-660000000,279000000,-1673000000,248000000,-2189000000,63000000,-40000000,-6180000000
83,Cash Provided by Operating Activities,657425743,968916454,1191045820,898055430,1117024953,1095479397,1623000000,1691000000,1654000000,1808000000,1879000000,2125000000,1816000000,2761000000,2666000000,2655000000,2597000000,2704000000,2103000000,2366000000,2838000000,2984000000,2029000000,2062000000,702000000,1745000000,1773000000
84,CAPEX,-806527320,-3963808829,-683036027,-1361069837,-809013617,-584744633,-684000000,-523000000,-577000000,-619000000,-642000000,-453000000,-608000000,-906000000,-1097000000,-1097000000,-1041000000,-977000000,-1004000000,-968000000,-1003000000,-905000000,-950000000,-576000000,-505000000,-504000000,-487000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2823709828,-2419000000,-272000000,-211000000,-1337000000,-289000000,-744000000,-488000000,-8502000000,-349000000,-612000000,-1286000000,600000000,-691000000,-153000000,46000000,-107000000,-135000000,-472000000,-924000000,200000000,10000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,533333334,1140970449,281007346,1999095549,250017281,2028270436,88000000,-115000000,327000000,493000000,-140000000,-93000000,6979000000,146000000,-1016000000,-1063000000,-521000000,-874000000,-931000000,-918000000,-982000000,2293000000,-912000000,15201000000,-460000000,-338000000,-514000000
89,Cash Used for Investing Activites,-273193986,-2822838380,-402028681,638025712,-558996336,-1380184025,-3015000000,-910000000,-461000000,-1463000000,-1071000000,-1290000000,5883000000,-9262000000,-1365000000,-1675000000,-1807000000,-274000000,-1622000000,-1071000000,-936000000,2186000000,-1047000000,14729000000,-1384000000,-138000000,-504000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1249000000,-1683000000,-648000000,-2000000,-2240000000,-1120000000,-594000000,-503000000,-2112000000,-3719000000,-51000000,-1722000000,-109000000
91,Common Stock Issued,- -,326012404,- -,- -,- -,- -,- -,437000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-311000000,- -,-256000000,-412000000,-168000000,-522000000,- -,- -,-326000000,-168000000,-400000000,-1023000000,-1417000000,-1673000000,-1000000000,-9962000000,-488000000,-200000000,-1400000000
93,Dividends Paid,-179097910,-195986866,-235047219,-269009626,-254994125,-270702760,-279000000,-305000000,-669000000,-487000000,-509000000,-553000000,-618000000,-601000000,-907000000,-901000000,-963000000,-1024000000,-1041000000,-1036000000,-1015000000,-982000000,-958000000,-903000000,-701000000,-732000000,-775000000
94,Other Financing Activites,-138100477,1651878876,-365022736,-1529103947,-260040091,564741965,1870000000,-746000000,-250000000,-142000000,-33000000,53000000,322000000,1009000000,1105000000,1365000000,710000000,-357000000,3246000000,1609000000,1055000000,-554000000,1580000000,-352000000,39000000,2010000000,11000000
95,Cash Used/Provided by Financing Activities,-317198387,1781904414,-600069955,-1798113573,-515034216,294039205,1591000000,-614000000,-1228000000,-629000000,-798000000,-912000000,-464000000,-114000000,-1051000000,-1219000000,-1227000000,-1551000000,-435000000,-1570000000,-1971000000,-3712000000,-2490000000,-14936000000,-1201000000,-644000000,-2273000000
96,Effect of Forex Changes on Cash,-14008067,43998541,-10003498,2971768,-8018248,-2000267,-4000000,10000000,9000000,6000000,-8000000,4000000,-72000000,-41000000,20000000,-8000000,-5000000,- -,-13000000,-22000000,-24000000,-13000000,9000000,-20000000,5000000,-1000000,-5000000
97,Net Change In Cash,53025302,-28018971,179013641,-259060663,35045276,8001067,195000000,177000000,-26000000,-278000000,2000000,-73000000,7163000000,-6656000000,270000000,-247000000,-442000000,879000000,33000000,-297000000,-93000000,1445000000,-1499000000,1835000000,-1878000000,962000000,-1009000000
98,Cash at the End of Period,373230656,344983583,524029381,306996576,329024677,336711562,532000000,709000000,683000000,405000000,407000000,334000000,7497000000,841000000,1111000000,864000000,422000000,1301000000,1316000000,1015000000,922000000,2367000000,868000000,2703000000,825000000,1787000000,778000000
99,Cash at the Beginning of Period,320205354,373002554,345015740,566057239,293979401,328710495,337000000,532000000,709000000,683000000,405000000,407000000,334000000,7497000000,841000000,1111000000,864000000,422000000,1283000000,1312000000,1015000000,922000000,2367000000,868000000,2703000000,825000000,1787000000
100,Free Cash Flow,-149101577,-2994892375,508009793,-463014407,308011336,510734764,939000000,1168000000,1077000000,1189000000,1237000000,1672000000,1208000000,1855000000,1569000000,1558000000,1556000000,1727000000,1099000000,1398000000,1835000000,2079000000,1079000000,1486000000,197000000,1241000000,1286000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1075124/000104746903010365/a2106712zex-99_2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746904007349/a2130643zex-2.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746905005195/a2152731zex-3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012306002433/y17925exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000095012307003038/y30999exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1075124/000104746908002429/a2183444zex-99_3.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
