,https://roic.ai/company/EACO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,0.0511,0.0655,0.0445,0.0240,0.0021,0.0082,0.0080,-0.0433,-0.0402,0.0309,0.0132,-0.0378,-0.0182,-0.0514,-0.0012,-0.0304,-0.0497,-0.0639,-0.0537,43.2241,-8.1361,-4.1131,-3.3527,- -,-0.0146,0.0204,0.0211,0.0212,0.0416,0.0267,0.0276,0.0258,0.0360,0.0426,0.0346
25,EPS,10.00,17.50,17.50,12.50,1.25,5.00,5.00,-24.50,20.75,13.75,6.25,-16.25,-7.50,-20.50,-0.50,-12.25,-14.75,-16.25,-13.25,60.00,-43.75,-32.50,-26.25,- -,-0.30,0.42,0.48,0.51,1.14,0.75,0.83,0.82,1.41,1.92,1.59
26,EPS Diluted,10.00,17.50,17.50,12.50,1.25,5.00,5.00,-24.50,20.75,13.75,6.25,-16.25,-7.50,-20.50,-0.50,-12.25,-14.75,-16.25,-13.25,47.75,-43.75,-32.50,-26.25,- -,-0.30,0.42,0.48,0.51,1.14,0.75,0.83,0.82,1.41,1.92,1.59
27,Weighted Average Shares Outstanding,70000,85714,85714,88000,80000,80000,80000,85714,88000,94648,94704,86154,93333,97561,93400,104963,142393,147754,154770,155596,156272,156272,156410,- -,4862079,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590
28,Weighted Average Shares Outstanding Diluted,70000,85714,85714,88000,80000,80000,80000,85714,88000,100000,106667,86154,93333,97561,93400,104963,142393,147754,154770,196268,156272,156272,156410,- -,4862079,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590,4861590
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/784539/000114420412064816/0001144204-12-064816-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420413064760/0001144204-13-064760-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420414071356/0001144204-14-071356-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420415068052/0001144204-15-068052-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420416136391/0001144204-16-136391-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420417060658/0001144204-17-060658-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420418061816/0001144204-18-061816-index.html,https://www.sec.gov/Archives/edgar/data/784539/000110465919068322/0001104659-19-068322-index.html,https://www.sec.gov/Archives/edgar/data/784539/000110465920130448/0001104659-20-130448-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679600,2287800,151100,3044700,1196900,1030600,2300,42500,1260000,1368000,2568000,1507000,3480000,5269000,4878000,3870000,2705000,4692000,6079000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58100,32600,- -,- -,- -,- -,- -,- -,817000,892000,197000,1395000,73000,- -,540000,1596000,2846000,1873000,1368000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1737700,2320400,151100,3044700,1196900,1030600,2300,42500,2077000,2260000,2765000,2902000,3553000,5269000,5418000,5466000,5551000,6565000,7447000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447400,110600,81300,117400,436300,6500,1100,7200,11114000,12348000,13972000,14438000,17795000,15485000,18797000,21339000,26277000,31655000,29667000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236400,300400,235200,300,- -,- -,- -,- -,10009000,11389000,12189000,14272000,14863000,16733000,21532000,26791000,30531000,37259000,39545000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372900,500500,426800,4410900,1202300,1332000,98400,258500,2156000,1382000,2275000,1079000,1746000,2372000,2560000,2061000,2523000,4889000,8010000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2794400,3231900,894400,7573300,2835500,2369100,101800,308200,25356000,27379000,31201000,32691000,37957000,39859000,48307000,55657000,64882000,80368000,84669000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28346600,24352000,25867500,10203400,11559200,13305600,10743900,10298600,11395000,972000,1106000,8679000,1603000,1569000,1395000,9256000,9847000,10572000,20360000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789200,- -,- -,- -,- -,7283000,- -,- -,- -,- -,- -,- -,1368000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1766700,- -,- -,- -,- -,2561000,2623000,2111000,1712000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2526400,3222800,1027100,5183400,2116100,2323600,630800,1346600,2013000,11904000,9911000,-5885000,1323000,1088000,890000,867000,1570000,1938000,56000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30873000,27574800,26894600,17153500,13675300,15629200,12163900,11645200,15969000,15499000,13128000,11789000,2926000,2657000,2285000,10123000,11417000,12510000,21784000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33667400,30806700,27789000,24726800,16510800,17998300,12265700,11953400,41325000,42878000,44329000,44480000,40883000,42516000,50592000,65780000,76299000,92878000,106453000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1346200,1121900,1079400,10000,486600,341200,1748500,3183600,9226000,8541000,9519000,9315000,11192000,9318000,12727000,13364000,17678000,21138000,16535000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771600,749300,994500,136900,419700,174200,250100,7706700,9200000,778000,555000,172000,642000,1781000,1425000,846000,1079000,6139000,10509000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1884400,3635100,2347500,4950800,1219300,3425300,300400,170100,1970000,2472000,3741000,3388000,3556000,4398000,5600000,4545000,7452000,8297000,6632000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4002200,5506300,4421400,5097700,2125600,3940700,2299000,11060400,20396000,11791000,13815000,12875000,15390000,15497000,19752000,18755000,26209000,35574000,33676000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19523000,17470700,14774000,3466400,2537900,6473100,7465600,4735900,7074000,15626000,12907000,11397000,1728000,33000,- -,12193000,8204000,6114000,4807000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2978000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3997700,4068700,5841800,1132600,6635100,7464500,6426700,107000,3075000,2855000,2714000,2497000,274000,35000,- -,- -,- -,- -,9151000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23520700,21539400,20615800,7577000,9173000,13937600,13916500,4842900,10149000,18481000,15621000,13894000,2002000,68000,- -,12193000,8204000,6114000,13958000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2310800,2279800,3941400,- -,2438900,2877900,2878300,1561500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11644000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27522900,27045700,25037200,12674700,11298600,17878300,16215500,15903300,30545000,30272000,29436000,26769000,17392000,15565000,19752000,30948000,34413000,41688000,47634000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400,400,400,400,400,400,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37100,37100,38800,39000,39000,39000,39000,39000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3758100,-6159100,-8190700,1086200,-5759500,-10851700,-14921500,-14921600,-2287000,-376000,1987000,4463000,9998000,13663000,17682000,21657000,28530000,37886000,45603000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4100,13400,-18051600,-5800,-4541100,-2672700,-3176500,- -,639000,554000,478000,820000,1065000,860000,730000,747000,928000,876000,788000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9869600,9869600,28954900,10932300,15473400,13605000,14108800,10932300,12378000,12378000,12378000,12378000,12378000,12378000,12378000,12378000,12378000,12378000,12378000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6144500,3761000,2751800,12052100,5212200,120000,-3949800,-3949900,10780000,12606000,14893000,17711000,23491000,26951000,30840000,34832000,41886000,51190000,58819000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33667400,30806700,27789000,24726800,16510800,17998300,12265700,11953400,41325000,42878000,44329000,44480000,40883000,42516000,50592000,65780000,76299000,92878000,106453000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33667400,30806700,27789000,24726800,16510800,17998300,12265700,11953400,41325000,42878000,44329000,44480000,40883000,42516000,50592000,65780000,76299000,92878000,106453000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784539/000114420412064816/0001144204-12-064816-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420413064760/0001144204-13-064760-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420414071356/0001144204-14-071356-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420415068052/0001144204-15-068052-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420416136391/0001144204-16-136391-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420417060658/0001144204-17-060658-index.html,https://www.sec.gov/Archives/edgar/data/784539/000114420418061816/0001144204-18-061816-index.html,https://www.sec.gov/Archives/edgar/data/784539/000110465919068322/0001104659-19-068322-index.html,https://www.sec.gov/Archives/edgar/data/784539/000110465920130448/0001104659-20-130448-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,1100000,100000,400000,400000,-2100000,-1800000,1300000,500000,-1400000,-700000,-2000000,-46700,-1285800,-2100300,-2401000,-2031600,9353700,-6769200,-4996600,-4031600,- -,-1353000,2139000,2420000,2552000,5611000,3741000,4095000,4051000,6949000,9432000,7793000
74,Depreciation and Amortization,- -,- -,- -,2000000,2300000,2500000,2800000,2900000,2200000,1700000,1800000,1800000,1900000,2000000,2093700,2183100,2181500,1987500,1988900,1097600,434700,608600,605300,- -,783000,752000,807000,616000,539000,553000,577000,785000,1009000,1047000,1224000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,- -,-200000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2587300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,100000,100000,-100000,200000,1600000,800000,-800000,-400000,-500000,-100000,100000,158700,-192000,-316600,382100,192800,-497900,-1122500,-613400,-2547200,- -,-719000,-3426000,-248000,-1832000,-2621000,1446000,-5943000,-9288000,-2683000,-12590000,-5524000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2072000,-1399000,-1824000,-602000,-3369000,2219000,-3385000,-2638000,-5044000,-5718000,1916000
79,Inventory,- -,- -,- -,-100000,100000,-100000,- -,- -,- -,100000,- -,-100000,-100000,- -,29000,-63400,83400,-64000,65200,234900,300,- -,- -,- -,332000,-1380000,-1004000,-2035000,-691000,-1951000,-5001000,-5346000,-3888000,-8018000,-2286000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100,- -,1592000,-1574000,1405000,50000,1332000,-47000,1641000,-30000,4009000,3313000,-3275000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1493500,1111200,-462400,-89700,- -,154000,-220000,1142000,667000,-1334000,- -,- -,- -,- -,- -,-11512000
82,Other Non-Cash Items,- -,- -,- -,- -,1300000,500000,100000,2600000,1900000,-100000,-300000,700000,400000,100000,-268900,587900,1057700,340000,636200,-9473900,3402000,3430600,1356000,- -,2168000,-177000,-90000,-656000,-2350000,-166000,171000,-25000,-323000,1203000,-710000
83,Cash Provided by Operating Activities,- -,- -,- -,3200000,3500000,3300000,3300000,4000000,3100000,2100000,1600000,600000,1500000,200000,1936800,1293200,822300,308600,786300,-2107800,-4055000,-1570800,-4617500,- -,879000,-712000,2889000,680000,1179000,5574000,-1100000,-4477000,4952000,-908000,2783000
84,CAPEX,- -,- -,- -,-5600000,-3600000,-2800000,-500000,-1400000,-1700000,-2600000,-1400000,-2700000,-3200000,-3900000,-3647500,-5716400,-2006000,-938000,-3263200,-11291500,-42300,-2059500,- -,- -,-524000,-387000,-573000,-756000,-746000,-519000,-403000,-8646000,-1600000,-1772000,-6705000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-200000,-400000,- -,-500000,- -,- -,- -,-3272300,-332800,- -,-378900,-1704600,-519500,- -,- -,- -,- -,-2053000,- -,- -,-1183000,- -,- -,-792000,-1566000,-977000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,500000,- -,100000,3010700,1334700,172300,1260600,253700,8300,187000,- -,- -,- -,- -,- -,- -,- -,1945000,1437000,- -,- -,226000,- -,3678000
88,Other Investing Activites,- -,- -,- -,1200000,100000,- -,- -,300000,200000,800000,800000,700000,300000,1700000,976400,175000,-310700,2442300,3327500,26534100,3126500,316100,1186500,- -,1545000,501000,1273000,2830000,9067000,-900000,375000,737000,-207000,1122000,7075000
89,Cash Used for Investing Activites,- -,- -,- -,-4400000,-3500000,-2800000,-300000,-1300000,-1900000,-1800000,-1100000,-1500000,-2900000,-2100000,-2932700,-4539500,-2144400,2386000,-1386600,14731400,3271200,-1743400,1186500,- -,-1032000,114000,700000,891000,10266000,18000,-820000,-9475000,-2558000,-650000,4048000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1695000,- -,-1747000,-870000,-2256000,-2898000,-10205000,-3522000,-33000,-35000,-3981000,-247000,-6139000
91,Common Stock Issued,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,100000,300000,- -,100,100,387600,- -,1075300,29200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6500,-76500,-76500,-95600,-38200,- -,- -,-228000,-57000,-76000,-57000,-76000,-76000,-76000,-76000,-76000,-76000
94,Other Financing Activites,- -,- -,- -,700000,900000,-800000,-2700000,-2000000,-1100000,-1200000,500000,-300000,2300000,800000,880000,2797800,2431000,-2086400,-2552200,-9682700,-987500,3243500,4135900,- -,1315000,1889000,- -,- -,545000,- -,1768000,13038000,317000,3642000,3120000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,700000,1000000,-800000,-2700000,-2000000,-1100000,-1200000,500000,-200000,2600000,800000,880100,2797900,2818600,-2086400,-1536400,-9730000,-1064000,3147900,2402700,- -,-432000,791000,-2313000,-2974000,-9717000,-3598000,1659000,12927000,-3740000,3319000,-3095000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000,-85000,-76000,342000,245000,-205000,-130000,17000,181000,-52000,-88000
