,https://roic.ai/company/ECPG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,7300000,-100000,-23730000,-10865000,13789000,18420000,23176000,31091000,24008000,15042000,18834000,33047000,49052000,60958000,69477000,75299000,103726000,45135000,76570000,83228000,115886000,167869000,211848000,350782000
24,Net Income ratio,0.2714,-0.0035,-0.6491,-0.2271,0.1526,0.1568,0.1299,0.1402,0.0941,0.0592,0.0736,0.1044,0.1286,0.1304,0.1250,0.0974,0.0967,0.0389,0.0744,0.0701,0.0851,0.1201,0.1411,0.2173
25,EPS,1.49,-0.01,-3.20,-1.52,1.82,1.65,1.05,1.39,1.06,0.66,0.82,1.42,2.05,2.48,2.80,3.05,4.01,1.75,2.98,3.20,4.09,5.38,6.74,11.64
26,EPS Diluted,1.49,-0.01,-3.20,-1.52,0.84,0.88,0.99,1.30,1.03,0.64,0.80,1.37,1.95,2.37,2.69,2.87,3.77,1.69,2.96,3.15,4.06,5.33,6.68,11.26
27,Weighted Average Shares Outstanding,4899329,5989000,7421000,7161000,7339000,20873000,22072000,22299000,22754000,22865000,23046000,23215000,23897000,24572000,24855000,24659000,25853000,25722000,25713000,25972000,28313000,31210000,31427000,30129000
28,Weighted Average Shares Outstanding Diluted,4899329,5989000,7421000,7161000,16459000,20873000,23481000,23998000,23390000,23386000,23577000,24082000,25091000,25690000,25836000,26204000,27495000,26647000,25909000,26405000,28572000,31474000,31710000,31153000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084961/000108496105000023/0001084961-05-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084961/000119312507042595/0001193125-07-042595-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312508033627/0001193125-08-033627-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312509024779/0001193125-09-024779-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312510024376/0001193125-10-024376-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312511035293/0001193125-11-035293-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312512049265/0001193125-12-049265-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312513055397/0001193125-13-055397-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312514067404/0001193125-14-067404-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496115000011/ecpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496116000130/0001084961-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496117000019/0001084961-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496118000013/0001084961-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496119000020/0001084961-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496120000024/0001084961-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496121000017/0001084961-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496122000019/0001084961-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4700000,400000,888000,1412000,752000,38612000,49731000,7026000,10791000,4900000,10341000,8388000,10905000,8047000,17510000,126213000,124163000,153593000,149765000,212139000,157418000,192335000,189184000,189645000
32,Short-Term Investments,- -,- -,25969000,47001000,64168000,89136000,137963000,256333000,300348000,392209000,461346000,526877000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4700000,400000,26857000,48413000,64920000,127748000,187694000,263359000,311139000,397109000,471687000,535265000,10905000,8047000,17510000,126213000,124163000,153593000,149765000,212139000,157418000,192335000,189184000,189645000
34,Net Receivables,26000000,88000000,31616000,17926000,8256000,1231000,- -,5515000,2599000,4136000,1757000,3134000,3331000,3265000,139142000,258663000,294307000,361047000,39276000,44606000,75398000,45013000,38777000,22610000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2900000,2468000,3053000,3105000,842000,3432000,4212000,8387000,14122000,28335000,-526877000,- -,- -,6399000,28496000,38316000,50161000,39832000,102463000,51653000,68989000,62570000,46258000
37,Total Current Assets,30700000,91300000,60941000,69392000,76281000,129821000,191126000,273086000,322125000,415367000,501779000,11522000,14236000,11312000,163051000,413372000,456786000,564801000,228873000,359208000,284469000,306337000,290531000,258513000
38,PP&E,3900000,7900000,7424000,5244000,3541000,2786000,3360000,5113000,5249000,4390000,6272000,9427000,13658000,17796000,23223000,55783000,66969000,73504000,72257000,76276000,115518000,195305000,199461000,188669000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,13735000,15985000,15985000,15985000,15985000,15985000,55446000,504213000,897933000,924847000,785032000,928993000,868126000,884185000,906962000,897795000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19375000,3628000,2557000,1739000,1139000,748000,462000,487000,23548000,21564000,18129000,28243000,75736000,60581000,51371000,45012000,36320000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19375000,17363000,18542000,17724000,17124000,16733000,16447000,55933000,527761000,919497000,942976000,813275000,1004729000,928707000,935556000,951974000,934115000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,300000000,392000000,461000000,526877000,644753000,716454000,873119000,1590249000,2143560000,2440669000,2382809000,2890613000,3137893000,3283984000,3291918000,3065553000
43,Tax Assets,- -,- -,- -,- -,- -,1358000,361000,2040000,- -,- -,- -,- -,- -,- -,- -,13974000,33716000,27306000,51077000,18773000,24910000,24134000,33202000,51451000
44,Other Non-Current Assets,200000,2300000,2736000,3075000,10152000,4320000,6295000,61590000,-249399000,-346804000,-437477000,30209000,47088000,50474000,56014000,84134000,129607000,170596000,122206000,141113000,140378000,164634000,97437000,109824000
45,Total Non-Current Assets,4100000,10200000,10160000,8319000,13693000,8464000,10016000,88118000,73213000,68128000,47519000,583637000,722232000,801171000,1008289000,2271901000,3293349000,3655051000,3441624000,4131504000,4347406000,4603613000,4573992000,4349612000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34800000,101500000,71101000,77711000,89974000,138285000,201142000,361204000,395338000,483495000,549298000,595159000,736468000,812483000,1171340000,2685273000,3750135000,4219852000,3670497000,4490712000,4631875000,4909950000,4864523000,4608125000
48,Accounts Payable,1600000,10600000,5519000,9618000,10688000,11644000,17418000,23101000,23744000,20346000,18204000,21815000,26539000,- -,45450000,137272000,231967000,294243000,234398000,284774000,287945000,223911000,- -,- -
49,Short-Term Debt,- -,- -,53270000,69215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375601000,526630000,675597000,851947000,685769000,967760000,1216196000,1241841000,959138000,880078000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2681000,- -,- -,3080000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3326000,2156000,3898000,5203000,5481000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3600000,1400000,- -,- -,11711000,13632000,20881000,18304000,6869000,- -,15199000,19661000,- -,29628000,3080000,- -,- -,- -,- -,- -,- -,- -,215920000,229586000
53,Total Current Liabilities,5200000,12000000,58789000,78833000,22399000,25276000,38299000,44731000,32769000,24244000,38606000,46957000,26539000,29628000,424131000,663902000,907564000,1146190000,920167000,1252534000,1504141000,1465752000,1175058000,1109664000
54,Long-Term Debt,7500000,48700000,- -,- -,47689000,41178000,66567000,198121000,200132000,272420000,311319000,303075000,385264000,388950000,321183000,1311582000,2082626000,2353571000,2115123000,2473047000,2266874000,2263235000,2322496000,2117253000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3857000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,8200000,7800000,- -,- -,- -,- -,- -,- -,10667000,13669000,- -,- -,17626000,15709000,8236000,7164000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2233000,1236000,344000,460000,261000,- -,634000,1642000,3483000,2036000,485000,6661000,11974000,126719000,123891000,110227000,80447000,193198000,41172000,155557000,146893000,195947000
58,Total Non-Current Liabilities,15700000,56500000,2233000,1236000,48033000,41638000,66828000,198121000,211433000,287731000,314802000,305111000,407232000,411320000,341393000,1445465000,2206517000,2463798000,2195570000,2666245000,2308046000,2418792000,2469389000,2313200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,344000,460000,261000,- -,- -,- -,- -,- -,- -,- -,9252000,12219000,15331000,11054000,5091000,6069000,7563000,8121000,8288000,7005000
61,Total Liabilities,20900000,68500000,61022000,80069000,70432000,66914000,105127000,242852000,244202000,311975000,353408000,352068000,433771000,440948000,765524000,2109367000,3114081000,3609988000,3115737000,3918779000,3812187000,3884544000,3644447000,3422864000
62,Preferred Stock,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,76000,72000,74000,220000,222000,227000,228000,230000,231000,234000,240000,245000,232000,255000,258000,253000,256000,258000,309000,311000,313000,245000
64,Retained Earnings,8900000,8900000,-14872000,-25737000,-12388000,5658000,28834000,59925000,83933000,98975000,117809000,139842000,188894000,249852000,319329000,394628000,498354000,543489000,560567000,616314000,720189000,888058000,1055668000,1238564000
65,Other Comprehensive Income/Loss,-1000000,-2100000,-3263000,-5710000,367000,106000,171000,211000,443000,-995000,-2121000,-1246000,-21733000,-1968000,-1774000,5195000,-922000,-57822000,-104911000,-77356000,-110987000,-88766000,-68813000,-53548000
66,Other Total Stockholders Equity,6000000,26100000,28138000,29017000,31479000,65387000,66788000,- -,66532000,73310000,79971000,104261000,135296000,123406000,88029000,171819000,134383000,116659000,106387000,42646000,208498000,222590000,230440000,- -
67,Total Stockholders Equity,13900000,33000000,10079000,-2358000,19542000,71371000,96015000,118352000,151136000,171520000,195890000,243091000,302697000,371535000,405816000,571897000,632073000,602579000,562299000,581862000,818009000,1022193000,1217608000,1185261000
68,Total Liabilities And Stockholders Equity,34800000,101500000,71101000,77711000,89974000,138285000,201142000,361204000,395338000,483495000,549298000,595159000,736468000,812483000,1171340000,2681264000,3746154000,4212567000,3678036000,4500641000,4630196000,4906737000,4862055000,4608125000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4009000,3981000,7285000,-7539000,-9929000,1679000,3213000,2468000,- -
70,Total Liabilities & Equity,34800000,101500000,71101000,77711000,89974000,138285000,201142000,361204000,395338000,483495000,549298000,595159000,736468000,812483000,1171340000,2685273000,3750135000,4219852000,3670497000,4490712000,4631875000,4909950000,4864523000,4608125000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084961/000108496105000023/0001084961-05-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084961/000119312507042595/0001193125-07-042595-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312508033627/0001193125-08-033627-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312509024779/0001193125-09-024779-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312510024376/0001193125-10-024376-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312511035293/0001193125-11-035293-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312512049265/0001193125-12-049265-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312513055397/0001193125-13-055397-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312514067404/0001193125-14-067404-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496115000011/ecpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496116000130/0001084961-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496117000019/0001084961-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496118000013/0001084961-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496119000020/0001084961-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496120000024/0001084961-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496121000017/0001084961-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496122000019/0001084961-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7300000,-100000,-23730000,-10865000,13789000,18420000,23176000,31091000,24008000,15042000,18834000,33047000,49052000,60958000,69477000,75299000,103726000,45135000,76570000,83228000,115886000,167869000,211848000,350782000
74,Depreciation and Amortization,700000,-1100000,1963000,4084000,3225000,3496000,2136000,3594000,5234000,4570000,4191000,2592000,3199000,6494000,5840000,13547000,27949000,33945000,34868000,39977000,41228000,41029000,42780000,50079000
75,Deferred Income Tax,5100000,- -,-6839000,1149000,-6234000,5456000,815000,-2062000,3426000,3002000,1531000,1872000,646000,-1917000,-7474000,-28188000,-48078000,-32369000,-52905000,28970000,16814000,22339000,11898000,35371000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4384000,6010000,7709000,8794000,12649000,17181000,22008000,12627000,10399000,12980000,12557000,16560000,18330000
77,Change in Working Capital,900000,53800000,-77148000,-11593000,63323000,50663000,48282000,75528000,61001000,101767000,72050000,-498608000,23132000,-6013000,-242764000,10550000,-200248000,-130611000,-109905000,-202032000,-326346000,60257000,274888000,2993000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2635000,2899000,- -,4190000,22649000,9521000,41644000,2439000,1655000,15605000,-62244000,-35955000,-8692000
81,Other Working Capital,25500000,79300000,2152000,-9441000,53882000,104545000,152827000,228355000,289356000,391123000,463173000,-35435000,-12303000,-18316000,-261080000,-250530000,-450778000,-581389000,-691294000,-893326000,-1219672000,-1159415000,-884527000,7758000
82,Other Non-Cash Items,-10600000,-56000000,93317000,26078000,-49413000,-44064000,-37997000,-76925000,-55642000,-108547000,-33535000,532829000,-8588000,17348000,264647000,-9082000,211014000,176317000,169077000,163276000,326229000,-59318000,-245110000,-154502000
83,Cash Provided by Operating Activities,3400000,-3400000,-12437000,8853000,24690000,33971000,36412000,31226000,38027000,15834000,63071000,76116000,73451000,84579000,98520000,74775000,111544000,114425000,130332000,123818000,186791000,244733000,312864000,303053000
84,CAPEX,-2800000,-4100000,-786000,-428000,-749000,-1015000,-2525000,-2863000,-2430000,-1422000,-2276000,-4632000,-2722000,-5564000,-6265000,-13423000,-23238000,-28647000,-31668000,-28126000,-67475000,-39602000,-34600000,-33372000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-158832000,- -,- -,- -,- -,- -,- -,-186731000,-449024000,-495838000,-276575000,105366000,-96390000,-1877000,- -,- -,- -
86,Purchases of Investments,-24800000,-52000000,- -,- -,- -,- -,- -,- -,-133653000,-197249000,-224717000,-246330000,-361957000,-386850000,-562335000,-249562000,-862997000,-749760000,-907413000,-1045829000,-1131095000,-1035130000,-644048000,-657280000
87,Sales/Maturities of Investments,37200000,300000,- -,- -,- -,- -,- -,40000000,98893000,105862000,119741000,171791000,221872000,304326000,409891000,546366000,633960000,635899000,668121000,709420000,791386000,757640000,737131000,1019629000
88,Other Investing Activites,-400000,-3700000,9791000,-21345000,-10409000,-18457000,-47632000,-22649000,- -,-2250000,- -,- -,- -,- -,1670000,-51597000,-7084000,-53626000,-3195000,8794000,11545000,114759000,24343000,10919000
89,Cash Used for Investing Activites,9200000,-59500000,9005000,-21773000,-11158000,-19472000,-50157000,-144344000,-37190000,-95059000,-107252000,-79171000,-142807000,-88088000,-343770000,-217240000,-755197000,-472709000,-168789000,-452131000,-397516000,-202333000,82826000,339896000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91302000,-103270000,-146982000,-298417000,-688646000,-1229690000,-951055000,-969341000,-1497717000,-716888000,-1167328000,-3413942000,-1416593000
91,Common Stock Issued,- -,22500000,- -,- -,4590000,31370000,169000,1213000,149000,348000,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-128000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49270000,-729000,-16815000,-33185000,- -,- -,- -,- -,- -,-390606000
93,Dividends Paid,- -,- -,- -,- -,-250000,-374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-8400000,36100000,4096000,13444000,-18532000,-7635000,24695000,109200000,2779000,72986000,45823000,92404000,175143000,147633000,602400000,935355000,1872828000,1386085000,1012594000,1875934000,883265000,1147558000,3010742000,1151507000
95,Cash Used/Provided by Financing Activities,-8400000,58600000,3968000,13444000,-14192000,23361000,24864000,110413000,2928000,73334000,45846000,1102000,71873000,651000,254713000,245980000,626323000,401845000,43253000,378217000,166377000,-19770000,-403200000,-655692000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5188000,15280000,-14131000,-8624000,12470000,-10373000,12287000,4359000,13204000
97,Net Change In Cash,- -,-4300000,536000,524000,-660000,37860000,11119000,-2705000,3765000,-5891000,1665000,-1953000,2517000,-2858000,9463000,108703000,-2050000,29430000,-3828000,62374000,-54721000,34917000,-3151000,461000
98,Cash at the End of Period,- -,400000,888000,1412000,752000,38612000,49731000,7026000,10791000,4900000,10341000,8388000,10905000,8047000,17510000,126213000,124163000,153593000,149765000,212139000,157418000,192335000,189184000,189645000
99,Cash at the Beginning of Period,500000,4700000,352000,888000,1412000,752000,38612000,9731000,7026000,10791000,8676000,10341000,8388000,10905000,8047000,17510000,126213000,124163000,153593000,149765000,212139000,157418000,192335000,189184000
100,Free Cash Flow,600000,-7500000,-13223000,8425000,23941000,32956000,33887000,28363000,35597000,14412000,60795000,71484000,70729000,79015000,92255000,61352000,88306000,85778000,98664000,95692000,119316000,205131000,278264000,269681000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084961/000108496105000023/0001084961-05-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084961/000119312507042595/0001193125-07-042595-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312508033627/0001193125-08-033627-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312509024779/0001193125-09-024779-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312510024376/0001193125-10-024376-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312511035293/0001193125-11-035293-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000119312512049265/0001193125-12-049265-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312513055397/0001193125-13-055397-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000119312514067404/0001193125-14-067404-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496115000011/ecpg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496116000130/0001084961-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496117000019/0001084961-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496118000013/0001084961-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496119000020/0001084961-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496120000024/0001084961-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1084961/000108496121000017/0001084961-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1084961/000108496122000019/0001084961-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
