,https://roic.ai/company/ALPP,2014,2015,2016,2017,2018,2019,2020
33,Cash and Short-Term Investments,758,174988,209494,128512,207205,302486,277738
34,Net Receivables,- -,4086,1346585,2067081,2610354,9399289,7202290
35,Inventory,224100,222930,930114,1212546,2175795,2401242,2666602
36,Other Current Assets,- -,- -,39734,221958,407730,269289,477146
37,Total Current Assets,224858,402004,2525927,3630097,5401084,12372306,10623776
38,PP&E,- -,- -,4983088,9198387,7990556,17817877,19880597
39,Goodwill,- -,- -,1963761,2131606,3193861,2517453,2084982
40,Intangible Assets,- -,- -,976573,752622,677210,2774618,7743084
41,Intangible Assets,- -,- -,2940334,2884228,3871071,5292071,9828066
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,688204,258238,677965,319344,401744
45,Total Non-Current Assets,- -,- -,8611626,12340853,12539592,23429292,30110407
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,224858,402004,11137553,15970950,17940676,35801598,40734183
48,Accounts Payable,359626,434381,1434170,1980995,3102970,5148805,4854467
49,Short-Term Debt,- -,59318,1593204,6607827,6527796,10820062,8875831
50,Tax Payable,- -,- -,20123,- -,- -,- -,- -
51,Deferred Revenue,- -,1617,12536,64918,25287,170040,233485
52,Other Current Liabilities,66498,124654,536675,1333282,5912130,5487769,2872202
53,Total Current Liabilities,426124,619970,3576585,9987022,15568183,21626676,16835985
54,Long-Term Debt,- -,- -,8479856,8220218,13262617,25623814,32258291
55,Deferred Revenue,- -,- -,- -,43,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,287153,181703,608304,521250,428199
57,Other Non-Current Liabilities,- -,- -,- -,1439725,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,8767009,9841689,13870921,26145064,32686490
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,6586393,6584702,8400634,14743895,16930233
61,Total Liabilities,426124,619970,12343594,19828711,29439104,47771740,49522475
62,Preferred Stock,- -,- -,- -,- -,- -,- -,176
63,Common Stock,8505,7470,2308,1442207,3075,11503,14955
64,Retained Earnings,-605234,-14009214,-17436455,-20433875,-28520094,-31745528,-39795401
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,395463,13783778,16228106,15133907,17018591,19763883,30991978
67,Total Stockholders Equity,-201266,-217966,-1206041,-3857761,-11498428,-11970142,-8788292
68,Total Liabilities And Stockholders Equity,224858,402004,11137553,15970950,17940676,35801598,40734183
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,224858,402004,11137553,15970950,17940676,35801598,40734183
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1606698/000109690615000469/0001096906-15-000469-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690617000244/0001096906-17-000244-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690621000759/0001096906-21-000759-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-605230,-13403980,-3267460,-2997420,-7908017,-3133165,-8049873
74,Depreciation and Amortization,- -,- -,265980,763503,947259,1255517,2070262
75,Deferred Income Tax,- -,- -,-100800,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,87136,71223,78437,78652
77,Change in Working Capital,152020,-16700,-832692,-5306267,-3810174,912729,3042161
78,Accounts Receivable,- -,-4086,- -,-506436,398371,-1174600,3951827
79,Inventory,- -,1170,- -,-282432,-348194,964706,-184766
80,Accounts Payable,- -,74755,- -,546825,1441304,595134,-634489
81,Other Working Capital,-201266,-217966,-1050658,-6356925,-10167099,-9254370,-6212209
82,Other Non-Cash Items,275220,13045275,3541302,5941201,9445139,-1056112,782941
83,Cash Provided by Operating Activities,-177990,-375405,-393670,-1511847,-1254570,-1942594,-2075857
84,CAPEX,- -,- -,-267400,-192805,-271516,-71175,-75670
85,Acquisitions Net,- -,- -,- -,-1937616,-1976750,-2926658,-2059479
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,758,- -,-2800000,44927,47363,-71175,-75670
89,Cash Used for Investing Activites,- -,- -,-3067400,-1892689,-1929387,-2997833,-2135149
90,Debt Repayment,- -,-26800,- -,-691996,-2390375,-11454575,-4227683
91,Common Stock Issued,- -,99850,- -,40000,- -,- -,674469
92,Common Stock Repurchased,92880,- -,6000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,85870,476585,3179380,3975550,5653025,16282972,8184317
95,Cash Used/Provided by Financing Activities,178750,549635,3185380,3323554,3262650,4828397,4631103
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,760,174230,-275690,-80982,78693,-112030,420097
98,Cash at the End of Period,760,174988,-105690,128512,414516,302486,722583
99,Cash at the Beginning of Period,- -,758,170000,209494,335823,414516,302486
100,Free Cash Flow,-177990,-375405,-661070,-1704652,-1526086,-2013769,-2151527
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1606698/000109690615000469/0001096906-15-000469-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690617000244/0001096906-17-000244-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606698/000109690621000759/0001096906-21-000759-index.htm
102,false,,,,,,,
