,https://roic.ai/company/GLXZ,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),202997,296704,193894,137921,6144,239,176671,114409,89844,882547,1034118,1093264,1047434,1209160,1696737,999642,1189976,683357,1505386
14,Depreciation and Amortization,-80114,-87385,-43950,-42583,- -,- -,23080,39090,457630,1615457,1634467,1671440,1673862,1698033,1766541,1839594,2206748,2222042,3087513
15,EBITDA,-2782056,-2497729,943772,-1072583,-310000,-252736,-250249,13499,77474,2778004,3298585,2926344,3389476,5443113,3884058,4208876,6355944,90575,6656074
16,EBITDA ratio,-1.9306,-2.6581,1.7184,-Infinity,-Infinity,-Infinity,-0.0903,0.0044,0.0211,0.3848,0.4013,0.2972,0.3095,0.4372,0.2615,0.2268,0.2984,0.0089,Infinity
17,Operating Income,-1217187,-2848740,-2157675,-761792,-411859,-252736,-200355,-47602,-356155,1090850,1643943,1231419,1473580,3388639,2503624,3971847,4072676,-2255010,4345126
18,Operating Income ratio,-0.8446,-3.0317,-3.9287,-Infinity,-Infinity,-Infinity,-0.0723,-0.0156,-0.0968,0.1511,0.2000,0.1251,0.1346,0.2722,0.1685,0.2140,0.1912,-0.2204,Infinity
19,Total Other Income Expenses (Gains),-1481257,1383028,2418019,-268208,-298141,-118851,-149645,-92398,-113845,-810850,-1013943,-1069789,-805400,-852709,-1950474,-2557167,-1119286,-559814,-2184677
20,Income Before Tax,- -,- -,- -,-1030000,-710000,-371587,-350000,-140000,-470000,280000,630000,161630,668180,2535930,553150,1414680,2953390,-2814824,2160449
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-0.1264,-0.0459,-0.1277,0.0388,0.0766,0.0164,0.0610,0.2037,0.0372,0.0762,0.1387,-0.2751,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,800,- -,- -,- -,-340000,70000,139750,194920,770720,432200,151760,15840,605937,-48637
23,Net Income,-2904939,-2707048,793828,-720000,-310000,-372387,-450000,-140000,-470000,620000,560000,21890,473260,1765200,-11420,1217880,2943380,-3420761,2111812
24,Net Income ratio,-2.0158,-2.8809,1.4454,-Infinity,-Infinity,-Infinity,-0.1625,-0.0459,-0.1277,0.0859,0.0681,0.0022,0.0432,0.1418,-0.0008,0.0656,0.1382,-0.3344,Infinity
25,EPS,-228.00,-108.00,20.00,-8.80,-2.01,-2.29,-0.01,-0.00,-0.01,0.02,0.01,0.00,0.00,0.05,-0.00,0.03,0.12,-0.12,0.12
26,EPS Diluted,-228.00,-108.00,1.82,-8.80,-2.01,-2.29,-0.01,-0.00,-0.01,0.02,0.01,0.00,0.00,0.04,-0.00,0.03,0.11,-0.12,0.12
27,Weighted Average Shares Outstanding,12770,24621,38264,84862,153852,162862,30286660,33931722,37508091,38119310,38310591,38513084,39066415,39162303,39418194,39824772,25521232,18282262,18282262
28,Weighted Average Shares Outstanding Diluted,12770,24621,435265,84862,153852,162862,30475812,35325294,37508091,38119310,38310591,38517594,39123489,39592827,39418194,41202480,27144397,18282262,18282262
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/13156/000125529413000237/0001255294-13-000237-index.html,https://www.sec.gov/Archives/edgar/data/13156/000125529414000261/0001255294-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459015002286/0001564590-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459016015650/0001564590-16-015650-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459017006563/0001564590-17-006563-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459018007438/0001564590-18-007438-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459019010241/0001564590-19-010241-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459020013685/0001564590-20-013685-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459021016756/0001564590-21-016756-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459022012685/0001564590-22-012685-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,125545,35433,1230404,12885,1684,12279,408839,444434,200128,398424,438502,560184,570623,2304761,3486147,6311563,9686698,5993388,16058714
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,125545,35433,1230404,12885,1684,12279,408839,444434,200128,398424,438502,560184,570623,2304761,3486147,6311563,9686698,5993388,16058714
34,Net Receivables,438774,1023023,218448,- -,- -,- -,433170,344226,973332,1043923,1292009,1856041,1828669,2137245,2301752,2849861,3359933,2493254,4377165
35,Inventory,23981,- -,- -,- -,- -,- -,123671,175372,217162,217772,297480,232789,411700,427105,524126,531814,665654,668525,770248
36,Other Current Assets,- -,483482,81489,83195,218612,- -,43314,24940,57650,630605,357018,298628,249703,279324,458164,513606,761650,2407666,2683995
37,Total Current Assets,588300,1541938,1530341,96080,220296,12279,1008994,988972,1448272,2290724,2385009,2947642,3060695,5148435,6770189,10206844,14473935,11562833,23890122
38,PP&E,4779713,1955921,1321740,1531661,- -,- -,32316,44101,42637,90832,130835,507763,433362,568384,637517,671147,588120,116724,1266497
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1091000,1091000,1091000,1091000,1091000,1091000,1091000,1091000,1091000,1091000,1091000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,276879,466621,20111763,18550416,16811511,14756648,13261636,11755019,10361809,8890252,7430643,16086896,13677264
41,Intangible Assets,- -,- -,- -,- -,- -,- -,276879,466621,21202763,19641416,17902511,15847648,14352636,12846019,11452809,9981252,8521643,17177896,14768264
42,Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436669,143614,82562,367057,230648,334482,399283,- -,- -
44,Other Non-Current Assets,115031,17577,316961,23544,- -,- -,407472,422088,421739,381974,372331,45416,41793,82050,23000,- -,- -,- -,527822
45,Total Non-Current Assets,4894744,1973498,1638701,1555205,- -,100000,716667,932810,21667139,20114222,18842346,16544441,14910353,13863510,12343974,10986881,9509046,17294620,16562583
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5483044,3515436,3169042,1651285,220296,112279,1725661,1921782,23115411,22404946,21227355,19492083,17971048,19011945,19114163,21193725,23982981,28857453,40452705
48,Accounts Payable,146320,479003,697415,145861,173745,242028,309348,195899,274576,286983,241754,518428,1421848,461913,1035383,681936,766305,467792,374323
49,Short-Term Debt,376356,- -,165418,3275,- -,- -,379441,188908,1835709,2360930,2929918,3547137,4707316,1230285,1195787,1471046,1653667,2417803,1323175
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,65052,93921,93134,265446,786430,519610,82091,64832,95879,1536682
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,208729,220867,336048,440342,526922,647625,717690,1014731,1083639,1438492,1294265,- -,- -
52,Other Current Liabilities,429657,650123,63539,- -,245167,396256,134418,134076,358860,473843,603579,653398,1107163,2001756,1554526,1399141,1450879,-2222392,2703573
53,Total Current Liabilities,952333,1129126,926372,149136,418912,638284,1031936,739750,2805193,3562098,4302173,5366588,7954017,4708685,4869335,4990615,5165116,663203,4401071
54,Long-Term Debt,3755283,2049517,1324610,1279804,- -,- -,1172392,1148448,20035366,18250864,15645939,12056467,7436171,8669151,7420385,8649828,46291014,2222392,53162839
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175218
57,Other Non-Current Liabilities,- -,-1,- -,42898,- -,45000,- -,- -,- -,- -,- -,193446,130651,1008298,1361575,96181,159473,- -,- -
58,Total Non-Current Liabilities,3755283,2049516,1324610,1322702,- -,45000,1172392,1148448,20035366,18250864,15645939,12249913,7566822,9677449,8781960,8746009,46450487,2222392,53338057
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56930748,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203477,137204,46978,14217,- -,38118,1411091,- -
61,Total Liabilities,4707616,3178642,2250982,1471838,418912,683284,2204328,1888198,22840559,21812962,19948112,17616501,15520839,14386134,13651295,13736624,51615603,55371559,57739128
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8157,15016,15377,2897,163,163,33056,34974,37507,38311,38311,38991,39216,39316,39566,39922,18018,21971,23524
64,Retained Earnings,-6081639,-8788687,-7994859,-8735061,-9023256,-9395645,-1578034,-1713895,-2187231,-1565505,-1002188,-980300,-792446,1477022,1465599,2683478,-33446276,- -,-33543351
65,Other Comprehensive Income/Loss,-66611,-85457,-123213,-116376,- -,- -,-45627,-58459,-80871,-395746,-277609,-27597,239598,-627422,-564272,-1173022,-1279601,37691,-147193
66,Other Total Stockholders Equity,6743683,8397772,8909430,8938117,8824477,8824477,1111938,1770964,2505447,2514924,2520729,2844488,2963841,3736895,4521975,5906723,7075237,-24856627,16380597
67,Total Stockholders Equity,603590,-461356,806735,89577,-198616,-571005,-478667,33584,274852,591984,1279243,1875582,2450209,4625811,5462868,7457101,-27632622,-24796965,-17286423
68,Total Liabilities And Stockholders Equity,5311206,2717286,3057717,1561415,220296,112279,1725661,1921782,23115411,22404946,21227355,19492083,17971048,19011945,19114163,21193725,23982981,30574594,40452705
69,Minority Interest,171838,798150,111325,89870,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1717141,- -
70,Total Liabilities & Equity,5483044,3515436,3169042,1651285,220296,112279,1725661,1921782,23115411,22404946,21227355,19492083,17971048,19011945,19114163,21193725,23982981,28857453,40452705
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/13156/000125529413000237/0001255294-13-000237-index.html,https://www.sec.gov/Archives/edgar/data/13156/000125529414000261/0001255294-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459015002286/0001564590-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459016015650/0001564590-16-015650-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459017006563/0001564590-17-006563-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459018007438/0001564590-18-007438-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459019010241/0001564590-19-010241-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459020013685/0001564590-20-013685-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459021016756/0001564590-21-016756-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459022012685/0001564590-22-012685-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-2904939,-2707048,793828,-720000,-310000,-372387,-450000,-140000,-470000,620000,560000,21890,473260,1765200,-11420,1217880,2943380,-3420761,2111812
74,Depreciation and Amortization,-80114,-87385,-43950,-42583,- -,- -,23080,39090,457630,1615457,1634467,1671440,1673862,1698033,1766541,1839594,2206748,2222042,3087513
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-341823,69767,139745,251629,69280,136409,-103834,-64801,596874,24326
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,10959,26665,28000,91152,5805,323759,119677,145732,813480,776354,927696,737991,1532455
77,Change in Working Capital,410691,776845,191157,-657025,-145560,-427389,603063,272164,-1606143,85547,-645790,-501782,-2474376,5333072,1461104,3315375,4092590,1590811,8589421
78,Accounts Receivable,-38774,-45023,-173068,- -,- -,- -,-191005,4982,-575185,-218440,-246809,-199455,-389833,-322423,-172567,-588003,-361663,-236890,-2367258
79,Inventory,-23981,- -,- -,- -,- -,- -,-77494,-51701,-107327,-610,-138997,-11373,-288795,-177511,-448319,-481861,-476833,-51709,-427795
80,Accounts Payable,575977,330236,259109,-316034,113628,- -,188472,-97449,78677,12407,-45260,276727,903420,-959936,573470,-353447,84369,-1081836,-91242
81,Other Working Capital,-364033,412812,603969,-53056,-198616,-626005,-22942,249222,-1356921,-1271374,-1917164,-2418946,-4893322,439750,1900854,5216229,9308819,10899630,19489051
82,Other Non-Cash Items,2069441,502716,-2519223,536258,439427,765371,-608689,-334590,1316572,70578,751549,1569921,3237035,-4843786,-1340248,-2752744,-5215018,-3313204,-9341951
83,Cash Provided by Operating Activities,-504921,-1514872,-1578188,-883350,-16133,-34405,-421587,-136671,-273941,2140911,2375798,3224973,3281087,4167531,2825866,4292625,4890595,-1586247,6003576
84,CAPEX,-62867,-80348,- -,- -,- -,- -,-24967,-24617,-20948,-18467,-22653,-111716,-45638,-82702,-100617,-102841,-163351,-62794,25000
85,Acquisitions Net,- -,- -,-639357,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,40026,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,189049,3125000,3623525,574,4932,- -,44885,-18113,28510,-43737,4963,-35000,- -,- -,-43917,-33048,-57400,-6393920,-258734
89,Cash Used for Investing Activites,126182,3044652,2984168,-199426,4932,- -,19918,-2704,7562,-62204,-17690,-111716,-45638,-82702,-100617,-102841,-163351,-6456714,-233734
90,Debt Repayment,-53371,-2057513,-714760,-44805,- -,- -,-47911,-340477,-184531,-1402484,-2323599,-2977932,-3213732,-12180810,-1682354,-10695262,-1528722,-1645400,-13104942
91,Common Stock Issued,40000,45100,- -,- -,- -,- -,632534,500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,511597,392522,503751,-89938,- -,45000,200000,15447,6604,- -,- -,- -,- -,9862005,17909,9254990,165675,6034634,17467235
95,Cash Used/Provided by Financing Activities,498226,-1619891,-211009,-134743,- -,45000,784623,174970,22073,-1402484,-2323599,-2977932,-3213732,-2318805,-1664445,-1440272,-1363047,4389234,4362293
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-460706,5569,-13643,-11278,-31886,120582,-19158,10938,-39583,-66809
97,Net Change In Cash,119487,-90111,1194971,-1217519,-11201,10595,382954,35595,-244306,215517,40078,121682,10439,1734138,1181386,2730354,3375135,-3693310,10065326
98,Cash at the End of Period,125545,35433,1230404,12885,1684,12279,408839,444434,200128,398424,438502,560184,570623,2304761,3486147,6311563,9686698,5993388,16058714
99,Cash at the Beginning of Period,6058,125544,35433,1230404,12885,1684,25885,408839,444434,182907,398424,438502,560184,570623,2304761,3581209,6311563,9686698,5993388
100,Free Cash Flow,-567788,-1595220,-1578188,-883350,-16133,-34405,-446554,-161288,-294889,2122444,2353145,3113257,3235449,4084829,2725249,4189784,4727244,-1649041,6028576
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/13156/000125529413000237/0001255294-13-000237-index.html,https://www.sec.gov/Archives/edgar/data/13156/000125529414000261/0001255294-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459015002286/0001564590-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459016015650/0001564590-16-015650-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459017006563/0001564590-17-006563-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459018007438/0001564590-18-007438-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459019010241/0001564590-19-010241-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459020013685/0001564590-20-013685-index.html,https://www.sec.gov/Archives/edgar/data/13156/000156459021016756/0001564590-21-016756-index.htm,https://www.sec.gov/Archives/edgar/data/13156/000156459022012685/0001564590-22-012685-index.htm
102,false,,,,,,,,,,,,,,,,,,,
