,https://roic.ai/company/GLOB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1557860/000114420415025184/v408086_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420416097409/v437453_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420417019512/v463666_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420418020505/tv490757_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420419016991/0001144204-19-016991-index.html,https://www.sec.gov/Archives/edgar/data/1557860/000110465920027221/0001104659-20-027221-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7685000,17051000,34195000,36720000,50532000,52525000,77606000,62721000,278939000,427804000
32,Short-Term Investments,- -,914000,9634000,27984000,26560000,10255000,9020000,9185000,24307000,20861000,34638000
33,Cash and Short-Term Investments,- -,8599000,26685000,62179000,63280000,60787000,61545000,86791000,87028000,299800000,462442000
34,Net Receivables,- -,33836000,38361000,53761000,60264000,67992000,92349000,121646000,170050000,218886000,349303000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1358000,2403000,548000,4258000,5047000,2086000,4593000,19373000,16913000,7855000
37,Total Current Assets,- -,43793000,67449000,116488000,127802000,133826000,155980000,213030000,276451000,535599000,819600000
38,PP&E,- -,10865000,14723000,19213000,25720000,35676000,43879000,51460000,146314000,191037000,278152000
39,Goodwill,- -,9181000,13046000,12772000,32532000,65180000,98926000,104846000,188538000,392760000,572959000
40,Intangible Assets,- -,4305000,6141000,6105000,7209000,13791000,11365000,11778000,27110000,86721000,102016000
41,Intangible Assets,- -,13486000,19187000,18877000,39741000,78971000,110291000,116624000,215648000,479481000,674975000
42,Investments,- -,- -,1284000,750000,1521000,1119000,2105000,4872000,5877000,18916000,26260000
43,Tax Assets,- -,2588000,3117000,4881000,7983000,7691000,13186000,16916000,26868000,41507000,58404000
44,Other Non-Current Assets,- -,10650000,5987000,916000,20122000,27465000,31736000,34197000,16606000,22227000,32846000
45,Total Non-Current Assets,- -,37589000,44298000,44637000,95087000,150922000,201197000,224069000,411313000,753168000,1070637000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,81382000,111747000,161125000,222889000,284748000,357177000,437099000,687764000,1288767000,1890237000
48,Accounts Payable,- -,3029000,6172000,3075000,1794000,1951000,7258000,6137000,10623000,16928000,63210000
49,Short-Term Debt,- -,11717000,1048000,513000,280000,217000,6011000,- -,20637000,16265000,36222000
50,Tax Payable,- -,4268000,8770000,7411000,14568000,11757000,12008000,14947000,26074000,44455000,38389000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,291000,- -,- -,- -
52,Other Current Liabilities,- -,20186000,30904000,28229000,44667000,52831000,60791000,86475000,114931000,172437000,286867000
53,Total Current Liabilities,- -,34932000,38124000,31817000,46741000,54999000,74060000,92903000,146191000,205630000,386299000
54,Long-Term Debt,- -,65000,10747000,772000,268000,- -,- -,- -,50188000,25061000,110503000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1028000,13698000,1289000
57,Other Non-Current Liabilities,- -,3447000,3011000,1057000,15695000,21189000,19753000,6280000,51643000,164439000,83833000
58,Total Non-Current Liabilities,- -,3512000,13758000,1829000,15963000,21189000,19753000,6280000,102859000,203198000,195625000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,61363000,87598000,134485000
61,Total Liabilities,- -,38444000,51882000,33646000,62704000,76188000,93813000,99183000,249050000,408828000,581924000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,32749000,34794000,40324000,41050000,41576000,42271000,43158000,44356000,47861000,50080000
64,Retained Earnings,- -,-1511000,12389000,37590000,69243000,105119000,135658000,187335000,239378000,293595000,389660000
65,Other Comprehensive Income/Loss,- -,-9000,-278000,-711000,-2012000,-961000,-1253000,-2136000,-2557000,-2674000,-6395000
66,Other Total Stockholders Equity,- -,11709000,12468000,50276000,51854000,62790000,86728000,109559000,157537000,541157000,872030000
67,Total Stockholders Equity,- -,42938000,59373000,127479000,160135000,208524000,263404000,337916000,438714000,879939000,1305375000
68,Total Liabilities And Stockholders Equity,- -,81382000,111255000,161125000,222839000,284712000,357217000,437099000,687764000,1288767000,1887299000
69,Minority Interest,- -,- -,492000,- -,50000,36000,-40000,- -,- -,- -,2938000
70,Total Liabilities & Equity,- -,81382000,111747000,161125000,222889000,284748000,357177000,437099000,687764000,1288767000,1890237000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1557860/000114420415025184/v408086_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420416097409/v437453_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420417019512/v463666_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420418020505/tv490757_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420419016991/0001144204-19-016991-index.html,https://www.sec.gov/Archives/edgar/data/1557860/000110465920027221/0001104659-20-027221-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,7088000,-1301000,13769000,25201000,31653000,35876000,30539000,51677000,54015000,54217000,96355000
74,Depreciation and Amortization,2499000,4770000,7156000,8034000,9301000,10918000,16128000,20543000,38839000,48480000,80286000
75,Deferred Income Tax,1689000,-160000,6009000,8931000,18420000,14327000,8081000,15868000,15017000,22307000,28497000
76,Stock Based Compensation,- -,11709000,793000,617000,2382000,3620000,12865000,10551000,15357000,22423000,37031000
77,Change in Working Capital,-8909000,-7990000,-4757000,-2356000,-27986000,-23072000,-14462000,-21834000,-39458000,-30212000,-41484000
78,Accounts Receivable,-6662000,-7172000,-5971000,-6336000,-6525000,-5847000,-25599000,-36356000,-38945000,-33926000,-93019000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,433000,579000,1451000,2905000,1386000,-1219000,4341000,2479000,7235000,-2770000,10870000
81,Other Working Capital,- -,- -,-40000,- -,-91000,-400000,-1320000,-222000,-194000,-615000,-8113000
82,Other Non-Cash Items,-1193000,687000,-21759000,-26131000,-39085000,-10189000,-10162000,-9608000,-4061000,-17343000,-21711000
83,Cash Provided by Operating Activities,1174000,7715000,1211000,14296000,-5315000,31480000,42989000,67197000,79709000,99872000,178974000
84,CAPEX,-6054000,-7383000,-7382000,-13872000,-17817000,-24034000,-28052000,-28882000,-31992000,-53462000,-77634000
85,Acquisitions Net,-1123000,-3099000,-2210000,-350000,-10569000,-17084000,-19618000,-7387000,-106279000,-75059000,-165314000
86,Purchases of Investments,- -,- -,-30153000,-88671000,-218688000,-423448000,-152191000,-137062000,-165448000,-474510000,-317014000
87,Sales/Maturities of Investments,906000,1536000,21082000,72782000,234130000,442683000,153320000,138423000,153097000,478065000,285833000
88,Other Investing Activites,-1505000,-1570000,24097000,3949000,14253000,-12490000,-19440000,-20920000,-12553000,-23217000,-33619000
89,Cash Used for Investing Activites,-7126000,-9162000,7769000,-23681000,5531000,-27999000,-57534000,-46117000,-151558000,-124015000,-272880000
90,Debt Repayment,-6033000,-7887000,-3783000,-9690000,-505000,-543000,-16298000,-6004000,-56164000,-217569000,-51170000
91,Common Stock Issued,5766000,1959000,6448000,40455000,- -,- -,5695000,3217000,- -,300880000,286207000
92,Common Stock Repurchased,- -,-848000,-4155000,- -,- -,- -,- -,- -,- -,- -,-7256000
93,Dividends Paid,-307000,-439000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10893000,9416000,3561000,-2297000,2503000,8242000,27201000,6881000,112876000,158235000,16205000
95,Cash Used/Provided by Financing Activities,10319000,2201000,2071000,28468000,1998000,7699000,16598000,4094000,56712000,241546000,243986000
96,Effect of Forex Changes on Cash,-91000,-82000,-1685000,-1939000,311000,2632000,-60000,-93000,252000,-1185000,-1215000
97,Net Change In Cash,4276000,672000,9366000,17144000,2525000,13812000,1993000,25081000,-14885000,216218000,148865000
98,Cash at the End of Period,7013000,7685000,17051000,34195000,36720000,50532000,52525000,77606000,62721000,278939000,427804000
99,Cash at the Beginning of Period,2737000,7013000,7685000,17051000,34195000,36720000,50532000,52525000,77606000,62721000,278939000
100,Free Cash Flow,-4880000,332000,-6171000,424000,-23132000,7446000,14937000,38315000,47717000,46410000,101340000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1557860/000114420415025184/v408086_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420416097409/v437453_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420417019512/v463666_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420418020505/tv490757_20f.htm,https://www.sec.gov/Archives/edgar/data/1557860/000114420419016991/0001144204-19-016991-index.html,https://www.sec.gov/Archives/edgar/data/1557860/000110465920027221/0001104659-20-027221-index.html,- -,- -
102,false,,,,,,,,,,,
