,https://roic.ai/company/CRAI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13411000,11114000,- -,8152000,16324000,23415000,18786000,16194000,- -,25336000
81,Other Working Capital,- -,7700000,32900000,38000000,42800000,41100000,37709000,79000000,101300000,148400000,160000000,149600000,143100000,150700000,99300000,107651000,102500000,- -,75003000,54336000,76411000,62300000,4839000,- -,6602000
82,Other Non-Cash Items,-300000,-200000,-32400000,-13913000,-8625000,4007000,12855000,-32350000,-17058000,-39852000,-26726000,41943000,-1290000,-6536000,62447000,35208000,-1190000,- -,33383000,14054000,-967000,13876000,206000,- -,-90000
83,Cash Provided by Operating Activities,3600000,13700000,3100000,2890000,5856000,13419000,22388000,31844000,41918000,47431000,30876000,45385000,21728000,21158000,30031000,-8525000,18448000,- -,30150000,48163000,45858000,36189000,27832000,- -,54663000
84,CAPEX,-2300000,-1600000,-10900000,-3444000,-3648000,-3934000,-6161000,-8720000,-13886000,-6059000,-11091000,-9150000,-2231000,-4491000,-8246000,-2732000,-2816000,- -,-4192000,-13023000,-9757000,-15447000,-16693000,- -,-17094000
85,Acquisitions Net,- -,- -,- -,-4845000,- -,-10517000,- -,-91880000,-24322000,-19138000,-7233000,-1730000,- -,9999000,-844000,- -,-15591000,- -,-1784000,1100000,-15913000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-8700000,- -,- -,-319000,- -,- -,-1065000,- -,- -,- -,-23326000,-59992000,-61049000,-9494000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2926000,577000,- -,- -,2986000,3265000,- -,- -,3606000,- -,83943000,46618000,23989000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,314000,- -,- -,-4815000,-2350000,613000,-15593000,- -,- -,989000,14000,- -,114000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2300000,-1600000,-19600000,-5363000,-3071000,-14770000,-5847000,-97614000,-36008000,-30012000,-20674000,-6661000,-41150000,29459000,-23521000,12752000,-18393000,- -,-5862000,-11923000,-25670000,-15447000,-16693000,- -,-17094000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-489000,-700000,-334000,-650000,-18020000,- -,-26000,-7575000,-11500000,-30161000,-54000000,- -,-77000000
91,Common Stock Issued,400000,29500000,4800000,35000,100000,701000,26109000,4980000,44410000,9626000,11748000,2185000,113000,1010000,620000,647000,207000,- -,469000,2853000,6420000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2336000,-683000,-19998000,- -,-11998000,-57467000,-11817000,-850000,-4940000,-9087000,-9062000,-2190000,- -,-25492000,-19315000,-19528000,-27884000,-18068000,- -,-13371000
93,Dividends Paid,-1600000,-11700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1166000,-4941000,-5784000,-6539000,- -,-7395000
94,Other Financing Activites,500000,100000,-200000,2716000,-1243000,-320000,-600000,85708000,-720000,801000,4086000,-9754000,-16501000,-41420000,-22977000,-1279000,15477000,- -,-830000,6013000,7698000,28082000,54789000,- -,78266000
95,Cash Used/Provided by Financing Activities,-700000,17900000,4600000,2751000,-1143000,-1955000,24826000,70690000,43690000,-1571000,-41633000,-19386000,-17727000,-46050000,-31778000,-10344000,-4526000,- -,-25879000,-19190000,-21851000,-35747000,-23818000,- -,-19500000
96,Effect of Forex Changes on Cash,- -,- -,- -,-149000,-67000,272000,284000,194000,-8000,519000,377000,-541000,642000,132000,-650000,-19000,271000,- -,-1461000,-1659000,2168000,-1002000,290000,- -,1969000
97,Net Change In Cash,-700000,17900000,-11800000,129000,1575000,-3034000,41651000,5114000,49592000,16367000,-31054000,18797000,-36507000,4699000,-25918000,-6136000,-4200000,- -,-3052000,15391000,505000,-16007000,-12389000,- -,20038000
98,Cash at the End of Period,- -,- -,20200000,20305000,21880000,18846000,60497000,65611000,115203000,131570000,100516000,119313000,82806000,161723000,61587000,55451000,51251000,- -,48199000,53530000,54035000,38028000,25639000,- -,45677000
99,Cash at the Beginning of Period,1400000,2100000,32000000,20176000,20305000,21880000,18846000,60497000,65611000,115203000,131570000,100516000,119313000,157024000,87505000,61587000,55451000,- -,51251000,38139000,53530000,54035000,38028000,- -,25639000
100,Free Cash Flow,1300000,12100000,-7800000,-554000,2208000,9485000,16227000,23124000,28032000,41372000,19785000,36235000,19497000,16667000,21785000,-11257000,15632000,- -,25958000,35140000,36101000,20742000,11139000,- -,37569000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1053706/000105370621000008/0001053706-21-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
