,https://roic.ai/company/BLRX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,25970310,21359551,18157358,34636729,47663000,35623000,49483000,30151000,27489000,22587000,57135000
34,Net Receivables,- -,1004992,603329,358650,256810,291000,223000,586000,1339000,613000,141000,142000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,180504,215207,257286,220600,229000,255000,307000,488000,108000,152000,127000
37,Total Current Assets,- -,27155807,22178086,18773295,35114139,48183000,36101000,50376000,31978000,28210000,22880000,57404000
38,PP&E,- -,1106411,849050,709548,720095,2909000,2605000,2505000,2227000,3466000,2696000,2283000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,300578,284533,252118,117362,152000,181000,7023000,21972000,21891000,316000,21704000
41,Intangible Assets,- -,300578,284533,252118,117362,152000,181000,7023000,21972000,21891000,- -,21704000
42,Investments,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,775092,994930,213065,214180,58000,52000,61000,56000,- -,21714000,- -
45,Total Non-Current Assets,- -,2182081,2128514,1174731,1051637,3119000,2838000,10589000,24255000,25357000,24410000,23987000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,29337888,24306600,19948026,36165776,51302000,38939000,60965000,56233000,53567000,47290000,81391000
48,Accounts Payable,- -,2962428,3287794,2281407,1651545,1910000,2590000,5516000,4493000,7794000,5918000,5567000
49,Short-Term Debt,- -,80662,36671,- -,- -,93000,93000,93000,895000,2894000,3283000,2925000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,683630,- -,- -,- -,- -,- -,- -,- -,3000,- -
52,Other Current Liabilities,- -,3711771,2418936,717588,1250408,1137000,978000,1113000,1363000,1280000,1437000,1227000
53,Total Current Liabilities,- -,6754861,6427030,2998995,2901953,3140000,3661000,6722000,6751000,11968000,10641000,9719000
54,Long-Term Debt,- -,28902,- -,- -,- -,344000,250000,157000,7838000,5799000,2740000,1726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,21808,2909040,5266045,1497972,208000,1000,1205000,323000,2420000,- -,1859000
58,Total Non-Current Liabilities,- -,50709,2909040,5266045,1497972,552000,251000,1362000,8161000,8219000,2740000,3585000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17359000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1964000,1852000,1894000
61,Total Liabilities,- -,6805570,9336071,8265039,4399925,3692000,3912000,8084000,14912000,20187000,25260000,13304000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,324750,491710,693180,1004384,1455000,1513000,2836000,3110000,4692000,9870000,21066000
64,Retained Earnings,- -,-96707567,-118936332,-145233884,-140063381,-159365000,-175206000,-199558000,-222520000,-247966000,-277987000,-305041000
65,Other Comprehensive Income/Loss,- -,-2000525,9047790,9818234,9365859,9319000,9153000,8921000,10539000,10716000,10906000,11741000
66,Other Total Stockholders Equity,- -,120915659,124367361,146405456,161458989,196201000,199567000,240682000,250192000,265938000,279241000,340321000
67,Total Stockholders Equity,- -,22532317,14970530,11682986,31765851,47610000,35027000,52881000,41321000,33380000,22030000,68087000
68,Total Liabilities And Stockholders Equity,- -,29337888,24306600,19948026,36165776,51302000,38939000,60965000,56233000,53567000,47290000,81391000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,29337888,24306600,19948026,36165776,51302000,38939000,60965000,56233000,53567000,47290000,81391000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1498403/000117891312000763/0001178913-12-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891313000655/0001178913-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891314000942/0001178913-14-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891315000957/0001178913-15-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891316004649/0001178913-16-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891317000871/0001178913-17-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891318000765/0001178913-18-000765-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891319000965/0001178913-19-000965-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891320000790/0001178913-20-000790-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,2096962,-13186022,-20415210,-17641924,-10174811,-14400000,-15841000,-24352000,-22962000,-25446000,-30021000,-27054000
74,Depreciation and Amortization,511275,410667,407929,329361,246538,441000,482000,481000,545000,940000,861000,703000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1848089,1046506,839949,872936,968687,1152000,1075000,1508000,2526000,1759000,- -,1495000
77,Change in Working Capital,4366698,1393589,48448,-3591385,151004,154000,411000,2646000,-1707000,4324000,-1288000,-540000
78,Accounts Receivable,9807807,485286,389193,262168,73448,-42000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2640086,-886758,-995198,-202728,-5671134,-1515000,-640000,-830000,-2594000,-4243000,30448000,1823000
83,Cash Provided by Operating Activities,11463110,-11222018,-20114081,-20233740,-14479716,-14168000,-14513000,-20547000,-24192000,-22666000,- -,-23573000
84,CAPEX,-660938,-284813,-176395,-117157,-178483,-2719000,-55000,-4238000,-10216000,-73000,- -,-97000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1000000,1500000,- -,- -,- -
86,Purchases of Investments,-8043709,-16672622,-3426179,-37145441,-53018159,-63130000,-32982000,-44016000,-26500000,-43545000,- -,-78000000
87,Sales/Maturities of Investments,381343,7174987,17345300,31571859,35030933,50249000,42334000,33327000,44771000,48875000,- -,39873000
88,Other Investing Activites,-138670,-120336,-16328,-28428,-5393,-36000,-3000,-3900000,-10043000,-6000,16668000,- -
89,Cash Used for Investing Activites,-8323304,-9867840,13742726,-5690739,-18165709,-15600000,9297000,-15927000,9555000,5257000,16668000,-38224000
90,Debt Repayment,-79200,-80925,-80301,-36468,- -,-31000,-93000,-93000,-411000,-1104000,-3357000,-3572000
91,Common Stock Issued,- -,- -,15847953,15881120,30256322,29053000,2183000,38773000,3830000,20297000,- -,50407000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,294815,263,535,2872,- -,467000,- -,- -,9678000,1000,21223000,10914000
95,Cash Used/Provided by Financing Activities,215615,-80662,15768187,15847523,30256322,29489000,2090000,38680000,13097000,19194000,17866000,57749000
96,Effect of Forex Changes on Cash,-1704909,504467,46039,-677100,239861,33000,51000,435000,-166000,108000,206000,207000
97,Net Change In Cash,1650512,-20673936,9442871,-10754056,-2149243,-246000,-3075000,2641000,-1706000,1893000,11534000,-3841000
98,Cash at the End of Period,31495579,8686548,18292317,8869490,5783103,5544000,2469000,5110000,3404000,5297000,- -,12990000
99,Cash at the Beginning of Period,29845067,29360483,8849446,19623546,7932346,5790000,5544000,2469000,5110000,3404000,- -,16831000
100,Free Cash Flow,10802172,-11506831,-20290476,-20350897,-14658199,-16887000,-14568000,-24785000,-34408000,-22739000,- -,-23670000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1498403/000117891312000763/0001178913-12-000763-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891313000655/0001178913-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891314000942/0001178913-14-000942-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891315000957/0001178913-15-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891316004649/0001178913-16-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891317000871/0001178913-17-000871-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891318000765/0001178913-18-000765-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891319000965/0001178913-19-000965-index.htm,https://www.sec.gov/Archives/edgar/data/1498403/000117891320000790/0001178913-20-000790-index.htm,- -,- -
102,false,,,,,,,,,,,,
