,https://roic.ai/company/DFFN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,-2640000,-92200,-41900,-55800,-991093,-3589267,-7636956,-16429344,-11791869,-12917330,-14613818,-23827032,18371729,11348447,-18958746,-11551796,-15974944,-24677107
18,Operating Income ratio,- -,- -,- -,-1.0313,-Infinity,-Infinity,-Infinity,-24.6608,-Infinity,-190.0260,-28.7994,-31.4834,-180.2410,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-70000,-2663,-6196,-4962,84315,-329719,-772649,592176,4942053,10459381,-2555890,6357,-36773144,-13768650,151647,85302,114257,-24514942893
20,Income Before Tax,- -,- -,- -,-2710000,-94863,-48096,-60762,- -,- -,-8409605,-15837168,-6849816,-2457949,-17169708,-23820675,-18401415,-2420203,-18807099,-11466494,-15860687,-24539620000
21,Income Before Tax Ratio,- -,- -,- -,-1.0586,-Infinity,-Infinity,-Infinity,- -,- -,-209.2514,-27.7613,-18.2885,-34.2968,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2816884,- -,-364796,-1055685,-437289,332885,-1675381,-443893000
23,Net Income,- -,- -,- -,-2710000,-94863,-48096,-60762,-1093267,-3401098,-8409605,-15837168,-6849815,-2464350,-14352824,-23820675,-18036619,-1364518,-18369810,-11799379,-14185306,-24095727000
24,Net Income ratio,- -,- -,- -,-1.0586,-Infinity,-Infinity,-Infinity,-27.2031,-Infinity,-209.2514,-27.7613,-18.2885,-34.3861,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,- -,-923.65,-13551.86,-6870.86,-3797.63,-300.00,-900.00,-2099.99,-3149.98,-2249.99,-150.00,-150.00,-192.00,-26.40,-3.15,-8.21,-1.76,-0.30,-236.46
26,EPS Diluted,- -,- -,- -,-923.65,-13551.86,-6870.86,-3797.63,-300.00,-900.00,-2099.99,-3149.98,-2249.99,-150.00,-150.00,-192.00,-26.44,-29.10,-8.21,-1.76,-0.30,-236.46
27,Weighted Average Shares Outstanding,- -,- -,- -,101925000,101925000,7,16,3597,3846,4105,5051,5968,17644,95330,124100,682189,829846,3242301,6706509,53831973,101903979
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,101925000,101925000,7,16,3597,3846,4105,5051,5968,17644,95330,124100,682189,850358,3242301,6706509,53831973,101903979
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1053691/000114420408011390/0001144204-08-011390-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000114420409020840/0001144204-09-020840-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752310002063/0001157523-10-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752311002225/0001157523-11-002225-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000101968712001932/0001019687-12-001932-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1053691/000101968714001441/0001019687-14-001441-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000110465915025785/0001104659-15-025785-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774916028395/0001437749-16-028395-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774917005713/0001437749-17-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774918006050/0001437749-18-006050-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774919005256/0001437749-19-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774920005469/0001437749-20-005469-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774921006236/0001437749-21-006236-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774922006737/0001437749-22-006737-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,800,- -,- -,98449,312093,254964,21883887,12006075,1552852,8896468,7991172,14177349,18515595,37313558
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,800,- -,- -,98449,312093,254964,21883887,12006075,1552852,8896468,7991172,14177349,18515595,37313558
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,10165,- -,- -,- -,71946,2020,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,9482,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,120000,- -,- -,- -,198716,44827,613150,87502,77599,2741299,2286930,169150,50844,769946,923059,472464,260825,510015
37,Total Current Assets,- -,- -,- -,120000,- -,- -,- -,219163,44827,613150,185951,461638,2998283,24170817,12175225,1603696,9666414,8914231,14649813,18776420,37823573
38,PP&E,- -,- -,- -,20000,- -,- -,- -,2469,1798,10051,78135,49038,11262,102315,57995,79755,460652,350281,499409,298360,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2073345,1073345,1073345,3008966,1935621,7642825,12055991,985000,6929258,6929258,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,3360000,- -,- -,- -,4067355,2951098,2255688,350500,- -,7691682,6449628,6449628,8639000,8639000,8639000,8639000,8639000,- -
41,Intangible Assets,- -,- -,- -,3360000,- -,- -,- -,6140700,4024443,3329033,3359466,1935621,15334507,18505619,7434628,15568258,15568258,8639000,8639000,8639000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,212000,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1623303,50000,- -,- -,- -,- -,232675,450491,298480,322301,15771,15578
45,Total Non-Current Assets,- -,- -,- -,3380000,- -,- -,- -,6143169,4238241,4962387,3487601,1984659,15345769,18607934,7742623,15880688,16479401,9287761,9460710,8953131,15578
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,3500000,- -,- -,- -,6362332,4283068,5575537,3673552,2446297,18344052,42778751,19917848,17484384,26145815,18201992,24110523,27729551,37839151
48,Accounts Payable,- -,- -,- -,780000,10000,37500,82500,633605,384951,903258,789021,1203382,1520206,417307,36110,1684158,511956,198818,1251412,545844,947495
49,Short-Term Debt,- -,- -,- -,870000,75000,75000,75000,1301298,1413995,229813,688919,4004103,1867002,- -,- -,1880000,550000,- -,111477,113469,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443893,- -
52,Other Current Liabilities,- -,- -,- -,2290000,9863,30459,46221,1923123,1365527,3797243,2308277,15645151,5491110,1921293,1167692,874264,1628851,605226,358532,1332577,1980189
53,Total Current Liabilities,- -,- -,- -,3940000,94863,142959,203721,3858026,3164473,4930314,3786217,20852636,8878318,2338600,1203802,4438422,2690807,804044,1721421,2435783,2927684
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1000000,625000,- -,- -,- -,- -,- -,- -,550000,- -,- -,- -,35693,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000576,2274526,2274526,3279363,2223678,1786389,2119274,443893,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,625000,- -,- -,- -,- -,- -,31915,1386,- -,135566,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1000000,625000,625000,- -,- -,3000576,2274526,2274526,3861278,2225064,1786389,2254840,479586,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247043,149162,- -
61,Total Liabilities,- -,- -,- -,3940000,94863,142959,203721,4858026,3789473,5555314,3786217,20852636,11878894,4613126,3478328,8299700,4915871,2590433,3976261,2915369,2927684
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,598775,28,28,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,119,119,243,57132,58615,64122,88157,89084,5814,18615,18615,10346,14520,3377,33481,64016,101914
64,Retained Earnings,- -,- -,- -,- -,-12693669,-12741765,-12802527,-13607367,-18073782,-26483387,-42053664,-56717225,-60937550,-75290374,-99111049,-60189237,-61554889,-79924699,-91724078,-105909384,-130005111
65,Other Comprehensive Income/Loss,- -,- -,- -,-880000,- -,- -,- -,-117930,-118601,-123985,-148379,- -,-212816,-6719,-21143,-239892,-306818,-417189,-511433,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,440000,12598687,12598687,12598563,15172471,18627363,25964698,42041759,38240853,67603309,113444103,115553097,69603467,83077131,95950070,112336292,130659550,164814664
67,Total Stockholders Equity,- -,- -,- -,-440000,-94863,-142959,-203721,1504306,493595,20223,-72099,-18387260,6458757,38165625,16439520,9184684,21229944,15611559,20134262,24814182,34911467
68,Total Liabilities And Stockholders Equity,- -,- -,- -,3500000,- -,- -,- -,6362332,4283068,5575537,3714118,2465376,18337651,42778751,19917848,17484384,26145815,18201992,24110523,27729551,37839151
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40566,-19079,6401,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,3500000,- -,- -,- -,6362332,4283068,5575537,3673552,2446297,18344052,42778751,19917848,17484384,26145815,18201992,24110523,27729551,37839151
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1053691/000114420408011390/0001144204-08-011390-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000114420409020840/0001144204-09-020840-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752310002063/0001157523-10-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752311002225/0001157523-11-002225-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000101968712001932/0001019687-12-001932-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1053691/000101968714001441/0001019687-14-001441-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000110465915025785/0001104659-15-025785-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774916028395/0001437749-16-028395-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774917005713/0001437749-17-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774918006050/0001437749-18-006050-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774919005256/0001437749-19-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774920005469/0001437749-20-005469-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774921006236/0001437749-21-006236-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774922006737/0001437749-22-006737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-94863,-48096,-60762,-1093267,-3401098,-8409605,-15837168,-6849815,-2464350,-14352824,-23820675,-18036619,-1364518,-18369810,-11799379,-14185306,-24095727000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,55852,47204,49672,119805,34043,675757,566262,23269,25342,67981,110371,97915,103168,93416
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2816884,- -,-364796,-1055685,-437289,332885,-1675381,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361993,- -,3773662,262813,1606947,2095086,1391068,1240551,1221591,515762,736119,- -
77,Change in Working Capital,- -,- -,- -,- -,3725137,-48096,-60762,-3435142,519217,-1197518,716898,-16790732,14510963,27712252,-7936344,-13806149,9810333,1134580,4818205,3412245,18555252
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,9482,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,11194,-163832,518307,-114237,414361,316824,-3801324,-1134798,991625,-1663789,-275835,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-94863,-142959,-203721,-3638863,-3119646,-4317164,-3600266,-20390998,-5880035,21832217,10971423,-2834726,6975607,8110187,12928392,16340637,34895889
82,Other Non-Cash Items,- -,- -,- -,- -,-3705274,96192,121524,3966607,1777607,6214332,2975986,15522359,-14169813,-21745886,20039079,20022889,-21031017,5567741,-3823763,-1943474,24077078332
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-75000,- -,- -,-505950,-1057070,-1981126,-12024479,-4310483,-1184630,-9030133,-9599585,-10768265,-12332355,-10772816,-9858375,-13552629,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-1122,-13636,-124999,- -,- -,-50911,-28227,-2331,-447823,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-212000,-1370809,-502126,- -,- -,- -,-250000,8500602,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-1122,-13636,-483767,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-213122,-1384445,-985893,- -,- -,-50911,-278227,8498271,-447823,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-122963,-82891,- -,- -,- -,- -,-1540000,- -,- -,-1880000,-550000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,625000,1294000,2310000,3989359,143829,427501,31849967,- -,- -,- -,10846062,12318956,10827100,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54346,-125980,-428542,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,75000,- -,- -,4517,58283,1055571,9119462,4380298,700000,400000,- -,1880000,22129774,- -,3725596,7063775,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,75000,- -,- -,506554,1269392,3365571,13108821,4524127,1127501,30709967,- -,1825654,20123794,9867520,16044552,17890875,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,75000,- -,- -,604,1269392,3365571,13108821,213644,-57129,21628923,-9877812,-444340,7343616,-905296,6186177,4338246,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,800,- -,- -,98449,312093,254964,21883887,12006075,1552852,8896468,7991172,14177349,18515595,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,196,800,- -,- -,98449,312093,254964,21883887,1997192,1552852,8896468,7991172,14177349,18515595
100,Free Cash Flow,- -,- -,- -,- -,-75000,- -,- -,-505950,-1058192,-1994762,-12149478,-4310483,-1184630,-9081044,-9627812,-10770596,-12780178,-10772816,-9858375,-13552629,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1053691/000114420408011390/0001144204-08-011390-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000114420409020840/0001144204-09-020840-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752310002063/0001157523-10-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000115752311002225/0001157523-11-002225-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000101968712001932/0001019687-12-001932-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1053691/000101968714001441/0001019687-14-001441-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000110465915025785/0001104659-15-025785-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774916028395/0001437749-16-028395-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774917005713/0001437749-17-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774918006050/0001437749-18-006050-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774919005256/0001437749-19-005256-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774920005469/0001437749-20-005469-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774921006236/0001437749-21-006236-index.htm,https://www.sec.gov/Archives/edgar/data/1053691/000143774922006737/0001437749-22-006737-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
