,https://roic.ai/company/BCYC,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1127000,3039000,1700000,1822000,3448000
45,Total Non-Current Assets,2489000,4857000,6048000,5429000,21237000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,74001000,81626000,110194000,161152000,479792000
48,Accounts Payable,2065000,1887000,1949000,1365000,2721000
49,Short-Term Debt,- -,- -,640000,844000,12081000
50,Tax Payable,94000,15000,1000,- -,- -
51,Deferred Revenue,3981000,10000,728000,10135000,19273000
52,Other Current Liabilities,3405000,7032000,5504000,10785000,2163000
53,Total Current Liabilities,9451000,8929000,8821000,23129000,36238000
54,Long-Term Debt,- -,- -,- -,14931000,41954000
55,Deferred Revenue,10486000,14625000,4929000,25021000,52067000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,101248000,127898000,3246000,2611000,3279000
58,Total Non-Current Liabilities,111734000,142523000,8175000,42563000,97300000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1891000,1270000,- -
61,Total Liabilities,121185000,151452000,16996000,65692000,133538000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,5000,10000,227000,266000,- -
64,Retained Earnings,-48096000,-69942000,-100550000,-151560000,-218379000
65,Other Comprehensive Income/Loss,69000,-1751000,-1535000,-3193000,-3388000
66,Other Total Stockholders Equity,838000,1857000,195056000,249947000,568021000
67,Total Stockholders Equity,-47184000,-69826000,93198000,95460000,346254000
68,Total Liabilities And Stockholders Equity,74001000,81626000,110194000,161152000,479792000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,74001000,81626000,110194000,161152000,479792000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1761612/000155837020002278/0001558370-20-002278-index.html,https://www.sec.gov/Archives/edgar/data/1761612/000155837021002758/0001558370-21-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1761612/000155837022002457/0001558370-22-002457-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-16259000,-21846000,-30608000,-51010000,-66819000
74,Depreciation and Amortization,332000,712000,960000,1277000,1409000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,515000,1023000,3083000,6514000,12083000
77,Change in Working Capital,13022000,5779000,27485000,37269000,289723000
78,Accounts Receivable,- -,-400000,4909000,-2149000,4543000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,67000,-169000,220000,-663000,1196000
81,Other Working Capital,62061000,67840000,95325000,132594000,422317000
82,Other Non-Cash Items,975000,-11746000,-29533000,-11839000,-251190000
83,Cash Provided by Operating Activities,-1415000,-26078000,-28613000,-17789000,-14794000
84,CAPEX,-1113000,-1186000,-1555000,-1200000,-2030000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1113000,-1186000,-1555000,-1200000,-2030000
90,Debt Repayment,- -,- -,- -,- -,73000
91,Common Stock Issued,- -,1000,56957000,48144000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,57876000,25429000,1483000,14699000,320652000
95,Cash Used/Provided by Financing Activities,57876000,25430000,58440000,62843000,320725000
96,Effect of Forex Changes on Cash,2913000,-2449000,465000,19000,-1211000
97,Net Change In Cash,58261000,-4283000,28737000,43873000,302690000
98,Cash at the End of Period,67663000,63380000,92117000,135990000,438680000
99,Cash at the Beginning of Period,9402000,67663000,63380000,92117000,135990000
100,Free Cash Flow,-2528000,-27264000,-30168000,-18989000,-16824000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1761612/000155837020002278/0001558370-20-002278-index.html,https://www.sec.gov/Archives/edgar/data/1761612/000155837021002758/0001558370-21-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1761612/000155837022002457/0001558370-22-002457-index.htm
102,false,,,,,
