,https://roic.ai/company/SNCR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,2138000,2726000,- -,2127000,2425000,3267000,5237000,6656000,8499000,9403000,14739000,23812000,41126000,55956000,72152000,99311000,93924000,97092000,77037000,42672000,- -
15,EBITDA,-7558000,-3144000,-1044000,2159000,11158000,20819000,43047000,27056000,28073000,19764000,34918000,67474000,76794000,119533000,148109000,117922000,5394000,-135340000,-24325000,5282000,- -
16,EBITDA ratio,-1.3446,-0.3841,-0.0631,0.0794,0.2058,0.2875,0.3485,0.2438,0.2179,0.1191,0.1524,0.2465,0.2200,0.2614,0.2559,0.2473,0.0134,-0.4154,-0.0788,0.0181,- -
17,Operating Income,-10624000,-6454000,16550000,-288000,8475000,15296000,33836000,18031000,19048000,9303000,18369000,41458000,34894000,62298000,79590000,-71809000,-129602000,-164276000,-107788000,-48122000,-19017000
18,Operating Income ratio,-1.8901,-0.7885,1.0000,-0.0106,0.1563,0.2113,0.2739,0.1625,0.1479,0.0561,0.0802,0.1515,0.1000,0.1362,0.1375,-0.1506,-0.3221,-0.5042,-0.3491,-0.1650,-0.0678
19,Total Other Income Expenses (Gains),832000,400000,- -,281000,125000,2156000,3908000,2273000,-215000,-206000,-10000,1206000,-315000,-1724000,-3292000,-2722000,-99485000,-98898000,6495000,10656000,-11258000
20,Income Before Tax,-9792000,-6054000,- -,-7000,8600000,17452000,37744000,20304000,18833000,9097000,18359000,42664000,34579000,60574000,76298000,-74531000,-229087000,-263174000,-101293000,-37466000,-30275000
21,Income Before Tax Ratio,-1.7420,-0.7396,- -,-0.0003,0.1586,0.2410,0.3055,0.1829,0.1462,0.0548,0.0801,0.1559,0.0991,0.1325,0.1318,-0.1563,-0.5694,-0.8077,-0.3281,-0.1285,-0.1079
22,Income Tax expense (Gain),- -,- -,- -,- -,-3829000,7310000,13988000,8424000,6536000,5223000,3233000,15581000,11228000,21679000,29616000,-7990000,-34863000,-17894000,2174000,-27108000,- -
23,Net Income,-9792000,-6054000,-1044000,-7000,12429000,10142000,23756000,11880000,12297000,3874000,15126000,27083000,23351000,38895000,40630000,19588000,-109438000,-218155000,-104593000,-10702000,- -
24,Net Income ratio,-1.7420,-0.7396,-0.0631,-0.0003,0.2292,0.1401,0.1923,0.1070,0.0955,0.0233,0.0660,0.0990,0.0669,0.0851,0.0702,0.0411,-0.2720,-0.6695,-0.3388,-0.0367,- -
25,EPS,-1.29,-0.68,-0.11,-0.00,0.57,0.37,0.74,0.38,0.40,0.12,0.44,0.71,0.60,0.96,0.96,0.45,-2.45,-6.05,-3.36,-1.16,0.00
26,EPS Diluted,-1.29,-0.68,-0.11,-0.00,0.50,0.35,0.71,0.37,0.39,0.12,0.43,0.69,0.58,0.92,0.89,0.45,-2.45,-6.05,-3.36,-1.16,0.00
27,Weighted Average Shares Outstanding,7594000,8932000,9838000,10244000,21916000,27248000,32215000,31619000,30813000,31971000,37372000,38195000,38891000,40418000,42284000,43571000,44669000,40277000,40694000,41950000,85646000
28,Weighted Average Shares Outstanding Diluted,7594000,8932000,9838000,10244000,24921000,29196000,33375000,32187000,31145000,33011000,38619000,39126000,40009000,43297000,47653000,43571000,44669000,40277000,40694000,41950000,85646000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131554/000089322007000772/0000893220-07-000772-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322008000587/0000893220-08-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322009000554/0000893220-09-000554-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012310022484/0000950123-10-022484-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012311022210/0000950123-11-022210-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746912001638/0001047469-12-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746913001391/0001047469-13-001391-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746914001396/0001047469-14-001396-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155415000005/0001131554-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155416000033/0001131554-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155417000037/0001131554-17-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155418000025/0001131554-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155419000024/0001131554-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155420000025/0001131554-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000012/0001131554-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155422000018/0001131554-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3404000,8786000,73905000,92756000,72203000,89924000,180367000,69430000,36028000,63512000,235967000,147634000,181018000,156299000,103771000,38990000,33671000,31504000
32,Short-Term Investments,- -,- -,- -,1193000,4152000,3780000,1891000,2277000,2558000,1766000,51504000,20188000,9105000,51097000,66357000,12506000,3111000,28230000,11000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,4597000,12938000,77685000,94647000,74480000,92482000,182133000,120934000,56216000,72617000,287064000,213991000,193524000,159410000,132001000,39001000,33671000,31504000
34,Net Receivables,- -,- -,- -,7245000,13092000,16917000,26710000,25296000,25939000,34940000,57387000,77565000,64933000,118371000,143692000,137233000,78186000,102798000,65863000,47849000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,699000,5213000,1965000,3196000,4402000,5531000,11878000,19999000,23123000,24077000,36498000,49262000,33696000,133383000,59655000,38033000,39847000,47586000
37,Total Current Assets,- -,- -,- -,12541000,31243000,96567000,124553000,104178000,123952000,228951000,198320000,156904000,161627000,441933000,406945000,364453000,370979000,294454000,142897000,121367000,79090000
38,PP&E,- -,- -,- -,4098000,4207000,5262000,10467000,17280000,23735000,32622000,34969000,58162000,106106000,151171000,168280000,155599000,111825000,67937000,80490000,46270000,26399000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,6862000,6911000,19063000,54617000,115517000,137743000,147135000,221271000,269905000,237303000,224899000,222969000,232771000,224577000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3580000,2727000,33231000,63969000,110760000,101963000,99489000,174322000,203864000,132167000,98706000,77613000,69593000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10442000,9638000,52294000,118586000,226277000,239706000,246624000,395593000,473769000,369470000,323605000,300582000,302364000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,5202000,7502000,31642000,653000,4988000,3313000,19635000,48864000,33917000,8277000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,620000,1643000,2498000,8505000,8992000,16432000,12606000,6961000,4210000,1232000,3560000,1503000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,6145000,4138000,1453000,1500000,4914000,1040000,2598000,2495000,3482000,10382000,18549000,21337000,120541000,79220000,8982000,8054000,12254000,- -
45,Total Non-Current Assets,- -,- -,- -,10243000,8965000,8358000,14465000,41141000,48607000,111448000,200298000,295535000,365392000,420889000,608405000,800276000,594432000,408801000,389126000,360888000,- -
46,Other Assets,30041000,22255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371644000
47,Total Assets,30041000,22255000,- -,22784000,40208000,104925000,139018000,145319000,172559000,340399000,398618000,452439000,527019000,862822000,1015350000,1164729000,965411000,703255000,532023000,482255000,450734000
48,Accounts Payable,- -,- -,- -,999000,1822000,728000,1681000,2838000,5171000,7013000,7712000,8980000,9528000,25059000,26038000,15770000,5959000,13576000,21551000,12749000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,- -,113542000,- -,10000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,631000,793000,451000,373000,1452000,3095000,5143000,8834000,11320000,15372000,11897000,8323000,27542000,75829000,57101000,65858000,33045000,- -
52,Other Current Liabilities,- -,- -,- -,2834000,6854000,7807000,9495000,8640000,7350000,12999000,28888000,40348000,37941000,50679000,45819000,81295000,110698000,59545000,65987000,69326000,73013000
53,Total Current Liabilities,- -,- -,- -,4464000,9469000,9652000,11549000,12930000,15616000,25155000,45434000,60648000,62841000,87635000,80180000,153607000,192486000,243764000,153396000,125120000,73013000
54,Long-Term Debt,- -,- -,- -,1333000,666000,- -,- -,- -,- -,- -,9241000,- -,- -,230000000,230000000,226291000,227704000,- -,- -,44273000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12134000,25241000,59841000,21941000,12569000,22916000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3698000,16404000,49822000,13735000,1347000,1679000,1875000,- -
57,Other Non-Current Liabilities,- -,- -,- -,34903000,34937000,- -,678000,8051000,10479000,27221000,9380000,17134000,16539000,12382000,78952000,65760000,42658000,32791000,78065000,17495000,- -
58,Total Non-Current Liabilities,- -,- -,- -,36236000,35603000,- -,678000,8051000,10479000,27221000,18621000,17134000,16539000,246080000,325356000,354007000,309338000,93979000,101685000,76212000,- -
59,Other Liabilities,40828000,39007000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201893000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,6685000,9150000,9205000,9241000,9540000,9252000,9204000,13343000,12121000,11183000,9494000,60976000,54351000,- -
61,Total Liabilities,40828000,39007000,- -,40700000,45072000,9652000,12227000,20981000,26095000,52376000,64055000,77782000,79380000,333715000,405536000,507614000,501824000,337743000,255081000,201332000,274906000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176603000,200865000,237641000,- -
63,Common Stock,- -,- -,- -,1000,1000,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,- -
64,Retained Earnings,- -,- -,- -,-18120000,-5691000,4451000,28207000,40087000,52384000,56258000,71384000,98467000,121818000,160713000,201343000,220453000,-5014000,-233299000,-334319000,-345771000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-10091000,-11005000,-11853000,-16610000,-22595000,-26429000,-30434000,-1000000,-24594000,-1000000,-20000000,-39000000,-42000000,-23000000,-30000000,-33000000,-28213000,-32985000
66,Other Total Stockholders Equity,- -,- -,- -,10294000,11831000,102672000,115191000,106843000,120506000,262195000,264175000,300780000,326817000,388390000,447467000,478657000,491596000,452203000,443391000,417261000,- -
67,Total Stockholders Equity,-10787000,-16752000,- -,-17916000,-4864000,95273000,126791000,124338000,146464000,288023000,334563000,374657000,447639000,529107000,609814000,657115000,463587000,365512000,276942000,280923000,258619000
68,Total Liabilities And Stockholders Equity,30041000,22255000,- -,22784000,40208000,104925000,139018000,145319000,172559000,340399000,398618000,452439000,527019000,862822000,1015350000,1164729000,965411000,703255000,532023000,482255000,533525000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82791000
70,Total Liabilities & Equity,30041000,22255000,- -,22784000,40208000,104925000,139018000,145319000,172559000,340399000,398618000,452439000,527019000,862822000,1015350000,1164729000,965411000,703255000,532023000,482255000,450734000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1131554/000089322007000772/0000893220-07-000772-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322008000587/0000893220-08-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322009000554/0000893220-09-000554-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012310022484/0000950123-10-022484-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012311022210/0000950123-11-022210-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746912001638/0001047469-12-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746913001391/0001047469-13-001391-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746914001396/0001047469-14-001396-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155415000005/0001131554-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155416000033/0001131554-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155417000037/0001131554-17-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155418000025/0001131554-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155419000024/0001131554-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155420000025/0001131554-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000012/0001131554-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155422000018/0001131554-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9792000,- -,- -,-7000,12429000,10142000,23756000,11880000,12297000,3874000,15126000,27083000,23351000,38895000,40630000,19588000,-109438000,-218155000,-104593000,-10702000,- -
74,Depreciation and Amortization,2138000,- -,- -,2127000,2425000,3267000,5237000,6656000,8499000,9403000,14739000,23812000,41126000,55956000,72152000,99311000,93924000,97092000,77037000,42672000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-4644000,2689000,-790000,-715000,-884000,69000,-642000,1475000,1575000,3207000,8319000,32826000,19243000,-12350000,357000,-911000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,8256000,13637000,22051000,20425000,25214000,28987000,31711000,33979000,22495000,27604000,22287000,11137000,- -
77,Change in Working Capital,- -,- -,- -,8077000,13697000,65141000,26089000,-21756000,17088000,95460000,-50910000,-56630000,2530000,255512000,-27533000,-115919000,-32353000,-127803000,-61189000,6746000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-643000,-8740000,-19409000,-11611000,10167000,-50924000,-27577000,-1662000,29283000,-21521000,10891000,11703000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000,4169000,6185000,-11139000,-9098000,6846000,8879000,-7127000,- -
81,Other Working Capital,- -,- -,- -,8077000,21774000,86915000,113004000,91248000,108336000,203796000,152886000,96256000,98786000,354298000,326765000,210846000,178493000,50690000,-10499000,-3753000,- -
82,Other Non-Cash Items,7654000,- -,- -,-11845000,-15882000,-67283000,-30814000,30310000,-15531000,-100701000,42221000,39709000,-12704000,-311578000,-7698000,72804000,-12119000,202243000,98684000,-49506000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,-1648000,8025000,13956000,23478000,26375000,29725000,21742000,42585000,55874000,81092000,70979000,117581000,142589000,-18248000,-31369000,32583000,-564000,- -
84,CAPEX,- -,- -,- -,-3282000,-2414000,-4322000,-10442000,-4449000,-12089000,-15423000,-14732000,-33234000,-73434000,-73885000,-61160000,-58542000,-21270000,-26028000,-21191000,-17950000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-18000000,- -,-31000000,-56000000,-105000000,-7000000,-38000000,-102000000,-59000000,127000000,-10000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2959000,-1537000,-3645000,-6368000,-4103000,-4723000,-82098000,-13146000,-8366000,-50275000,-139569000,-13445000,-219000,-36789000,-51745000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1396000,2848000,3814000,5601000,2971000,2893000,3230000,7259000,74334000,14825000,9265000,106210000,82904000,12979000,4865000,86884000,11000,- -
88,Other Investing Activites,- -,- -,- -,50000,545000,- -,- -,444000,-19000,694000,447000,-177000,323000,-85000,-30792000,-69428000,-943814000,-13702000,-7579000,-13465000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1836000,-1980000,-2045000,-8486000,-25402000,-13318000,-47222000,-145124000,-77223000,-73652000,-152980000,-226111000,-117511000,-816205000,-67282000,19377000,-14339000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-949000,-945000,-1015000,-1597000,-41515000,-2021000,-118815000,-931985000,-115030000,-116206000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,4000,46773000,1565000,784000,- -,106637000,- -,612000,1474000,1677000,1902000,2183000,1047000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-23694000,- -,- -,-19999000,-24615000,- -,- -,- -,-40025000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7075000,-7075000,- -,- -
94,Other Financing Activites,- -,- -,- -,1958000,-667000,6435000,2294000,1384000,1314000,10451000,12750000,12601000,20231000,294141000,20666000,147681000,895274000,86220000,2024000,9991000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1958000,-663000,53208000,3859000,-21526000,1314000,116139000,-8194000,-12417000,20108000,254303000,20547000,-8976000,-35664000,-35885000,-121257000,9991000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-216000,-204000,364000,-64000,153000,-350000,-853000,-9641000,-1729000,-1562000,-418000,- -
97,Net Change In Cash,- -,- -,- -,-1526000,5382000,65119000,18851000,-20553000,17721000,90443000,-110937000,-33402000,27484000,172455000,-88333000,33384000,34692000,-136265000,-70859000,-5330000,- -
98,Cash at the End of Period,- -,- -,- -,3404000,8786000,73905000,92756000,72203000,89924000,180367000,69430000,36028000,63512000,235967000,147634000,181018000,246125000,109860000,39001000,33671000,31504000
99,Cash at the Beginning of Period,- -,- -,- -,4930000,3404000,8786000,73905000,92756000,72203000,89924000,180367000,69430000,36028000,63512000,235967000,147634000,211433000,246125000,109860000,39001000,- -
100,Free Cash Flow,- -,- -,- -,-4930000,5611000,9634000,13036000,21926000,17636000,6319000,27853000,22640000,7658000,-2906000,56421000,84047000,-39518000,-57397000,11392000,-18514000,- -
101,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1131554/000089322007000772/0000893220-07-000772-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322008000587/0000893220-08-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000089322009000554/0000893220-09-000554-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012310022484/0000950123-10-022484-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000095012311022210/0000950123-11-022210-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746912001638/0001047469-12-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746913001391/0001047469-13-001391-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000104746914001396/0001047469-14-001396-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155415000005/0001131554-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155416000033/0001131554-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155417000037/0001131554-17-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155418000025/0001131554-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155419000024/0001131554-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155420000025/0001131554-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000012/0001131554-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1131554/000113155422000018/0001131554-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
