,https://roic.ai/company/KLR,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,346000,- -
61,Total Liabilities,- -,1059286,156178000,125931000,331059000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,139840530,2000,3000,4000
64,Retained Earnings,- -,-665385,-40993000,-67803000,-101800000
65,Other Comprehensive Income/Loss,- -,- -,74000,-2826000,-2010000
66,Other Total Stockholders Equity,- -,5664971,- -,63197000,- -
67,Total Stockholders Equity,- -,144840116,-38774000,-7429000,117422000
68,Total Liabilities And Stockholders Equity,- -,145899402,117404000,118502000,448481000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,145899402,117404000,118502000,448481000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1719489/000156459021013298/0001564590-21-013298-index.htm,https://www.sec.gov/Archives/edgar/data/1719489/000156459022009084/0001564590-22-009084-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-665385,-5512000,-26810000,-33997000
74,Depreciation and Amortization,- -,- -,2648000,2773000,15004000
75,Deferred Income Tax,- -,- -,-14000,-2747000,-8255000
76,Stock Based Compensation,- -,- -,2070000,19415000,19991000
77,Change in Working Capital,- -,942618,-34139476,35721000,-7538000
78,Accounts Receivable,- -,- -,-10427000,-478000,-16879000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,64581,15145000,-11832000,1908000
81,Other Working Capital,- -,-345350,-39444000,-3723000,5685000
82,Other Non-Cash Items,- -,-1814589,41400476,-40674000,2863000
83,Cash Provided by Operating Activities,- -,-1537356,6453000,-12322000,-11932000
84,CAPEX,- -,- -,-2031000,-3427000,-7114000
85,Acquisitions Net,- -,- -,- -,- -,-208650000
86,Purchases of Investments,- -,- -,-5868000,-7913000,-52224000
87,Sales/Maturities of Investments,- -,- -,3882000,8156000,50741000
88,Other Investing Activites,- -,-143370877,21086000,-2997000,-5257000
89,Cash Used for Investing Activites,- -,-143370877,17687000,-3168000,-217247000
90,Debt Repayment,- -,-50536,-4844000,-20255000,-15366000
91,Common Stock Issued,- -,146170000,- -,36152000,99051000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-613963,9546000,-6170000,205920000
95,Cash Used/Provided by Financing Activities,- -,145505501,4702000,9727000,289605000
96,Effect of Forex Changes on Cash,- -,- -,-52000,1736000,-1694000
97,Net Change In Cash,- -,145505501,28790000,-4027000,58732000
98,Cash at the End of Period,- -,597268,36997000,32970000,91702000
99,Cash at the Beginning of Period,- -,- -,8207000,36997000,32970000
100,Free Cash Flow,- -,-1537356,4422000,-15749000,-19046000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1719489/000156459021013298/0001564590-21-013298-index.htm,https://www.sec.gov/Archives/edgar/data/1719489/000156459022009084/0001564590-22-009084-index.htm
102,false,,,,,
