,https://roic.ai/company/PCOM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,5000000,5000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,374767,454977,490791,508008,506177,- -,- -,- -,- -,1575000,6485000,5966000,3492000,1755000,1725000,2557000,2645000,2105000,3087000,4164000
44,Other Non-Current Assets,- -,- -,- -,1356136,2520333,3576247,4568511,3518848,2480497,2224814,1640000,2224000,2370000,2824000,2639000,2548000,4231000,4465000,4789000,2351000,5647000,202000,- -
45,Total Non-Current Assets,- -,- -,- -,3095528,4146347,10956796,11622500,9890806,8047647,6909353,7859000,11273000,11091000,14745000,16540000,36490000,36732000,30216000,29741000,26078000,27688000,24491000,22256000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,8346526,21192105,25105108,34840043,34877267,49329060,42714472,47143000,52476000,64285000,78744000,95012000,85061000,99928000,103234000,119145000,122540000,138700000,112030000,148742000
48,Accounts Payable,- -,- -,- -,646605,915812,1576022,1966813,2867938,3458699,- -,- -,3781000,3455000,49585000,60894000,42290000,55334000,59577000,73565000,79238000,92036000,56395000,84582000
49,Short-Term Debt,- -,- -,- -,258607,- -,7445250,364802,28753,5877,- -,- -,629000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,1136000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1560000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1615868,1087059,609000,- -,- -,393000,567000,488000,855000,496000,1244000,682000,796000,546000,1184000
52,Other Current Liabilities,- -,- -,- -,5682890,8062838,11588557,13613615,18153048,30491431,29183998,33302000,31337000,40911000,201000,567000,797000,997000,1913000,851000,1115000,3650000,1946000,1842000
53,Total Current Liabilities,- -,- -,- -,6588102,8978651,20609829,15945231,21049739,35571875,30271057,33911000,35747000,44366000,50179000,62028000,43575000,57186000,61986000,75660000,81035000,96482000,62387000,88744000
54,Long-Term Debt,- -,- -,- -,4562316,6197222,372090,8381511,4538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,27000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000,- -,- -,270000,91000,55000,46000,123000,55000,133000,95000,57000,29000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000,211000,- -,- -,722000,1731000,985000
57,Other Non-Current Liabilities,- -,- -,- -,- -,10043784,11556455,15839896,16734968,20889525,259220,- -,951000,877000,468000,346000,214000,76000,596000,483000,362000,2209000,1136000,5000
58,Total Non-Current Liabilities,- -,- -,- -,4562316,16241007,11928545,24221407,16739506,20889525,259220,301000,951000,877000,738000,437000,269000,547000,930000,538000,495000,3026000,14424000,1046000
59,Other Liabilities,- -,- -,- -,- -,32482013,23857090,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000,122000,132000,152000,17000,113000,120000,3532000,2593000,1163000
61,Total Liabilities,- -,- -,- -,11150418,25219657,32538374,40166638,37789245,56461401,30530277,34212000,36698000,45243000,50917000,62465000,43844000,57733000,62916000,76198000,81530000,99508000,76811000,89790000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,56662421,56662000,- -,- -,57564000,58693000,61084000,59293000,58412000,56394000,53886000,45799000,49251000,70991000
64,Retained Earnings,- -,- -,- -,-12196337,-19847010,-28894010,-40837575,-47473795,-61631442,-49527082,-49463000,-47507000,-48050000,-39788000,-36182000,-31498000,-26333000,-27848000,-24468000,-16676000,-6791000,-16450000,-16794000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2000544,-3654220,-4201923,-5508346,-6949344,-10015085,-11146466,-2452000,-1228000,-1677000,-2260000,-3354000,-4330000,-1000000,-4799000,-5508000,-1000000,-8864000,623000,-123000
66,Other Total Stockholders Equity,- -,- -,- -,11392990,19473678,25662667,41019327,51511160,64514187,16195322,8184000,64513000,68769000,12311000,13390000,15961000,10235000,14553000,16529000,4800000,9048000,1795000,4878000
67,Total Stockholders Equity,- -,- -,- -,-2803892,-4027552,-7433267,-5326595,-2911978,-7132341,12184195,12931000,15778000,19042000,27827000,32547000,41217000,42195000,40318000,42947000,41010000,39192000,35219000,58952000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,8346526,21192105,25105108,34840043,34877267,49329060,42714472,47143000,52476000,64285000,78744000,95012000,85061000,99928000,103234000,119145000,122540000,138700000,112030000,148742000
69,Minority Interest,- -,- -,- -,- -,0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,8346526,21192105,25105108,34840043,34877267,49329060,42714472,47143000,52476000,64285000,78744000,95012000,85061000,99928000,103234000,119145000,122540000,138700000,112030000,148742000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445907000399/exh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445908000602/ptsexh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445909001166/form20f.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445910001120/0001204459-10-001120-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445912000473/0001204459-12-000473-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299313001079/0001062993-13-001079-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000106299316008155/0001062993-16-008155-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299317001266/0001062993-17-001266-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299318001135/0001062993-18-001135-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299319001174/0001062993-19-001174-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299320001257/0001062993-20-001257-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-412994,390235,-7034945,-4959238,-5040363,-7327170,-8545062,-6783369,-4479789,-3555038,64000,1956000,4032000,8262000,3606000,4684000,5165000,-1515000,3380000,7792000,11889000,-5357000,-344000
74,Depreciation and Amortization,4458,279484,998908,1530067,2218837,1932178,2601949,2680662,3080957,1201742,781000,895000,2298000,2803000,3285000,2150000,3546000,4529000,3988000,3364000,4668000,4859000,4545000
75,Deferred Income Tax,- -,-393386,- -,- -,- -,- -,- -,- -,- -,- -,-344000,-172000,-489000,-4876000,624000,1864000,2261000,-345000,-1223000,279000,969000,-130000,-1069000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,863000,1264000,1821000,1588000,2317000,4455000,4381000,5172000,3129000,6653000
77,Change in Working Capital,57165,-301094,1437274,4529094,596918,1545366,2058084,5243030,11240351,-5938519,3981000,3977000,1403000,6748000,14625000,-17081000,10689000,286000,4150000,6552000,166000,-11077000,17725000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,906131,541000,-147000,- -,499000,511000,-877000,-683000,-1069000,-3684000,-1577000,-12546000,18305000,-9540000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270518,-130000,- -,- -,1120000,110000,562000,-452000,805000,1663000,1491000,4277000,-8031000,3579000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2071369,111000,3789000,2019000,41000,70000,-145000,-2073000,50000,54000,2661000,-2250000,14000,-1147000
82,Other Non-Cash Items,-8481,-2277262,1386143,653718,1140025,1892287,1938186,1435951,1284023,3740337,317000,1885000,-225000,206000,-114000,-1057000,-1317000,4582000,2015000,-2347000,1500000,3550000,-1381000
83,Cash Provided by Operating Activities,-359852,-2302023,-3212620,1753641,-1084582,-1957339,-1946843,2576275,11125543,-4551478,4799000,8541000,7606000,14006000,23290000,-7619000,21932000,9854000,16765000,20021000,24364000,-5026000,26129000
84,CAPEX,-25197,-607558,-832604,-28934,-261211,-1543229,-2602091,-982412,-1033172,-837320,-1595000,-5333000,-2121000,-1698000,-2170000,-2648000,-3452000,-3093000,-2735000,-2274000,-2378000,-2287000,-1784000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2022058,- -,-7343431,-4975494,-2510000,- -,- -,- -,-3500000,-1500000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2014772,- -,11589113,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-94944,84455,-27416,-168343,-100521,-2626118,-952418,-343171,-0,-185945,-1351000,-4904000,-1353000,-2195000,385000,-1905000,-2275000,-11215000,8539000,-1070000,-1147000,-1837000,-880000
89,Cash Used for Investing Activites,-120141,-523103,-860020,-197277,-361732,-4169347,-5576566,689188,-8376603,5776299,-4105000,-6267000,-1964000,-3273000,-4095000,-20159000,-2922000,-12626000,7298000,-2274000,-2378000,-2287000,-1784000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5927,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1229000,-26293000,-16231000
91,Common Stock Issued,2697799,3523272,823731,1671790,14077728,610662,13536334,375675,1459428,1957454,1958000,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23275000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-960000,-595000,-731000,-5782000,-3181000,-5767000,-10719000,-16608000,-1042000,-3257000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,291434,-277474,2236142,-403221,-2658067,92347,-24475,-25582,-33307,- -,- -,- -,524000,717000,736000,117000,277000,5000,60000,-2371000,-3101000,38858000,-2340000
95,Cash Used/Provided by Financing Activities,2989233,3245798,3059873,1268569,11419660,703009,13511859,350094,1426121,1951527,- -,18000,524000,-243000,141000,-614000,-5505000,-3176000,-5707000,-13090000,-20938000,11523000,1447000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-625277,421362,-2771607,-1857832,366000,-243000,224000,-235000,-256000,1072000,991000,1076000,-1334000,960000,-214000,-1105000,786000
97,Net Change In Cash,2509240,420672,-1012767,2824933,9973346,-5423676,5363173,4036919,1403455,1318516,1060000,2049000,6390000,10255000,19080000,-27320000,14496000,-4872000,17022000,5617000,834000,3105000,26578000
98,Cash at the End of Period,2523172,3004857,1818101,4663440,15634874,11441944,17206481,21181400,21355479,22854494,23914000,28463000,34853000,45108000,64188000,36868000,51364000,46492000,63514000,69131000,69965000,73070000,99648000
99,Cash at the Beginning of Period,13932,2584185,2830868,1838507,5661528,16865620,11843308,17144481,19952025,21535978,22854000,26414000,28463000,34853000,45108000,64188000,36868000,51364000,46492000,63514000,69131000,69965000,73070000
100,Free Cash Flow,-385049,-2909581,-4045224,1724707,-1345793,-3500567,-4548934,1593862,10092371,-5388798,3204000,3208000,5485000,12308000,21120000,-10267000,18480000,6761000,14030000,17747000,21986000,-7313000,24345000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445907000399/exh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445908000602/ptsexh992.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445909001166/form20f.htm,https://www.sec.gov/Archives/edgar/data/1204413/000120445910001120/0001204459-10-001120-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1204413/000120445912000473/0001204459-12-000473-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299313001079/0001062993-13-001079-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1204413/000106299316008155/0001062993-16-008155-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299317001266/0001062993-17-001266-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299318001135/0001062993-18-001135-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299319001174/0001062993-19-001174-index.html,https://www.sec.gov/Archives/edgar/data/1204413/000106299320001257/0001062993-20-001257-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
