,https://roic.ai/company/ADTN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,425600000,262857143,74924000,158274408,79130994,78327526,77662182,79408572,77352374,76443500,80739000,80985000,77966000,75197000,69212000,64408000,63356000,63879000,65416000,63774000,59424000,55482000,51267000,48949000,48699000,47880000,47836000,48288000,48288000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926282/000093176303000598/0000931763-03-000598-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312504040535/0001193125-04-040535-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312505047985/0001193125-05-047985-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312506046030/0001193125-06-046030-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312507042139/0001193125-07-042139-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312508041981/0001193125-08-041981-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312509040626/0001193125-09-040626-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095012310017565/0000950123-10-017565-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095012311018429/0000950123-11-018429-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312512089158/0001193125-12-089158-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312513082523/0001193125-13-082523-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312514071988/0001193125-14-071988-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312515059743/0001193125-15-059743-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312516475816/0001193125-16-475816-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459017002423/0001564590-17-002423-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459018003019/0001564590-18-003019-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459019005179/0001564590-19-005179-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459020006425/0001564590-20-006425-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459021009423/0001564590-21-009423-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095017022002054/0000950170-22-002054-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,18800000,35000000,44839131,45340961,10009320,37500674,27971313,81280409,125092393,132072000,57602000,112794000,40147000,13941000,41909000,24135000,31677000,42979000,68457000,58298000,73439000,84550000,79895000,86433000,105504000,73773000,60161000,56603000
32,Short-Term Investments,- -,- -,- -,32555930,37833240,40795068,41080776,60286332,26282961,19747205,11865000,124831000,154080000,99700000,148416000,96277000,172469000,157479000,159347000,160481000,105760000,46919000,34396000,43188000,16129000,3246000,33243000,3131000,350000
33,Cash and Short-Term Investments,200000,18800000,35000000,77395061,83174201,50804388,78581450,88257645,107563370,144839598,143937000,182433000,266874000,139847000,162357000,138186000,196604000,189156000,202326000,228938000,164058000,120358000,118946000,123083000,102562000,108750000,107016000,63292000,56953000
34,Net Receivables,12500000,18100000,30100000,34188138,41250350,47285393,64495401,117996605,70208345,43342124,70958000,70506000,69460000,65696000,73752000,55645000,72141000,77596000,85873000,97447000,104063000,121797000,91238000,108243000,170728000,136084000,107097000,120358000,169970000
35,Inventory,15600000,27500000,45000000,40792646,39369103,65700576,58568773,89252729,56849470,39926384,39975000,42316000,50266000,53117000,48546000,47406000,45674000,74274000,87800000,102583000,90111000,86710000,91533000,105117000,122542000,99848000,98305000,125457000,139891000
36,Other Current Assets,100000,10400000,26400000,3860088,3606424,3771051,5480223,8537446,9391225,7448429,5509000,7131000,8754000,10505000,9682000,11627000,11398000,13887000,15244000,17203000,21408000,22224000,29069000,16459000,17282000,10744000,7892000,8311000,9511000
37,Total Current Assets,28400000,74800000,136500000,156235933,167400078,167561408,207125847,304044425,244012410,235556535,260379000,302386000,395354000,269165000,294337000,252864000,325817000,354913000,391243000,446171000,379640000,351089000,330786000,352902000,413114000,355426000,320310000,317418000,376325000
38,PP&E,17900000,19500000,29200000,53971213,64801132,78894317,104587755,123713176,120133444,106173833,97667000,89361000,85033000,80194000,75969000,75487000,74309000,73986000,75295000,80246000,76739000,74828000,73233000,84469000,85079000,80635000,73708000,62399000,55766000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3492000,3492000,3492000,3492000,3492000,3492000,3492000,7106000,6968000,6968000,6968000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12730000,10572000,7488000,5083000,7267000,4661000,33183000,27821000,23470000,19293000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3492000,16222000,14064000,10980000,8575000,10759000,8153000,40289000,34789000,30438000,26261000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141241000,162169000,261160000,332008000,332729000,309225000,280649000,198026000,176102000,130256000,108822000,94489000,80130000,70615000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1628000,- -,898000,- -,1113000,3920000,- -,- -,8345000,10261000,9622000,17694000,18091000,38036000,23428000,37187000,7561000,9869000,9079000
44,Other Non-Current Assets,- -,- -,100000,- -,50200000,55255000,244582579,118578404,158390719,179482452,234226000,168195000,171333000,190299000,107801000,103000,2168000,1915000,7131000,752000,608000,3454000,4193000,4967000,9064000,5668000,14261000,25425000,30971000
45,Total Non-Current Assets,17900000,19500000,29300000,53971213,115001132,134149317,349170334,242291580,278524163,285656285,333521000,257556000,257264000,270493000,184883000,220751000,238646000,337061000,426271000,440210000,410258000,387605000,302118000,314333000,255980000,272601000,224808000,208261000,192692000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46300000,94300000,165800000,210207146,282401210,301710725,556296181,546336005,522536573,521212820,593900000,559942000,652618000,539658000,479220000,473615000,564463000,691974000,817514000,886381000,789898000,738694000,632904000,667235000,669094000,628027000,545118000,525679000,569017000
48,Accounts Payable,5200000,6500000,9700000,9350266,9121270,10980097,12773848,34113832,15551685,17788964,24821000,22856000,25682000,30321000,22200000,20313000,25782000,22785000,29404000,42173000,48282000,56414000,48668000,77342000,60632000,61054000,44870000,49929000,102489000
49,Short-Term Debt,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24600000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,3017000,- -,3169000,1211000,5002000,14901000,2395000,- -,3936000,12518000,3512000,1301000,6560000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3209000,2468000,4318000,5802000,5361000,6141000,7138000,10138000,9965000,38051000,22205000,22762000,16615000,16326000,13070000,17940000,11963000,14092000,17737000
52,Other Current Liabilities,1200000,1900000,4400000,6375865,9095230,6046552,13204707,12294307,11073731,14256500,12279000,10691000,21049000,13406000,15515000,13670000,14853000,17038000,22563000,26542000,31818000,39833000,27360000,32867000,33116000,39016000,31278000,30172000,35133000
53,Total Current Liabilities,8600000,8400000,14100000,15726131,18216500,17026649,25978555,46408139,26625416,32045464,40309000,36015000,51049000,49529000,43076000,40124000,47773000,49961000,61932000,106766000,102305000,119009000,92643000,126535000,106818000,118010000,112711000,94193000,155359000
54,Long-Term Debt,7900000,- -,20000000,20000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,48812000,48500000,48250000,47750000,47500000,46500000,46000000,46200000,28800000,27900000,26800000,25600000,24600000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23803000,14643000,10948000,7965000,6333000,4556000,5296000,6012000,6888000,9271000
56,Deferred Tax Liabilities,- -,700000,1000000,1602116,2147635,3295140,80265155,15342435,8283601,3955229,8882000,4825000,5330000,694000,- -,- -,5035000,10350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000,2465000,4068000,4667000,9213000,9422000,11390000,11841000,16951000,17406000,22144000,30924000,24236000,28050000,34209000,33842000,45969000,51654000,47285000
58,Total Non-Current Liabilities,7900000,700000,21000000,21602116,52147635,53295140,130265155,65342435,58283601,53955229,59770000,57290000,59398000,54173000,57713000,57672000,64175000,69691000,63451000,87209000,82987000,70672000,60101000,61183000,64365000,63738000,51981000,58542000,56556000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,16500000,9100000,35100000,37328247,70364135,70321789,156243710,111750574,84909017,86000693,100079000,93305000,110447000,103702000,100789000,97796000,111948000,119652000,125383000,193975000,185292000,189681000,152744000,187718000,171183000,181748000,164692000,152735000,211915000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,387695,393813,394235,394466,394466,394452,394452,793000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,797000,- -
64,Retained Earnings,27100000,11500000,41000000,82318341,123260647,163570297,214834541,332905389,350233932,375009894,347202000,397228000,472558000,524136000,551764000,603600000,649256000,731962000,840206000,861465000,884451000,907751000,906772000,921942000,922178000,883975000,806702000,781813000,- -
65,Other Comprehensive Income/Loss,-4000000,-6100000,-8900000,-13637007,-20900272,-29902941,-40416460,-53422304,-70092383,3096669,10012000,5235000,4172000,2696000,5704000,-1009000,17853000,26948000,13102000,11268000,10753000,-75000,-8969000,-12188000,-3295000,-14416000,-16417000,-11639000,-11914000
66,Other Total Stockholders Equity,6700000,79800000,98600000,103809870,109282887,97327345,225239924,154707880,157091555,56711112,135814000,63377000,64644000,-91673000,-179834000,-227569000,-215391000,-187385000,-161974000,-181124000,-291395000,-359460000,-418440000,-431034000,-421769000,-424077000,-410656000,-398027000,- -
67,Total Stockholders Equity,29800000,85200000,130700000,172878899,212037075,231388936,400052471,434585431,437627556,435212127,493821000,466637000,542171000,435956000,378431000,375819000,452515000,572322000,692131000,692406000,604606000,549013000,480160000,479517000,497911000,446279000,380426000,372944000,357102000
68,Total Liabilities And Stockholders Equity,46300000,94300000,165800000,210207146,282401210,301710725,556296181,546336005,522536573,521212820,593900000,559942000,652618000,539658000,479220000,473615000,564463000,691974000,817514000,886381000,789898000,738694000,632904000,667235000,669094000,628027000,545118000,525679000,569017000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46300000,94300000,165800000,210207146,282401210,301710725,556296181,546336005,522536573,521212820,593900000,559942000,652618000,539658000,479220000,473615000,564463000,691974000,817514000,886381000,789898000,738694000,632904000,667235000,669094000,628027000,545118000,525679000,569017000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926282/000093176303000598/0000931763-03-000598-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312504040535/0001193125-04-040535-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312505047985/0001193125-05-047985-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312506046030/0001193125-06-046030-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312507042139/0001193125-07-042139-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312508041981/0001193125-08-041981-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312509040626/0001193125-09-040626-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095012310017565/0000950123-10-017565-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095012311018429/0000950123-11-018429-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312512089158/0001193125-12-089158-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312513082523/0001193125-13-082523-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312514071988/0001193125-14-071988-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312515059743/0001193125-15-059743-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000119312516475816/0001193125-16-475816-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459017002423/0001564590-17-002423-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459018003019/0001564590-18-003019-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459019005179/0001564590-19-005179-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459020006425/0001564590-20-006425-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000156459021009423/0001564590-21-009423-index.htm,https://www.sec.gov/Archives/edgar/data/926282/000095017022002054/0000950170-22-002054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13300000,18600000,29500000,39819904,40209272,40309650,50945554,120802261,17328529,24775962,61515000,75141000,101150000,78333000,76335000,78581000,74221000,113989000,138577000,47263000,45794000,44620000,18646000,35229000,23840000,-19342000,-52982000,2378000,-8635000
74,Depreciation and Amortization,1700000,2300000,3100000,4890303,7342518,9002669,10546594,13418843,16798846,16405645,15247000,15373000,13199000,10827000,12789000,11992000,10084000,10545000,11499000,14079000,14628000,14845000,14245000,14407000,15692000,15891000,17771000,16627000,16084000
75,Deferred Income Tax,- -,-100000,- -,- -,-313867,1188956,-683237,-16411,-2527095,1210392,2812000,-769000,-1644000,-4332000,-2990000,-903000,-1024000,-1324000,11100000,-1880000,-3889000,-5445000,-732000,-2685000,14073000,-17257000,30070000,-1356000,-1784000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7338000,6987000,7717000,9169000,9264000,9073000,8563000,6712000,6695000,7433000,7155000,6962000,6834000,7480000
77,Change in Working Capital,-8200000,46600000,56000000,18109802,8673776,1351181,30612533,76488994,-40249292,-13875923,16558929,46301000,77934000,-124669000,31625000,-38521000,65304000,26908000,24359000,10094000,-62070000,-45255000,6063000,-11776000,79929000,-68880000,-29817000,15626000,-5122000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17918000,-15143000,-2849000,-4939000,-4365000,-5541000,-2769000,14918000,-21302000,-49103000,49200000,8282000,-7269000,-60864000
79,Inventory,-6200000,-13900000,-20400000,342153,1423543,-26331473,7131803,-30683956,32403259,16923086,-49000,-2341000,-7950000,-2185000,4571000,1140000,1732000,-28600000,-12734000,7163000,10265000,1953000,-6877000,-10887000,-15518000,24192000,1252000,-25582000,-15667000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1887000,5442000,-2997000,6178000,7265000,5206000,9973000,-5826000,26722000,-17742000,-3799000,-13494000,4543000,53270000
81,Other Working Capital,19800000,66400000,122400000,140509802,149183578,150534759,181147292,257636286,217386994,203511071,220070000,266371000,344305000,219636000,251261000,212740000,278044000,304952000,329311000,339405000,277335000,232080000,238143000,226367000,306296000,237416000,207599000,223225000,- -
82,Other Non-Cash Items,600000,-58900000,-79300000,-17358305,-10924973,-35109259,-31385463,-224037725,101871170,76661772,-10778929,-50223000,-61656000,131982000,-28882000,57328000,-65417000,-65046000,-44098000,6808000,56228000,38509000,-26387000,130000,-183346000,137887000,25524000,-56627000,-5015000
83,Cash Provided by Operating Activities,7400000,8500000,9300000,45461704,44986726,16743197,60035981,-13344038,93222158,105177848,85354000,85823000,128983000,92141000,88877000,115815000,90155000,92789000,150606000,85628000,59764000,55837000,18547000,42000000,-42379000,55454000,-2472000,-16518000,3008000
84,CAPEX,-5400000,-4100000,-12800000,-29661438,-18220850,-23095854,-36236622,-32540097,-13215927,-2646553,-6782000,-7165000,-8876000,-6061000,-6535000,-9492000,-8740000,-9872000,-11912000,-12075000,-8173000,-11256000,-11753000,-21441000,-14720000,-8110000,-9494000,-6413000,-5669000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,-1370000,- -,-22661000,7496000,- -,- -,- -,-943000,- -,-22045000,13000,- -,- -
86,Purchases of Investments,- -,-8500000,-16300000,-8309030,-5271247,-8021195,-703457,-205820284,-151337927,-225195613,-125318000,-146018000,-242627000,-293098000,-217316000,-242791000,-262067000,-340489000,-554629000,-282740000,-261625000,-142695000,-188921000,-209172000,-93141000,-123209000,-48578000,-56767000,-35031000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2672421,235455704,95510333,187886705,87234000,131330000,211288000,326348000,253339000,248688000,186193000,275442000,466243000,282039000,343567000,230019000,280435000,225075000,173752000,153649000,47268000,105100000,50466000
88,Other Investing Activites,- -,100000,- -,4602,-49941703,- -,5050,- -,- -,100000,38000,32000,2000,- -,- -,- -,- -,- -,- -,266000,- -,1000,183000,- -,151000,- -,1000000,-521000,500000
89,Cash Used for Investing Activites,-5400000,-12500000,-29100000,-37965866,-73433800,-31117049,-34262608,-2904677,-69043521,-39855461,-44828000,-21821000,-40213000,26789000,29488000,-3595000,-85984000,-74919000,-122959000,-5014000,73769000,76069000,79944000,-6481000,66042000,285000,-9791000,41399000,10266000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-500000,-250000,-1000000,-500000,- -,-16500000,-1100000,-1100000,-1100000,-1100000,-1000000,-24600000,-10000000
91,Common Stock Issued,- -,38000000,16100000,2315684,1148904,58258,2043972,6768117,453394,3696120,- -,5557000,16938000,4441000,15288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2200000,-21016047,-325991,-70426,-4100350,- -,- -,-80954000,-24074000,-170479000,-138589000,-63569000,-15896000,-18316000,-35565000,-39362000,-124267000,-80576000,-66160000,-25817000,-17348000,-15532000,-184000,- -,- -
93,Dividends Paid,-5500000,-5500000,- -,- -,- -,- -,- -,- -,- -,- -,-88927000,-25115000,-25820000,-26755000,-24600000,-22919000,-22486000,-22502000,-23124000,-22813000,-21412000,-19947000,-18449000,-17583000,-17368000,-17267000,-17212000,-17334000,-17529000
94,Other Financing Activites,3600000,-9900000,20000000,- -,30000000,- -,- -,- -,- -,-25206523,55087000,- -,- -,473000,2749000,4310000,14469000,29346000,43498000,7505000,3787000,2902000,964000,4719000,13412000,1483000,526000,-1043000,14571000
95,Cash Used/Provided by Financing Activities,-1900000,22600000,36100000,2315684,28948904,-20957789,1717981,6697691,-3646956,-21510403,-33840000,-100512000,-32956000,-192320000,-145152000,-82428000,-24413000,-11722000,-16191000,-55170000,-141892000,-114121000,-84745000,-39781000,-22404000,-32416000,-17870000,-42977000,-12958000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000,64000,-622000,743000,581000,-1824000,2468000,1394000,-154000,34000,-1800000,-2644000,-2635000,-393000,5279000,-4252000,-1598000,4502000,-3677000
97,Net Change In Cash,- -,- -,- -,9811522,501830,-35331641,27491354,-9551024,20531681,43811984,6980000,-36446000,55192000,-72647000,-26206000,27968000,-17774000,7542000,11302000,25478000,-10159000,15141000,11111000,-4655000,6538000,19071000,-31731000,-13594000,-3361000
98,Cash at the End of Period,- -,- -,- -,44839131,45340961,10009320,37500674,27971313,81280409,125092393,132072000,57602000,112794000,40147000,13941000,41909000,24135000,31677000,42979000,68457000,58298000,73439000,84550000,79895000,86433000,105504000,73773000,60179000,56818000
