,https://roic.ai/company/RUTH,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-13285000,-10755000,-8524000,-11250000,-16232000,-9923000,1757000,-4323000,1422000,-5975000,-4031000,-3266000,-2255000,613000,-1122000,-432000,-1144000,-768000,-1812000,-2082000,-4655000,-3376000
20,Income Before Tax,6365000,4238000,6650000,4240000,7096000,15800000,33822000,27600000,-69700000,2100000,21600000,20800000,24000000,35200000,38540000,44334000,46415000,45914000,49847000,50379000,-33204000,46338000
21,Income Before Tax Ratio,0.0394,0.0276,0.0433,0.0253,0.0369,0.0763,0.1246,0.0895,-0.1797,0.0062,0.0612,0.0566,0.0773,0.1092,0.1114,0.1187,0.1203,0.1107,0.1102,0.1076,-0.1195,0.1080
22,Income Tax expense (Gain),- -,- -,428000,1344000,735000,4937000000,10098000,8541000000,-27395000,-1668000,4642000,1597000,6659000,9102000,11830000,14168000,15660000,15669000,8247000,8173000,-7910000,4063000
23,Net Income,3565000,2573000,6760000,1248000,2442000,10900000,23790000,18100000,-53900000,2400000,16000000,19500000,16400000,22500000,16455000,30004000,30465000,30137000,41680000,42206000,-25294000,42275000
24,Net Income ratio,0.0221,0.0167,0.0440,0.0074,0.0127,0.0526,0.0876,0.0587,-0.1390,0.0071,0.0453,0.0531,0.0529,0.0698,0.0475,0.0803,0.0789,0.0727,0.0921,0.0902,-0.0911,0.0985
25,EPS,0.27,-0.42,-0.41,-0.50,-0.25,0.40,1.03,0.78,-2.31,0.10,0.34,0.39,-0.58,0.65,0.47,0.88,0.96,0.99,1.41,1.46,-0.80,1.23
26,EPS Diluted,0.25,-0.42,-0.41,-0.50,-0.25,0.39,1.02,0.78,-2.31,0.10,0.34,0.39,-0.58,0.63,0.46,0.87,0.95,0.97,1.38,1.44,-0.80,1.23
27,Weighted Average Shares Outstanding,13037746,11728571,13037746,11749000,11917093,16268775,23175323,23274359,23308906,23566358,32513867,34093104,34313636,34761160,34955760,34018582,31670189,30346999,29659461,28998382,31683920,34255966
28,Weighted Average Shares Outstanding Diluted,14217516,11728571,14217516,11749000,11917093,16876395,23429185,23274359,23308906,23733260,40239854,43252101,34313636,35784430,35415483,34434407,32108965,30916364,30273841,29376980,31683920,34468198
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324272/000119312506063939/0001193125-06-063939-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312507056995/0001193125-07-056995-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312508053122/0001193125-08-053122-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312509053838/0001193125-09-053838-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312510049114/0001193125-10-049114-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312511056419/0001193125-11-056419-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312512094607/0001193125-12-094607-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312513104234/0001193125-13-104234-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774914003872/0001437749-14-003872-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774915004629/0001437749-15-004629-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774916026852/0001437749-16-026852-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774917004007/0001437749-17-004007-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459018005966/0001564590-18-005966-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459019005274/0001564590-19-005274-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459020007328/0001564590-20-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459021011297/0001564590-21-011297-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459022006647/0001564590-22-006647-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7525000,3762000,- -,5130000,3906000,9000000,4690000,12300000,3900000,1700000,5000000,3900000,7900000,10600000,4301000,3095000,3788000,4051000,5062000,5567000,95402000,92133000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7525000,3762000,- -,5130000,3906000,9000000,4690000,12300000,3900000,1700000,5000000,3900000,7900000,10600000,4301000,3095000,3788000,4051000,5062000,5567000,95402000,92133000
34,Net Receivables,- -,- -,- -,5180000,5030000,12800000,11120000,11800000,13400000,10100000,12000000,12700000,11300000,13400000,20458000,18501000,20790000,21626000,19476000,23769000,24309000,41588000
35,Inventory,- -,- -,- -,3172000,3665000,4600000,6453000,8600000,8600000,7400000,7500000,7400000,7900000,7900000,7206000,7479000,7396000,8688000,9296000,9623000,6930000,8554000
36,Other Current Assets,- -,- -,- -,2153000,2950000,2400000,4090000,3700000,15700000,2800000,3000000,3100000,4900000,7100000,16410000,1509000,2446000,2680000,2528000,3052000,3653000,3919000
37,Total Current Assets,- -,- -,- -,15635000,15551000,28800000,26353000,36400000,41600000,22000000,27500000,27100000,32000000,39000000,48375000,30584000,34420000,37045000,36362000,42011000,130294000,146194000
38,PP&E,- -,- -,- -,63404000,52739000,63900000,105092000,135600000,130400000,114200000,105200000,99200000,90000000,91500000,80354000,87984000,103041000,112212000,125991000,349320000,308273000,295460000
39,Goodwill,- -,- -,- -,- -,- -,30500000,67188000,35800000,24300000,22100000,22100000,22100000,22100000,22100000,24293000,24293000,24293000,36522000,36522000,45549000,45549000,45549000
40,Intangible Assets,- -,- -,- -,30533000,30533000,- -,- -,44200000,59700000,53900000,53100000,49300000,48900000,48300000,35012000,35211000,35095000,50726000,49781000,54365000,48598000,4990000
41,Intangible Assets,- -,- -,- -,30533000,30533000,30500000,67188000,80000000,84000000,76000000,75200000,71400000,71000000,70400000,59305000,59504000,59388000,87248000,86303000,99914000,94147000,50539000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,5585000,9278000,- -,8987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4947000,- -,- -,8616000,399000
44,Other Non-Current Assets,- -,- -,- -,2397000,5381000,11000000,2100000,8300000,37500000,42200000,41200000,42500000,36700000,27200000,30533000,20525000,10623000,644000,5957000,5631000,1344000,43387000
45,Total Non-Current Assets,- -,- -,- -,101919000,97931000,105400000,183367000,223900000,251900000,232400000,221600000,213100000,197700000,189100000,170192000,168013000,173052000,205051000,218251000,454865000,412380000,389785000
46,Other Assets,109515000,106922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,109515000,106922000,- -,117554000,113482000,134200000,209720000,260300000,293500000,254400000,249100000,240200000,229700000,228100000,218567000,198597000,207472000,242096000,254613000,496876000,542674000,535979000
48,Accounts Payable,- -,- -,- -,16113000,18577000,23752000000,33188000,28868000000,10100000,6900000,8700000,8000000,13100000,15000000,13414000,10018000,7064000,10510000,10273000,13598000,4101000,11685000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14313000,20854000,51018000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287000,- -,- -,607000,579000,- -,607000,283000,- -,- -
51,Deferred Revenue,- -,- -,- -,11996000,14692000,262000000,24676000,874000000,1809000,1561000,1672000,30082000,1855000,4598000,3775000,35202000,38155000,42596000,48370000,52856000,59030000,69029000
52,Other Current Liabilities,- -,- -,- -,312000,452000,-23970600000,1440000,-29684000000,55291000,51639000,55528000,28218000,59645000,61002000,69292000,32652000,34196000,35419000,36629000,32114000,24336000,3683000
53,Total Current Liabilities,- -,- -,- -,28421000,33721000,43400000,59304000,58000000,67200000,60100000,65900000,66300000,74600000,80600000,86481000,77872000,79415000,88525000,95272000,112881000,108321000,135415000
54,Long-Term Debt,- -,- -,- -,97373000,80931000,38500000,68000000,96800000,160300000,125500000,51000000,22000000,45000000,19000000,13000000,- -,25000000,50000000,41000000,64000000,324654000,262666000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23037000,24358000,- -,- -,20275000,21737000,- -,23692000,- -,2186000,399000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1623000,1405000,- -,- -,14516000,15451000,- -,12156000,66897000,- -,399000
57,Other Non-Current Liabilities,- -,- -,- -,45718000,50343000,12000000,14438000,17400000,28900000,27100000,28300000,3740000,3637000,27800000,22775000,-11968000,-13140000,24067000,-7639000,158953000,69000,1889000
58,Total Non-Current Liabilities,- -,- -,- -,143091000,131274000,50500000,82438000,114200000,189200000,152600000,79300000,50400000,74400000,46800000,35775000,22823000,49048000,74067000,69209000,289850000,326909000,265353000
59,Other Liabilities,162750000,160900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237605000,230508000,- -
61,Total Liabilities,162750000,160900000,- -,171512000,164995000,93900000,141742000,172200000,256400000,212700000,145200000,116700000,149000000,127400000,122256000,100695000,128463000,162592000,164481000,402731000,435230000,400768000
62,Preferred Stock,- -,- -,- -,67164000,72537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,104000,115000,200000,232000,200000,200000,200000,300000,300000,300000,400000,343000,331000,305000,296000,293000,284000,343000,336000
64,Retained Earnings,- -,- -,- -,-126782000,-129713000,-122500000,-98743000,-80600000,-134500000,-132100000,-118300000,-101200000,-87000000,-68800000,-59489000,-37832000,-16562000,2191000,28020000,53399000,23677000,65952000
65,Other Comprehensive Income/Loss,- -,- -,- -,-33061000,-38814000,-42300000,-48311000,-58500000,-66200000,-77600000,-91400000,-104800000,-112300000,-122700000,-114708000,-125362000,-132817000,-144373000,-160153000,-173845000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,38617000,44362000,204865000,214800000,226967000,237642000,251265000,289761000,305340000,281388000,291753000,270165000,260765000,228083000,221390000,221972000,214307000,83424000,68923000
67,Total Stockholders Equity,-53235000,-53978000,- -,-53958000,-51513000,40265000,67978000,88067000,37142000,41765000,80361000,99640000,82388000,100653000,96311000,97902000,79009000,79504000,90132000,94145000,107444000,135211000
68,Total Liabilities And Stockholders Equity,109515000,106922000,- -,117554000,113482000,134165000,209720000,260267000,293542000,254465000,225561000,216340000,231388000,228053000,218567000,198597000,207472000,242096000,254613000,496876000,542674000,535979000
69,Minority Interest,- -,- -,- -,- -,- -,35000,- -,33000,-42000,-65000,23539000,23860000,-1688000,47000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,109515000,106922000,- -,117554000,113482000,134200000,209720000,260300000,293500000,254400000,249100000,240200000,229700000,228100000,218567000,198597000,207472000,242096000,254613000,496876000,542674000,535979000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1324272/000119312506063939/0001193125-06-063939-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312507056995/0001193125-07-056995-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312508053122/0001193125-08-053122-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312509053838/0001193125-09-053838-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312510049114/0001193125-10-049114-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312511056419/0001193125-11-056419-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312512094607/0001193125-12-094607-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312513104234/0001193125-13-104234-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774914003872/0001437749-14-003872-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774915004629/0001437749-15-004629-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774916026852/0001437749-16-026852-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774917004007/0001437749-17-004007-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459018005966/0001564590-18-005966-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459019005274/0001564590-19-005274-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459020007328/0001564590-20-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459021011297/0001564590-21-011297-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459022006647/0001564590-22-006647-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,1248000,2442000,10900000,23790000,18100000,-53900000,2400000,16000000,19500000,16400000,22500000,16455000,30004000,30465000,30137000,41680000,42206000,-25294000,42275000
74,Depreciation and Amortization,- -,- -,- -,6782000,6469000,6617000,8690000,12010000,17031000,16499000,15360000,14859000,14556000,13060000,13185000,12520000,13434000,14995000,18538000,21354000,21964000,20487000
75,Deferred Income Tax,- -,- -,- -,-298000,-4020000,595000,-439000,2909000,-29525000,-3298000,832000,-2084000,3224000,6093000,753000,9519000,9384000,4977000,341000,837000,-3688000,9015000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2553000,2163000,2181000,2531000,2322000,2343000,2821000,4087000,5834000,6763000,7647000,8157000,8261000,4888000
77,Change in Working Capital,- -,- -,- -,2755000,-5384000,3570000,-18351000,11351000,-4000000,-12500000,-300000,-800000,-3400000,1000000,3494000,-9182000,2293000,-6485000,-7430000,-11960000,92843000,-11194000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1541000,3288000,-1898000,-738000,1420000,-2114000,-7049000,1957000,-2259000,-836000,2151000,343000,1939000,-18471000
79,Inventory,- -,- -,- -,-116000,-493000,-927000,-1861000,-1941000,1069000,1262000,-153000,163000,-563000,8000,-151000,-273000,83000,-710000,-608000,-52000,1983000,-1713000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7931000,- -,- -,- -,- -,- -,- -,- -,- -,15076000
81,Other Working Capital,- -,- -,- -,-12786000,-18170000,-14600000,-32951000,-21600000,-25600000,-38100000,-38400000,-39200000,-42600000,-41600000,-38106000,-47288000,-44995000,-51480000,-58910000,-70870000,21973000,10779000
82,Other Non-Cash Items,- -,- -,- -,4127000,21463000,7935000,33978000,-9598000,104914000,23172000,6182000,5331000,20222000,2800000,6640000,7639000,-5116000,18306000,17518000,12316000,-74001000,15920000
83,Cash Provided by Operating Activities,- -,- -,- -,14614000,20970000,29617000,47668000,34772000,37073000,28436000,40255000,39337000,53324000,47796000,43348000,54587000,56294000,68693000,78294000,72910000,20085000,81391000
84,CAPEX,- -,- -,- -,-7489000,-3518000,- -,-48771000,-42429000,-31951000,-4270000,-6128000,-8975000,-11457000,-15311000,-17365000,-20292000,-26211000,-21255000,-31907000,-31668000,-10620000,-19651000
85,Acquisitions Net,- -,- -,- -,- -,- -,-19627000,-38868000,-13733000,-93037000,- -,- -,- -,- -,- -,-2800000,10000000,- -,-35357000,- -,-18613000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,162000,- -,2108000,3421000,80000,17039000,10682000,- -,- -,161000,1104000,149000,- -,802000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-7327000,-3518000,-17519000,-84218000,-56082000,-107949000,6412000,-6128000,-8975000,-11296000,-14207000,-20016000,-10292000,-25409000,-56612000,-31907000,-50281000,-10620000,-19651000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-50500000,-37250000,-74500000,- -,-47000000,-32500000,-32000000,-48000000,-23000000,-45000000,-42000000,-31000000,-54000000,-45000000
91,Common Stock Issued,- -,- -,- -,- -,3000,154665000,144000,90000,- -,- -,25368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,49558000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-117991000,- -,- -,- -,- -,- -,- -,-59740000,- -,-15409000,-23752000,-45076000,-23888000,-18539000,-25818000,-13226000,-16586000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1582000,-2500000,-1103000,-4278000,-7138000,-8349000,-9195000,-11383000,-13527000,-15566000,-4428000,- -
94,Other Financing Activites,- -,- -,- -,-7677000,-18679000,-43693000,32111000,28841000,112941000,207000,19925000,-28955000,69799000,5866000,24930000,34600000,47079000,68453000,28690000,50260000,102466000,-3423000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-7677000,-18676000,-7019000,32255000,28931000,62441000,-37043000,-30789000,-31455000,-38044000,-30912000,-29617000,-45501000,-30192000,-11818000,-45376000,-22124000,80370000,-65009000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-390000,-1224000,5079000,-4295000,7621000,-8435000,-2195000,3337000,-1093000,3984000,2677000,-6285000,-1206000,693000,263000,1011000,505000,89835000,-3269000
98,Cash at the End of Period,- -,- -,- -,5130000,3906000,8985000,4690000,12311000,3876000,1681000,5018000,3925000,7909000,10586000,4301000,3095000,3788000,4051000,5062000,5567000,95402000,92133000
99,Cash at the Beginning of Period,- -,- -,- -,5520000,5130000,3906000,8985000,4690000,12311000,3876000,1681000,5018000,3925000,7909000,10586000,4301000,3095000,3788000,4051000,5062000,5567000,95402000
100,Free Cash Flow,- -,- -,- -,7125000,17452000,29617000,-1103000,-7657000,5122000,24166000,34127000,30362000,41867000,32485000,25983000,34295000,30083000,47438000,46387000,41242000,9465000,61740000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1324272/000119312506063939/0001193125-06-063939-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312507056995/0001193125-07-056995-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312508053122/0001193125-08-053122-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312509053838/0001193125-09-053838-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312510049114/0001193125-10-049114-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312511056419/0001193125-11-056419-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312512094607/0001193125-12-094607-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000119312513104234/0001193125-13-104234-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774914003872/0001437749-14-003872-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774915004629/0001437749-15-004629-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774916026852/0001437749-16-026852-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000143774917004007/0001437749-17-004007-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459018005966/0001564590-18-005966-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459019005274/0001564590-19-005274-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459020007328/0001564590-20-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459021011297/0001564590-21-011297-index.htm,https://www.sec.gov/Archives/edgar/data/1324272/000156459022006647/0001564590-22-006647-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
