,https://roic.ai/company/UNAM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37300000,34790000,33610000,38170000,58840000,50840000,48980000,53230000,50720000,36560000,40300000,38780000,37450000,33900000,28830000,29900000,29890000,29173740,34999600,37381960,46671700,37539590,34622700,4502414
11,COGS and Expenses,- -,4500000,6500000,6300000,15400000,12100000,11500000,11900000,13800000,13300000,15600000,- -,37300000,34790000,33610000,38170000,58840000,50840000,48980000,53230000,50720000,36560000,40300000,38780000,37450000,33900000,28830000,29900000,29890000,29173740,34999600,37381960,46671700,37539590,34622700,50504000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,200000,200000,300000,400000,400000,300000,200000,400000,200000,800000,- -,104029,98585,97087,68632,71205,84951,89821,95084,160571,238834,238876,212028,196040,127371,59483,139293,307237,539608,341264,483580,517199,551183,565876,673895
15,EBITDA,- -,3500000,6800000,5400000,- -,9300000,7000000,7600000,-10300000,5200000,5800000,- -,11104029,12858585,7217087,258632,-16648795,-4735049,2239821,8765084,10630571,18598834,10308876,8192028,4366040,3347371,5809483,2989293,1547237,1836108,-1393696,-1630660,-11500401,-3375607,-2684014,-17270105
16,EBITDA ratio,- -,0.2160,0.2528,0.1688,- -,0.2943,0.2555,0.2686,-0.3931,0.1576,0.1472,- -,9.3311,12.4841,7.8447,0.3079,-19.1365,-5.3807,2.3577,9.4248,13.9876,27.3512,18.7434,17.8088,11.8001,11.9549,82.9926,42.7042,0.0502,0.0606,-0.0425,-0.0474,-0.3239,-0.1065,-0.0916,-0.5304
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,16200000,26900000,32000000,- -,15800000,13900000,12500000,10900000,10300000,10200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,- -,- -,- -,- -,- -,-13448684
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10990000,12760000,7130000,190000,-16730000,-4810000,2150000,8680000,10470000,18350000,10070000,7980000,4160000,3220000,5750000,2860000,1240000,1296510,-1734960,-2114240,-9880220,-3926790,-3249890,-17944000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9.2353,12.3883,7.7500,0.2262,-19.2299,-5.4659,2.2632,9.3333,13.7763,26.9853,18.3091,17.3478,11.2432,11.5000,82.1429,40.8571,0.0403,0.0428,-0.0529,-0.0615,-0.2783,-0.1239,-0.1110,-0.5511
22,Income Tax expense (Gain),- -,1500000,3100000,1900000,- -,2800000,2200000,2400000,-3900000,1500000,1200000,- -,3340000,4050000,1990000,-250000,-5850000,-1590000,1080000,2990000,3750000,6430000,3360000,2700000,1240000,890000,2010000,900000,640000,450140,-552090,-709960,-3292620,-757230,-134190,3547000
23,Net Income,- -,1800000,3500000,3200000,- -,6100000,4500000,5000000,-6800000,3500000,3800000,- -,7660000,8710000,5130000,440000,-10870000,-3230000,1070000,5680000,6720000,11930000,6710000,5280000,2930000,2330000,3740000,1950000,600000,846360,-1182870,-1404280,-8724980,-3169560,-3115700,-21491000
24,Net Income ratio,- -,0.1111,0.1301,0.1000,- -,0.1930,0.1642,0.1767,-0.2595,0.1061,0.0964,- -,6.4370,8.4563,5.5761,0.5238,-12.4943,-3.6705,1.1263,6.1075,8.8421,17.5441,12.2000,11.4783,7.9189,8.3214,53.4286,27.8571,0.0195,0.0279,-0.0361,-0.0408,-0.2458,-0.1000,-0.1064,-0.6600
25,EPS,- -,0.36,0.63,0.50,-0.04,1.10,0.82,0.90,-1.17,0.59,0.64,- -,1.25,1.41,0.82,0.07,-1.97,-0.59,0.19,1.03,1.22,2.12,1.18,0.94,0.53,0.44,0.70,0.37,0.11,0.16,-0.22,-0.26,-1.64,-0.60,-0.59,-4.05
26,EPS Diluted,- -,0.36,0.60,0.50,-0.04,1.10,0.82,0.90,-1.17,0.58,0.63,- -,1.20,1.36,0.81,0.07,-1.97,-0.59,0.19,1.02,1.20,2.09,1.16,0.93,0.53,0.44,0.70,0.36,0.11,0.16,-0.22,-0.26,-1.64,-0.60,-0.59,-4.05
27,Weighted Average Shares Outstanding,- -,5000000,5555556,6400000,4800000,5545455,5487805,5555556,5811966,5932203,5937500,6132096,6132096,6194133,6268069,6058674,5505398,5487311,5489604,5490346,5495948,5567883,5614025,5614730,5507371,5313000,5335524,5339000,5341147,5341000,5335540,5307694,5307133,5307121,5306879,5305829
28,Weighted Average Shares Outstanding Diluted,- -,5000000,5833333,6400000,4800000,5545455,5487805,5555556,5811966,6034483,6031746,6401359,6401359,6420580,6358607,6101692,5505398,5487311,5533112,5581295,5612426,5652901,5681893,5656010,5547999,5352000,5358590,5353000,5344212,5347000,5335540,5307694,5307133,5307121,5306879,5305829
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100716/000010071698000004/0000100716-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071699000006/0000100716-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071600000002/0000100716-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071601000002/0000100716-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071602000002/0000100716-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071603000003/0000100716-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071604000002/0000100716-04-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071605000003/0000100716-05-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100716/000010071608000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071609000002/0000100716-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071610000002/0000100716-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071611000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071612000004/0000100716-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071613000005/0000100716-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071614000005/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071615000009/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071616000037/0000100716-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071617000004/0000100716-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071618000013/0000100716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071619000017/0000100716-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071620000021/0000100716-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071621000020/0000100716-21-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55768,277544,105439,54806,45001,19766,37988,15016,13472,34535,108864,27710,118512,45210,467087,160506,376388,309162,334495,13496379,774226,4917762,5781639,3958000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6137495,6573862,5968173,3355354,2863622,9024382,7229315,3118118,4475162,6820007,7356159,9502033,9157832,6465649,38139469,86256249,93807317,72259408,15640803,10204603,68289950,81601091,85696525,83609000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6193263,6851406,6073612,3410160,2908623,9044148,7267303,3133134,4488634,6854542,7465023,9529743,9276344,6510859,38606556,86416755,94183705,72568570,15975298,23700982,69064176,86518853,91478164,87567000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7404606,5922716,5496890,5807731,23127400,32362123,28168362,7770560,6740793,29629791,33810256,4680779,4364747,4364393,5303714,5744592,5156717,5170313,5505361,6008083,14525995,13463351,19431133,26196000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-405125302,-189160546,-64787439,-1483774532,-124316225,-809003321,- -,- -,- -,-13373793,-66369685,-86440420,-105127658,-109805020
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-363850023,-174950024,-51146348,-1472899280,-80405955,-716841974,99340422,77738883,21480659,16335272,17220486,13541784,5781639,3957980
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203709,205369,148667,114107,267426,354194,323090,278404,824504,739080,557234,359553,221255,1630574,230781,856850,10169940,10510306,10220720,10282532,10014869,9560820,10226595,10374000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107397732,121753361,132677733,140024462,146984949,150251631,152474013,141753315,133177631,129496093,119884251,105743123,107417964,97802094,90588528,96387950,88727091,86494525,87154400
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406425135,206719434,79280430,1495765795,101054126,736108899,-82400297,-59651584,10666962,21015873,6675453,13787271,27803766,-95489985
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557234000,359553000,221255000,1630574000,230781000,856850000,33512766,58276686,118689776,121886933,113078272,112075182,124524886,2038415
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112942384,121717643,121978756,123945820,128823273,148686605,161493695,172570276,186297179,187801836,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112942384,121717643,121978756,123945820,128823273,148686605,161493695,172570276,186297179,187801836,193383977,184602976,170108652,157674720,150375045,140008026,132853188,136015569,140170435,138222205,130298758,125616966,130306525,5996395
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,687961,605353,462472,- -,- -,- -,438571,314173,480078,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614662,227551,- -,1605385,- -,558604,- -,1175,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,- -,- -,- -,88200000,108750000,120000000,129600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3445354,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,- -,- -,- -,88200000,109500000,121500000,129600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3925432,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759082,595223,520064,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2158978,2304340,2413729,2533823,892761,923467,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,2158978,2304340,2413729,2533823,1651843,1518690,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67549561,67137959,72532491,2897,- -,3022838,1044951,137902806,126930814,123520159,107644721,96793312,84320904,74526730,69611461,64115911,66544815,72242092,71849388,72005264,71220234,71300768,96868000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67881600,67549561,67137959,72532491,88202897,110277615,123022838,130144951,137902806,126930814,123520159,107644721,96793312,84320904,74526730,69611461,61956933,64240475,69828363,69315565,70353421,69701544,75226200,96868000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2838058,2895702,3098389,2789494,2671415,2700272,2700272,2708047,2720487,3236745,3594207,- -,- -,- -,- -,- -,- -,- -,- -,- -,3772872,3772857,3772669,3772000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000631,49273844,52828973,48502030,36090122,32590956,33659606,39341106,46056110,57850351,64353457,68484283,67135837,67547780,71277250,66589643,67193311,68039672,66626873,65137345,56412361,53242601,50124790,28624000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3117762,2110979,376172,-382224,-216074,1916154,4904873,2742160,2251063,959604,121302,-5780,3594,-27348,7975,-239896,-1100036,1182866,2637347
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222095,1998536,- -,121805,1858839,- -,- -,- -,- -,- -,- -,3473972,3179503,3806036,3571065,3806922,3702944,3735422,3715199,3769295,- -,- -,- -,-387
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45060784,54168082,54840797,51413329,40620376,38408990,38470857,42425325,48394373,60871022,69863818,76958255,73315340,73353816,75848315,70396565,70896255,71775094,70342072,68906640,59945337,55915422,55080325,35032960
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112942384,121717643,121978756,123945820,128823273,148686605,161493695,172570276,186297179,187801836,193383977,184602976,170108652,157674720,150375045,140008026,132853188,136015569,140170435,138222205,130298758,125616966,130306525,131900960
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125904565
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112942384,121717643,121978756,123945820,128823273,148686605,161493695,172570276,186297179,187801836,193383977,184602976,170108652,157674720,150375045,140008026,132853188,136015569,140170435,138222205,130298758,125616966,130306525,5996395
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/100716/000010071698000004/0000100716-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071699000006/0000100716-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071600000002/0000100716-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071601000002/0000100716-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071602000002/0000100716-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071603000003/0000100716-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071604000002/0000100716-04-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071605000003/0000100716-05-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100716/000010071608000003/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071609000002/0000100716-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071610000002/0000100716-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071611000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071612000004/0000100716-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071613000005/0000100716-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071614000005/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071615000009/form-10k.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071616000037/0000100716-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071617000004/0000100716-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071618000013/0000100716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071619000017/0000100716-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/100716/000010071620000021/0000100716-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/100716/000010071621000020/0000100716-21-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,6100000,4500000,5000000,-6800000,3500000,3800000,5947481,7660000,8710000,5130000,440000,-10870000,-3230000,1070000,5680000,6720000,11930000,6710000,5280000,2930000,2330000,3740000,1950000,600000,846360,-1182870,-1404280,-8724980,-3169560,-3115700,-21491000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,400000,300000,200000,400000,200000,800000,142306,104029,98585,97087,68632,71205,84951,89821,95084,160571,238834,238876,212028,196040,127371,59483,139293,307237,539608,341264,483580,517199,551183,565876,673895
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2724,-16000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30676,23104,23104,23104,23104,23104,11552,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-3600000,- -,- -,- -,- -,- -,1042161,-68942161,67900000,- -,- -,-88200000,-21300000,-12000000,-8100000,129600000,- -,-363850023,188899999,123803676,-1421752932,1392493325,-636436019,816182396,-21601539,-56258224,-5145387,885214,-3678702,-11685577,2101773
78,Accounts Receivable,- -,- -,- -,- -,- -,-1600000,100000,100000,-1100000,-2500000,-200000,-500000,900000,1600000,326259,-670070,-4994781,-686251,3011933,620502,-6580586,3893224,-3925582,- -,- -,- -,- -,- -,- -,- -,- -,- -,942916,1135539,-5979183,-6776348
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-300000,-1000000,- -,500000,-100000,500000,-500000,-300000,3300000,989912,1508042,-642722,1377019,11380561,7579405,8485406,-12577377,-1805270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042161,-67900000,- -,- -,- -,-88200000,-109500000,-121500000,-129600000,- -,- -,-363850023,-174950024,-51146348,-1472899280,-80405955,-716841974,99340422,77738883,21480659,16335272,17220486,13541784,1856207,3957980
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1200000,-2500000,-1400000,-5100000,6300000,7200000,4805455,74590071,-64650306,-1527061,-1883406,97709854,32458273,26365565,17148753,-126682229,-5870940,356787507,-196067630,-129593275,1413409937,-1397393860,633125463,-821221041,22660653,49095764,4633741,288783,4166819,11072191,16278933
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,4100000,2300000,3800000,-11500000,10000000,11800000,11937403,13411939,12058279,3700026,-1374774,-1288941,8013224,15525386,14823837,9798342,6297894,-113640,-1675603,-2663559,-5885624,-1073100,-1214159,-4108304,2468186,-7980962,-1409242,-7022232,-2130260,-3163210,-2436399
84,CAPEX,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-100000,-200000,-85428,-77766,-100245,-40385,-34072,-224524,-171719,-58717,-50398,-706671,-153410,-57030,-14347,-57742,-104773,-91607,-765362,-9620327,-879974,-1339138,-545392,-249536,-97134,-1100146,-820732
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-22700000,-17700000,-10400000,-200000,-23600000,-24400000,-23268808,-22190941,-28778239,-16740314,-9736357,-17806300,-25461126,-55234166,-51447350,-60801745,-68914691,-70276862,-65740371,-36074521,-33024508,-14794000,-49816780,-16945487,-25303347,-57929858,-16772000,-60292407,-21034427,-10975077,-23128888
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18100000,16200000,8600000,6200000,13800000,13600000,14289982,10008988,17419793,13001754,16170205,20969929,17090006,57041885,37643164,52196090,66596203,70275000,67765750,43294201,40741182,16365178,58080000,30890000,23647909,67517605,24053922,54842022,18812855,16104606,24573093
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280364,- -,- -,- -,-18006166,- -,- -,-4321191,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
