,https://roic.ai/company/PGAS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,43118,3912,3501,317,362083,1150999,661010,391360,276035,174112
32,Short-Term Investments,140000,40000,152000,72150,30000,780,20940,- -,- -,- -,- -,889537
33,Cash and Short-Term Investments,140000,40000,195118,76062,33501,1097,383023,1150999,661010,391360,276035,1063649
34,Net Receivables,- -,- -,57827,29159,97660,340,2427668,4508885,5327032,2489930,2701813,604301
35,Inventory,- -,- -,- -,- -,- -,- -,- -,171500,417135,1206612,903036,68907
36,Other Current Assets,- -,- -,21250,- -,2950,- -,1058088,1043623,1765276,3143221,1428407,-325828
37,Total Current Assets,140000,40000,274195,105221,134111,1437,3868779,6875007,8170453,7231123,5309291,1411029
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4498779,4210735
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,900000,900000,900000,- -,- -
40,Intangible Assets,- -,- -,32500,33950,33950,- -,- -,- -,- -,- -,258747,- -
41,Intangible Assets,- -,- -,32500,33950,33950,- -,- -,900000,900000,900000,258747,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,979,2512,1441,868,5927842,5289522,4488294,4275976,14567,910621
45,Total Non-Current Assets,- -,- -,33479,36462,35391,868,5927842,6189522,5388294,5175976,4772093,5121356
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,140000,40000,307674,141683,169502,2305,9796621,13064529,13558747,12407099,10081384,6532385
48,Accounts Payable,10000,70000,68594,76697,68411,47733,148269,1237097,1205101,527728,730986,- -
49,Short-Term Debt,- -,- -,27535,7000,- -,5673,44887,297400,148900,386097,510160,13128
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,- -,99186,180781,389721,660978,300099,1316259,1245958,2979433,1981738,3964489
53,Total Current Liabilities,20000,70000,195315,264478,458132,714384,493255,2850756,2599959,3893258,3222884,3977617
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720855,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,665341
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,720855,665341
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,733559,- -
61,Total Liabilities,20000,70000,195315,264478,458132,714385,493255,2850756,2599959,3893258,3943739,4642958
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,- -
63,Common Stock,- -,10000,19050,19950,19950,21898,166796,317876,3829,4447,35151,36143
64,Retained Earnings,-20000,-200000,-818224,-1510274,-1649832,-2065372,697269,1008823,1315870,-1634645,-4453751,-8950418
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1676,-2249,-4169641,-4983276,-5910872,-6821424,-15552,- -
66,Other Total Stockholders Equity,140000,160000,911533,1367529,1342928,1333643,12608942,13761592,15435802,16885471,10561797,10803702
67,Total Stockholders Equity,120000,-30000,112359,-122795,-288630,-712080,9303366,10115015,10854629,8443849,6137645,1889427
68,Total Liabilities And Stockholders Equity,140000,40000,307674,141683,169502,2305,9796621,12965771,13454588,12337107,10081384,6532385
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,98758,104159,69992,- -,- -
70,Total Liabilities & Equity,140000,40000,307674,141683,169502,2305,9796621,13064529,13558747,12407099,10081384,6532385
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558465/000126493114000144/0001264931-14-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000155479515000121/0001554795-15-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1558465/000155479517000204/0001554795-17-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774918005768/0001437749-18-005768-index.html,https://www.sec.gov/Archives/edgar/data/1558465/000143774919007113/0001437749-19-007113-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774920011154/0001437749-20-011154-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774921015294/0001437749-21-015294-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774922007671/0001437749-22-007671-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-20000,-180000,-621867,-692050,-139558,-415540,223143,294669,307047,-2950515,-3085016,-4675133
74,Depreciation and Amortization,- -,- -,209,396,1071,573,676328,918166,927597,914748,624435,521842
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,294450,372000,- -,- -,- -,- -,1496,583674,1566533,248449
77,Change in Working Capital,- -,-150000,108880,-238137,-164764,-388926,4088471,648727,1546243,-2232629,-1251458,-4652995
78,Accounts Receivable,- -,- -,-56684,28668,2090,26729,223080,-2803354,-615014,2768002,-125360,1532489
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-171500,-245635,-789477,303576,834129
80,Accounts Payable,- -,-60000,- -,- -,- -,-277,-667203,1100419,-34513,136746,598523,1166730
81,Other Working Capital,120000,-30000,78880,-159257,-324021,-712947,3375524,4024251,5570494,3337865,2086407,-2566588
82,Other Non-Cash Items,- -,260000,-26203,317904,149264,619888,-4257573,-1146641,-3299832,3322558,3168168,8557837
83,Cash Provided by Operating Activities,-20000,-70000,-244531,-239887,-153987,-184005,730369,714921,-517449,-362164,1022662,- -
84,CAPEX,- -,- -,-6838,-3379,- -,- -,-450591,-179313,-96553,-729936,-1148963,178466
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,134338,16554,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-5650,-1450,-71291,- -,- -,- -,- -,- -,-911047,-838012
89,Cash Used for Investing Activites,- -,- -,-6838,130959,-54737,- -,-450591,-179313,-96553,-729936,-1132198,-659546
90,Debt Repayment,- -,- -,- -,-43000,-7000,- -,- -,-26767,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,255000,- -,- -,10000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -
94,Other Financing Activites,20000,50000,36252,115222,215313,170821,- -,275000,126500,822450,- -,- -
95,Cash Used/Provided by Financing Activities,20000,70000,291252,72222,208313,180821,-1800000,248233,126500,822450,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,5075,-2487,- -,-5789,- -
97,Net Change In Cash,- -,- -,39883,-36706,-411,-3184,-1520222,788916,-489989,-269650,-115325,-101923
98,Cash at the End of Period,- -,- -,40618,3912,3501,317,362083,1150999,661010,391360,276035,174112
99,Cash at the Beginning of Period,- -,- -,735,40618,3912,3501,1882305,362083,1150999,661010,391360,276035
100,Free Cash Flow,-20000,-70000,-251369,-243266,-153987,-184005,279778,535608,-614002,-1092100,-126301,178466
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558465/000126493114000144/0001264931-14-000144-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000155479515000121/0001554795-15-000121-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1558465/000155479517000204/0001554795-17-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774918005768/0001437749-18-005768-index.html,https://www.sec.gov/Archives/edgar/data/1558465/000143774919007113/0001437749-19-007113-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774920011154/0001437749-20-011154-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774921015294/0001437749-21-015294-index.htm,https://www.sec.gov/Archives/edgar/data/1558465/000143774922007671/0001437749-22-007671-index.htm
102,false,,,,,,,,,,,,
