,https://roic.ai/company/RSSS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386301/000114420412053586/0001144204-12-053586-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420413052954/0001144204-13-052954-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420414058374/0001144204-14-058374-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420415054026/0001144204-15-054026-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420416124557/0001144204-16-124557-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420417048498/0001144204-17-048498-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420418050119/0001144204-18-050119-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420419045246/0001144204-19-045246-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000110465920108295/0001104659-20-108295-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000155837021012694/0001558370-21-012694-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,382587,849834,1854093,1852231,2868260,3150978,1699969,2075926,1354158,6076875,5773950,4908180,5353090,9311556,11004337
32,Short-Term Investments,2589410,1736630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2971997,2586464,1854093,1852231,2868260,3150978,1699969,2075926,1354158,6076875,5773950,4908180,5353090,9311556,11004337
34,Net Receivables,1338404,3119158,3499848,4448269,7047202,6296510,5132688,4858434,4889937,5761860,5465299,4251251,4493169,4449260,4717453
35,Inventory,14885,15956,10188,6628,759507,363641,171682,192245,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,340327,406816,255870,798757,1563119,590562,679384,869952,442776,338275,763102,420223,323591,962114,1175173
37,Total Current Assets,4665613,6128394,5619999,7105885,12238088,10401691,7683723,7996557,6686871,12177010,12002351,9579654,10169850,14722930,16896963
38,PP&E,253198,362807,340776,372868,1666462,1294517,831231,527374,83238,82207,503654,366367,229073,83607,20755
39,Goodwill,199185,189185,223385,223385,1567604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,336338,611737,607831,674779,1883660,65510,123482,55235,- -,104848,41870,- -,- -,- -,- -
41,Intangible Assets,535523,800922,831216,898164,3451264,65510,123482,55235,- -,104848,41870,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,308721,244202,286073,463461,9471,7594,14466,14372,14406,6155,906
45,Total Non-Current Assets,788721,1163729,1171992,1271032,5426447,1604229,1240786,1046070,92709,194649,559990,380739,243479,89762,21661
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5454334,7292123,6791991,8376917,17664535,12005920,8924509,9042627,6779580,12371659,12562341,9960393,10413329,14812692,16918624
48,Accounts Payable,1270221,1997233,3036615,4887636,6296566,9554754,7530034,8710072,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,1053452,55293,11601,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,158240,68901,53216,158359,75311,639834,1335475,1665746,2310206,3524507,4804351
52,Other Current Liabilities,168636,1396414,138289,131506,3286769,896752,467682,468106,5611453,5690768,6553944,4806732,4992082,6429171,6687188
53,Total Current Liabilities,1438857,3393647,3174904,5019142,9741575,11573859,8106225,9348138,5686764,6330602,7889419,6472478,7302288,9953678,11491539
54,Long-Term Debt,- -,- -,- -,- -,110080,53452,11059,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,61479,43617,43514,1640938,813173,493045,113415,- -,- -,328299,208513,79326,- -,- -
58,Total Non-Current Liabilities,- -,61479,43617,43514,2101018,866625,504104,113415,- -,- -,328299,208513,79326,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,77608,61478,77196,1945573,1453289,714506,438217,- -,- -,439187,328299,208513,79326,- -
61,Total Liabilities,1438857,3455126,3218521,5062656,11842593,12440484,8610329,9461553,5686764,6330602,8217718,6680991,7381614,9953678,11491539
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12500,12562,12962,13002,16823,17069,16970,17600,18242,23810,23883,24017,24376,26032,26498
64,Retained Earnings,-532710,-871031,-1937072,-2244265,-7651871,-14184160,-13992238,-15858656,-15084437,-15582295,-17875858,-19554599,-20514557,-21176799,-21461888
65,Other Comprehensive Income/Loss,-15315,-89711,-188266,-317629,-724004,-1369782,-1094953,-1511229,-585410,-642051,-744526,-749923,-1060565,-1195690,-119577
66,Other Total Stockholders Equity,4499874,4735075,5638489,5828249,14180994,15102309,15384401,16933359,16744421,22241593,22941124,23559907,24582461,27205471,26982052
67,Total Stockholders Equity,3964349,3786895,3526113,3279357,5821942,-434564,314180,-418926,1092816,6041057,4344623,3279402,3031715,4859014,5427085
68,Total Liabilities And Stockholders Equity,5403206,7242021,6744634,8342013,17664535,12005920,8924509,9042627,6779580,12371659,12562341,9960393,10413329,14812692,16918624
69,Minority Interest,51128,50102,47357,34904,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5454334,7292123,6791991,8376917,17664535,12005920,8924509,9042627,6779580,12371659,12562341,9960393,10413329,14812692,16918624
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386301/000114420412053586/0001144204-12-053586-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420413052954/0001144204-13-052954-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420414058374/0001144204-14-058374-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420415054026/0001144204-15-054026-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420416124557/0001144204-16-124557-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420417048498/0001144204-17-048498-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420418050119/0001144204-18-050119-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420419045246/0001144204-19-045246-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000110465920108295/0001104659-20-108295-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000155837021012694/0001558370-21-012694-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-415491,-338321,-1066041,-307193,-5407606,-6532289,191922,-1866418,774219,-497858,-2293563,-1678741,-959958,-662242,-285089
74,Depreciation and Amortization,44179,278485,283583,270981,750190,1529222,617898,507678,174819,90846,178799,262990,153895,143568,83853
75,Deferred Income Tax,- -,- -,- -,- -,- -,-350000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1372849,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-278497,-492009,-289652,-358352,409770,-3668681,749666,-929079,2351688,4846301,-1733476,-1005756,-239614,1901690,636172
78,Accounts Receivable,-605981,-1780754,-380690,-948421,-167479,591191,1132754,225045,-894950,-599676,296561,1214048,-241918,43909,-268193
79,Inventory,2212,-1071,5768,3560,130792,395866,191959,-20563,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,3226756,2734747,2445095,2086743,2496513,-1172168,-422502,-1351581,1000107,5846408,4112932,3107176,2867562,4769252,5405424
82,Other Non-Cash Items,- -,-380461,1305877,747005,-2218224,10990210,-1655324,2598519,-3632621,-4254118,3411398,1816193,1622123,1035449,1433470
83,Cash Provided by Operating Activities,-649809,-932306,233767,352441,-5093021,1968462,-95838,310700,-331895,185171,-436842,-605314,576446,2418465,1868406
84,CAPEX,-283135,-527568,-257646,-327381,-366983,-410707,-122554,-244482,-95221,-196298,-73652,-86736,-15828,- -,-19854
85,Acquisitions Net,-466080,- -,-34200,- -,205383,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2589410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,819120,1770298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-280000,-406950,-181122,-208570,-245925,-226849,552048,89092,-27666,-137922,420943,-57452,- -,- -,- -
89,Cash Used for Investing Activites,-3338625,302052,1478452,-327381,-161600,-409957,451020,-101178,-95221,-196298,361348,-86736,-15828,- -,-19854
90,Debt Repayment,- -,-176576,-1307985,-26922,-422212,-996336,-1779335,-331040,- -,-1000000,- -,- -,- -,- -,- -
91,Common Stock Issued,4221784,- -,600025,- -,2784032,- -,- -,- -,- -,4783830,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-51705,-37747,-199328,-152739,-200023,-321601,-178012
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,82775,1274077,- -,- -,3920420,-492037,-10415,591779,-67515,1000000,- -,- -,100000,1875000,18038
95,Cash Used/Provided by Financing Activities,4304559,1097501,-707960,-26922,6282240,-1488373,-1789750,260739,-119220,4746083,-199328,-152739,-100023,1553399,-159974
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-11590,212586,-16441,-94304,15827,-12239,-28103,-20981,-15685,-13398,4203
97,Net Change In Cash,316125,467247,1004259,-1862,1016029,282718,-1451009,375957,-530509,4722717,-302925,-865770,444910,3958466,1692781
98,Cash at the End of Period,382587,849834,1854093,1852231,2868260,3150978,1699969,2075926,1354158,6076875,5773950,4908180,5353090,9311556,11004337
99,Cash at the Beginning of Period,66462,382587,849834,1854093,1852231,2868260,3150978,1699969,1884667,1354158,6076875,5773950,4908180,5353090,9311556
100,Free Cash Flow,-932944,-1459874,-23879,25060,-5460004,1557755,-218392,66218,-427116,-11127,-510494,-692050,560618,2418465,1848552
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386301/000114420412053586/0001144204-12-053586-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420413052954/0001144204-13-052954-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420414058374/0001144204-14-058374-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420415054026/0001144204-15-054026-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420416124557/0001144204-16-124557-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420417048498/0001144204-17-048498-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420418050119/0001144204-18-050119-index.html,https://www.sec.gov/Archives/edgar/data/1386301/000114420419045246/0001144204-19-045246-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000110465920108295/0001104659-20-108295-index.htm,https://www.sec.gov/Archives/edgar/data/1386301/000155837021012694/0001558370-21-012694-index.htm
102,false,,,,,,,,,,,,,,,
