,https://roic.ai/company/VRS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-51400000,-21300000,45463000,-2637000,-111463000,-62826000,106749000,-130937000,-136864000,-175253000,-111768000,-355944000,-425000000,- -,-38000000,171000000,-21000000,-110000000,-6000000
21,Income Before Tax Ratio,-0.0383,-0.0146,0.0283,-0.0037,-0.0684,-0.0356,0.0784,-0.0816,-0.0795,-0.1188,-0.0805,-0.2745,-0.1361,- -,-0.0154,0.0638,-0.0086,-0.0809,-0.0047
22,Income Tax expense (Gain),-19800000,-8200000,17913000,- -,- -,- -,746000,145000,197000,-1424000,-562000,-2989000,-3000000,- -,-8000000,- -,-117000000,-9000000,-3000000
23,Net Income,-32300000,-13100000,27550000,-2637000,-111463000,-62826000,106003000,-131082000,-137061000,-173829000,-111206000,-352955000,-422000000,- -,-30000000,171000000,96000000,-101000000,-3000000
24,Net Income ratio,-0.0240,-0.0090,0.0172,-0.0037,-0.0684,-0.0356,0.0779,-0.0817,-0.0796,-0.1179,-0.0801,-0.2722,-0.1352,- -,-0.0122,0.0638,0.0393,-0.0743,-0.0023
25,EPS,-0.39,-0.16,0.34,-0.07,-2.93,-1.35,2.03,-2.50,-2.61,-3.29,-2.09,-6.62,-5.19,- -,-0.87,4.97,2.78,-2.95,-0.09
26,EPS Diluted,-0.39,-0.16,0.34,-0.07,-2.93,-1.35,2.03,-2.50,-2.61,-3.29,-2.09,-6.62,-5.19,- -,-0.87,4.88,2.74,-2.95,-0.09
27,Weighted Average Shares Outstanding,81847000,81847000,81847000,38046647,38046647,46691456,52138307,52445000,52595000,52896374,53172484,53293000,81295000,34432000,34432000,34514000,34625000,34232000,34232000
28,Weighted Average Shares Outstanding Diluted,81847000,81847000,81847000,38046647,38046647,46691456,52153448,52445000,52595000,52896374,53172484,53293000,81295000,34432000,34432000,35096000,35134000,34232000,34232000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421182/000115752309001898/0001157523-09-001898-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000114420410011107/0001144204-10-011107-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000115752311001353/a6627179.htm,https://www.sec.gov/Archives/edgar/data/1395864/000115752312001237/0001157523-12-001237-index.html,https://www.sec.gov/Archives/edgar/data/1395864/000115752313001280/0001157523-13-001280-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118214000024/vrs12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118215000010/vrs12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118216000085/vrs12312015-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118217000006/0001421182-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118218000005/0001421182-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118219000007/0001421182-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118220000006/0001421182-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118221000004/0001421182-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118222000006/0001421182-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,112479000,58533000,119542000,152097000,152780000,94869000,61525000,11295000,5542000,4000000,6000000,7000000,26000000,42000000,137000000,172000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,112479000,58533000,119542000,152097000,152780000,94869000,61525000,11295000,5542000,4000000,6000000,7000000,26000000,42000000,137000000,172000000
34,Net Receivables,- -,- -,- -,121647000,133507000,82484000,104263000,107008000,128086000,100888000,104498000,87740000,226000000,194000000,208000000,197000000,155000000,83000000,106000000
35,Inventory,- -,- -,- -,140503000,119620000,195934000,162401000,142516000,166876000,131467000,137687000,110724000,484000000,445000000,385000000,398000000,395000000,224000000,127000000
36,Other Current Assets,- -,- -,- -,5880000,3935000,2512000,11292000,3806000,3239000,28893000,20671000,71776000,37000000,20000000,14000000,12000000,7000000,22000000,10000000
37,Total Current Assets,- -,- -,- -,380509000,315595000,400472000,430053000,406110000,393070000,322773000,274151000,275782000,751000000,665000000,614000000,633000000,599000000,466000000,415000000
38,PP&E,1384300000,1363900000,1287000000,1212256000,1160239000,1115990000,1022622000,972711000,934699000,793031000,742946000,530537000,1857000000,1132000000,1062000000,1016000000,959000000,627000000,532000000
39,Goodwill,- -,- -,- -,18695000,18695000,18695000,18695000,18695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,89544000,97785000,88513000,88006000,- -,80035000,24011000,21596000,14581000,38000000,40000000,34000000,28000000,22000000,12000000,9000000
41,Intangible Assets,- -,- -,- -,108239000,116480000,107208000,106701000,18695000,80035000,24011000,21596000,14581000,38000000,40000000,34000000,28000000,22000000,12000000,9000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,33909000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,122000000,85000000
44,Other Non-Current Assets,- -,- -,- -,10007000,11144000,12725000,13357000,118621000,13671000,35207000,59859000,56611000,64000000,18000000,22000000,22000000,23000000,18000000,14000000
45,Total Non-Current Assets,- -,- -,- -,1330502000,1287863000,1235923000,1142680000,1110027000,1028405000,886158000,824401000,601729000,1959000000,1190000000,1118000000,1066000000,1122000000,779000000,640000000
46,Other Assets,1603400000,1585000000,1534100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1603400000,1585000000,1534100000,1711011000,1603458000,1636395000,1572733000,1516137000,1421475000,1208931000,1098552000,877511000,2710000000,1855000000,1732000000,1699000000,1721000000,1245000000,1055000000
48,Accounts Payable,- -,- -,- -,146381000,132244000,123055000,103253000,123874000,109683000,92079000,88412000,62814000,113000000,105000000,176000000,215000000,188000000,80000000,99000000
49,Short-Term Debt,- -,- -,- -,2850000,5975000,2850000,- -,- -,- -,8501000,13310000,30000000,2879000000,28000000,60000000,- -,10000000,9000000,5000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1672000,1584000,1456000,1466000,9000000,6000000,5000000,5000000,4000000,4000000,4000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -
52,Other Current Liabilities,- -,- -,- -,80362000,93012000,125565000,116225000,119810000,140756000,120356000,122335000,207595000,267000000,148000000,129000000,118000000,95000000,76000000,64000000
53,Total Current Liabilities,- -,- -,- -,229593000,231231000,251470000,219478000,243684000,250439000,220936000,224057000,300409000,3259000000,281000000,365000000,333000000,293000000,173000000,168000000
54,Long-Term Debt,- -,- -,- -,1166438000,1413588000,1354821000,1192352000,1228611000,1262459000,1248458000,1235167000,1296906000,- -,265000000,130000000,- -,5000000,4000000,8000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6774000,6174000,3779000,8000000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,34961000,33740000,40151000,35612000,50648000,62465000,54449000,50425000,60522000,626000000,539000000,491000000,460000000,410000000,384000000,180000000
58,Total Non-Current Liabilities,- -,- -,- -,1201399000,1447328000,1394972000,1227964000,1279259000,1324924000,1309681000,1291766000,1361207000,634000000,804000000,621000000,460000000,415000000,388000000,188000000
59,Other Liabilities,528100000,545000000,1254100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,14000000,13000000
61,Total Liabilities,528100000,545000000,1254100000,1430992000,1678559000,1646442000,1447442000,1522943000,1575363000,1530617000,1515823000,1661616000,3893000000,1085000000,986000000,793000000,708000000,561000000,356000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,380000,380000,520000,524000,525000,526000,530000,533000,534000,1000000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,-2637000,-114100000,-180048000,-74045000,-205127000,-342188000,-516017000,-627223000,-980178000,-1402000000,-32000000,-62000000,102000000,198000000,-42000000,-57000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-7741000,-9870000,-42271000,-13569000,-16254000,-28658000,-25273000,-11435000,-27117000,-102000000,127000000,132000000,120000000,122000000,60000000,174000000
66,Other Total Stockholders Equity,1075300000,1040000000,280000000,290017000,48489000,211752000,212381000,214050000,216432000,219074000,220854000,222656000,320000000,675000000,676000000,684000000,693000000,666000000,- -
67,Total Stockholders Equity,1075300000,1040000000,280000000,280019000,-75101000,-10047000,125291000,-6806000,-153888000,-321686000,-417271000,-784105000,-1183000000,770000000,746000000,906000000,1013000000,684000000,699000000
68,Total Liabilities And Stockholders Equity,1603400000,1585000000,1534100000,1711011000,1603458000,1636395000,1572733000,1516137000,1421475000,1208931000,1098552000,877511000,2710000000,1855000000,1732000000,1699000000,1721000000,1245000000,1055000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1603400000,1585000000,1534100000,1711011000,1603458000,1636395000,1572733000,1516137000,1421475000,1208931000,1098552000,877511000,2710000000,1855000000,1732000000,1699000000,1721000000,1245000000,1055000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421182/000115752309001898/0001157523-09-001898-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000114420410011107/0001144204-10-011107-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000115752311001353/a6627179.htm,https://www.sec.gov/Archives/edgar/data/1395864/000115752312001237/0001157523-12-001237-index.html,https://www.sec.gov/Archives/edgar/data/1395864/000115752313001280/0001157523-13-001280-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118214000024/vrs12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118215000010/vrs12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118216000085/vrs12312015-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118217000006/0001421182-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118218000005/0001421182-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118219000007/0001421182-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118220000006/0001421182-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118221000004/0001421182-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118222000006/0001421182-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-32300000,-13100000,27550000,-2637000,-111463000,-62826000,106003000,-131082000,-137061000,-173829000,-111206000,-352955000,-422000000,- -,-30000000,171000000,96000000,-101000000,-3000000
74,Depreciation and Amortization,1292400000,1403000000,129355000,50619000,129938000,- -,132682000,127367000,132363000,- -,- -,- -,- -,193000000,- -,111000000,183000000,153000000,154000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-8000000,- -,-117000000,-9000000,-3000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677000,1805000,1756000,3000000,- -,1000000,8000000,12000000,5000000,5000000
77,Change in Working Capital,- -,- -,- -,150916000,-66552000,64638000,61573000,-48149000,-19795000,-40794000,-51743000,-74721000,-2483373000,2892000000,-135000000,51000000,6000000,-13000000,65000000
78,Accounts Receivable,- -,- -,-30502000,- -,- -,51024000,-21725000,-2746000,-21078000,27199000,-3610000,16757000,24000000,26000000,-13000000,11000000,44000000,32000000,-23000000
79,Inventory,- -,- -,432000,5438000,20171000,-76314000,27855000,19885000,-24360000,28269000,-6176000,17213000,15000000,-28000000,60000000,-12000000,-7000000,79000000,92000000
80,Accounts Payable,- -,- -,- -,- -,- -,-10202000,-17357000,20621000,-14191000,-17813000,-8059000,-21752000,-91000000,68000000,67000000,40000000,-34000000,-64000000,13000000
81,Other Working Capital,- -,- -,- -,150916000,84364000,149002000,210575000,162426000,142631000,101837000,50094000,-24627000,-2508000000,384000000,249000000,300000000,306000000,293000000,- -
82,Other Non-Cash Items,-1179100000,-1266200000,-40138000,-70695000,63056000,52273000,-123102000,125344000,39004000,223954000,133412000,368155000,2636373000,-3023000000,325000000,-58000000,-55000000,-97000000,-38000000
83,Cash Provided by Operating Activities,81000000,123700000,116767000,128203000,14979000,54085000,177156000,73480000,14511000,12008000,-27732000,-57765000,-266000000,42000000,153000000,283000000,125000000,-62000000,180000000
84,CAPEX,-133300000,-111300000,-53096000,-27790000,-70864000,-81386000,-34216000,-73646000,-90272000,-59909000,-40660000,-41963000,-64000000,-73000000,-40000000,-73000000,-105000000,-48000000,-66000000
85,Acquisitions Net,- -,- -,- -,-1374221000,- -,- -,- -,- -,- -,- -,- -,- -,128000000,- -,- -,- -,- -,345000000,6000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-135200000,-111500000,-52979000,- -,1789000,-81278000,-34133000,-98266000,-66205000,-7069000,-13755000,-25290000,-17000000,64000000,-39000000,-52000000,-104000000,-42000000,-48000000
89,Cash Used for Investing Activites,-135200000,-111500000,-52979000,-1402011000,-69075000,-81278000,-34133000,-98266000,-66205000,-7069000,-13755000,-25290000,111000000,-9000000,-39000000,-52000000,-104000000,303000000,-42000000
90,Debt Repayment,- -,- -,-963000,- -,- -,-153975000,-453036000,- -,-389998000,-467484000,-153501000,-353759000,-570000000,- -,-298000000,-653000000,-429000000,-37000000,-1000000
91,Common Stock Issued,- -,- -,- -,- -,- -,153216000,- -,2000,16000,- -,- -,105000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-53000,-31000,-22000,-58000,- -,- -,- -,- -,-3000000,-34000000,-80000000
93,Dividends Paid,- -,- -,- -,261397000,-242153000,-3122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000000,-12000000
94,Other Financing Activites,- -,- -,-62816000,1124889000,242303000,92083000,342568000,25467000,383818000,429232000,144780000,431014000,723000000,-31000000,185000000,441000000,427000000,36000000,-10000000
95,Cash Used/Provided by Financing Activities,- -,- -,-63779000,1386286000,150000,88202000,-110468000,25469000,-6217000,-38283000,-8743000,77302000,153000000,-31000000,-113000000,-212000000,-5000000,-146000000,-103000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,9000,112478000,-53946000,61009000,32555000,683000,-57911000,-33344000,-50230000,-5753000,-2000000,2000000,1000000,19000000,16000000,95000000,35000000
98,Cash at the End of Period,- -,- -,46000,112479000,58533000,119542000,152097000,152780000,94869000,61525000,11295000,5542000,4000000,6000000,7000000,28000000,44000000,139000000,174000000
99,Cash at the Beginning of Period,- -,- -,37000,1000,112479000,58533000,119542000,152097000,152780000,94869000,61525000,11295000,6000000,4000000,6000000,9000000,28000000,44000000,139000000
100,Free Cash Flow,-52300000,12400000,63671000,100413000,-55885000,-27301000,142940000,-166000,-75761000,-47901000,-68392000,-99728000,-330000000,-31000000,113000000,210000000,20000000,-110000000,114000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421182/000115752309001898/0001157523-09-001898-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000114420410011107/0001144204-10-011107-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000115752311001353/a6627179.htm,https://www.sec.gov/Archives/edgar/data/1395864/000115752312001237/0001157523-12-001237-index.html,https://www.sec.gov/Archives/edgar/data/1395864/000115752313001280/0001157523-13-001280-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118214000024/vrs12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118215000010/vrs12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118216000085/vrs12312015-10k.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118217000006/0001421182-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118218000005/0001421182-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118219000007/0001421182-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118220000006/0001421182-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421182/000142118221000004/0001421182-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1421182/000142118222000006/0001421182-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,
