,https://roic.ai/company/PRTA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1559053/000119312513133056/0001193125-13-133056-index.html,https://www.sec.gov/Archives/edgar/data/1559053/000155905314000007/0001559053-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905315000006/0001559053-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905316000051/0001559053-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905317000005/0001559053-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905318000008/0001559053-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905319000007/0001559053-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905320000005/0001559053-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905321000008/0001559053-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905322000008/0001559053-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,124860000,176677000,293579000,370586000,386923000,417620000,427659000,375723000,295380000,579094000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,124860000,176677000,293579000,370586000,386923000,417620000,427659000,375723000,295380000,579094000
34,Net Receivables,- -,- -,223000,58000,1759000,509000,178000,240000,2000,68000,15000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,124000,758000,1487000,3937000,6308000,4261000,8467000,3729000,2584000,3889000,5715000
37,Total Current Assets,- -,124000,125841000,178222000,299275000,377403000,391362000,426327000,431390000,378375000,299284000,584809000
38,PP&E,- -,2539000,- -,- -,- -,- -,51359000,51760000,52245000,27148000,20362000,14135000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,70000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,70000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,816000,1720000,2850000,5913000,8113000,9702000,9956000,11644000,7071000
44,Other Non-Current Assets,- -,885000,3393000,3372000,3121000,4983000,11342000,10129000,5459000,3789000,1685000,3351000
45,Total Non-Current Assets,- -,3494000,3442000,4188000,4841000,7833000,68614000,70002000,67406000,40893000,33691000,24557000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3618000,129283000,182410000,304116000,385236000,459976000,496329000,498796000,419268000,332975000,609366000
48,Accounts Payable,- -,380000,- -,1790000,4722000,4519000,13069000,13633000,1470000,1242000,4117000,3691000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5101000,5512000,5940000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,36000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7657000
52,Other Current Liabilities,- -,8024000,1744000,5616000,7317000,17697000,28006000,23738000,13456000,11371000,16219000,16164000
53,Total Current Liabilities,- -,8404000,1744000,7406000,12039000,22216000,41075000,37371000,14926000,17714000,25848000,33452000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,17838000,12326000,6386000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,110242000,110242000,110242000,102933000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1650000,1055000,1734000,2188000,2351000,53498000,51769000,50630000,553000,553000,553000
58,Total Non-Current Liabilities,- -,1650000,1055000,1734000,2188000,2351000,53498000,51769000,160872000,128633000,123121000,109872000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,51320000,52248000,51546000,22939000,17838000,12326000
61,Total Liabilities,- -,10054000,2799000,9140000,14227000,24567000,94573000,89140000,175798000,146347000,148969000,143324000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,177000,219000,274000,317000,348000,385000,399000,399000,399000,466000
64,Retained Earnings,- -,- -,-345000,-41341000,-48491000,-129103000,-289211000,-442350000,-597995000,-671885000,-783029000,-716054000
65,Other Comprehensive Income/Loss,- -,-568000,-3707000,-4289000,-4711000,-5343000,-7668000,-7743000,-10504000,-8007000,- -,- -
66,Other Total Stockholders Equity,- -,- -,130359000,218681000,342817000,494798000,661934000,856897000,931098000,952414000,966636000,- -
67,Total Stockholders Equity,- -,-6436000,126484000,173270000,289889000,360669000,365403000,407189000,322998000,272921000,184006000,466042000
68,Total Liabilities And Stockholders Equity,- -,3618000,129283000,182410000,304116000,385236000,459976000,496329000,498796000,419268000,332975000,609366000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3618000,129283000,182410000,304116000,385236000,459976000,496329000,498796000,419268000,332975000,609366000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1559053/000119312513133056/0001193125-13-133056-index.html,https://www.sec.gov/Archives/edgar/data/1559053/000155905314000007/0001559053-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905315000006/0001559053-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905316000051/0001559053-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905317000005/0001559053-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905318000008/0001559053-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905319000007/0001559053-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905320000005/0001559053-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905321000008/0001559053-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905322000008/0001559053-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-12482000,-29670000,-41411000,-40996000,-7150000,-80612000,-160108000,-153237000,-155645000,-77677000,-111144000,66975000
74,Depreciation and Amortization,191000,391000,468000,660000,743000,806000,2427000,3067000,3216000,6820000,6977000,6803000
75,Deferred Income Tax,- -,- -,- -,-538000,-990000,-963000,-3248000,-2200000,-1589000,-1248000,-1688000,4573000
76,Stock Based Compensation,1600000,2972000,6098000,3128000,5597000,10414000,24929000,26764000,27010000,23585000,22014000,24658000
77,Change in Working Capital,1608000,-8280000,132377000,46719000,116420000,67951000,-4900000,38669000,27508000,-4449000,3479000,-10404000
78,Accounts Receivable,- -,-146000,-223000,165000,-1701000,1250000,331000,-62000,238000,- -,53000,15000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78000,7728000,-492000
81,Other Working Capital,- -,-8280000,124097000,170816000,287236000,355187000,350287000,388956000,416464000,- -,- -,348000
82,Other Non-Cash Items,- -,14890000,-139604000,-41071000,-115303000,-60051000,23631000,-44246000,71224000,- -,- -,- -
83,Cash Provided by Operating Activities,-9083000,-19697000,-42072000,-32098000,-683000,-62455000,-117269000,-131183000,-28276000,-52969000,-80362000,92605000
84,CAPEX,-2607000,-595000,-1301000,-564000,-526000,-1382000,-16644000,-3626000,-1768000,-555000,-196000,-575000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42000,- -,- -,29000,27000,- -,- -,105000,39000,8000,- -,- -
89,Cash Used for Investing Activites,-2607000,-595000,-1301000,-535000,-499000,-1382000,-16644000,-3521000,-1729000,-547000,-196000,-575000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-169000,-2760000,-4400000,- -,- -,- -
91,Common Stock Issued,- -,- -,26000000,84534000,117348000,131341000,128777000,150323000,39758000,- -,- -,174788000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11690000,20292000,142233000,-84000,736000,9503000,25698000,17838000,4686000,228000,215000,15544000
95,Cash Used/Provided by Financing Activities,11690000,20292000,168233000,84450000,118084000,140844000,154306000,165401000,40044000,228000,215000,190332000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,51817000,116902000,77007000,20393000,30697000,10039000,-53288000,-80343000,282362000
98,Cash at the End of Period,- -,- -,124860000,176677000,293579000,370586000,390979000,421676000,431715000,378427000,298084000,580446000
99,Cash at the Beginning of Period,- -,- -,- -,124860000,176677000,293579000,370586000,390979000,421676000,431715000,378427000,298084000
100,Free Cash Flow,-11690000,-20292000,-43373000,-32662000,-1209000,-63837000,-133913000,-134809000,-30044000,-53524000,-80558000,92030000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1559053/000119312513133056/0001193125-13-133056-index.html,https://www.sec.gov/Archives/edgar/data/1559053/000155905314000007/0001559053-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905315000006/0001559053-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905316000051/0001559053-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905317000005/0001559053-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905318000008/0001559053-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905319000007/0001559053-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905320000005/0001559053-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905321000008/0001559053-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1559053/000155905322000008/0001559053-22-000008-index.htm
102,false,,,,,,,,,,,,
