,https://roic.ai/company/CEIX,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,-368392000,-400063000,-305100000,-323482000,-348725000,-336558000,-255437000
66,Other Total Stockholders Equity,- -,1429839000,1200124000,552793000,550995000,523762000,642887000,672813000
67,Total Stockholders Equity,- -,908090000,657631000,204260000,409935000,435199000,553519000,672813000
68,Total Liabilities And Stockholders Equity,- -,2713984000,2544941000,2567718000,2619051000,2556606000,2523366000,2573517000
69,Minority Interest,- -,153749000,142493000,139381000,141676000,137196000,- -,- -
70,Total Liabilities & Equity,- -,2867733000,2687434000,2707099000,2760727000,2693802000,2523366000,2573517000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1710366/000171036618000006/0001710366-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036619000005/0001710366-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036620000006/0001710366-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774921002802/0001437749-21-002802-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774922003140/0001437749-22-003140-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,290952000,307011000,41496000,67629000,152976000,76001000,-9755000,34110000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,210760000,224583000
75,Deferred Income Tax,40664000,72616000,91525000,16610000,-16482000,-17419000,11685000,-14760000
76,Stock Based Compensation,19860000,8406000,12895000,22085000,10235000,12760000,11579000,6632000
77,Change in Working Capital,10639000,-144878000,-5269000,155991000,4748000,-36014000,-21294000,16637000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,44707000
79,Inventory,22441000,4951000,3352000,-3259000,4774000,-5485000,-2069000,-6676000
80,Accounts Payable,48187000,-575000,-4152000,7043000,37488000,-21714000,-30759000,11473000
81,Other Working Capital,-28813000,-173691000,-178960000,-22969000,-18221000,-54235000,-75529000,-58892000
82,Other Non-Cash Items,181404000,48538000,188460000,-14205000,262048000,209238000,-73644000,38367000
83,Cash Provided by Operating Activities,543519000,291693000,329107000,248110000,413525000,244566000,129331000,305569000
84,CAPEX,-348846000,-143053000,-53600000,-81413000,-145749000,-169739000,-86004000,-132752000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-127810000,-130274000,-45758000,-56831000,-153646000,-172541000,-76334000,-127361000
89,Cash Used for Investing Activites,-127810000,-130274000,-45758000,-56831000,-153646000,-172541000,-76334000,-127361000
90,Debt Repayment,- -,-5829000,- -,-204904000,-71458000,-207124000,-86314000,-101181000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-25839000,-32733000,- -,- -
93,Dividends Paid,-421674000,-461051000,-270969000,-581502000,-18234000,- -,- -,- -
94,Other Financing Activites,5835000,311963000,-5708000,735795000,-33392000,-16810000,3874000,70329000
95,Cash Used/Provided by Financing Activities,-415839000,-154917000,-276677000,-50611000,-148923000,-256667000,-82440000,-30852000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-130000,6502000,6672000,140668000,110956000,-184642000,-29443000,147356000
98,Cash at the End of Period,137000,6639000,13311000,153979000,264935000,80293000,50850000,198206000
99,Cash at the Beginning of Period,267000,137000,6639000,13311000,153979000,264935000,80293000,50850000
100,Free Cash Flow,194673000,148640000,275507000,166697000,267776000,74827000,43327000,172817000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1710366/000171036618000006/0001710366-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036619000005/0001710366-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000171036620000006/0001710366-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774921002802/0001437749-21-002802-index.htm,https://www.sec.gov/Archives/edgar/data/1710366/000143774922003140/0001437749-22-003140-index.htm
102,false,,,,,,,,
