,https://roic.ai/company/TRUP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,18271000,39733000,84655000,53633000,65387000,86558000,117976000,158821000,337027000,390954000
38,PP&E,- -,2413000,3124000,7862000,9719000,8464000,7868000,69803000,70372000,72602000,77950000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,33045000,32709000
40,Intangible Assets,- -,4773000,4910000,4847000,4854000,4910000,4972000,8071000,7731000,27134000,22663000
41,Intangible Assets,- -,4773000,4910000,4847000,4854000,4910000,4972000,8071000,7731000,60179000,55372000
42,Investments,- -,1439000,832000,942000,2688000,2850000,3237000,3554000,4323000,5566000,7061000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,770000,3054000,- -,23000,734000,3224000,8106000,15953000,-5566000,31245000
45,Total Non-Current Assets,- -,9395000,11920000,13651000,17284000,16958000,19301000,89534000,98379000,132781000,171628000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27666000,51653000,98306000,70917000,82345000,105859000,207510000,257200000,469808000,562582000
48,Accounts Payable,- -,1008000,1263000,1962000,1289000,2006000,2716000,2767000,4087000,6059000,8952000
49,Short-Term Debt,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,3939000,8468000,9345000,11042000,13463000,22734000,33027000,52546000,92547000,146911000
52,Other Current Liabilities,- -,5578000,15392000,11237000,11286000,15188000,20416000,27409000,34992000,51793000,67833000
53,Total Current Liabilities,- -,10525000,26023000,22544000,23617000,30657000,45866000,63203000,91625000,150399000,223696000
54,Long-Term Debt,- -,9900000,25199000,14900000,- -,4767000,9324000,12862000,26086000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1546000,1540000,1495000,1433000,1372000,1002000,1002000,1118000,- -,2827000
57,Other Non-Current Liabilities,- -,32768000,31890000,92000,511000,834000,1233000,1270000,1611000,- -,3859000
58,Total Non-Current Liabilities,- -,44214000,58629000,16487000,1944000,6973000,11559000,15134000,28815000,- -,6686000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7912000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,54739000,84652000,39031000,25561000,37630000,57425000,78337000,120440000,158311000,230382000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-27828000,-36003000,-57180000,-74385000,-81281000,-82784000,-83711000,-85520000,- -,-126890000
65,Other Comprehensive Income/Loss,- -,-142000,-164000,11000,-502000,-377000,-92000,-753000,250000,3071000,3077000
66,Other Total Stockholders Equity,- -,1717000,4766000,119709000,120741000,134342000,143593000,213884000,241927000,336939000,- -
67,Total Stockholders Equity,- -,-27073000,-32999000,59275000,45356000,44715000,48434000,129173000,136760000,339939000,332200000
68,Total Liabilities And Stockholders Equity,- -,27666000,51653000,98306000,70917000,82345000,105859000,207510000,257200000,498250000,562582000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28442000,- -
70,Total Liabilities & Equity,- -,27666000,51653000,98306000,70917000,82345000,105859000,207510000,257200000,469808000,562582000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1371285/000137128515000006/a10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128516000128/0001371285-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128517000024/0001371285-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128518000014/0001371285-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128519000039/0001371285-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128520000032/0001371285-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128521000041/0001371285-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128522000048/0001371285-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3919000,-6410000,-8175000,-21177000,-17205000,-6896000,-1503000,-927000,-1809000,-5840000,-35530000
74,Depreciation and Amortization,199000,349000,892000,1674000,2542000,3846000,4232000,4512000,5632000,7071000,11965000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,982000,1434000,1938000,4084000,3002000,2946000,3419000,4775000,6846000,8912000,28226000
77,Change in Working Capital,2445000,6412000,5964000,48401000,-32095000,4714000,5962000,14081000,12423000,119432000,4724000
78,Accounts Receivable,-242000,-1889000,-5478000,-126000,-328000,- -,- -,- -,- -,-43272000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-141000,291000,242000,449000,-347000,652000,- -,- -,- -,- -,8796000
81,Other Working Capital,1334000,7746000,13710000,62111000,30016000,34730000,40692000,54773000,67196000,186628000,65153000
82,Other Non-Cash Items,181000,-3328000,-1642000,-43783000,33331000,396000,-2444000,-9761000,-6935000,-108031000,-1927000
83,Cash Provided by Operating Activities,-112000,-1543000,-1023000,-10801000,-10425000,5006000,9666000,12680000,16157000,21544000,7458000
84,CAPEX,-620000,-2055000,-1473000,-5633000,-4894000,-1941000,-3131000,-59895000,-5373000,-7451000,-12355000
85,Acquisitions Net,- -,-249000,- -,- -,-300000,- -,1402000,- -,- -,-48133000,- -
86,Purchases of Investments,-8670000,-10379000,-26064000,-34894000,-24800000,-31616000,-31920000,-55862000,-69506000,-65286000,-95672000
87,Sales/Maturities of Investments,7621000,8909000,20770000,28601000,20180000,27247000,23372000,35413000,49762000,- -,57869000
88,Other Investing Activites,- -,-770000,770000,- -,-109000,-198000,-2779000,-1107000,-2891000,44123000,-1755000
89,Cash Used for Investing Activites,-1669000,-4544000,-5997000,-11926000,-9923000,-6508000,-13056000,-81451000,-28008000,-76747000,-51913000
90,Debt Repayment,-483000,- -,- -,-32000000,-14900000,-204000,- -,-10000000,- -,-32450000,- -
91,Common Stock Issued,- -,- -,- -,72755000,- -,- -,- -,65671000,- -,192265000,- -
92,Common Stock Repurchased,- -,-5054000,- -,- -,- -,- -,- -,- -,- -,- -,-4732000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8811000,7328000,17551000,20108000,692000,7876000,5081000,15558000,14044000,11033000,3607000
95,Cash Used/Provided by Financing Activities,8328000,2274000,17551000,60863000,-14208000,7672000,5081000,71229000,14044000,170848000,-1125000
96,Effect of Forex Changes on Cash,-98000,-40000,174000,23000,-586000,111000,378000,-812000,423000,-16000,252000
97,Net Change In Cash,6449000,-3853000,10705000,38159000,-35142000,6281000,2069000,1646000,2616000,115629000,-45328000
98,Cash at the End of Period,8087000,4234000,14939000,53098000,17956000,24237000,26306000,27952000,30568000,146197000,100869000
99,Cash at the Beginning of Period,1638000,8087000,4234000,14939000,53098000,17956000,24237000,26306000,27952000,30568000,146197000
100,Free Cash Flow,-732000,-3598000,-2496000,-16434000,-15319000,3065000,6535000,-47215000,10784000,14093000,-4897000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1371285/000137128515000006/a10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128516000128/0001371285-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128517000024/0001371285-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128518000014/0001371285-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128519000039/0001371285-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128520000032/0001371285-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1371285/000137128521000041/0001371285-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1371285/000137128522000048/0001371285-22-000048-index.htm
102,false,,,,,,,,,,,
