,https://roic.ai/company/GDRX,2018,2019,2020,2021
84,CAPEX,-3458000,-5749000,-35824000,-34457000
85,Acquisitions Net,- -,-31306000,-55793000,-144276000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-2654000,-4324000,-15271000,-29886000
89,Cash Used for Investing Activites,-3458000,-37055000,-91617000,-178733000
90,Debt Repayment,-294937000,-211845000,-35029000,-7029000
91,Common Stock Issued,- -,1623000,991793000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-1346355000,- -,- -,- -
94,Other Financing Activites,1616558000,155441000,-50947000,-23499000
95,Cash Used/Provided by Financing Activities,-24734000,-54781000,905817000,-30528000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,17061000,-8550000,945541000,-30482000
98,Cash at the End of Period,34600000,26050000,971591000,941109000
99,Cash at the Beginning of Period,17539000,34600000,26050000,971591000
100,Free Cash Flow,41795000,77537000,95517000,144322000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1809519/000156459021012614/0001564590-21-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1809519/000095017022002348/0000950170-22-002348-index.htm
102,false,,,,
