,https://roic.ai/company/TELL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,6800000,5400000,6200000,6800000,9300000,12500000,13400000,12200000,10200000,10300000,11400000,16400000,12500000,11600000,13267472,11423769,13815486,14246896,20405867,21491151,22765479,28505592,43494694,26315500,23275367,30348085,34023000,28667000,19949000,16412000,5339000,166416000,133493000,174633000,109292000,184008000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583065,- -,- -,749000,624000,-243000,- -,- -,- -,1574000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,4000,- -,- -,- -,- -,9378000
14,Depreciation and Amortization,700000,1200000,1700000,1900000,2800000,3300000,5200000,3800000,3300000,3400000,3300000,2100000,2200000,2400000,3670417,3473758,3447444,3718660,6341998,6994253,6314049,10693415,18021236,6785952,- -,- -,- -,- -,- -,- -,- -,479000,- -,- -,17228000,11481000
15,EBITDA,200000,1100000,6100000,2200000,3300000,3800000,5400000,4900000,4000000,5600000,5000000,4200000,3300000,3200000,5340341,5620613,3578264,3097564,5913974,6999061,8741803,12138819,23459892,9648949,1198491,-27291877,20547000,-21033000,15509000,-42917000,-5197000,-230795000,-125935000,-151767000,-193468000,-93879000
16,EBITDA ratio,0.0233,0.1507,0.5755,0.2444,0.3084,0.2734,0.3857,0.3769,0.3200,0.4118,0.2941,0.2111,0.2171,0.2388,0.3270,0.4012,0.2493,0.1986,0.2882,0.3200,0.3291,0.3957,0.5737,0.3423,0.0420,-1.5015,1.4985,-2.9750,2.0404,-9.6248,-Infinity,-42.4178,-12.2433,-5.2744,-5.1682,-1.3171
17,Operating Income,1800000,1900000,4400000,2200000,1400000,1400000,600000,800000,1900000,4000000,3400000,3500000,2100000,1800000,3062293,2584593,536619,1349045,117836,-27325,2927136,-224394,-3316014,1279932,2451365,-28219286,19774000,-22487000,-12348000,-30296000,-5339000,-238567000,-127720000,-145859000,-166639000,-112733000
18,Operating Income ratio,0.2093,0.2603,0.4151,0.2444,0.1308,0.1007,0.0429,0.0615,0.1520,0.2941,0.2000,0.1759,0.1382,0.1343,0.1875,0.1845,0.0374,0.0865,0.0057,-0.0012,0.1102,-0.0073,-0.0811,0.0454,0.0859,-1.5525,1.4421,-3.1806,-1.6245,-6.7943,-Infinity,-43.8462,-12.4169,-5.0691,-4.4515,-1.5817
19,Total Other Income Expenses (Gains),-2300000,-2000000,-300000,-1900000,-900000,-900000,-400000,-1000000,-1200000,-1800000,-1700000,-1400000,-1000000,-1000000,-1392369,891489,-405799,-1232200,-545860,1141802,1268641,1669798,8754670,1583065,-1263640,922774,758000,1454000,2306000,-13115000,2011000,7293000,1785000,-5908000,-44057000,-2005000
20,Income Before Tax,-500000,-100000,- -,300000,500000,500000,200000,-200000,700000,2200000,1700000,2100000,1100000,800000,1669924,3476082,130820,116845,-428024,1114477,4195777,1445404,5438656,2862997,1187725,-27296512,20532000,-21033000,-10042000,-43411000,-3328000,-231274000,-125935000,-151767000,-210696000,-114738000
21,Income Before Tax Ratio,-0.0581,-0.0137,- -,0.0333,0.0467,0.0360,0.0143,-0.0154,0.0560,0.1618,0.1000,0.1055,0.0724,0.0597,0.1023,0.2481,0.0091,0.0075,-0.0209,0.0510,0.1580,0.0471,0.1330,0.1016,0.0416,-1.5017,1.4974,-2.9750,-1.3211,-9.7356,-Infinity,-42.5058,-12.2433,-5.2744,-5.6285,-1.6098
22,Income Tax expense (Gain),200000,600000,1100000,500000,700000,900000,1100000,400000,200000,1400000,800000,1400000,100000,-100000,179520,1075091,39099,-773548,-778085,-82152,1678980,998565,14330301,2198422,2645763,5141187,-5951000,-1266000,- -,- -,- -,185000,-190000,- -,- -,- -
23,Net Income,-700000,-700000,- -,-200000,-200000,-400000,-900000,700000,500000,800000,900000,700000,1000000,900000,1490404,1071764,91721,152452,350061,86960,748774,446839,-8891645,664575,-1447272,-32433064,26498000,-19767000,15509000,-43000000,-17577000,-231459000,-125745000,-151767000,-210696000,-114738000
24,Net Income ratio,-0.0814,-0.0959,- -,-0.0222,-0.0187,-0.0288,-0.0643,0.0538,0.0400,0.0588,0.0529,0.0352,0.0658,0.0672,0.0913,0.0765,0.0064,0.0098,0.0171,0.0040,0.0282,0.0146,-0.2174,0.0236,-0.0507,-1.7843,1.9325,-2.7959,2.0404,-9.6434,-Infinity,-42.5398,-12.2249,-5.2744,-5.6285,-1.6098
25,EPS,-0.32,-0.32,- -,-0.08,-0.08,-0.16,-0.32,0.24,0.16,0.24,0.32,0.24,0.32,0.32,0.48,0.32,0.03,0.08,0.08,0.03,0.24,0.08,-1.68,0.16,-0.24,-4.96,3.92,-3.28,2.40,-7.83,-2.65,-1.23,-0.59,-0.69,-0.79,-0.43
26,EPS Diluted,-0.32,-0.32,- -,-0.08,-0.08,-0.16,-0.32,0.24,0.16,0.24,0.32,0.24,0.32,0.29,0.47,0.32,0.03,0.05,0.08,0.03,0.21,0.08,-1.71,0.13,-0.24,-4.96,3.92,-3.28,2.40,-7.83,-2.65,-1.23,-0.59,-0.69,-0.79,-0.43
27,Weighted Average Shares Outstanding,2187500,2187500,2682375,2500000,2500000,2500000,2812500,2916667,3125000,3052663,3074987,3097795,3118665,3130037,3138528,3122446,3077872,3070008,3205570,3222905,3544182,5187540,5187540,5187540,6426324,6549867,6699119,6205260,5668605,5710288,5746307,188536000,211574000,218548000,267615000,267615000
28,Weighted Average Shares Outstanding Diluted,2187500,2187500,2682375,2500000,2500000,2500000,2812500,2916667,3125000,3750000,3125000,3097795,3140815,3130037,3153439,3122446,3077872,3070008,3210270,3222905,3556658,5187540,5187540,5187540,6426324,6549867,6755153,6205260,5668605,5710288,5746307,188536000,211574000,218548000,267615000,267615000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139895000005/0000061398-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139896000007/0000061398-96-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139802000010/0000061398-02-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000095012306012065/y25454e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012307013563/y40156e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012308011411/0000950123-08-011411-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000119312510218768/0001193125-10-218768-index.html,https://www.sec.gov/Archives/edgar/data/61398/000119312511252439/0001193125-11-252439-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139812000037/0000061398-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139813000062/0000061398-13-000062-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139814000039/0000061398-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139815000033/mpet2015-06x30doc10k.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139816000098/0000061398-16-000098-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139819000009/0000061398-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139820000002/0000061398-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139821000010/0000061398-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139822000021/0000061398-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3900000,3300000,1300000,- -,4200000,4800000,8000000,9000000,8400000,9000000,11300000,12900000,12400000,13400000,13890834,12792191,15784851,20041464,20406620,21733375,21882882,28470448,34615228,34688842,33591534,20416625,41215000,32469000,16422000,1051000,1680000,128273000,133714000,64615000,78297000,305496000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1581730,846063,899619,1796503,2584296,3216541,539675,2974280,1708222,997306,192417,- -,- -,- -,11935000,4230000,601000,- -,- -,5069000,- -,- -
33,Cash and Short-Term Investments,3900000,3300000,1300000,- -,4200000,4800000,8000000,9000000,8400000,9000000,11300000,12900000,12400000,13800000,15472564,13638254,16684470,21837967,22990916,24949916,22422557,31444728,36323450,35686148,33783951,20416625,41215000,32469000,28357000,5281000,2281000,128273000,133714000,69684000,78297000,305496000
34,Net Receivables,5000000,2900000,1200000,- -,2100000,2500000,1700000,2000000,2000000,1800000,2500000,1400000,600000,700000,3873398,4580809,4162821,5273999,3976228,5075096,5222837,5044258,8470169,5846515,4631875,4810464,1383000,852000,886000,550000,16000,1960000,2814000,6322000,4500000,9270000
35,Inventory,300000,300000,400000,- -,400000,400000,300000,300000,300000,200000,400000,300000,200000,200000,289743,537138,377847,423931,595948,591997,734887,702356,1260189,847159,815179,731672,499000,555000,739000,651000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,300000,- -,- -,- -,100000,- -,-100000,100000,100000,200000,2400000,1800000,300000,403539,283372,280537,297118,318141,526703,317496,378808,404160,1162362,2539544,11324477,511000,1422000,2105000,2100000,28129000,3458000,3906000,6229000,2105000,12952000
37,Total Current Assets,9200000,6800000,2900000,- -,6700000,7800000,10000000,11200000,10800000,11100000,14400000,17000000,15000000,15000000,20039244,19039573,21505675,27833015,27881233,31143712,28697777,37570150,46457968,43542184,41770549,37283238,43608000,35298000,32087000,8582000,30426000,133691000,140434000,82235000,84902000,327718000
38,PP&E,32200000,30900000,32600000,- -,41700000,38500000,34900000,31700000,35400000,37400000,43500000,28600000,23000000,26700000,21740514,16482420,17046382,21592174,24421007,24265494,27782694,40320756,28447287,17528737,25913983,29154183,40444000,37180000,47974000,37073000,455000,115856000,130580000,168872000,73141000,160711000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5646747,4020706,4020706,4020706,4695204,4695204,2174000,2174000,1174000,500000,500000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5323347,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10970094,4020706,4020706,4020706,4695204,4695204,2174000,2174000,1174000,500000,500000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,903924,- -,238070,155000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014907,1129719,2300830,6368665,5708448,5262649,- -,5951000,7217000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,700000,- -,- -,- -,- -,- -,- -,400000,200000,300000,500000,600000,1800000,2500000,2195959,1976092,1614259,1316168,592138,- -,- -,1403987,- -,- -,13064000,204457,242000,403000,200000,545000,169000,27276000,137534000,131215000,134952000,133377000
45,Total Non-Current Assets,32900000,30900000,32600000,- -,41700000,38500000,34900000,32100000,35600000,37700000,44000000,29200000,24800000,29200000,23936473,18458512,18660641,22908342,25013145,25280401,39882507,48046279,38836658,28161815,48935836,34291914,48966000,46974000,49348000,38118000,1124000,143132000,268114000,300087000,208093000,294088000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42100000,37700000,35500000,- -,48400000,46300000,44900000,43300000,46400000,48800000,58400000,46200000,39800000,44200000,43975717,37498085,40166316,50741357,52894378,56424113,68580284,85616429,85294626,71703999,90706385,71575152,92574000,82272000,81435000,46700000,31550000,276823000,408548000,382322000,292995000,621806000
48,Accounts Payable,- -,- -,- -,- -,- -,2500000,1200000,2500000,1500000,1400000,1500000,1900000,1900000,1400000,3024604,1907672,2323781,4709281,4367305,3602085,1856515,5536536,2929445,2688342,2387857,3860919,3672000,1948000,3586000,2534000,791000,- -,11597000,21048000,24483000,2852000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,921585,552500,530000,441000,- -,- -,783000,- -,- -,82257000,74769000,2279000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2054052,460617,- -,- -,- -,- -,- -,- -,2764000,2507000,1018000,1057000,991000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,17000000,5000000,1200000,- -,1700000,- -,600000,1000000,700000,900000,3000000,900000,800000,900000,1968394,1733543,1319532,1325243,1817690,1333883,2021485,3029457,5748960,3693336,2803461,2056717,3329000,3435000,2947000,2120000,13464000,52298000,41173000,29274000,20053000,83667000
53,Total Current Liabilities,17000000,5000000,1200000,- -,1700000,2500000,1800000,3500000,2200000,2300000,4500000,2800000,2700000,2300000,4992998,3641215,3643313,6034524,6184995,4935968,3878000,8565993,8678405,6381678,6112903,6470136,7531000,5824000,6533000,4654000,15038000,52298000,52770000,132579000,119305000,88798000
54,Long-Term Debt,- -,6600000,2500000,- -,3600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232430,870438,390000,- -,- -,5500000,- -,- -,57048000,58121000,38275000,53687000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,1100000,3300000,- -,6100000,7500000,9200000,6300000,6900000,8900000,9100000,7100000,5900000,6100000,4255096,3029180,2731221,1770727,403261,- -,1435583,3518990,2507712,1923907,1157735,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,10500000,11400000,13800000,- -,17600000,2300000,2300000,2100000,2200000,2100000,3800000,700000,700000,800000,934790,953210,1242398,3858263,4852416,5729180,7147261,9556666,11645082,9885494,9385133,11707168,11745000,10506000,4446000,2745000,- -,638000,796000,25337000,26325000,61020000
58,Total Non-Current Liabilities,10800000,19100000,19600000,- -,27300000,9800000,11500000,8400000,9100000,11000000,12900000,7800000,6600000,6900000,5189886,3982390,3973619,5628990,5255677,5729180,8582844,13075656,14152794,11809401,10775298,12577606,12135000,10506000,4446000,8245000,- -,638000,57844000,83458000,64600000,114707000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3729000,1950000,2279000
61,Total Liabilities,27800000,24100000,20800000,- -,29000000,12300000,13300000,11900000,11300000,13300000,17400000,10600000,9300000,9200000,10182884,7623605,7616932,11663514,11440672,10665148,12460844,21641649,22831199,18191079,16888201,19047742,19666000,16330000,10979000,12899000,15038000,52936000,110614000,216037000,183905000,203505000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23502000,24539000,25850000,23501000,- -,61000,61000,61000,61000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,251082,246982,246074,244274,257832,257832,415001,415001,415001,415001,523358,524558,538000,540000,550000,69000,70000,2043000,2195000,2211000,3309000,4774000
64,Retained Earnings,-19400000,-19900000,-19800000,- -,-20300000,-3900000,-21600000,-20900000,-20400000,-19600000,-18700000,-20400000,-19400000,-18400000,-16914420,-15842656,-15750935,-15598483,-15248422,-15161462,-14412688,-13965849,-22857494,-22192919,-23640191,-56073255,-29590000,-50079000,-36266000,-81006000,-96234000,-328114000,-453859000,-605626000,-816322000,-931060000
65,Other Comprehensive Income/Loss,-2100000,-3200000,-5500000,- -,-11200000,-14200000,-18800000,-20800000,-25700000,-20500000,-26100000,-20700000,-18900000,-22900000,-24025493,-23885240,-29967865,-5406527,-4491377,-2322633,-3028450,4372626,11689777,1979763,3116263,12469626,11207000,10526000,-2009000,5302000,4912000,- -,-1924000,-22041000,- -,- -
66,Other Total Stockholders Equity,35800000,36700000,40000000,- -,50900000,36700000,57700000,58200000,64400000,59000000,66800000,60600000,55700000,60700000,59785397,56654394,64089182,42907741,44402182,44402182,73145577,73153002,73216143,- -,91905062,93617424,90753000,81453000,83642000,83580000,84263000,549958000,751461000,791680000,922042000,1344526000
67,Total Stockholders Equity,14300000,13600000,14700000,- -,19400000,18600000,17300000,16500000,18300000,18900000,22000000,19500000,17400000,19700000,19096566,17173480,18616456,22147005,24920215,27175919,56119440,63974780,62463427,53512920,71904492,50538353,72908000,65942000,70456000,33795000,16512000,223887000,297934000,166285000,109090000,418301000
68,Total Liabilities And Stockholders Equity,42100000,37700000,35500000,- -,48400000,30900000,30600000,28400000,29600000,32200000,39400000,30100000,26700000,28900000,29279450,24797085,26233388,33810519,36360887,37841067,68580284,85616429,85294626,71703999,88792693,69586095,92574000,82272000,81435000,46694000,31550000,276823000,408548000,382322000,292995000,621806000
69,Minority Interest,- -,- -,- -,- -,- -,15400000,14300000,14900000,16800000,16600000,19000000,16100000,13100000,15300000,14696267,12701000,13932928,16930838,16533491,18583046,- -,- -,- -,- -,1913692,1989057,- -,- -,- -,6000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42100000,37700000,35500000,- -,48400000,46300000,44900000,43300000,46400000,48800000,58400000,46200000,39800000,44200000,43975717,37498085,40166316,50741357,52894378,56424113,68580284,85616429,85294626,71703999,90706385,71575152,92574000,82272000,81435000,46700000,31550000,276823000,408548000,382322000,292995000,621806000
71,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139895000005/0000061398-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139896000007/0000061398-96-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139802000010/0000061398-02-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61398/000095012306012065/y25454e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012307013563/y40156e10vk.htm,https://www.sec.gov/Archives/edgar/data/61398/000095012308011411/0000950123-08-011411-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000119312510218768/0001193125-10-218768-index.html,https://www.sec.gov/Archives/edgar/data/61398/000119312511252439/0001193125-11-252439-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139812000037/0000061398-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139813000062/0000061398-13-000062-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139814000039/0000061398-14-000039-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139815000033/mpet2015-06x30doc10k.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139816000098/0000061398-16-000098-index.html,- -,https://www.sec.gov/Archives/edgar/data/61398/000006139819000009/0000061398-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139820000002/0000061398-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139821000010/0000061398-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61398/000006139822000021/0000061398-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-400000,-900000,700000,500000,800000,900000,700000,1000000,900000,1490404,1071764,91721,152452,350061,86960,748774,446839,-8891645,664575,-1447272,-32433064,26498000,-19767000,15509000,-43000000,-17577000,-231459000,-125745000,-151767000,-210696000,-114738000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3300000,5200000,3800000,3300000,3400000,3300000,2100000,2200000,2400000,3670417,3473758,3447444,3718660,6341998,6994253,6314049,10693415,18021236,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17228000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,600000,700000,-2000000,700000,800000,-400000,600000,-1200000,200000,-1805306,-609897,-608454,-1494621,-1445241,-1454544,-157300,-1818631,-4541695,-1618033,921934,5354748,-5951000,-1266000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94932,6582223,1670062,1560000,848000,2009000,891000,701000,42416000,5126000,5107000,3261000,6150000
77,Change in Working Capital,- -,- -,- -,- -,- -,100000,2900000,-500000,900000,200000,1100000,4300000,-1900000,400000,2346246,352112,2464004,3936129,-102253,4511506,-1387967,4184380,8775406,-619057,-1502860,-4844544,5263898,-6603000,-3920000,-21626000,11460000,66005000,6271000,-138008000,15941000,41017000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270721,2734772,622779,3021000,401000,52000,478000,28000,-442000,-958000,-3508000,506000,-4770000
79,Inventory,- -,- -,- -,- -,- -,-100000,- -,-300000,- -,100000,-200000,100000,100000,- -,-33385,-307681,85178,-69275,-142397,57207,-170664,143951,-428332,203312,646986,142745,142000,-47000,-184000,-61000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3255000,- -,- -,- -,11338000,23251000,- -,-159000,-6424000
81,Other Working Capital,- -,- -,- -,- -,- -,5300000,8200000,7700000,8600000,8800000,9900000,14200000,12300000,12700000,15046246,15398358,17862362,21798491,21696238,26207744,24819777,29004157,37779563,37160506,35657646,30813102,36077000,29474000,25554000,3928000,15388000,81393000,87664000,-50344000,-34403000,-1137000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,3400000,-800000,5000000,-1000000,3400000,4300000,3500000,6400000,1100000,447447,-1243280,-1381415,-158860,6358757,-1361980,6248369,7767810,-9152037,10716635,-1333603,25756252,-37811898,8758000,-25297000,55149000,1130000,13809000,10596000,171660000,104301000,6011000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,7000000,7100000,7000000,4400000,8600000,9200000,11200000,6500000,5000000,6149208,3044457,4013300,6153760,11503322,8776195,11765925,21273813,4211265,9239052,3220422,-4496546,-10441000,-18030000,-11699000,-8586000,-4286000,-109229000,-103752000,-113008000,-69965000,-61560000
84,CAPEX,- -,- -,- -,- -,- -,-6900000,-5300000,-4400000,-3900000,-7300000,-5600000,-5300000,-3000000,-4700000,-2512483,-2345577,-1751643,-3445159,-6498243,-5154554,-8069526,-9231029,-4855676,-2921674,-6933641,-4947624,-9577000,-2925000,-20923000,-9073000,-1000,-91213000,-11854000,-48086000,-1307000,-42657000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88432,- -,- -,-20746236,- -,10117000,- -,18554000,- -,- -,56000,- -,- -,- -,- -
