,https://roic.ai/company/KRT,2017,2018,2019,2020,2021
53,Total Current Liabilities,45627000,60510000,35928000,43137000,30764
54,Long-Term Debt,7766000,11832000,67374000,86579000,35339
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1658000,2179000,6181000,5634
57,Other Non-Current Liabilities,- -,123000,3818000,5339000,3837
58,Total Non-Current Liabilities,7766000,13613000,73371000,98099000,44810
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,28000,161000,951000,611000,- -
61,Total Liabilities,53393000,74123000,109299000,141236000,75574
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,15000,15000,15000,15000,20
64,Retained Earnings,7934000,21000,1745000,18656000,39434
65,Other Comprehensive Income/Loss,-12980000,-16233000,-22117000,-30319000,- -
66,Other Total Stockholders Equity,15729000,30214000,36098000,44052000,83446
67,Total Stockholders Equity,10698000,14017000,15741000,32404000,122900
68,Total Liabilities And Stockholders Equity,64091000,88140000,125040000,173640000,198474
69,Minority Interest,- -,7873000,8313000,7464000,9125
70,Total Liabilities & Equity,64091000,96013000,133353000,181104000,207599
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758021/000162828022007993/0001628280-22-007993-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,4549000,21000,1724000,17517000,22439000
74,Depreciation and Amortization,3119000,3960000,5953000,8569000,10044000
75,Deferred Income Tax,- -,1658000,521000,3938000,-483000
76,Stock Based Compensation,- -,- -,- -,- -,2026000
77,Change in Working Capital,-6971000,-9583000,37990000,11541000,-36567892
78,Accounts Receivable,-1348000,-3513000,-6343000,-2864000,-8938000
79,Inventory,-7787000,-985000,-5945000,-13833000,68000
80,Accounts Payable,1719000,3283000,3915000,1001000,-1599000
81,Other Working Capital,-3308000,-12891000,25099000,36640000,72108
82,Other Non-Cash Items,305000,6661000,-46220000,-27018000,11220892
83,Cash Provided by Operating Activities,1002000,2717000,-32000,14547000,8679000
84,CAPEX,-5510000,-31908000,-34811000,-36482000,-4175000
85,Acquisitions Net,-1251000,7512000,- -,-893000,-900000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,409000,90000,10055000,24000,-8206000
89,Cash Used for Investing Activites,-6352000,-24306000,-24756000,-37351000,-13281000
90,Debt Repayment,-2627000,-9036000,-26112000,-7726000,-39272000
91,Common Stock Issued,- -,1900000,- -,- -,67592000
92,Common Stock Repurchased,- -,- -,- -,-248000,- -
93,Dividends Paid,-700000,-1245000,- -,-606000,- -
94,Other Financing Activites,9287000,30144000,50737000,31030000,-17683000
95,Cash Used/Provided by Financing Activities,5960000,21763000,24625000,22450000,10637000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,610000,174000,-163000,-354000,6035000
98,Cash at the End of Period,791000,965000,802000,448000,- -
99,Cash at the Beginning of Period,181000,791000,965000,802000,448000
100,Free Cash Flow,-4508000,-29191000,-34843000,-21935000,4504000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758021/000162828022007993/0001628280-22-007993-index.htm
102,false,,,,,
