,https://roic.ai/company/JAGX,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1585608/000104746916011700/0001047469-16-011700-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746917000684/0001047469-17-000684-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746918002654/0001047469-18-002654-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837019002908/0001558370-19-002908-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837020003581/0001558370-20-003581-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837021003811/0001558370-21-003811-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837022003435/0001558370-22-003435-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,185367,2095192,7697531,950979,520698,2568191,3495431,8090000,17051000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,185367,2095192,7697531,950979,520698,2568191,3495431,8090000,17051000
34,Net Receivables,- -,- -,59066,304611,469038,1001801,1694584,2098000,1709000
35,Inventory,- -,198029,229871,412754,2072817,3342177,2128686,2782000,4900000
36,Other Current Assets,103894,2590886,467314,886697,736542,1237772,2203651,4822000,4774000
37,Total Current Assets,289261,4884107,8453782,2555041,3799095,8149941,9522352,17792000,28434000
38,PP&E,- -,872523,829232,885945,1222068,760617,710207,677000,1734000
39,Goodwill,- -,- -,- -,- -,5210821,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,33397222,31710556,26023889,24337000,22651000
41,Intangible Assets,- -,- -,- -,- -,38608043,31710556,26023889,24337000,22651000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3122163,122163,- -,420831,153973,- -,446000
45,Total Non-Current Assets,- -,872523,3951395,1008108,39830111,32892004,26888069,25014000,24831000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,289261,5756630,12405177,3563149,43629206,41041945,36410421,42806000,53265000
48,Accounts Payable,8995,698318,574462,517000,7354932,5414260,5351535,4759000,4929000
49,Short-Term Debt,519486,728709,1857899,2069675,5422612,16084745,7115108,3789000,3424000
50,Tax Payable,- -,- -,43702,20140,70617,153456,241195,127000,- -
51,Deferred Revenue,- -,23802,251936,224454,177389,- -,- -,- -,- -
52,Other Current Liabilities,195633,1334572,1223434,1381723,2430834,5159817,2925747,4672000,7118000
53,Total Current Liabilities,724114,2785401,3907731,4192852,15385767,26658822,15392390,13220000,15471000
54,Long-Term Debt,- -,- -,4095028,1817526,10982437,- -,450000,- -,919000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1875000,3321,6956,- -,9000002,9894492,- -,25022000
58,Total Non-Current Liabilities,- -,1875000,4098349,1824482,10982437,9000002,10344492,- -,25941000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,12421000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,336647,- -,- -
61,Total Liabilities,724114,4660401,8006080,6017334,26368204,35658824,25736882,25641000,41412000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1711992,- -,- -
63,Common Stock,267,525,812,1401,10533,6490,5458,11000,5000
64,Retained Earnings,-801203,-11086104,-25702328,-40436108,-62404722,-94550779,-133090215,- -,-219494000
65,Other Comprehensive Income/Loss,- -,- -,-5155,-52649,-112773,-173659,-224069,- -,- -
66,Other Total Stockholders Equity,366083,12181808,30105768,38033171,79767964,100101069,142270373,17191000,231342000
67,Total Stockholders Equity,-434853,1096229,4399097,-2454185,17261002,5383121,10673539,17202000,11853000
68,Total Liabilities And Stockholders Equity,289261,5756630,12405177,3563149,43629206,41041945,36410421,42843000,53265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-37000,- -
70,Total Liabilities & Equity,289261,5756630,12405177,3563149,43629206,41041945,36410421,42806000,53265000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1585608/000104746916011700/0001047469-16-011700-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746917000684/0001047469-17-000684-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746918002654/0001047469-18-002654-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837019002908/0001558370-19-002908-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837020003581/0001558370-20-003581-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837021003811/0001558370-21-003811-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837022003435/0001558370-22-003435-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-8609575,-16291550,-14733780,-21968614,-32146057,-38539436,-33809000,-52600000
74,Depreciation and Amortization,- -,- -,5155,47494,584339,1319003,1928210,1727000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-13181242,- -,- -,- -,- -
76,Stock Based Compensation,- -,164156,992165,717927,814613,2023874,2988544,2824000,- -
77,Change in Working Capital,- -,1600865,2447345,-6183862,-9948861,-6922209,12638843,10442038,8391000
78,Accounts Receivable,- -,- -,-55867,50904,-166057,-528025,-696028,-2840000,- -
79,Inventory,- -,-198029,-31842,-182883,128000,-1269360,1213492,-653000,- -
80,Accounts Payable,- -,689323,-240087,-28336,4188890,-1940671,-62725,-743000,- -
81,Other Working Capital,- -,2098706,4546051,-1637811,-11586672,-18508881,-5870038,4572000,12963000
82,Other Non-Cash Items,- -,1381336,-1468978,5738503,33874825,12994557,527033,18815962,44209000
83,Cash Provided by Operating Activities,- -,-5463218,-14315863,-14413718,-9824940,-22730832,-20456806,- -,- -
84,CAPEX,- -,-55149,-23300,-104207,- -,-6527,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-1557340,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2979400,2488707,272125,- -,- -,-7000,- -
89,Cash Used for Investing Activites,- -,-55149,-3002700,2384500,-1285215,-6527,- -,-7000,- -
90,Debt Repayment,- -,- -,-1100000,-2488706,-2422094,-2255449,-5150000,- -,- -
91,Common Stock Issued,- -,- -,18810484,8826747,10564364,16680772,6628122,984000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-30,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6178192,6460418,-1055375,2537604,10120390,20293871,18508000,- -
95,Cash Used/Provided by Financing Activities,- -,6178192,24170902,5282666,10679874,24545683,21771993,19492000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,659825,6852339,-6746552,-430281,1808324,1315187,4207000,- -
98,Cash at the End of Period,- -,845192,7697531,950979,520698,2568191,3883378,8090000,- -
99,Cash at the Beginning of Period,- -,185367,845192,7697531,950979,759867,2568191,3883000,8090000
100,Free Cash Flow,- -,-5518367,-14339163,-14517925,-9824940,-22737359,-20456806,- -,- -
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1585608/000104746916011700/0001047469-16-011700-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746917000684/0001047469-17-000684-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000104746918002654/0001047469-18-002654-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837019002908/0001558370-19-002908-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837020003581/0001558370-20-003581-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837021003811/0001558370-21-003811-index.htm,https://www.sec.gov/Archives/edgar/data/1585608/000155837022003435/0001558370-22-003435-index.htm
102,false,,,,,,,,,
