,https://roic.ai/company/FRG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,5213000,5152000,3270000,7555000,6051000,6076000,4682000,2892000,2021000,3679000,- -,- -
52,Other Current Liabilities,24544000,27401000,7911000,5897000,9676000,2147000,3581000,6442000,4511000,447000,301895000,461385000
53,Total Current Liabilities,40220000,50151000,49980000,47054000,55783000,53818000,50851000,53168000,57072000,48188000,538973000,1120656000
54,Long-Term Debt,2655000,2485000,26249000,24283000,21691000,21463000,17601000,18461000,2270000,1940000,875669000,1940796000
55,Deferred Revenue,- -,- -,- -,10381000,8059000,7640000,7056000,5817000,4692000,5622000,- -,- -
56,Deferred Tax Liabilities,8815000,11030000,12310000,865000,3045000,2363000,6322000,10367000,1397000,537000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,5111000,- -,- -,- -,- -,1070000,- -,37852000,88888000
58,Total Non-Current Liabilities,11470000,13515000,38559000,40640000,32795000,31466000,30979000,34645000,9429000,8099000,913521000,2029684000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538704000,730172000
61,Total Liabilities,51690000,63666000,88539000,87694000,88578000,85284000,81830000,87813000,66501000,56287000,1452494000,3150340000
62,Preferred Stock,2375000,2129000,2129000,- -,- -,- -,- -,- -,- -,- -,13000,45000
63,Common Stock,116000,114000,112000,129000,133000,128000,129000,129000,130000,140000,401000,403000
64,Retained Earnings,63424000,76691000,94102000,78592000,100574000,95339000,105907000,110029000,101139000,92932000,3769000,286987000
65,Other Comprehensive Income/Loss,121000,381000,676000,1194000,66000,-697000,-1698000,-2084000,-1347000,-1910000,-1399000,- -
66,Other Total Stockholders Equity,9160000,4812000,3183000,1921000,9412000,4092000,7163000,8381000,11580000,12552000,382383000,475396000
67,Total Stockholders Equity,75196000,84127000,100202000,81836000,110185000,98862000,111501000,116455000,111502000,103714000,385167000,762831000
68,Total Liabilities And Stockholders Equity,126886000,147793000,188741000,169530000,198763000,184146000,193331000,204268000,178003000,160001000,1837661000,3913171000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,126886000,147793000,188741000,169530000,198763000,184146000,193331000,204268000,178003000,160001000,1837661000,3913171000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528930/000152893021000013/0001528930-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1528930/000152893022000004/0001528930-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,11002000,15762000,17411000,17627000,21982000,8690000,19420000,13013000,135000,-2156000,25064000,363788000
74,Depreciation and Amortization,6389000,5855000,6560000,5750000,7836000,8499000,6872000,8325000,11454000,13631000,62543000,72765000
75,Deferred Income Tax,-1203000,2403000,2951000,4119000,2605000,-3545000,7384000,129000,-2369000,586000,1092000,-187383000
76,Stock Based Compensation,1000000,1494000,1429000,4121000,1202000,2477000,1863000,2016000,3680000,999000,9484000,13696000
77,Change in Working Capital,-6198000,-1082000,29019000,3780000,13670000,-17702000,-2050000,12502000,-19863000,2268000,-18686000,-154330000
78,Accounts Receivable,-15454000,-20803000,-25230000,-27722000,-7708000,-8869000,-14228000,-10437000,-3360000,-913000,-19811000,-18543000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97681000,-121393000
80,Accounts Payable,1368000,- -,535000,3376000,6927000,11609000,-3607000,1401000,48000,-338000,- -,- -
81,Other Working Capital,24362000,23280000,52299000,56079000,69749000,52047000,49997000,62499000,42636000,44904000,26218000,5073000
82,Other Non-Cash Items,7050000,343000,-36927000,-6956000,-3813000,26098000,-3672000,-3539000,34608000,1801000,161995000,-2567000
83,Cash Provided by Operating Activities,18040000,24775000,20443000,28441000,43482000,24517000,29817000,32446000,27645000,17129000,241492000,105969000
84,CAPEX,-8473000,-7051000,-15029000,-17908000,-17855000,-19709000,-15479000,-15071000,-8314000,-3168000,-41518000,-46958000
85,Acquisitions Net,- -,- -,-1009000,- -,- -,- -,- -,- -,- -,- -,-353423000,-872561000
86,Purchases of Investments,-2114000,- -,- -,-2980000,- -,- -,-4999000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,16964000,- -,- -,- -,5163000,- -,- -,5049000,- -,- -,- -,- -
88,Other Investing Activites,-7693000,-6859000,-9646000,-8731000,-10059000,-9148000,-13619000,-13281000,-3624000,502000,47141000,-41598000
89,Cash Used for Investing Activites,1643000,-13910000,-20943000,-23639000,-14045000,-20611000,-29310000,-13254000,-9012000,-2666000,-341213000,-914159000
90,Debt Repayment,-106172000,-137768000,-126388000,-124169000,-140789000,-160483000,-170403000,-156681000,-185683000,-131117000,-741100000,-1261455000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,198004000,- -
92,Common Stock Repurchased,-10218000,-12798000,-4260000,-6456000,-13079000,-36308000,-1977000,-420000,- -,-88000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2205000,-8852000,-8891000,-8922000,-2244000,-29350000,-67234000
94,Other Financing Activites,97295000,139364000,149347000,124999000,151653000,170502000,169418000,153625000,177770000,123685000,778599000,2278423000
95,Cash Used/Provided by Financing Activities,-19095000,-11202000,18699000,-5626000,-2215000,-28494000,-11814000,-12367000,-16834000,-9764000,206153000,949734000
96,Effect of Forex Changes on Cash,-406000,-113000,-13000,-11000,-155000,-105000,-174000,-304000,296000,-238000,-76000,36000
97,Net Change In Cash,182000,-450000,18186000,-835000,27067000,-24693000,-11481000,6521000,2095000,4461000,106356000,141580000
98,Cash at the End of Period,2112000,1662000,19848000,19013000,46080000,21387000,9906000,16427000,18522000,22983000,151502000,293082000
99,Cash at the Beginning of Period,1930000,2112000,1662000,19848000,19013000,46080000,21387000,9906000,16427000,18522000,45146000,151502000
100,Free Cash Flow,9567000,17724000,5414000,10533000,25627000,4808000,14338000,17375000,19331000,13961000,199974000,59011000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528930/000152893021000013/0001528930-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1528930/000152893022000004/0001528930-22-000004-index.htm
102,false,,,,,,,,,,,,
