,https://roic.ai/company/DFH,2018,2019,2020,2021
57,Other Non-Current Liabilities,45594941,95566578,114144597,124056279
58,Total Non-Current Liabilities,58258095,109912702,143797879,147313482
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,16184664,15580428,14755622,19965814
61,Total Liabilities,313422163,427945615,597888478,1337864345
62,Preferred Stock,- -,- -,- -,155219576
63,Common Stock,- -,- -,103852646,925215
64,Retained Earnings,- -,- -,- -,118193998
65,Other Comprehensive Income/Loss,-5248682,-8412591,- -,- -
66,Other Total Stockholders Equity,67272130,95386426,- -,257963419
67,Total Stockholders Equity,33093591,56502464,103852646,532302208
68,Total Liabilities And Stockholders Equity,346515754,484448079,701741124,1870166553
69,Minority Interest,28929857,30471371,31939117,24081070
70,Total Liabilities & Equity,375445611,514919450,733680241,1894247623
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1825088/000114036121010794/0001140361-21-010794-index.htm,https://www.sec.gov/Archives/edgar/data/1825088/000114036122009752/0001140361-22-009752-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,12991765,29393449,79093455,122376584
74,Depreciation and Amortization,3947561,6024261,7853035,9851010
75,Deferred Income Tax,- -,- -,- -,-945534
76,Stock Based Compensation,895610,895000,946609,5233676
77,Change in Working Capital,-30049530,39570758,729131,-96837727
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,-66493984,-30902010,23512992,-80195985
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,75191773,114762531,115491662,78167415
82,Other Non-Cash Items,9704552,-52044866,6717117,25430980
83,Cash Provided by Operating Activities,-2510042,23838602,95339347,65108989
84,CAPEX,-10161587,-2892130,-2924040,-2774372
85,Acquisitions Net,-1754399,-15019286,-10344611,-520776645
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,14545516,91397,241918,508168
89,Cash Used for Investing Activites,2629530,-17820019,-13026733,-523042849
90,Debt Repayment,-461120025,-534756780,-772016479,-1450766688
91,Common Stock Issued,- -,- -,- -,143630400
92,Common Stock Repurchased,- -,- -,- -,-25530506
93,Dividends Paid,-11711313,-8298586,-17256938,-23289322
94,Other Financing Activites,470410612,569132589,723443537,2001838502
95,Cash Used/Provided by Financing Activities,-2420726,26077223,-65829880,645882386
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-2301238,32095806,16482734,187948526
98,Cash at the End of Period,36632608,68728414,85211148,281321858
99,Cash at the Beginning of Period,38933846,36632608,68728414,93373332
100,Free Cash Flow,-12671629,20946472,92415307,62334617
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1825088/000114036121010794/0001140361-21-010794-index.htm,https://www.sec.gov/Archives/edgar/data/1825088/000114036122009752/0001140361-22-009752-index.htm
102,false,,,,
