,https://roic.ai/company/ALC,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,1682000000,1629000000,1786000000,1678000000,1814000000
35,Inventory,- -,1303000000,1440000000,1505000000,1644000000,1899000000
36,Other Current Assets,- -,130000000,103000000,90000000,96000000,95000000
37,Total Current Assets,- -,3287000000,3399000000,4236000000,4987000000,5386000000
38,PP&E,- -,2560000000,2879000000,3437000000,3783000000,4083000000
39,Goodwill,- -,8895000000,8899000000,8905000000,8905000000,8905000000
40,Intangible Assets,- -,11541000000,10679000000,10231000000,9097000000,8765000000
41,Intangible Assets,- -,20436000000,19578000000,19136000000,18002000000,17670000000
42,Investments,- -,51000000,46000000,59000000,40000000,52000000
43,Tax Assets,- -,1640000000,1528000000,354000000,399000000,409000000
44,Other Non-Current Assets,- -,-586000000,-368000000,433000000,389000000,399000000
45,Total Non-Current Assets,- -,24101000000,23663000000,23419000000,22613000000,22613000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27388000000,27062000000,27655000000,27600000000,27999000000
48,Accounts Payable,- -,615000000,663000000,833000000,876000000,903000000
49,Short-Term Debt,- -,65000000,1735000000,306000000,232000000,174000000
50,Tax Payable,- -,168000000,208000000,188000000,259000000,280000000
51,Deferred Revenue,- -,- -,- -,97000000,110000000,108000000
52,Other Current Liabilities,- -,1098000000,-505000000,1064000000,1040000000,1287000000
53,Total Current Liabilities,- -,1778000000,1893000000,2300000000,2258000000,2472000000
54,Long-Term Debt,- -,84000000,89000000,3498000000,4264000000,4305000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1386000000,1196000000,1026000000
57,Other Non-Current Liabilities,- -,2497000000,2441000000,1168000000,1060000000,940000000
58,Total Non-Current Liabilities,- -,2581000000,2530000000,6052000000,6520000000,6271000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,84000000,- -,341000000,385000000,406000000
61,Total Liabilities,- -,4359000000,4423000000,8352000000,8778000000,8743000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20000000,20000000,20000000
64,Retained Earnings,- -,22967000000,22650000000,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,87000000,19495000000,19283000000,18802000000,19236000000
66,Other Total Stockholders Equity,- -,1950000000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,23029000000,19515000000,19303000000,18822000000,19256000000
68,Total Liabilities And Stockholders Equity,- -,27388000000,23938000000,27655000000,27600000000,27999000000
69,Minority Interest,- -,- -,3124000000,- -,- -,- -
70,Total Liabilities & Equity,- -,27388000000,27062000000,27655000000,27600000000,27999000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1167379/000162828020002214/0001628280-20-002214-index.html,https://www.sec.gov/Archives/edgar/data/1167379/000116737921000007/0001167379-21-000007-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-170000000,256000000,-227000000,-656000000,-531000000,376000000
74,Depreciation and Amortization,1289000000,1334000000,1622000000,1425000000,1626000000,1219000000
75,Deferred Income Tax,- -,- -,- -,324000000,-104000000,42000000
76,Stock Based Compensation,- -,- -,- -,83000000,105000000,138000000
77,Change in Working Capital,181000000,36000000,80000000,-48000000,-45000000,-314000000
78,Accounts Receivable,- -,- -,92000000,-115000000,43000000,-198000000
79,Inventory,- -,- -,-137000000,-108000000,-159000000,-326000000
80,Accounts Payable,83000000,48000000,44000000,84000000,-21000000,60000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-55000000,-408000000,-335000000,-208000000,-228000000,-116000000
83,Cash Provided by Operating Activities,1245000000,1218000000,1140000000,920000000,823000000,1345000000
84,CAPEX,-506000000,-496000000,-712000000,-676000000,-567000000,-1180000000
85,Acquisitions Net,-303000000,-70000000,-239000000,-283000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-59000000,-11000000,-19000000
87,Sales/Maturities of Investments,- -,- -,- -,8000000,- -,1000000
88,Other Investing Activites,-96000000,-194000000,-238000000,-124000000,-82000000,-480000000
89,Cash Used for Investing Activites,-843000000,-679000000,-1001000000,-1011000000,-572000000,-1198000000
90,Debt Repayment,- -,- -,- -,-2061000000,-69000000,-72000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-54000000
94,Other Financing Activites,-435000000,-539000000,-78000000,2720000000,535000000,3000000
95,Cash Used/Provided by Financing Activities,-435000000,-539000000,-78000000,659000000,466000000,-123000000
96,Effect of Forex Changes on Cash,-90000000,10000000,-6000000,27000000,18000000,-6000000
97,Net Change In Cash,-123000000,10000000,55000000,595000000,735000000,18000000
98,Cash at the End of Period,104000000,10000000,227000000,822000000,1557000000,1575000000
99,Cash at the Beginning of Period,227000000,- -,172000000,227000000,822000000,1557000000
100,Free Cash Flow,739000000,722000000,428000000,244000000,256000000,165000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1167379/000162828020002214/0001628280-20-002214-index.html,https://www.sec.gov/Archives/edgar/data/1167379/000116737921000007/0001167379-21-000007-index.htm,- -
102,false,,,,,,
