,https://roic.ai/company/TAK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),81446000000,114148000000,134892000000,157485000000,157911000000,160231000000,201361000000,285844000000,218766000000,161351000000,115668000000,121326000000,125208000000,-3880000000,49292000000,-2403000000,37059000000,27833000000,30497000000,-14118000000,-105044000000,-9936000000
23,Net Income,119625000000,146855000000,235656000000,271762000000,285264000000,277438000000,313249000000,335805000000,355454000000,234385000000,297744000000,247868000000,124162000000,131244000000,106658000000,-145775000000,80166000000,114940000000,186886000000,109126000000,44241000000,376005000000
24,Net Income ratio,0.1296,0.1524,0.2345,0.2598,0.2626,0.2471,0.2584,0.2573,0.2585,0.1524,0.2031,0.1746,0.0823,0.0843,0.0630,-0.0820,0.0444,0.0664,0.1056,0.0520,0.0134,0.1176
25,EPS,67.78,83.19,133.51,153.81,160.93,156.50,176.74,193.00,209.49,144.91,188.59,157.00,78.64,83.13,67.55,-92.69,51.13,73.58,119.67,56.75,14.21,120.36
26,EPS Diluted,67.78,83.19,133.51,153.81,160.93,156.50,176.74,193.00,209.49,144.90,188.57,156.97,78.63,83.11,67.47,-92.69,50.85,73.13,118.78,56.43,14.13,119.48
27,Weighted Average Shares Outstanding,1765031354,1765190216,1765081267,1766810779,1772596781,1772710137,1772421988,1739922280,1696799294,1617452212,1578748111,1578726792,1578765338,1578875188,1578948927,1572800345,1567885781,1562215426,1561612701,1922954000,3114408000,3124012000
28,Weighted Average Shares Outstanding Diluted,1765031354,1765190216,1765081267,1766810779,1772596781,1772710137,1772421988,1739922280,1696799294,1617563837,1578957416,1579078805,1579066514,1579255159,1580703964,1572800345,1576364173,1571721592,1573379357,1933794000,3132408000,3147074000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395064/000119312519117953/0001193125-19-117953-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506420000052/0001395064-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506421000140/0001395064-21-000140-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,634375000000,753316000000,1022958000000,1076084000000,1264324000000,1626235000000,1647694000000,1613240000000,229533000000,266538000000,217897000000,454247000000,289613000000,666048000000,652148000000,451426000000,319455000000,294522000000,702093000000,637614000000,966222000000
32,Short-Term Investments,- -,89058000000,187889000000,118427000000,241670000000,257796000000,243285000000,152242000000,71753000000,529248000000,616678000000,656321000000,1378000000,258092000000,184981000000,61275000000,108600000000,56683000000,80646000000,23276000000,15822000000,36598000000
33,Cash and Short-Term Investments,- -,723433000000,941205000000,1141385000000,1317754000000,1522120000000,1869520000000,1799936000000,1684993000000,758781000000,883216000000,874218000000,455625000000,547705000000,851029000000,713423000000,560026000000,376138000000,375168000000,725369000000,653436000000,1002820000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442664000000,466829000000,430571000000,444778000000,428792000000,749119000000,784921000000,812714000000
35,Inventory,- -,100424000000,96094000000,89485000000,92931000000,94565000000,98258000000,105307000000,116131000000,131658000000,137696000000,137127000000,195013000000,229531000000,254329000000,262354000000,254010000000,226294000000,212944000000,986744000000,759599000000,753881000000
36,Other Current Assets,- -,315094000000,307795000000,311328000000,319462000000,353230000000,404192000000,452470000000,442668000000,585145000000,551962000000,574907000000,628358000000,677845000000,44514000000,77466000000,129180000000,213452000000,61904000000,589426000000,271476000000,143478000000
37,Total Current Assets,- -,1138951000000,1345094000000,1542198000000,1730147000000,1969915000000,2371970000000,2357713000000,2243792000000,1475584000000,1572874000000,1586252000000,1278996000000,1455081000000,1592536000000,1520072000000,1373787000000,1260662000000,1078808000000,3050658000000,2469432000000,2712893000000
38,PP&E,- -,220356000000,213385000000,203282000000,230538000000,220133000000,215670000000,238446000000,236134000000,258493000000,318949000000,407480000000,488702000000,511101000000,542253000000,526162000000,551916000000,530152000000,536801000000,1316531000000,1386370000000,1453917000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,284446000000,256117000000,217123000000,582257000000,675353000000,814671000000,821911000000,779316000000,1022711000000,1029248000000,4161403000000,4012528000000,4033917000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,463299000000,383778000000,300304000000,892703000000,1014382000000,1135597000000,939381000000,743128000000,1065835000000,1014264000000,4860368000000,4171361000000,3909106000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,747745000000,639895000000,517427000000,1474960000000,1689735000000,1950268000000,1761292000000,1522444000000,2088546000000,2043512000000,9021771000000,8183889000000,7943023000000
42,Investments,- -,- -,- -,175048000000,114919000000,46048000000,144679000000,242403000000,221024000000,-340119000000,-418833000000,-491302000000,185318000000,-81390000000,202807000000,251748000000,159564000000,303047000000,304385000000,306899000000,369455000000,348350000000
43,Tax Assets,- -,5090000000,5282000000,5675000000,5270000000,12542000000,12609000000,18582000000,4400000000,11127000000,6599000000,26560000000,20232000000,21228000000,208424000000,154506000000,170773000000,118968000000,64980000000,88991000000,308102000000,353769000000
44,Other Non-Current Assets,- -,383375000000,401455000000,133166000000,254786000000,296797000000,297366000000,215357000000,143929000000,607358000000,703790000000,739985000000,128822000000,359844000000,72855000000,82410000000,45601000000,54409000000,77977000000,87472000000,103846000000,100341000000
45,Total Non-Current Assets,- -,608821000000,620122000000,517171000000,605513000000,575520000000,670324000000,714788000000,605487000000,1284604000000,1250400000000,1200150000000,2298034000000,2500518000000,2976607000000,2776118000000,2450298000000,3095122000000,3027655000000,10821664000000,10351662000000,10199400000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1747772000000,1965216000000,2059369000000,2335660000000,2545435000000,3042294000000,3072501000000,2849279000000,2760188000000,2823274000000,2786402000000,3577030000000,3955599000000,4569143000000,4296190000000,3824085000000,4355784000000,4106463000000,13872322000000,12821094000000,12912293000000
48,Accounts Payable,- -,91079000000,83195000000,54406000000,52642000000,45735000000,50719000000,55186000000,69036000000,238797000000,195906000000,211374000000,98453000000,118692000000,184900000000,170782000000,191089000000,240623000000,240259000000,212348000000,211627000000,232105000000
49,Short-Term Debt,- -,9447000000,6445000000,7689000000,9977000000,12941000000,9112000000,9567000000,4581000000,3214000000,3285000000,1345000000,244702000000,1795000000,155404000000,99965000000,228464000000,545028000000,18000000,984946000000,586817000000,22153000000
50,Tax Payable,- -,- -,- -,84298000000,93852000000,80790000000,151947000000,100734000000,90265000000,70770000000,48875000000,41977000000,24097000000,113430000000,52332000000,41071000000,43133000000,70584000000,67694000000,119485000000,182738000000,145203000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,245100000000,282145000000,282610000000,307943000000,306824000000,428396000000,377654000000,355094000000,230095000000,229286000000,223877000000,408576000000,493145000000,462450000000,746077000000,437660000000,580440000000,497232000000,1313637000000,1377454000000,1518918000000
53,Total Current Liabilities,- -,345626000000,371785000000,344705000000,370562000000,365500000000,488227000000,442407000000,428711000000,472106000000,428477000000,436596000000,751731000000,613632000000,802754000000,1016824000000,857213000000,1366091000000,737509000000,2510931000000,2175898000000,1773176000000
54,Long-Term Debt,- -,6651000000,5492000000,4866000000,4661000000,5561000000,3473000000,2050000000,1250000000,16550000000,15519000000,15137000000,317861000000,556018000000,704580000000,629416000000,539760000000,599862000000,985644000000,4766005000000,4506487000000,4613218000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,62727000000,59613000000,36007000000,77075000000,75493000000,- -,- -,59946000000,141696000000,141731000000,112295000000,- -,322133000000,280595000000,156132000000,123469000000,165158000000,90725000000,867061000000,710147000000,542852000000
57,Other Non-Current Liabilities,- -,82687000000,68994000000,106059000000,102352000000,97467000000,202165000000,166928000000,36839000000,75996000000,72802000000,85718000000,435572000000,240457000000,240580000000,287644000000,292440000000,275706000000,275176000000,564737000000,701076000000,805870000000
58,Total Non-Current Liabilities,- -,152065000000,134099000000,146932000000,184088000000,178521000000,205638000000,168978000000,98035000000,234242000000,230052000000,213150000000,753433000000,1118608000000,1225755000000,1073192000000,955669000000,1040726000000,1351545000000,6197803000000,5917710000000,5961940000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,16550000000,15519000000,15137000000,- -,15859000000,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,497691000000,505884000000,491637000000,554650000000,544021000000,693865000000,611385000000,526746000000,706348000000,658529000000,649746000000,1505164000000,1732240000000,2028509000000,2090016000000,1812882000000,2406817000000,2089054000000,8708734000000,8093608000000,7735116000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,63540000000,63540000000,63540000000,63541000000,63541000000,63541000000,63541000000,63541000000,63541000000,63541000000,63541000000,63541000000,- -,103428000000,123619000000,133595000000,140175000000,168654000000,1643585000000,1668123000000,1668145000000
64,Retained Earnings,- -,989129000000,1175938000000,1392639000000,1616676000000,1834931000000,2062226000000,2297438000000,2523641000000,2012251000000,2166303000000,2272067000000,2254075000000,2243113000000,1901307000000,1601326000000,1523127000000,1511817000000,1557307000000,1569365000000,1369972000000,1509906000000
65,Other Comprehensive Income/Loss,- -,-466026000000,-422967000000,-396351000000,-385330000000,-404370000000,-376598000000,-382242000000,-409468000000,- -,- -,- -,-526284000000,- -,- -,- -,- -,- -,-4795000000,- -,92564000000,- -
66,Other Total Stockholders Equity,- -,626221000000,603570000000,507904000000,486123000000,507312000000,599260000000,441508000000,103069000000,-64341000000,-108506000000,-243684000000,221013000000,- -,466004000000,412102000000,291970000000,242269000000,276258000000,1946632000000,1592824000000,1994986000000
67,Total Stockholders Equity,- -,1212864000000,1420081000000,1567732000000,1781010000000,2001414000000,2348429000000,2420245000000,2280783000000,2011451000000,2121338000000,2091924000000,2012345000000,2159939000000,2470739000000,2137047000000,1948692000000,1894261000000,1997424000000,5159582000000,4723483000000,5173037000000
68,Total Liabilities And Stockholders Equity,- -,1710555000000,1925965000000,2059369000000,2335660000000,2545435000000,3042294000000,3031630000000,2807529000000,2717799000000,2779867000000,2741670000000,3517509000000,3892179000000,4499248000000,4227063000000,3761574000000,4301078000000,4086478000000,13868316000000,12817091000000,12908153000000
69,Minority Interest,- -,37217000000,39251000000,- -,- -,- -,- -,40871000000,41750000000,42389000000,43407000000,44732000000,59521000000,63420000000,69895000000,69127000000,62511000000,54706000000,19985000000,4006000000,4003000000,4140000000
70,Total Liabilities & Equity,- -,1747772000000,1965216000000,2059369000000,2335660000000,2545435000000,3042294000000,3072501000000,2849279000000,2760188000000,2823274000000,2786402000000,3577030000000,3955599000000,4569143000000,4296190000000,3824085000000,4355784000000,4106463000000,13872322000000,12821094000000,12912293000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395064/000119312519117953/0001193125-19-117953-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506420000052/0001395064-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506421000140/0001395064-21-000140-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,119625000000,146855000000,235656000000,271762000000,285264000000,277438000000,313249000000,335805000000,355454000000,234385000000,297744000000,247868000000,124162000000,131244000000,106658000000,-145775000000,80166000000,114940000000,186886000000,109126000000,44241000000,376005000000
74,Depreciation and Amortization,33364000000,33605000000,28430000000,29962000000,28083000000,31226000000,28728000000,28820000000,31690000000,118081000000,114825000000,106722000000,150194000000,201106000000,215743000000,260951000000,197381000000,222787000000,182127000000,272446000000,583649000000,559671000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49292000000,-2403000000,37059000000,27833000000,30497000000,-14118000000,-105044000000,-9936000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18610000000,20084000000,29122000000,37663000000
77,Change in Working Capital,-5413000000,-35042000000,4248000000,6721000000,-16262000000,-28612000000,-10014000000,-35859000000,-8711000000,-36917000000,14148000000,-9160000000,64725000000,12329000000,-57117000000,262326000000,-267213000000,29675000000,13404000000,75946000000,94672000000,275781000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42504000000,-32515000000,12372000000,-37315000000,-647000000,- -,- -,- -
79,Inventory,1515000000,-1745000000,-1611000000,-5170000000,-3974000000,-3398000000,-5647000000,-7052000000,-14510000000,-10997000000,-7370000000,-557000000,49312000000,-14920000000,-16919000000,-14548000000,-6845000000,3886000000,13719000000,58678000000,137492000000,25978000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6862000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44635000000,316471000000,-290650000000,20547000000,-6530000000,47063000000,21938000000,49099000000
82,Other Non-Cash Items,11386000000,67244000000,-27748000000,-44996000000,14037000000,15487000000,41612000000,-119486000000,-85938000000,10724000000,-45549000000,-18492000000,-2511000000,-36970000000,-166241000000,-192582000000,-21902000000,-133872000000,-53670000000,-135005000000,23112000000,-228253000000
83,Cash Provided by Operating Activities,158962000000,212662000000,240586000000,263449000000,311122000000,295539000000,373575000000,209280000000,292495000000,326273000000,381168000000,326938000000,336570000000,307709000000,148335000000,182517000000,25491000000,261363000000,377854000000,328479000000,669752000000,1010931000000
84,CAPEX,-35423000000,-26941000000,-37523000000,-33477000000,-54160000000,-53669000000,-32093000000,-29151000000,-32618000000,-39464000000,-86960000000,-124165000000,-61904000000,-95763000000,-78519000000,-108718000000,-84857000000,-112027000000,-128262000000,-134114000000,-217710000000,-236468000000
85,Acquisitions Net,- -,16535000000,58911000000,60409000000,- -,-29093000000,10772000000,15076000000,-1756000000,- -,- -,- -,-1040017000000,-80817000000,-3342000000,- -,-7052000000,-524739000000,56752000000,-2873555000000,456656000000,530388000000
86,Purchases of Investments,-1017000000,-207099000000,-38945000000,-180231000000,-273949000000,-391290000000,-469862000000,-331023000000,-253092000000,-892672000000,-23928000000,-4054000000,-572000000,-1982000000,-141686000000,-3571000000,-40017000000,-82106000000,-88657000000,-17099000000,-7551000000,-12596000000
87,Sales/Maturities of Investments,164348000000,198840000000,232119000000,265076000000,165835000000,395865000000,497256000000,516977000000,365981000000,142116000000,13208000000,24383000000,489000000,60278000000,52269000000,165357000000,56454000000,75268000000,40743000000,65035000000,49402000000,74604000000
88,Other Investing Activites,-179583000000,-39584000000,-89323000000,28371000000,22952000000,5882000000,493000000,-55487000000,23234000000,22764000000,-19841000000,4581000000,8040000000,-10661000000,-15744000000,-22207000000,-31835000000,-62454000000,-35175000000,67598000000,-79306000000,-87660000000
89,Cash Used for Investing Activites,-51675000000,-58249000000,125239000000,140148000000,-139322000000,-72305000000,6566000000,116392000000,101749000000,-767256000000,-117521000000,-99255000000,-1093964000000,-111376000000,-158611000000,91347000000,-71208000000,-655691000000,-93342000000,-2835698000000,292119000000,393530000000
90,Debt Repayment,-1964000000,-8348000000,-2282000000,-1546000000,-936000000,-553000000,-3218000000,-2076000000,-1400000000,-800000000,- -,-1250000000,-72000000,-213000000,-167000000,-119493000000,-100012000000,-191763000000,-142658000000,-1741000000,-731057000000,-1690976000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-213734000000,-128758000000,-280268000000,-34000000,-50000000,-16000000,-24000000,- -,-17587000000,-22346000000,-23117000000,-18756000000,-1172000000,-3737000000,-2141000000
93,Dividends Paid,-28009000000,-36610000000,-48541000000,-54435000000,-60869000000,-74958000000,-85529000000,-98757000000,-129167000000,-142446000000,-143554000000,-142055000000,-142013000000,-142118000000,-142133000000,-141637000000,-141538000000,-141688000000,-141893000000,-142952000000,-282582000000,-283357000000
94,Other Financing Activites,2066000000,3048000000,-1835000000,-3009000000,2461000000,1599000000,-543000000,-1375000000,-2757000000,-2326000000,-4458000000,-3189000000,535890000000,-8204000000,243741000000,-22281000000,139057000000,646464000000,-22919000000,3092102000000,12163000000,888120000000
95,Cash Used/Provided by Financing Activities,-27907000000,-41910000000,-52658000000,-58990000000,-59344000000,-73912000000,-89290000000,-315942000000,-262082000000,-425840000000,-148046000000,-146544000000,393789000000,-150559000000,101441000000,-300998000000,-124839000000,289896000000,-326226000000,2946237000000,-1005213000000,-1088354000000
96,Effect of Forex Changes on Cash,-4920000000,8361000000,23474000000,-19965000000,-59330000000,15199000000,71060000000,11729000000,-166616000000,11665000000,-21204000000,-60910000000,-54858000000,45558000000,29303000000,16329000000,-33260000000,-5743000000,-4565000000,-31269000000,-21766000000,12501000000
97,Net Change In Cash,77957000000,119757000000,336641000000,324642000000,53126000000,188240000000,361911000000,21459000000,-34454000000,-855158000000,94398000000,20230000000,-418463000000,91333000000,120468000000,-10805000000,-203817000000,-131971000000,-46730000000,407120000000,-65108000000,328608000000
98,Cash at the End of Period,241918000000,361675000000,698316000000,1022958000000,1076084000000,1264324000000,1626235000000,1647694000000,1613240000000,758082000000,852480000000,872710000000,454247000000,545580000000,666048000000,655243000000,451426000000,319455000000,294522000000,702093000000,637614000000,966222000000
99,Cash at the Beginning of Period,163961000000,241918000000,361675000000,698316000000,1022958000000,1076084000000,1264324000000,1626235000000,1647694000000,1613240000000,758082000000,852480000000,872710000000,454247000000,545580000000,666048000000,655243000000,451426000000,341252000000,294973000000,702722000000,637614000000
100,Free Cash Flow,123539000000,185721000000,203063000000,229972000000,256962000000,241870000000,341482000000,180129000000,259877000000,286809000000,294208000000,202773000000,274666000000,211946000000,69816000000,73799000000,-59366000000,149336000000,249592000000,194365000000,452042000000,774463000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395064/000119312519117953/0001193125-19-117953-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506420000052/0001395064-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1395064/000139506421000140/0001395064-21-000140-index.htm
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
