,https://roic.ai/company/CETY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,-0.1935,-0.1481,-0.1008,0.0161,0.0538,-0.0162,0.0140,0.0857,0.0242,-0.0242,-0.1831,-0.3496,-1.0913,-0.8302,-2.3128,-2.1109,-1.5876,-2.4436
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1240000,-920000,-630000,150000,370000,-120000,30000,240000,90000,-120000,-650000,-1235190,-2569930,-1699730,-2214850,-2810020,-2555980,-3435764
24,Net Income ratio,-0.1920,-0.1481,-0.0992,0.0161,0.0538,-0.0162,0.0140,0.0857,0.0198,-0.0242,-0.1831,-0.3496,-1.0913,-0.8302,-2.3128,-2.1109,-1.5876,-2.4436
25,EPS,-414.93,-0.77,-0.63,0.08,0.12,-0.03,0.00,0.01,0.01,-0.01,-0.03,-0.05,-0.04,-0.01,-0.01,-0.01,-0.00,-0.00
26,EPS Diluted,-414.93,-0.77,-0.63,0.05,0.12,-0.03,0.00,0.01,0.01,-0.01,-0.03,-0.05,-0.04,-0.01,-0.01,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,3000,1217578,1025549,1866681,3100372,3193257,10593147,18463832,19031540,19848119,22243577,25980566,59583060,142572730,200560377,553354983,641349437,767861170
28,Weighted Average Shares Outstanding Diluted,3000,1217578,1025549,2775099,3100372,3193257,12140421,20363951,20206992,20355887,22243577,25980566,59583060,142572730,200560377,553354983,641349437,767861170
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329606/000150441212000032/0001504412-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441213000109/0001504412-13-000109-index.html,https://www.sec.gov/Archives/edgar/data/1329606/000150441214000158/0001504412-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441215000104/0001504412-15-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441216000225/0001504412-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960617000011/0001329606-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960618000013/0001329606-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960619000011/0001329606-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315220009983/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315221008856/0001493152-21-008856-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,40402,- -,42580,29490,9754,- -,- -,18349,19260,6749,27241,4196,6442,9418,6456,7406,415
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,40402,- -,42580,29490,9754,- -,- -,18349,19260,6749,27241,4196,6442,9418,6456,7406,415
34,Net Receivables,1133554,501433,692212,902767,702052,700490,100381,403109,719320,908697,429413,306540,474699,367623,477081,724845,1505842,266
35,Inventory,363594,692815,1296386,1022931,953803,786416,402867,447134,693528,629841,688286,557382,1207409,913954,854547,711894,630204,558
36,Other Current Assets,- -,60060,50020,- -,- -,52600,22627,20056,- -,- -,- -,- -,- -,- -,- -,- -,- -,218
37,Total Current Assets,1497148,1294710,2038618,1968278,1685345,1549260,525875,870299,1431197,1557798,1124448,891163,1686304,1288019,1341046,1443195,2143452,1456
38,PP&E,905371,678230,337889,317843,211782,143610,103084,113665,127092,131587,142058,123001,215755,187682,144867,96027,896751,53
39,Goodwill,- -,- -,- -,- -,- -,67594,- -,- -,- -,- -,420673,420673,747976,747976,747976,747976,747976,748
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541135,529233,517398,505521,493644,- -
41,Intangible Assets,- -,- -,- -,- -,- -,67594,- -,- -,- -,- -,420673,420673,1289111,1277209,1265374,1253497,1241620,748
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14997,10000,27963,- -,- -,- -,25000,11000,40709,22376,42444,35056,57708,24229,24229,25400,25400,- -
45,Total Non-Current Assets,920368,688230,365852,317843,211782,211204,128084,124665,167801,153963,605175,578730,1562574,1489120,1434470,1374924,2163771,801
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2417516,1982940,2404470,2286121,1897127,1760464,653959,994964,1598998,1711761,1729623,1469893,3248878,2777139,2775516,2818119,4307223,2257
48,Accounts Payable,1673468,529759,691694,629598,600405,668464,187948,383989,495487,453913,654127,574520,609407,881607,996474,1033375,1464363,1545
49,Short-Term Debt,1791885,1058280,1565882,1197879,944267,904574,75854,125902,554243,867207,199665,605267,1291922,1736890,3708096,3925445,4542346,5513137
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,14638,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204763,3000,98594,398815,356980,33
52,Other Current Liabilities,924155,270981,282503,273487,315330,226304,211263,295966,211222,105668,146939,311291,1592629,1973896,2085534,2256178,2565452,-5504929
53,Total Current Liabilities,4389508,1859020,2540079,2100964,1860002,1799342,475065,805857,1260952,1426788,1000731,1491078,3698721,4595393,6888698,7613813,8929141,9786
54,Long-Term Debt,- -,88055,43125,172212,-41847,717927,- -,5932,- -,- -,- -,38147,800000,450000,- -,- -,- -,1576
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,656844,1048303,870915,758408,352002,-514188,265781,- -,- -,- -,- -,- -,- -,- -,- -,- -,630560,- -
58,Total Non-Current Liabilities,656844,1136358,914040,930620,310155,203739,265781,5932,- -,- -,- -,38147,800000,450000,- -,- -,630560,1576
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3153
60,Capital Lease Obligations,656844,1048303,870915,758408,352002,284504,245781,- -,- -,- -,- -,- -,- -,- -,- -,- -,831857,622244
61,Total Liabilities,5046352,2995378,3454119,3031584,2170157,2003081,740846,811789,1260952,1426788,1000731,1529225,4498721,5045393,6888698,7613813,9559701,11362
62,Preferred Stock,- -,1690000,1690000,- -,- -,- -,- -,- -,- -,- -,750000,750000,750000,750000,750000,750000,650000,450000
63,Common Stock,10,2613,3359,10162,10399,32638,184638,184638,197659,20332,24253,30678,139448,155180,210883,555585,753909,821
64,Retained Earnings,-3821442,-375378,-1009483,-858589,-483693,-600288,-572790,-329422,-238483,-354856,-1286907,-2305203,-4875138,-6574864,-8789718,-11599735,-14215718,- -
65,Other Comprehensive Income/Loss,- -,- -,-3072140,42533,18904,-2521163,-1804344,-1845319,-1880967,-1924193,-2439207,-1852381,-1626574,-1660386,-1703201,-1322203,-1351763,- -
66,Other Total Stockholders Equity,1192596,-2329673,1338615,60431,181360,2846196,2105609,2173278,2259837,2543690,3680753,3317574,4362421,5061816,5418854,6820659,8911094,-7689393
67,Total Stockholders Equity,-2628836,-1012438,-1049649,-745463,-273030,-242617,-86887,183175,338046,284973,728892,-59332,-1249843,-2268254,-4113182,-4795694,-5252478,-7238572
68,Total Liabilities And Stockholders Equity,2417516,1982940,2404470,2286121,1897127,1760464,653959,994964,1598998,1711761,1729623,1469893,3248878,2777139,2775516,2818119,4307223,-7227210
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7229467
70,Total Liabilities & Equity,2417516,1982940,2404470,2286121,1897127,1760464,653959,994964,1598998,1711761,1729623,1469893,3248878,2777139,2775516,2818119,4307223,2257
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329606/000150441212000032/0001504412-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441213000109/0001504412-13-000109-index.html,https://www.sec.gov/Archives/edgar/data/1329606/000150441214000158/0001504412-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441215000104/0001504412-15-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441216000225/0001504412-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960617000011/0001329606-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960618000013/0001329606-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960619000011/0001329606-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315220009983/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315221008856/0001493152-21-008856-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-1240000,-920000,-630000,150000,370000,-120000,30000,240000,90000,-120000,-650000,-1235190,-2569930,-1699730,-2214850,-2810020,-2555980,-3435764
74,Depreciation and Amortization,299691,241086,215020,234071,237851,68172,52762,40975,35683,43224,37980,42108,42122,41444,54650,52444,41437,32912
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8232,26694,40764,13300,9051,160000,85450,113347,2460,353140,- -,- -
77,Change in Working Capital,456183,2328050,62849,368775,-41971,-75425,300892,13632,105803,-39235,-7293,-723632,-1412502,-1294957,-2240278,-622966,-615071,6777359
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,593337,-288728,-316211,-189377,479284,107873,49425,107076,-109458,-247764,-909460,10731
79,Inventory,-118386,-329221,-603571,273455,69128,167387,243470,-44266,-246395,63687,-58445,138553,198002,293455,59407,142653,81690,72384
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-441039,196041,111498,-64713,200214,-87253,42874,272197,114868,36901,430988,230200
81,Other Working Capital,-2892360,-564310,-501461,-132686,-174657,-250082,50810,64442,170245,131010,123717,-599915,-2012417,-3307374,-5547652,-6170618,-6785689,-8330
82,Other Non-Cash Items,177929,-3262676,-616945,-144818,102413,221220,-305604,-250905,-650367,-211623,344224,1048377,3237307,2326710,2902548,1584503,905446,-4804902
83,Cash Provided by Operating Activities,-306197,-1613540,-969076,608028,668293,93967,86282,70396,-378117,-314334,-266038,-708337,-617553,-513186,-1495470,-1442899,-2224168,-1430395
84,CAPEX,-63637,-13945,-7082,-214025,-131790,- -,-12236,-51556,-25310,-47719,-48451,-2339,- -,-75436,- -,- -,-8000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-63637,-13945,-7082,-214025,-131790,-2720,-12236,-51556,-25310,-47719,-48451,-2339,- -,-75436,- -,- -,-8000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-194046,-83172,422409,- -,- -,-1347,-327576,-264789,- -,-218295,-657055,-542168
91,Common Stock Issued,- -,2449489,572000,- -,- -,35125,120000,- -,- -,50000,220000,287419,546000,420000,- -,907377,2099199,1171020
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-633,- -,-480,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-115932,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,359707,-781602,363756,-351423,-549593,-146108,- -,64332,- -,312964,82458,445096,376084,435657,1498446,750855,790974,1209022
95,Cash Used/Provided by Financing Activities,243775,1667887,935756,-351423,-549593,-110983,-74046,-18840,421776,362964,301978,731168,594508,590868,1498446,1439937,2233118,1837874
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,243775,1667887,935756,-351423,-13090,-19736,-74046,-18840,421776,911,-12511,20492,-23045,2246,2976,-2962,950,407479
98,Cash at the End of Period,- -,40402,- -,42580,29490,9754,- -,- -,18349,19260,6749,27241,4196,6442,9418,6456,7406,414885
99,Cash at the Beginning of Period,126059,- -,40402,- -,42580,29490,- -,- -,- -,18349,19260,6749,27241,4196,6442,9418,6456,7406
100,Free Cash Flow,-369834,-1627485,-976158,394003,536503,93967,74046,18840,-403427,-362053,-314489,-710676,-617553,-588622,-1495470,-1442899,-2232168,-1430395
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329606/000150441212000032/0001504412-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441213000109/0001504412-13-000109-index.html,https://www.sec.gov/Archives/edgar/data/1329606/000150441214000158/0001504412-14-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441215000104/0001504412-15-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000150441216000225/0001504412-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960617000011/0001329606-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960618000013/0001329606-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000132960619000011/0001329606-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315220009983/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1329606/000149315221008856/0001493152-21-008856-index.htm
102,false,,,,,,,,,,,,,,,,,,
