,https://roic.ai/company/VKIN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910830,- -,- -,- -
44,Other Non-Current Assets,- -,200000,200000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19992,4,- -,-901440,791960,2821600,- -
45,Total Non-Current Assets,100000,600000,600000,400000,300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423290,603630,3109790,39336910,132817100,123073650,433168
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,100000,700000,1100000,1500000,1700000,600000,- -,- -,- -,100000,- -,- -,- -,- -,200000,- -,424640,788090,3359040,46194180,137209740,131745480,12323338
48,Accounts Payable,- -,200000,600000,500000,500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,39310,104770,121370,2555870,2549280,3791890,4475519
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,29042,76838,107431,309079,- -,- -,- -,- -,79282,115246,- -,27060,1302476,5562051,11805582,19225045,32977368
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,100000,- -,- -,- -,- -,170958,123162,92569,90921,- -,- -,- -,- -,20718,84754,442590,1510930,2388884,1818029,5149538,11226655,9425697
53,Total Current Liabilities,- -,300000,600000,500000,500000,100000,200000,200000,200000,400000,- -,- -,- -,- -,200000,300000,481900,1642760,3812730,9935950,19504400,34243590,46878584
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6780,1579470,9742830,92076860,84988120,32977368
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-910827,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416240,833020,4917917,4413460,3846910,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423020,2412490,13749920,96490320,88835030,32977368
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118158826
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308279,241431
61,Total Liabilities,- -,300000,600000,500000,500000,100000,200000,200000,200000,400000,- -,- -,- -,- -,200000,300000,481900,2065780,6225220,23685870,115994720,123078620,132060042
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28,28,28,28,28,28,28,28,28
63,Common Stock,200000,500000,1500000,1600000,1600000,1900000,1900000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,24770,30330,53090,72350,90990,124200,51495
64,Retained Earnings,-200000,-500000,-1000000,-600000,-500000,-1300000,-2100000,-2200000,-2200000,-2400000,-2300000,-2300000,-2400000,-5500000,-5900000,-6400000,-7067270,-8964440,-14409630,3417870,-10891910,-30282760,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,49709,18981,18743,18041,18604,5213,- -,- -,- -,- -,1613,1811,-177452,-158424,-1446,- -,- -,-12959300,- -
66,Other Total Stockholders Equity,100000,500000,- -,100000,29878,-55255,25841,80425,2000000,2000000,- -,- -,- -,- -,5800000,6100000,7162663,8849272,11491784,20903937,32015909,51784687,-16353686
67,Total Stockholders Equity,100000,500000,500000,1000000,1179587,563726,-155416,-201534,-212546,-376314,- -,- -,- -,2247177,2186361,-279140,-57261,-243234,-2866174,24394185,21215017,8666855,-16302163
68,Total Liabilities And Stockholders Equity,100000,800000,1100000,1500000,1679587,663726,44584,-1534,-12546,23686,- -,- -,- -,- -,2386361,20860,424639,1822546,3359046,48080055,137209737,131745475,115757879
69,Minority Interest,- -,-100000,- -,- -,20413,-63726,-44584,1534,12546,76314,- -,- -,- -,- -,-2186361,-20860,1,-1034456,-6,-1885875,3,5,-103434541
70,Total Liabilities & Equity,100000,700000,1100000,1500000,1700000,600000,- -,- -,- -,100000,- -,- -,- -,- -,200000,- -,424640,788090,3359040,46194180,137209740,131745480,12323338
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000114036108008060/form10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793213004332/0001477932-13-004332-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793214001885/0001477932-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793215002243/0001477932-15-002243-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793216014081/0001477932-16-014081-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793217001789/0001477932-17-001789-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793218002059/0001477932-18-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793219001357/0001477932-19-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793220001647/vkin_10k.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793221001656/0001477932-21-001656-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-150000,-390000,-330000,380000,150000,-610000,-790000,-60000,-40000,-170000,80000,-50000,-30000,-3110000,-430000,-520000,-651470,-1897170,-5445190,17827500,-15117550,-19390850,-63988245
74,Depreciation and Amortization,- -,10000,27308,73046,32361,49960,84128,- -,- -,- -,- -,- -,- -,- -,- -,4227,5053,34352,98570,507150,1644690,10940212,13515177
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24020,- -,- -,- -,- -,- -,108000,766882,5405106,2303212,951533,5625302
77,Change in Working Capital,-10000,-200000,100000,700000,300000,-800000,-300000,- -,- -,-100000,300000,- -,- -,- -,- -,-300000,-180550,-977750,-2105180,484800,-12033080,-10460000,-9416654
78,Accounts Receivable,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66176,-878367,131343,-2517727,-1186517
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79335,119459,482121,-336903,1247148,683625
81,Other Working Capital,- -,-200000,-100000,600000,900000,100000,-200000,-200000,-200000,-300000,- -,- -,- -,- -,- -,-300000,-480550,-1458300,-3563480,-3078680,-15111760,-25571760,-34988414
82,Other Non-Cash Items,10000,380000,60190,-982462,-241045,1301296,680203,19593,-3867,151202,-447078,25980,30000,3068421,134178,683079,456167,2277115,6458363,-25816596,19276293,21986744,55340518
83,Cash Provided by Operating Activities,-150000,-200000,-142502,170584,241316,-58744,-325669,-40407,-43867,-118798,-67078,- -,- -,-41579,-295822,-132694,-370800,-455453,-226555,-1592040,-3926435,4027639,1076098
84,CAPEX,- -,-210000,-145740,-52337,-29270,-152389,-5808,- -,- -,- -,- -,- -,- -,- -,- -,-9093,- -,-77158,-2252857,-2122643,-4423778,-5207691,-1995228
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1253769,-3701698,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101191,1610540,- -,- -
88,Other Investing Activites,-90000,-50000,10000,-9493,60000,-50000,5458,- -,- -,- -,- -,- -,- -,- -,- -,- -,-549811,-77158,- -,- -,- -,552966,134222
89,Cash Used for Investing Activites,-90000,-260000,-135740,-61830,30730,-202389,-350,- -,1,- -,- -,- -,- -,- -,- -,-9093,-549811,-77158,-2252857,-767683,-6514936,-4654725,-1861006
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79282,- -,-199000,-598500,-1988333,-8567657,-9131911,-19746457
91,Common Stock Issued,- -,- -,260000,2250,33750,12000,1000,- -,- -,- -,- -,- -,- -,49525,316511,- -,607942,- -,426250,331667,- -,- -,10907925
92,Common Stock Repurchased,150000,100000,- -,-6881,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,400000,- -,10000,- -,- -,115818,47796,50000,185000,- -,- -,- -,- -,129049,74000,301724,760851,2639682,9733043,17283661,11387829,11824255
95,Cash Used/Provided by Financing Activities,250000,500000,260000,5369,33750,12000,116818,47796,50000,185000,- -,- -,- -,49525,445560,-5282,909666,561851,2467432,8076377,8716004,2255918,2985723
96,Effect of Forex Changes on Cash,- -,-10000,18885,13629,-16673,- -,-238,-702,563,-13391,805,- -,- -,- -,1613,11,51,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,40000,643,127752,289123,-249133,-209439,6687,6697,52811,- -,- -,- -,49525,151351,-147058,-10894,29240,-11980,5716654,-1725367,1628832,2200815
98,Cash at the End of Period,10000,40000,41775,169527,458650,209517,78,6765,13462,66273,- -,- -,- -,7946,159297,12239,1345,30585,18605,5735259,4009892,5638724,7839539
99,Cash at the Beginning of Period,- -,- -,41132,41775,169527,458650,209517,78,6765,13462,66273,- -,- -,- -,7946,159297,12239,1345,30585,18605,5735259,4009892,5638724
100,Free Cash Flow,-150000,-410000,-288242,118247,212046,-211133,-331477,-40407,-43867,-118798,-67078,- -,- -,-41579,-295822,-141787,-370800,-532611,-2479412,-3714683,-8350213,-1180052,-919130
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000114036108008060/form10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793213004332/0001477932-13-004332-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1102432/000147793214001885/0001477932-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793215002243/0001477932-15-002243-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793216014081/0001477932-16-014081-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793217001789/0001477932-17-001789-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793218002059/0001477932-18-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793219001357/0001477932-19-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793220001647/vkin_10k.htm,https://www.sec.gov/Archives/edgar/data/1102432/000147793221001656/0001477932-21-001656-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
