,https://roic.ai/company/EVTN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,- -,- -,- -,5000,5000,10000,10000,10000,13695,- -,- -,- -,- -,- -,10026,10026,10026,10026,10526,10143,253182,- -
45,Total Non-Current Assets,- -,- -,- -,83000,51000,45000,15338,14755,239937,203594000,180946000,158329000,135681000,100380000,87789,65171,43078,21043,450021,404579,602559,312468
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,336000,276000,348000,218063,664635,736270,435065000,443214000,1085340000,985656000,904024000,564842,698922,307303,140365,1801714,2216049,1713721,775717
48,Accounts Payable,- -,- -,- -,246000,591000,169000,424703,651702,656819,1176089000,1790598000,987083000,721246000,631685000,374612,406873,274913,480057,201677,464562,427492,323481
49,Short-Term Debt,- -,- -,- -,- -,15000,- -,- -,- -,30836,30836,30836,30836,32107,- -,- -,- -,- -,- -,50640,63832,111249,183934
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,35000,- -,10000,- -,- -,- -,30805164,30805164,-789194836,32074893,- -,852006,1560621,1575387,1643408,1265513,1849467,610965,706315
53,Total Current Liabilities,- -,- -,- -,281000,606000,179000,424703,651702,687655,1206925000,1821434000,197919000,753353000,631685000,1226618,1967494,1850300,2123465,1517830,2377861,1149706,1213730
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,141953,1176089000,1790598000,987083000,721246000,631685000,374612000,406873000,274913000,480057000,290004,226172,157896,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200066,- -
58,Total Non-Current Liabilities,- -,- -,- -,10000,- -,- -,- -,- -,141953,1176089000,1790598000,987083000,721246000,631685000,374612000,406873000,274913000,480057000,290004,226172,357962,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1273622000,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243039,200066
61,Total Liabilities,- -,- -,- -,291000,606000,179000,424703,651702,829608,1318042000,1898990000,1058947000,753353000,1273622000,1226618,1967494,1850300,2219155,1807834,2604033,1507668,453501
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,14000,15000,18000,19459,21991,23121,- -,- -,- -,- -,- -,33465,33465,33465,33465,33535,35785,35785,- -
64,Retained Earnings,- -,- -,- -,-1709000,-3049000,-4791000,-5882005,-6715536,-8637316,- -,- -,- -,- -,- -,-15513116,-16248251,-16523671,-17059464,-14988794,-15485658,-14891621,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-297000,-21000,-11000,-53437,-13333,-288922,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,2037000,2725000,4953000,5709343,6719811,8809779,- -,- -,40088,245998,- -,14817875,14946214,14947209,14947209,14949139,15061889,15061889,- -
67,Total Stockholders Equity,- -,- -,- -,45000,-330000,169000,-206640,12933,-93338,-869262,-1442081,40088,245998,-359572,-661776,-1268572,-1542997,-2078790,-6120,-387984,206053,-681305
68,Total Liabilities And Stockholders Equity,- -,- -,- -,336000,276000,348000,218063,664635,736270,1317172738,1897547919,1058987088,753598998,1273262428,564842,698922,307303,140365,1801714,2216049,1713721,-227804
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-882107738,-1454333919,26352912,232057002,-369238428,- -,- -,- -,- -,- -,- -,- -,1003521
70,Total Liabilities & Equity,- -,- -,- -,336000,276000,348000,218063,664635,736270,435065000,443214000,1085340000,985656000,904024000,564842,698922,307303,140365,1801714,2216049,1713721,775717
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043894/000109991009000042/0001099910-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991010000023/0001099910-10-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991011000081/0001099910-11-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991012000111/0001099910-12-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991013000077/0001099910-13-000077-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991014000055/0001099910-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991015000051/0001099910-15-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991016000327/0001099910-16-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991017000052/0001099910-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991018000024/0001099910-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991019000022/0001099910-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991020000018/0001099910-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991021000039/0001099910-21-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-658000,-540000,-86000,-566000,-1340000,-1742000,-1091005,-833531,-1921780,-1475924000,-814487000,-1687814000,-1044289000,-1496138000,-357148,-735135,-275420,-535793,2070670,-496864,594037,-1030808
74,Depreciation and Amortization,116000,116000,105000,45000,32000,159000,2720,54020,11880,22648,22648,22617,22648,35301,22617,22618,22093,22035,22108,45059,86828,88110
75,Deferred Income Tax,-34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000,- -,128339,995,- -,- -,- -,- -,- -
77,Change in Working Capital,128000,- -,- -,-28000,-353000,505000,-345978,220156,-189500,-975262678,-583712000,2288258000,-632470000,75337000,-172708565,-584178,-252332,-418068,1838006,-400254,527847,-711937
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,-277636,-337827,333883,-81493,37918,-69378,86747,-146574,150065,-293716,289789
79,Inventory,112000,25000,- -,4000,1000,-9000,-47034,-72112,-97121,120685,-28577,-3405,-285144,11559,97728,-219063,211466,64338,-69880,-204884,234149,-4199
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,614510,935485,- -,- -,- -,- -,- -,- -,-278380,262885,-37070,-62011
81,Other Working Capital,- -,- -,- -,-28000,-381000,124000,-221978,-1822,-191322,-975454000,-1559166000,729092000,96622000,171959000,-749565,-1333743,-1586075,-2004143,-166137,-566391,-38544,-750481
82,Other Non-Cash Items,252000,153000,-434000,138000,904000,-158000,673451,-139943,1356346,2450325710,1398142113,-600873387,1676280495,1420830917,172753741,1215318,395461,899086,-2851381,1116128,-1693899,1113386
83,Cash Provided by Operating Activities,-196000,-271000,-415000,-411000,-757000,-1236000,-760812,-699298,-743054,-838320,-34239,-406770,-455857,310218,-289355,46962,-109203,-32740,1079403,264069,-485187,-541249
84,CAPEX,-2000,-3000,- -,- -,- -,- -,-5830,- -,-237062,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109942,- -,- -,-8228
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,55000,1192000,- -,- -,- -,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2000,52000,1192000,- -,- -,- -,29170,- -,-237062,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109942,- -,- -,-8228
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33561,-36528,- -,-32107,- -,- -,- -,- -,-266354,-50640,-63832,-50774
91,Common Stock Issued,40000,364000,20000,286000,770000,1322000,587333,1013000,618000,700000,95000,827000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,157000,-80000,-607000,-31000,-30000,-15000,- -,- -,172789,-30836,- -,- -,-39757,- -,- -,- -,- -,- -,46354,- -,- -,261971
95,Cash Used/Provided by Financing Activities,197000,284000,-587000,255000,740000,1307000,587333,1013000,790789,669164,61439,790472,160243,-32107,- -,- -,- -,- -,- -,-50640,-63832,211197
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1000,65000,190000,-156000,-17000,71000,-144309,313702,-189327,-169156,27200,383702,-295614,278111,-289355,46962,-109203,-32740,969461,213429,-549019,-338280
98,Cash at the End of Period,68000,133000,323000,167000,150000,221000,76691,390393,201066,31910,59110,442812,147198,425309,135954,182916,73713,40973,1010434,1223863,674844,336564
99,Cash at the Beginning of Period,69000,68000,133000,323000,167000,150000,221000,76691,390393,201066,31910,59110,442812,147198,425309,135954,182916,73713,40973,1010434,1223863,674844
100,Free Cash Flow,-198000,-274000,-415000,-411000,-757000,-1236000,-766642,-699298,-980116,-838320,-34239,-406770,-455857,310218,-289355,46962,-109203,-32740,969461,264069,-485187,-549477
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043894/000109991009000042/0001099910-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991010000023/0001099910-10-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991011000081/0001099910-11-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991012000111/0001099910-12-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991013000077/0001099910-13-000077-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991014000055/0001099910-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991015000051/0001099910-15-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991016000327/0001099910-16-000327-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991017000052/0001099910-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991018000024/0001099910-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991019000022/0001099910-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1043894/000109991020000018/0001099910-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1043894/000109991021000039/0001099910-21-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
