,https://roic.ai/company/FENG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.72,-0.80,-4.08,-13.04,1.36,3.60,3.44,1.04,1.12,0.48,-0.88,10.00,5.20,-2.80
27,Weighted Average Shares Outstanding,40001647,40173489,40880687,64903458,77481164,75748550,74702078,71405965,71690192,71848361,72635557,72784475,72790541,72790541
28,Weighted Average Shares Outstanding Diluted,40001647,40173489,40880687,64903458,80468518,77802557,76827514,72598157,72129738,73804238,72635557,72784475,72790541,72790541
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1509646/000119312512189597/d316760d20f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465913033268/a13-10110_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465914030274/a14-10610_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465915032006/a15-9459_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465916114871/a16-4574_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465917027241/a17-11624_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465918026859/a18-3175_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465919023874/a19-3491_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000156459020019287/feng-20f_20191231.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,287173450,397166000,916169000,1308138000,1285847000,310669000,202694000,362862000,174024000,341016000,357796000,188980000
32,Short-Term Investments,- -,- -,- -,784023000,235000000,93672000,40000000,769681000,781298000,737657000,912594000,1271889000,1280033000,1309028000
33,Cash and Short-Term Investments,- -,- -,287173450,1181189000,1151169000,1401810000,1325847000,1080350000,983992000,1100519000,1086618000,1612905000,1637829000,1498008000
34,Net Receivables,- -,- -,93530269,266485000,348083000,482518000,674552000,636030000,670848000,752994000,579442000,708498000,712899000,514014000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,20001340,58265000,56776000,56709000,62509000,214535000,467852000,389753000,354510000,235299000,69189000,64981000
37,Total Current Assets,- -,- -,400705059,1505939000,1556028000,1941037000,2062908000,1930915000,2122692000,2243266000,2020570000,2556702000,2419917000,2077003000
38,PP&E,- -,- -,24110820,41012000,102547000,95126000,89694000,80537000,72087000,64454000,95631000,187440000,112136000,70412000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338288000,361074000,- -,- -
40,Intangible Assets,- -,- -,2362703,5415000,9488000,7919000,14913000,12404000,9475000,6712000,97448000,99280000,12396000,22495000
41,Intangible Assets,- -,- -,2362703,5415000,9488000,7919000,14913000,12404000,9475000,6712000,435736000,460354000,12396000,22495000
42,Investments,- -,- -,- -,- -,- -,- -,145973000,525604000,948241000,1211672000,1995168000,2027774000,131483000,140529000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,60460000,60160000,73688000,86867000,92189000
44,Other Non-Current Assets,- -,- -,20083573,12128000,13104000,12678000,13342000,17746000,16047000,12544000,23454000,19859000,9753000,3218000
45,Total Non-Current Assets,- -,- -,46557096,58555000,125139000,115723000,263922000,636291000,1045850000,1355842000,2610149000,2769115000,352635000,328843000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,447262155,1564494000,1681167000,2056760000,2326830000,2567206000,3168542000,3599108000,4630719000,5325817000,2772552000,2405846000
48,Accounts Payable,- -,- -,54115241,120910000,154637000,218604000,271599000,289148000,260902000,262657000,264753000,259928000,221203000,217172000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,131046000,358602000,330000000,267665000,40326000,36370000,25780000
50,Tax Payable,- -,- -,9969793,35822000,40156000,58140000,88938000,93120000,75652000,92214000,101386000,291511000,402610000,412776000
51,Deferred Revenue,- -,- -,7781026,7191000,17033000,25576000,42790000,29270000,48469000,79513000,68361000,155060000,104311000,33461000
52,Other Current Liabilities,- -,- -,86659033,124106000,135161000,225314000,277604000,293376000,315106000,399761000,472488000,1050129000,700529000,690566000
53,Total Current Liabilities,- -,- -,148555300,252207000,306831000,469494000,591993000,742840000,983079000,1071931000,1073267000,1505443000,1062413000,966979000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49937000,16672000,20070000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1312000,1312000,1312000,1312000,140960000,197810000,1312000,1312000
57,Other Non-Current Liabilities,- -,- -,3482548,5504000,7996000,12231000,16867000,18368000,21723000,24714000,26131000,27612000,28182000,28330000
58,Total Non-Current Liabilities,- -,- -,3482548,5504000,7996000,12231000,18179000,19680000,23035000,26026000,167091000,275359000,46166000,49712000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90263000,53042000,45850000
61,Total Liabilities,- -,- -,152037848,257711000,314827000,481725000,610172000,762520000,1006114000,1097957000,1240358000,1780802000,1108579000,1016691000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,33720051,42054000,41628000,40583000,39331000,38786000,38896000,39233000,39540000,39552000,39552000,39552000
64,Retained Earnings,- -,- -,-129411324,-555831000,-455810000,-194601000,52852000,122093000,195069000,229250000,159621000,186324000,-88191000,-300357000
65,Other Comprehensive Income/Loss,- -,- -,-1001414,-34969000,-4963000,-9797000,50627000,93652000,376292000,651481000,1275978000,1494391000,63803000,59174000
66,Other Total Stockholders Equity,- -,- -,391916994,1855529000,1785485000,1734993000,1573848000,1551104000,1555511000,1587575000,1604588000,1611484000,1620580000,1629014000
67,Total Stockholders Equity,- -,- -,295224307,1306783000,1366340000,1571178000,1716658000,1805635000,2165768000,2507539000,3079727000,3331751000,1635744000,1427383000
68,Total Liabilities And Stockholders Equity,- -,- -,447262155,1564494000,1681167000,2052903000,2326830000,2568155000,3171882000,3605496000,4320085000,5112553000,2744323000,2444074000
69,Minority Interest,- -,- -,- -,- -,- -,3857000,- -,-949000,-3340000,-6388000,310634000,213264000,28229000,-38228000
70,Total Liabilities & Equity,- -,- -,447262155,1564494000,1681167000,2056760000,2326830000,2567206000,3168542000,3599108000,4630719000,5325817000,2772552000,2405846000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1509646/000119312512189597/d316760d20f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465913033268/a13-10110_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465914030274/a14-10610_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465915032006/a15-9459_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465916114871/a16-4574_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465917027241/a17-11624_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465918026859/a18-3175_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465919023874/a19-3491_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000156459020019287/feng-20f_20191231.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,- -,74083257,102475000,107359000,279554000,263091000,73584000,80611000,37472000,-63222000,727829000,380369000,- -
74,Depreciation and Amortization,- -,- -,8117398,12292000,21130000,31465000,36323000,45473000,41952000,35618000,32471000,112332000,78911000,- -
75,Deferred Income Tax,- -,- -,1572295,-11318000,-5573000,-5275000,-3226000,-11398000,-18344000,-6153000,286000,-2977000,-13179000,- -
76,Stock Based Compensation,- -,- -,16561229,66092000,6759000,16723000,53181000,34354000,1890000,20852000,13989000,20221000,9383000,- -
77,Change in Working Capital,- -,- -,-15444088,-97489000,-44586000,42960000,-79678000,-12165000,59459000,65504000,-57873000,-157375000,-235715000,- -
78,Accounts Receivable,- -,- -,-42774317,-136980000,-104792000,-74982000,-180904000,-59772000,55308000,-44575000,-29979000,-79203000,-149780000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,31469279,66795000,27135000,69493000,63419000,24415000,-31539000,5602000,-6102000,-51113000,-27719000,- -
81,Other Working Capital,- -,- -,3890915,11431000,209000,9509000,10762000,-5251000,17640000,43865000,-19194000,-25750000,-36340000,- -
82,Other Non-Cash Items,- -,- -,785766,-7415000,24491000,-17625000,3783000,90964000,38118000,19687000,-2475000,-1030335000,-322878000,- -
83,Cash Provided by Operating Activities,- -,- -,85675857,64637000,109580000,347802000,273474000,220812000,203686000,172980000,-76824000,-330305000,-103109000,- -
84,CAPEX,- -,- -,-18058546,-33477000,-79583000,-29238000,-35387000,-43457000,-29282000,-27800000,-55950000,-83837000,-12090000,- -
85,Acquisitions Net,- -,- -,- -,14300000,- -,- -,-51940000,-10643000,- -,- -,-68557000,114589000,-82000000,- -
86,Purchases of Investments,- -,- -,- -,-1560002000,-1221801000,-186407000,-3602084000,-3640352000,-3199923000,-2754930000,-3365720000,-9175619000,-6456943000,- -
87,Sales/Maturities of Investments,- -,- -,- -,775979000,1772414000,327309000,4082583000,2562584000,3189803000,2797282000,3199558000,10247287000,7100366000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-125000000,-503747000,-20942000,175957000,274137000,184796000,- -
89,Cash Used for Investing Activites,- -,- -,-18058546,-803200000,471030000,111664000,393172000,-1256868000,-543149000,-6390000,-114712000,1460394000,746219000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-357113000,-330000000,-267886000,-7630000,- -
91,Common Stock Issued,- -,- -,- -,893098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-61160000,-65198000,-242500000,-66417000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-703145000,-645244000,- -
94,Other Financing Activites,- -,- -,620395,-29918000,1050000,519000,18756000,130783000,217148000,340879000,254169000,-143589000,13212000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,620395,863180000,-60110000,-64679000,-223744000,64366000,217148000,-16234000,-75831000,-1114620000,-639662000,- -
96,Effect of Forex Changes on Cash,- -,- -,-4150110,-14624000,-1497000,-2818000,-2193000,-3488000,14340000,-8090000,11477000,-35191000,-38563000,- -
97,Net Change In Cash,- -,- -,64087596,109993000,519003000,391969000,440709000,-975178000,-107975000,142266000,-255890000,-19722000,11725000,- -
98,Cash at the End of Period,- -,- -,287173450,397166000,916169000,1308138000,1285847000,310669000,202694000,699562000,443672000,423950000,388835000,- -
99,Cash at the Beginning of Period,- -,- -,223085854,287173000,397166000,916169000,845138000,1285847000,310669000,557296000,699562000,443672000,377110000,- -
100,Free Cash Flow,- -,- -,67617311,31160000,29997000,318564000,238087000,177355000,174404000,145180000,-132774000,-414142000,-115199000,- -
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1509646/000119312512189597/d316760d20f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465913033268/a13-10110_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465914030274/a14-10610_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465915032006/a15-9459_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465916114871/a16-4574_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465917027241/a17-11624_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465918026859/a18-3175_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000110465919023874/a19-3491_120f.htm,https://www.sec.gov/Archives/edgar/data/1509646/000156459020019287/feng-20f_20191231.htm,- -,undefined
102,Forex Rate,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
