,https://roic.ai/company/EPGG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
67,Total Stockholders Equity,45577,136981,35732,25176,-82165,-113831,-148958,-168481,-195186,-238056,-144757
68,Total Liabilities And Stockholders Equity,64294,- -,42122,75775,4120,1679,2239,1746,10,3113,-144547
69,Minority Interest,- -,136981,- -,- -,- -,- -,- -,- -,- -,- -,144612
70,Total Liabilities & Equity,64294,136981,42122,75775,4120,1679,2239,1746,10,3113,65
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501862/000121390013001474/0001213900-13-001474-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390014001861/0001213900-14-001861-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390015002135/0001213900-15-002135-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390016012980/0001213900-16-012980-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390017003680/0001213900-17-003680-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390019011693/0001213900-19-011693-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390019013979/0001213900-19-013979-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390020007922/0001213900-20-007922-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390021021785/0001213900-21-021785-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-130996,-101249,-335556,-107341,-31666,-35127,-19523,-226705,-42870,-81174
74,Depreciation and Amortization,- -,- -,800,800,800,800,800,- -,- -,- -,5735
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-22341,-102329,27344,-81041,-4966,5873,-150343,-26705,-42870,237917
78,Accounts Receivable,- -,-2793,2793,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,2793,-2613,2903,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-18717,- -,- -,- -,- -,- -,-10093,-21,2130,1771
81,Other Working Capital,- -,- -,34652,61996,-19045,-24011,-18138,-168481,-195186,-238056,-139
82,Other Non-Cash Items,- -,- -,110403,257668,160294,8291,-10386,146273,233074,54170,-186415
83,Cash Provided by Operating Activities,- -,-153337,-92375,-49744,-27288,-27541,-38840,-23593,-20336,-31570,-23937
84,CAPEX,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,200250,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,2120,37100,25500,25900,40200,23100,18600,34673,86000
95,Cash Used/Provided by Financing Activities,- -,200250,2120,37100,25500,25900,40200,23100,18600,34673,86000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,46913,-94255,-12644,-1788,-1641,1360,-493,-1736,3103,62063
98,Cash at the End of Period,- -,111207,16952,4308,2520,879,2239,1746,10,3113,65176
99,Cash at the Beginning of Period,- -,64294,111207,16952,4308,2520,879,2239,1746,10,3113
100,Free Cash Flow,- -,-153337,-96375,-49744,-27288,-27541,-38840,-23593,-20336,-31570,-23937
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1501862/000121390013001474/0001213900-13-001474-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390014001861/0001213900-14-001861-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390015002135/0001213900-15-002135-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390016012980/0001213900-16-012980-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390017003680/0001213900-17-003680-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390019011693/0001213900-19-011693-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390019013979/0001213900-19-013979-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390020007922/0001213900-20-007922-index.htm,https://www.sec.gov/Archives/edgar/data/1501862/000121390021021785/0001213900-21-021785-index.htm
102,false,,,,,,,,,,,
