,https://roic.ai/company/NICE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0048,0.1080,0.1400,0.0890,0.1257,-0.0737,-0.3619,-0.2065,0.0200,0.0793,0.1031,0.0417,0.0635,0.0598,0.0655,0.0711,0.0744,0.0519,0.0840,0.1105,0.1792,0.1321,0.1127,0.1368,0.1517,0.1469,0.1374
19,Total Other Income Expenses (Gains),600000,900000,-12800000,-3300000,-350000,6241000,-592000,-73000,2326000,3610000,5385000,13895000,14800000,11236000,7597000,8981000,9856000,8268000,3927000,3200000,5304000,10305000,-20411000,-10901000,-4444000,-4859000,-23290000
20,Income Before Tax,500000,- -,-3100000,4800000,15183000,-5046000,-46597000,-33632000,6813000,23638000,37471000,30992000,47634000,48587000,45796000,58033000,68884000,53900000,83680000,115025000,171410000,144481000,129660000,186715000,234273000,237188000,240619000
21,Income Before Tax Ratio,0.0238,- -,-0.0447,0.0527,0.1228,-0.0329,-0.3666,-0.2070,0.0304,0.0936,0.1204,0.0757,0.0921,0.0778,0.0785,0.0842,0.0868,0.0613,0.0882,0.1137,0.1849,0.1423,0.0973,0.1293,0.1488,0.1439,0.1252
22,Income Tax expense (Gain),200000,- -,100000,300000,74000,273000,198000,350000,1205000,2319000,902000,8591000,10254000,9480000,3040000,9326000,11621000,-13994000,28405000,11950000,30832000,21412000,-13631000,27377000,48369000,40842000,41396000
23,Net Income,300000,5200000,-3200000,4500000,15109000,-5319000,-46795000,-33982000,7091000,24555000,36569000,22401000,37380000,39107000,42756000,48707000,57263000,67894000,55275000,103075000,258831000,116920000,143291000,159338000,185904000,196673000,199223000
24,Net Income ratio,0.0143,0.1307,-0.0462,0.0495,0.1222,-0.0347,-0.3682,-0.2091,0.0316,0.0972,0.1175,0.0547,0.0722,0.0627,0.0733,0.0706,0.0721,0.0772,0.0582,0.1019,0.2793,0.1151,0.1076,0.1103,0.1181,0.1193,0.1037
25,EPS,0.03,0.35,-0.17,0.20,0.66,-0.21,-1.79,-1.23,0.22,0.70,0.95,0.45,0.69,0.65,0.70,0.78,0.91,1.11,0.92,1.74,4.35,1.96,2.37,2.60,2.99,3.13,3.18
26,EPS Diluted,0.03,0.35,-0.17,0.18,0.61,-0.21,-1.79,-1.23,0.21,0.66,0.89,0.43,0.67,0.64,0.68,0.76,0.89,1.09,0.89,1.69,4.22,1.92,2.31,2.52,2.88,2.98,3.18
27,Weighted Average Shares Outstanding,13333333,14857143,18285714,22500000,23118000,24739535,26069638,27627642,32231818,35078571,38292147,49780000,54173913,60088000,61395000,62652000,62924000,60905000,60388000,59362000,59552000,59667000,60444000,61387000,62120000,62710000,62710000
28,Weighted Average Shares Outstanding Diluted,13333333,14857143,18285714,24324324,24498000,24739535,26069638,27627642,33766667,37488550,41320904,52095349,55791045,61268000,62490000,64132000,64241000,62261000,61830000,60895000,61281000,61035000,62119000,63309000,64661000,65956000,62710000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4100000,5300000,45200000,29000000,23833000,18640000,25567000,19281000,29859000,26579000,254956000,67365000,116619000,144376000,255038000,109526000,204437000,98596000,119545000,187497000,325931000,157026000,328302000,242099000,228323000,442267000,378656000
32,Short-Term Investments,- -,- -,- -,18500000,73082000,29089000,29270000,33853000,17187000,24523000,36261000,92989000,123322000,186072000,68623000,242593000,144003000,199955000,82826000,65744000,99195000,30287000,63951000,243729000,210772000,1021613000,1046095000
33,Cash and Short-Term Investments,4100000,5300000,45200000,47500000,96915000,47729000,54837000,53134000,47046000,51102000,291217000,160354000,239941000,330448000,323661000,352119000,348440000,298551000,202371000,253241000,425126000,187313000,392253000,485828000,439095000,1463880000,1424751000
34,Net Receivables,7900000,17300000,32700000,42800000,53613000,48183000,40474000,74396000,57352000,47401000,75697000,87940000,105742000,127812000,126034000,99257000,126981000,184477000,217253000,204355000,204301000,288607000,263060000,326308000,377197000,303100000,395583000
35,Inventory,2300000,3500000,5600000,8500000,8866000,21159000,11057000,13480000,12634000,12615000,23172000,18619000,11835000,11500000,14445000,10861000,13404000,13897000,13448000,13375000,6198000,4716000,9013000,3434000,3389000,- -,- -
36,Other Current Assets,4000000,17600000,63800000,45400000,- -,36365000,- -,208000,4134000,7595000,3360000,19249000,25242000,8400000,8181000,38722000,54346000,24139000,27544000,35465000,19527000,28597000,28730000,45671000,56008000,175340000,436495000
37,Total Current Assets,18300000,43700000,147300000,144200000,159394000,153436000,106368000,141218000,121166000,118713000,393446000,286162000,382760000,478160000,472321000,500959000,543171000,521064000,460616000,506436000,655152000,509233000,693056000,861241000,875689000,1942320000,2256829000
38,PP&E,3600000,5000000,- -,- -,19992000,25896000,22111000,24345000,18627000,16981000,14888000,15813000,18655000,23394000,22052000,22014000,28299000,41278000,44343000,41875000,39213000,87678000,118275000,140338000,247843000,234947000,230709000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220430000,443256000,445504000,494498000,527614000,609187000,695027000,707939000,694778000,651112000,1284710000,1318242000,1366206000,1378418000,1503252000,1606756000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,47900000,41504000,38410000,73843000,111182000,162315000,145402000,156664000,141632000,158153000,228746000,170125000,113740000,69582000,618735000,551347000,508232000,411019000,366003000,295378000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,47900000,41504000,38410000,73843000,331612000,605571000,590906000,651162000,669246000,767340000,923773000,878064000,808518000,720694000,1903445000,1869589000,1874438000,1789437000,1869255000,1902134000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171159000,224828000,311081000,214136000,146154000,243677000,252230000,403249000,99726000,133820000,244998000,542389000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4976000,2917000,8739000,7373000,5588000,- -,- -,4615000,3875000,9114000,14130000,14093000,11850000,12309000,30513000,32735000,48900000
44,Other Non-Current Assets,1700000,3600000,19400000,35000000,30918000,72157000,81533000,22825000,68118000,124215000,130097000,147840000,176609000,17713000,23726000,31118000,28890000,24061000,26483000,23918000,17175000,17701000,18496000,74042000,124034000,153660000,224445000
45,Total Non-Current Assets,5300000,8600000,19400000,35000000,50910000,98053000,103644000,95070000,128249000,179606000,223804000,498182000,809574000,810545000,927356000,1033459000,1038665000,1139881000,1196442000,1135655000,1194461000,2122643000,2152030000,2346125000,2734216000,2290597000,2406188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23600000,52300000,166700000,179200000,210304000,251489000,210012000,236288000,249415000,298319000,617250000,784344000,1192334000,1288705000,1399677000,1534418000,1581836000,1660945000,1657058000,1642091000,1849613000,2631876000,2845086000,3207366000,3609905000,4232917000,4663017000
48,Accounts Payable,2100000,3400000,7000000,8400000,11201000,12650000,11123000,16129000,15744000,11975000,18194000,22845000,21792000,23060000,26342000,20019000,19014000,20553000,25962000,11910000,11719000,25634000,29438000,29617000,30376000,33132000,36121000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21164000,- -,- -,251583000,259881000,368065000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60684000,93293000,108196000,- -,- -,160242000,150424000,144536000,145250000,151345000,149801000,184564000,221387000,245792000,311851000,330459000
52,Other Current Liabilities,3100000,4400000,7800000,9600000,10513000,23467000,25314000,45883000,49248000,55310000,100544000,86306000,114792000,129393000,261519000,307031000,190372000,212452000,213693000,221086000,235999000,276211000,309350000,373908000,413204000,439586000,487547000
53,Total Current Liabilities,5200000,7800000,14800000,18000000,21714000,36117000,36437000,62012000,64992000,67285000,118738000,169835000,229877000,260649000,287861000,327050000,369628000,383429000,384191000,378246000,399063000,472810000,523352000,624912000,940955000,1044450000,1222192000
54,Long-Term Debt,- -,- -,- -,- -,418000,247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,444016000,447642000,455985000,213313000,421337000,510452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22710000,37550000,35112000,26045000,36295000,66606000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2493000,33130000,41764000,37060000,25899000,19705000,27766000,58341000,37841000,23882000,15040000,146952000,57796000,44140000,52509000,32109000,7429000
57,Other Non-Current Liabilities,1500000,1900000,2900000,4000000,4820000,6548000,6557000,19740000,7592000,8163000,8978000,11805000,16899000,20174000,23163000,26903000,25798000,28087000,30230000,26507000,20361000,34056000,29185000,30604000,119817000,110242000,18379000
58,Total Non-Current Liabilities,1500000,1900000,2900000,4000000,5238000,6795000,6557000,19740000,7592000,8163000,11471000,44935000,58663000,57234000,49062000,46608000,53564000,86428000,68071000,50389000,35401000,647734000,572173000,565841000,411684000,599983000,602866000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125009000,114674000,100699000
61,Total Liabilities,6700000,9700000,17700000,22000000,26952000,42912000,42994000,81752000,72584000,75448000,130209000,214770000,288540000,317883000,336923000,373658000,423192000,469857000,452262000,428635000,434464000,1120544000,1095525000,1190753000,1352639000,1644433000,1825058000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3900000,4062000,4313000,4398000,4908000,5142000,5464000,6772000,12754000,14801000,15157000,15492000,15875000,16273000,16666000,17212000,17615000,17977000,18280000,18595000,18849000,18961000,- -,- -
64,Retained Earnings,4700000,9900000,6600000,11100000,26233000,16632000,-30163000,-64145000,-57054000,-32499000,4070000,26471000,64675000,103782000,146538000,195245000,252508000,320402000,346667000,411600000,632192000,710910000,850772000,1071811000,1257715000,- -,- -
65,Other Comprehensive Income/Loss,-1300000,-2200000,- -,- -,-11264000,-19345000,-24812000,-33637000,-42414000,-51017000,-58220000,-65728000,-72664000,-79052000,-68904000,-78246000,-88409000,-103015000,-105570000,-120408000,-116756000,-166497000,-197418000,-252953000,-299157000,- -,- -
66,Other Total Stockholders Equity,13500000,34900000,142400000,142200000,164321000,206977000,217595000,247410000,271157000,300923000,534419000,596077000,896982000,930935000,969628000,1027886000,978272000,957035000,946487000,904649000,881736000,948639000,1077612000,1178906000,1279747000,2563910000,- -
67,Total Stockholders Equity,16900000,42600000,149000000,157200000,183352000,208577000,167018000,154536000,176831000,222871000,487041000,569574000,903794000,970822000,1062754000,1160760000,1158644000,1191088000,1204796000,1213456000,1415149000,1511332000,1749561000,2016613000,2257266000,2563910000,2825085000
68,Total Liabilities And Stockholders Equity,23600000,52300000,166700000,179200000,210304000,251489000,210012000,236288000,249415000,298319000,617250000,784344000,1192334000,1288705000,1399677000,1534418000,1581836000,1660945000,1657058000,1642091000,1849613000,2631876000,2845086000,3207366000,3609905000,4208343000,4650143000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24574000,12874000
70,Total Liabilities & Equity,23600000,52300000,166700000,179200000,210304000,251489000,210012000,236288000,249415000,298319000,617250000,784344000,1192334000,1288705000,1399677000,1534418000,1581836000,1660945000,1657058000,1642091000,1849613000,2631876000,2845086000,3207366000,3609905000,4232917000,4663017000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,5200000,- -,- -,15109000,-5319000,-46795000,-33982000,7091000,24555000,36569000,22401000,37380000,39107000,42756000,48707000,57263000,67894000,55275000,103075000,258831000,116920000,143291000,159338000,185904000,196673000,199223000
74,Depreciation and Amortization,700000,1100000,- -,- -,7005000,11853000,15289000,11508000,19088000,14998000,13964000,22197000,30931000,42740000,47217000,57110000,66958000,95477000,91355000,73349000,57964000,77801000,156301000,157142000,173230000,182026000,184092000
75,Deferred Income Tax,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4841000,-3707000,-5231000,-5554000,-6984000,-4862000,-8775000,-24168000,-17275000,-27785000,10576000,-25905000,-70805000,-30172000,-12208000,-33241000,-32970000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25321000,18237000,21054000,21159000,23612000,26307000,29814000,28451000,40547000,56980000,67223000,80864000,101667000,153030000
77,Change in Working Capital,-2600000,-8000000,- -,- -,-7945000,-15942000,28677000,-15889000,12045000,7921000,18269000,26213000,31683000,26800000,20130000,24877000,15161000,-25193000,-33893000,2723000,40131000,9628000,95557000,33878000,-59772000,22349000,-80124000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232000,8898000,6344000,-20621000,-11863000,-34569000,4807000,-56363000,-31784000,37735000,-72583000,-29863000,22245000,-85778000
79,Inventory,-1200000,-1300000,- -,- -,-335000,-10006000,9635000,-10006000,1515000,-122000,-3930000,5376000,7579000,300000,-531000,3546000,-2048000,500000,472000,-327000,4108000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,1536000,-7136000,- -,295000,5057000,-13781000,2166000,4392000,2665000,-3526000,777000,4094000,-389000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -,-359000,453000,410000,127000,-126000,-4551000,3424000,54914000,16908000,36455000,91744000,32603000,81369000,30770000
82,Other Non-Cash Items,-400000,-500000,- -,- -,5457000,7340000,3672000,36295000,-48000,-2456000,1742000,20471000,23481000,7296000,-1670000,-1866000,2608000,-1983000,2506000,1093000,-151220000,1353000,13338000,9200000,6140000,10832000,38565000
83,Cash Provided by Operating Activities,-2200000,-2200000,- -,- -,19626000,-2068000,843000,-2068000,38176000,45018000,65703000,87575000,118244000,135710000,119686000,145020000,154374000,135639000,124275000,182269000,244733000,220344000,394662000,396609000,374158000,480306000,461816000
84,CAPEX,-1900000,-2600000,- -,- -,-10062000,-14161000,-7648000,-14161000,-5492000,-6701000,-6128000,-9336000,-11909000,-20265000,-11166000,-13015000,-21457000,-29800000,-21327000,-17667000,-17976000,-35780000,-67825000,-63667000,-61972000,-63284000,-67211000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,-238000000,-217000000,-22000000,-85000000,-52000000,-143000000,-165000000,-24000000,- -,186000000,-1165000000,-76000000,-105000000,-26000000,- -,-142804000
86,Purchases of Investments,-8700000,-35200000,- -,- -,-88990000,-76166000,-48985000,-45138000,-72209000,-122321000,-218511000,-217772000,-247721000,-295505000,-307520000,-387988000,-202768000,-167904000,-206385000,-143688000,-287593000,-48721000,-133423000,-429500000,-619060000,-583115000,-322129000
87,Sales/Maturities of Investments,17100000,26300000,- -,- -,86802000,87979000,64425000,38525000,42662000,59204000,200420000,145209000,201184000,216610000,332263000,176597000,376962000,195755000,218417000,153141000,92542000,449880000,64295000,137180000,362713000,328593000,270645000
88,Other Investing Activites,-800000,-5300000,- -,- -,-22845000,-15765000,-3879000,2661000,-4751000,-2527000,-43078000,1461000,-540000,-4470000,-2171000,-1565000,-4443000,1476000,-1166000,-1777000,-188880000,249000,-27963000,-32001000,-34651000,-186359000,-42440000
89,Cash Used for Investing Activites,5700000,-16800000,- -,- -,-35095000,-18113000,3913000,-18113000,-39790000,-72345000,-64297000,-318438000,-275986000,-120819000,-71279000,-276660000,9444000,-164363000,-33423000,-9083000,-214527000,-790870000,-212980000,-460763000,-344291000,-465067000,-261499000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1087000,-260137000,-9312000,-816000,-215177000,-177308000
91,Common Stock Issued,- -,20200000,- -,- -,10600000,14991000,1860000,14991000,12086000,19867000,226983000,38987000,201207000,- -,- -,25984000,26751000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95886000,-107038000,-79447000,-94267000,-68384000,-43630000,-24428000,-26004000,-47276000,-48272000,-73180000
93,Dividends Paid,-4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29010000,-38142000,-38239000,-38202000,-9637000,- -,- -,- -,- -
94,Other Financing Activites,-100000,- -,- -,- -,-303000,-3000,- -,-3000,-24000,- -,- -,4675000,4945000,15920000,20917000,-18000,372000,30484000,39553000,30731000,34830000,496234000,279375000,19048000,5428000,460286000,-11328000
95,Cash Used/Provided by Financing Activities,-4200000,20200000,- -,- -,10297000,14988000,1860000,14988000,12062000,19867000,226983000,43662000,206152000,15920000,20917000,25966000,-68763000,-76554000,-68904000,-101678000,-71793000,413315000,-14827000,-16268000,-42664000,196837000,-261816000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,182000,44000,-12000,-390000,844000,-3054000,1111000,389000,-144000,-563000,-999000,-3556000,-6113000,-2546000,4421000,-5781000,-979000,1868000,-2112000
97,Net Change In Cash,- -,- -,- -,- -,-5172000,-5193000,6616000,-5193000,10578000,-3280000,228377000,-187591000,49254000,27757000,70435000,-105285000,94911000,-105841000,20949000,67952000,138434000,-168905000,171276000,-86203000,-13776000,213944000,-63611000
98,Cash at the End of Period,- -,- -,- -,- -,23833000,18640000,25256000,18640000,29859000,26579000,254956000,67365000,116619000,144376000,214811000,109526000,204437000,98596000,119545000,187497000,325931000,157026000,328302000,242099000,228323000,442267000,378656000
99,Cash at the Beginning of Period,4800000,4100000,- -,- -,29005000,23833000,18640000,23833000,19281000,29859000,26579000,254956000,67365000,116619000,144376000,214811000,109526000,204437000,98596000,119545000,187497000,325931000,157026000,328302000,242099000,228323000,442267000
100,Free Cash Flow,-4100000,-4800000,- -,- -,9564000,-16229000,-6805000,-16229000,32684000,38317000,59575000,78239000,106335000,115445000,108520000,132005000,132917000,105839000,102948000,164602000,226757000,184564000,326837000,332942000,312186000,417022000,394605000
101,SEC Link,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
