,https://roic.ai/company/RVNC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,195410000,230150000,180194000,16100000,22570000,27289000,26854000,80726000,114797000,345930000,462692000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,24000,28000,29000,37000,37000,52000,69000,72000
64,Retained Earnings,-160067000,-218326000,-195880000,-258797000,-332273000,-421543000,-542167000,-684775000,-844204000,-1126293000,-1397952000
65,Other Comprehensive Income/Loss,-4603000,-6355000,-8189000,-9906000,-11472000,-12158000,-13531000,-13972000,-16866000,- -,-18000
66,Other Total Stockholders Equity,9188000,7954000,46520000,445048000,596969000,610743000,824506000,844332000,1086508000,1500514000,1466369000
67,Total Stockholders Equity,-155482000,-216727000,-157549000,176369000,253252000,177071000,268845000,145622000,225490000,374290000,68471000
68,Total Liabilities And Stockholders Equity,39928000,13423000,22645000,192469000,275822000,204360000,295699000,226348000,340287000,720220000,531163000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39928000,13423000,22645000,192469000,275822000,204360000,295699000,226348000,340287000,720220000,531163000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479290/000162828015001461/0001628280-15-001461-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929016000031/0001479290-16-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929017000013/0001479290-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929018000038/0001479290-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929019000030/0001479290-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929020000042/0001479290-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929021000057/0001479290-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929022000034/0001479290-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-44863000,-58259000,-52448000,-62917000,-73476000,-89270000,-120587000,-142568000,-159429000,-282089000,-281310000
74,Depreciation and Amortization,1983000,1777000,1881000,2051000,1995000,1445000,1468000,1726000,2909000,10250000,19853000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2720000,- -
76,Stock Based Compensation,273000,79000,548000,6530000,12388000,11953000,13230000,16273000,17922000,36453000,43434000
77,Change in Working Capital,-66000,-133794000,69783000,205242000,79431000,-68878000,91261000,-88357000,79671000,133416000,-4774000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1736000,-1519000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5876000,-4278000
80,Accounts Payable,-636000,1028000,3193000,-3399000,-692000,953000,2607000,1691000,-360000,4425000,-1824000
81,Other Working Capital,21264000,-112530000,-42747000,162495000,241926000,173048000,264309000,175952000,255623000,389039000,-1631000
82,Other Non-Cash Items,14260000,151283000,-67522000,-205979000,-76007000,84923000,-80714000,108680000,-47234000,-73812000,1259000
83,Cash Provided by Operating Activities,-28413000,-38914000,-47758000,-55073000,-55669000,-59827000,-95342000,-104246000,-106161000,-178502000,-221538000
84,CAPEX,-150000,-319000,-6477000,-6975000,-3328000,-3470000,-2625000,-7091000,-3238000,-4216000,-18075000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-54087000,-280681000,-36028000,-314911000,-331362000,-259304000,-183590000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1000000,208650000,157445000,213435000,317000000,276469000,172000000
88,Other Investing Activites,75000,75000,75000,75000,75000,-1798000,-100000,1441000,8000,64000,- -
89,Cash Used for Investing Activites,-75000,-244000,-6402000,-6900000,-56340000,-75499000,118792000,-107026000,-17592000,12131000,-29665000
90,Debt Repayment,-13083000,-4557000,-8576000,-12544000,-5250000,-3541000,-3636000,-932000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,234552000,136251000,- -,196228000,- -,222840000,83948000,21706000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,67150000,18177000,62567000,7083000,11591000,899000,3352000,2714000,-1183000,247536000,8163000
95,Cash Used/Provided by Financing Activities,54067000,13620000,53991000,229091000,142592000,-2642000,195944000,1782000,221657000,331484000,29869000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25579000,-25538000,-169000,167118000,30583000,-137968000,219394000,-209490000,97904000,165113000,-221334000
98,Cash at the End of Period,29621000,4083000,3914000,171032000,201615000,64082000,283476000,73986000,171890000,337003000,115669000
99,Cash at the Beginning of Period,4042000,29621000,4083000,3914000,171032000,202050000,64082000,283476000,73986000,171890000,337003000
100,Free Cash Flow,-28563000,-39233000,-54235000,-62048000,-58997000,-63297000,-97967000,-111337000,-109399000,-182718000,-239613000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479290/000162828015001461/0001628280-15-001461-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929016000031/0001479290-16-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929017000013/0001479290-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929018000038/0001479290-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929019000030/0001479290-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929020000042/0001479290-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929021000057/0001479290-21-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1479290/000147929022000034/0001479290-22-000034-index.htm
102,false,,,,,,,,,,,
