,https://roic.ai/company/ADUS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-3.62,-0.24,-0.66,0.57,-0.18,0.71,1.77,1.12,1.05,1.04,1.17,1.33,1.83,2.09,2.85
26,EPS Diluted,-3.62,-0.24,-0.66,0.57,-0.18,0.71,1.73,1.10,1.04,1.04,1.17,1.33,1.77,2.08,2.83
27,Weighted Average Shares Outstanding,1019250,1019250,2706935,10604000,10752000,10764000,10826000,10900000,11108000,11527000,11632000,13126000,13816000,15826000,15826000
28,Weighted Average Shares Outstanding Diluted,1019250,1019250,2706935,10606000,10752000,10784000,11075000,11114000,11189000,11527000,11632000,13126000,14248000,15956000,15956000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1468328/000119312510069040/0001193125-10-069040-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312511079724/0001193125-11-079724-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312512117986/0001193125-12-117986-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312513132519/0001193125-13-132519-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312514102602/0001193125-14-102602-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312515093678/0001193125-15-093678-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312516501371/0001193125-16-501371-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312517083098/0001193125-17-083098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312518082191/0001193125-18-082191-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459019008098/0001564590-19-008098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459020038909/0001564590-20-038909-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459021009604/0001564590-21-009604-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459022007171/0001564590-22-007171-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21000,6113000,518000,816000,2020000,1737000,15565000,13363000,4104000,8013000,53754000,70406000,111714000,145078000,168895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,21000,6113000,518000,816000,2020000,1737000,15565000,13363000,4104000,8013000,53754000,70406000,111714000,145078000,168895000
34,Net Receivables,43330000,49697000,71223000,70954000,72368000,72256000,62175000,69790000,86262000,117746000,89495000,109692000,153236000,135038000,146070000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5486000,8973000,12637000,14028000,14473000,13843000,13740000,14219000,12195000,5251000,7836000,5406000,4437000,7581000,9376000
37,Total Current Assets,48837000,64783000,84378000,85798000,88861000,87836000,91480000,97372000,102561000,131010000,151085000,185504000,269387000,287697000,324341000
38,PP&E,3941000,3421000,3133000,2923000,2490000,2489000,2634000,7695000,8619000,6648000,7489000,10658000,12156000,57740000,54531000
39,Goodwill,44097000,47926000,59482000,63930000,50695000,50536000,60026000,64220000,68844000,73906000,90339000,135442000,275368000,469072000,504392000
40,Intangible Assets,19061000,17035000,13082000,13570000,8044000,6370000,8762000,10347000,10351000,15413000,16596000,23784000,57079000,71549000,64321000
41,Intangible Assets,63158000,64961000,72564000,77500000,58739000,56906000,68788000,74567000,79195000,89319000,106935000,159226000,332447000,540621000,568713000
42,Investments,- -,- -,- -,- -,- -,- -,900000,900000,900000,900000,- -,- -,- -,- -,- -
43,Tax Assets,1149000,1223000,509000,- -,4089000,2328000,- -,- -,- -,3153000,1601000,- -,1647000,6524000,- -
44,Other Non-Current Assets,1571000,1360000,731000,703000,513000,298000,132000,269000,1337000,- -,- -,- -,21111000,- -,- -
45,Total Non-Current Assets,69819000,70965000,76937000,81126000,65831000,62021000,72454000,83431000,90051000,100020000,116025000,169884000,367361000,604885000,623244000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,118656000,135748000,161315000,166924000,154692000,149857000,163934000,180803000,192612000,231030000,267110000,355388000,636748000,892582000,947585000
48,Accounts Payable,2599000,3879000,3763000,3304000,5266000,4117000,4633000,3951000,4748000,4486000,4271000,12238000,19641000,23705000,19358000
49,Short-Term Debt,4997000,7101000,7388000,5158000,6569000,208000,- -,986000,1109000,2531000,3099000,62000,7962000,10254000,9774000
50,Tax Payable,292000,- -,- -,- -,1811000,2704000,1868000,3287000,1805000,1747000,1065000,769000,1843000,4543000,1872000
51,Deferred Revenue,1687000,2175000,2189000,2141000,2145000,2148000,59000,- -,- -,- -,- -,- -,- -,32087000,- -
52,Other Current Liabilities,20215000,22721000,25557000,26529000,29313000,32717000,41945000,38268000,36332000,42603000,44800000,49204000,59925000,77855000,88557000
53,Total Current Liabilities,29498000,35876000,38897000,37132000,43293000,39190000,46637000,43205000,42189000,49620000,52170000,61504000,87528000,143901000,117689000
54,Long-Term Debt,49656000,56075000,41851000,40027000,24958000,16250000,- -,- -,- -,22482000,39860000,17222000,59164000,229417000,253771000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,562000,- -,- -,3441000,5845000,6815000,- -,- -,494000,- -,- -,- -
57,Other Non-Current Liabilities,4952000,9222000,- -,1112000,- -,- -,- -,3797000,1882000,- -,- -,635000,14464000,588000,1781000
58,Total Non-Current Liabilities,54608000,65297000,41851000,41701000,24958000,16250000,3441000,9642000,8697000,22482000,39860000,18351000,73628000,230005000,255552000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3663000,2991000,- -,- -,- -,21535000,44799000,42633000
61,Total Liabilities,84106000,101173000,80748000,78833000,68251000,55440000,50078000,52847000,50886000,72102000,92030000,79855000,161156000,373906000,373241000
62,Preferred Stock,37750000,37750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,10000,11000,11000,11000,11000,11000,11000,12000,12000,13000,15000,16000,16000
64,Retained Earnings,594000,4617000,-54000,5974000,3993000,11628000,30773000,43016000,54639000,66663000,79105000,97837000,116032000,149165000,194291000
65,Other Comprehensive Income/Loss,-1272000,-2207000,-3154000,-4057000,-4891000,-5317000,-6540000,-7453000,-9152000,-10173000,-4843000,-6101000,-10027000,- -,- -
66,Other Total Stockholders Equity,-2523000,-5586000,83765000,86163000,87328000,88095000,89612000,92382000,96228000,102426000,100806000,183784000,369572000,369495000,- -
67,Total Stockholders Equity,34550000,34575000,80567000,88091000,86441000,94417000,113856000,127956000,141726000,158928000,175080000,275533000,475592000,518676000,574344000
68,Total Liabilities And Stockholders Equity,118656000,135748000,161315000,166924000,154692000,149857000,163934000,180803000,192612000,231030000,267110000,355388000,636748000,892582000,947585000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,118656000,135748000,161315000,166924000,154692000,149857000,163934000,180803000,192612000,231030000,267110000,355388000,636748000,892582000,947585000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1468328/000119312510069040/0001193125-10-069040-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312511079724/0001193125-11-079724-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312512117986/0001193125-12-117986-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312513132519/0001193125-13-132519-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312514102602/0001193125-14-102602-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312515093678/0001193125-15-093678-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312516501371/0001193125-16-501371-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312517083098/0001193125-17-083098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312518082191/0001193125-18-082191-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459019008098/0001564590-19-008098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459020038909/0001564590-20-038909-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459021009604/0001564590-21-009604-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459022007171/0001564590-22-007171-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,197000,4023000,3602000,6028000,-1981000,7635000,19145000,12243000,11623000,12024000,13608000,17503000,25237000,33133000,45126000
74,Depreciation and Amortization,6029000,6092000,4913000,4046000,3554000,2544000,2160000,3830000,4717000,6647000,6663000,8642000,10574000,12051000,14494000
75,Deferred Income Tax,-2561000,-815000,-735000,447000,-4663000,839000,4701000,2221000,838000,-1328000,1754000,-43000,-1063000,-4652000,7282000
76,Stock Based Compensation,944000,272000,297000,255000,331000,341000,515000,827000,1573000,1072000,2552000,4109000,5766000,6005000,9434000
77,Change in Working Capital,-2814000,9568000,16574000,3185000,-3098000,3078000,-3803000,9324000,6205000,21018000,17525000,25085000,57859000,-38063000,-38614000
78,Accounts Receivable,-8187000,-8313000,-25768000,-4892000,-5689000,-1812000,7818000,-9276000,-19512000,-32606000,21023000,-2169000,-37478000,23860000,-3916000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-368000,502000,-116000,-459000,1962000,-1149000,435000,-850000,570000,-1530000,-229000,4235000,4638000,2159000,-4810000
81,Other Working Capital,19339000,28907000,45481000,48666000,45568000,48646000,44843000,54167000,60372000,81390000,98915000,124000000,181859000,143796000,-27914000
82,Other Non-Cash Items,1692000,-14534000,-33576000,-3258000,21804000,968000,4675000,-21417000,-20850000,-40176000,10669000,-22093000,-86354000,100937000,1766000
83,Cash Provided by Operating Activities,3487000,4606000,-8925000,10703000,15947000,15405000,27393000,7028000,4106000,-743000,52771000,33203000,12019000,109411000,39488000
84,CAPEX,-787000,-406000,-671000,-612000,-551000,-1114000,-887000,-6461000,-2359000,-1712000,-3616000,-5349000,-4621000,-6831000,-4645000
85,Acquisitions Net,-11397000,-5026000,-14177000,-5588000,-500000,495000,3780000,-7172000,-8365000,-20026000,-24354000,-62440000,-184076000,-207405000,-37370000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,57000,17000,- -,- -,- -,- -,- -,-50000,-146000,- -,3702000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12127000,-5415000,-14848000,-6200000,-1051000,-619000,2893000,-13633000,-10724000,-21738000,-24268000,-67789000,-188697000,-214236000,-42015000
90,Debt Repayment,-4129000,-5507000,-66179000,-3955000,-13292000,-11000000,-16458000,-370000,-1050000,-29113000,-76058000,-105871000,-798000,-757000,-18130000
91,Common Stock Issued,- -,- -,47480000,- -,- -,- -,- -,- -,- -,- -,- -,76618000,172945000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-1673000,- -,- -,-4069000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12787000,12408000,38550000,-250000,-400000,- -,- -,4773000,-1591000,55503000,93296000,80491000,45839000,138946000,44474000
95,Cash Used/Provided by Financing Activities,8658000,6901000,18178000,-4205000,-13692000,-15069000,-16458000,4403000,-2641000,26390000,17238000,51238000,217986000,138189000,26344000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18000,6092000,-5595000,298000,1204000,-283000,13828000,-2202000,-9259000,3909000,45741000,16652000,41308000,33364000,23817000
98,Cash at the End of Period,21000,6113000,518000,816000,2020000,1737000,15565000,13363000,4104000,8013000,53754000,70406000,111714000,145078000,168895000
99,Cash at the Beginning of Period,3000,21000,6113000,518000,816000,2020000,1737000,15565000,13363000,4104000,8013000,53754000,70406000,111714000,145078000
100,Free Cash Flow,2700000,4200000,-9596000,10091000,15396000,14291000,26506000,567000,1747000,-2455000,49155000,27854000,7398000,102580000,34843000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1468328/000119312510069040/0001193125-10-069040-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312511079724/0001193125-11-079724-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312512117986/0001193125-12-117986-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312513132519/0001193125-13-132519-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312514102602/0001193125-14-102602-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312515093678/0001193125-15-093678-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312516501371/0001193125-16-501371-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312517083098/0001193125-17-083098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000119312518082191/0001193125-18-082191-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459019008098/0001564590-19-008098-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459020038909/0001564590-20-038909-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459021009604/0001564590-21-009604-index.htm,https://www.sec.gov/Archives/edgar/data/1468328/000156459022007171/0001564590-22-007171-index.htm
102,false,,,,,,,,,,,,,,,
