,https://roic.ai/company/TLRY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-11.8663,0.0472,0.2054,0.7977,-0.0696,-0.1561,-0.7161
25,EPS,-0.04,-0.01,-0.04,-0.13,0.01,0.04,0.17,-0.06,-0.28,-1.25
26,EPS Diluted,-0.04,-0.01,-0.04,-0.13,0.01,0.04,0.17,-0.06,-0.28,-1.25
27,Weighted Average Shares Outstanding,2308209,3339828,3339828,38038283,48980933,87448459,134956278,203460137,216158217,446440641
28,Weighted Average Shares Outstanding Diluted,2308209,3339828,3339828,38038283,48980933,93387717,139052523,203460137,216158217,446440641
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1731348/000156459020038984/0001564590-20-038984-index.htm,https://www.sec.gov/Archives/edgar/data/1731348/000156459021038648/0001564590-21-038648-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,23836,9748,11858,5674256,12629893,59316806,46326785,407093126,358469291,488466000
32,Short-Term Investments,317205,270347,156345,- -,- -,64836760,34946141,14929047,- -,- -
33,Cash and Short-Term Investments,341040,280095,168203,5674256,12629893,124153567,81272926,422022173,358469291,488466000
34,Net Receivables,3187,2176,1152,889759,1896262,4306081,13953019,63968958,59273865,99125000
35,Inventory,- -,- -,- -,1387400,1601560,2884995,17177600,67648928,190560678,256429000
36,Other Current Assets,0,0,- -,367019,657962,1798106,38520477,23469327,42917084,39589000
37,Total Current Assets,344227,282271,169355,8318434,16785676,133142749,150924023,577109387,651220919,883609000
38,PP&E,- -,- -,- -,2917758,5604113,53816229,235097366,372430155,423311729,668965000
39,Goodwill,- -,- -,- -,- -,920062,890750,405408424,495082040,445495901,2832794000
40,Intangible Assets,- -,- -,- -,60025,3310444,1403849,175610134,289767923,261729401,1605918000
41,Intangible Assets,- -,- -,- -,60025,4230506,2294598,581018558,784849963,707225302,4438712000
42,Investments,- -,- -,- -,- -,1196234,41689804,39546480,54865484,19477027,25791000
43,Tax Assets,- -,- -,- -,- -,- -,2460376,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,204174,- -,1138339,12508240,15321508,0,8285000
45,Total Non-Current Assets,- -,- -,- -,3181957,11030853,101399348,868170644,1227467110,1150014058,5141753000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,344227,282271,169355,11500391,27816529,234542096,1019094667,1804576497,1801234977,6025362000
48,Accounts Payable,- -,- -,- -,762175,971043,4359449,24441825,78206208,110124219,57706000
49,Short-Term Debt,- -,- -,- -,- -,- -,1219380,2132659,4679970,7439423,49603000
50,Tax Payable,- -,- -,- -,- -,- -,- -,2779437,2011826,4621252,14764000
51,Deferred Revenue,- -,- -,- -,- -,- -,2078416,2021761,17500370,650292,- -
52,Other Current Liabilities,11077,10434,27579,- -,- -,- -,5413077,2011826,4621252,293932000
53,Total Current Liabilities,11077,10434,27579,762175,971043,7657244,34009322,102398374,122835185,401241000
54,Long-Term Debt,- -,- -,- -,- -,- -,23594364,21975695,356438285,292882118,889056000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,45951437,64769401,60175766,265845000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7022265,- -,- -,3907000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,23594364,74949398,421207687,353057885,1158808000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5149704,58210000
61,Total Liabilities,11077,10434,27579,762175,971043,31251608,108958719,523606061,475893070,1560049000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,342377,331942,16290842,31371720,203622788,863906101,1223409460,1331539144,46000
64,Retained Earnings,-96428,-132824,-250551,-7015606,-6379835,-3060103,21289367,8945307,-44132596,-486050000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1067267,-2305433,-621185,-87953,-914878,152668000
66,Other Total Stockholders Equity,- -,62283,60385,1462981,2920868,5033236,18132256,27706578,20244833,4792406000
67,Total Stockholders Equity,333150,271836,141776,10738216,26845486,203290488,902706538,1259973392,1306736502,4459070000
68,Total Liabilities And Stockholders Equity,344227,282271,169355,11500391,27816529,234542096,1011665258,1783579453,1782629572,6019119000
69,Minority Interest,0,- -,- -,- -,- -,-0,7429409,20997044,18605406,6243000
70,Total Liabilities & Equity,344227,282271,169355,11500391,27816529,234542096,1019094667,1804576497,1801234977,6025362000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1731348/000156459020038984/0001564590-20-038984-index.htm,https://www.sec.gov/Archives/edgar/data/1731348/000156459021038648/0001564590-21-038648-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-96428,-41989,-121775,-5265124,305124,3116477,22837290,-12194383,-61016387,-367421000
74,Depreciation and Amortization,- -,- -,- -,306470,952178,1941576,6678000,22940000,49271000,67832000
75,Deferred Income Tax,- -,- -,- -,- -,-1200000,133762,3658000,-4090000,-2722000,-24873000
76,Stock Based Compensation,44671,- -,- -,1015126,462314,2399111,17874000,26080000,22500000,17351000
77,Change in Working Capital,8335,-61314,-130060,7414483,8258374,109670871,-8570803,357796311,53674721,-46017734
78,Accounts Receivable,-2665,871,1041,- -,-1778679,953168,-1797000,12458000,-34308000,-23512000
79,Inventory,- -,- -,- -,-1005064,-778388,2429881,-7412000,-39473000,-125189000,-35286000
80,Accounts Payable,- -,- -,- -,-69614,244789,3365599,2919029,-8128603,43087227,14501000
81,Other Working Capital,333150,271836,141776,7556260,15814634,125485505,116914701,474711013,528385734,482368000
82,Other Non-Cash Items,670,59909,139453,-7850631,-9766124,-111936232,-48125487,-446136928,-195463334,308411734
83,Cash Provided by Operating Activities,-42752,-43394,-112382,-4379676,-988134,5325565,-5649000,-55605000,-133756000,-44717000
84,CAPEX,- -,- -,- -,-2021935,-4479764,-67722425,-216699000,-205965000,-132423000,-38874000
85,Acquisitions Net,- -,- -,- -,63718,- -,- -,-17647561,-17410939,-25032623,66608000
86,Purchases of Investments,-315000,-285000,-170000,- -,-1560200,-162731734,-59057000,-72367000,-605000,- -
87,Sales/Maturities of Investments,- -,315000,285000,- -,- -,29326569,90572000,134898000,46094000,8430000
88,Other Investing Activites,- -,- -,- -,-569682,15277,-2205709,-18038439,-17040061,18202623,9941000
89,Cash Used for Investing Activites,-315000,30000,115000,-2441002,-5970982,-202027179,-220870000,-177885000,-93764000,46105000
90,Debt Repayment,- -,- -,- -,- -,- -,-644129,-7622000,-11374000,-13267000,-65617000
91,Common Stock Issued,400000,- -,- -,13896301,10314727,204408498,195661000,245925000,99727000,102550000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-98078,- -,- -,-1538522,6065144,56374996,18307000,489999000,87485000,87375000
95,Cash Used/Provided by Financing Activities,301922,- -,- -,12357779,16379871,260139365,206346000,724550000,173945000,124308000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2124000
97,Net Change In Cash,-55830,-13394,2618,5537101,9420755,63437751,-20173000,491060000,-53575000,127820000
98,Cash at the End of Period,23670,10276,12894,5674256,16472664,79910415,59737000,550797000,497222000,488466000
99,Cash at the Beginning of Period,79500,23670,10276,137155,7051909,16472664,79910000,59737000,550797000,360646000
100,Free Cash Flow,-42752,-43394,-112382,-6401611,-5467898,-62396860,-222348000,-261570000,-266179000,-83591000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1731348/000156459020038984/0001564590-20-038984-index.htm,https://www.sec.gov/Archives/edgar/data/1731348/000156459021038648/0001564590-21-038648-index.htm
102,false,,,,,,,,,,
