,https://roic.ai/company/PSSR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,8640000,6950000,4620000,3980000,- -,- -,- -,2190000,1640000,1449349,1686050,1300000,2227852,2394261,3345186,3966232,3926835,4314839,3735847,4694315,6478615,7689281,9515579,11634602,11129396,10109999,10386104,11636259,13684591,15254127,19962827,18177869,12992125,5004373
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),170000,110000,120000,70000,- -,- -,- -,-60000,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1108112,1374936,912079,292958,287564,240572,224542,183333,170917,335948,715933,906567,1056913
14,Depreciation and Amortization,310000,240000,210000,170000,- -,- -,- -,60000,60000,63335,68103,100000,179653,278153,406163,651660,709787,774945,887572,1051446,1381744,1676606,1946476,2155478,2456392,2589668,2805249,3001875,3341349,2967557,3561677,3627604,2122920,707807
15,EBITDA,-10000,-2180000,-1300000,-1060000,- -,- -,- -,-570000,-590000,9858,-804257,-200000,-400904,-1349057,-1701114,-1831477,-675322,-143769,997176,1522688,1885412,2947744,3389099,4129567,3834378,3514727,3908812,3903675,4549253,1579704,-1582127,495884,-9237434,1860619
16,EBITDA ratio,-0.0013,-0.5154,-0.4561,-0.4141,- -,- -,- -,-0.3393,-0.5315,0.0067,-0.7636,-0.1818,-0.2282,-1.4342,-1.0337,-0.8571,-0.2315,-0.0377,0.2311,0.2672,0.2490,0.3290,0.3093,0.3035,0.3066,0.3185,0.3402,0.3113,0.3055,0.1139,-0.1068,0.0330,-0.8012,0.3022
17,Operating Income,-700000,-2710000,-1760000,-1420000,- -,- -,- -,-510000,-520000,29603,-802947,-200000,-471250,-1453624,-1699499,-1829318,-1009907,-506066,578375,1003921,1093766,1271029,1442623,1974089,1377986,925059,1103563,901800,1207904,-1382632,-5145028,-3131720,-11337593,1152812
18,Operating Income ratio,-0.0883,-0.6407,-0.6175,-0.5547,- -,- -,- -,-0.3036,-0.4685,0.0200,-0.7624,-0.1818,-0.2683,-1.5454,-1.0327,-0.8561,-0.3462,-0.1329,0.1341,0.1762,0.1444,0.1419,0.1316,0.1451,0.1102,0.0838,0.0960,0.0719,0.0811,-0.0997,-0.3472,-0.2081,-0.9834,0.1872
19,Total Other Income Expenses (Gains),210000,190000,130000,120000,- -,- -,- -,-60000,-60000,-83080,-69413,100000,-109307,-173586,-407778,-653819,-375202,-412648,-468771,-532679,-590098,-1108003,-1374936,-912079,-292958,-287564,-240572,-224542,-183333,-176138,-334724,-715933,-929328,-1056913
20,Income Before Tax,-490000,-2520000,-1630000,-1300000,- -,- -,- -,-570000,-580000,-53477,-872360,- -,-580557,-1627210,-2107277,-2483137,-1385109,-918714,109604,471242,503668,163026,67687,1062010,1085028,637495,862991,677258,1024571,-1558770,-5479752,-3847653,-12266921,95899
21,Income Before Tax Ratio,-0.0618,-0.5957,-0.5719,-0.5078,- -,- -,- -,-0.3393,-0.5225,-0.0362,-0.8283,- -,-0.3305,-1.7299,-1.2805,-1.1620,-0.4749,-0.2412,0.0254,0.0827,0.0665,0.0182,0.0062,0.0780,0.0868,0.0578,0.0751,0.0540,0.0688,-0.1124,-0.3698,-0.2557,-1.0640,0.0156
22,Income Tax expense (Gain),-220000,-1040000,-180000,10000,- -,- -,- -,10000,- -,1023,8389,- -,2267,2280,2935,2985,4427,5158,6689,16660,8846,8812,46324,-1571926,-1776449,355593,514649,397994,589923,1961506,4634,-10320,36918,2701
23,Net Income,-270000,-1490000,-1450000,-1310000,- -,- -,- -,-580000,-580000,-54500,-880749,-300000,-582824,-1629490,-2110212,-2486122,-1389536,-923872,102915,454582,494822,154214,21363,2633936,2861477,281902,348342,279264,434648,-3520276,-5484386,-3837333,-12303839,93198
24,Net Income ratio,-0.0340,-0.3522,-0.5088,-0.5117,- -,- -,- -,-0.3452,-0.5225,-0.0369,-0.8362,-0.2727,-0.3318,-1.7323,-1.2823,-1.1634,-0.4764,-0.2426,0.0239,0.0798,0.0653,0.0172,0.0019,0.1935,0.2288,0.0255,0.0303,0.0223,0.0292,-0.2538,-0.3701,-0.2550,-1.0672,0.0151
25,EPS,-0.13,-0.91,-0.90,-0.81,- -,- -,- -,-0.36,-0.36,-0.03,-0.35,-0.13,-0.22,-0.47,-0.61,-0.71,-0.35,-0.23,0.03,0.11,0.12,0.04,0.00,0.45,0.40,0.04,0.05,0.04,0.06,-0.46,-0.71,-0.50,-1.60,0.01
26,EPS Diluted,-0.13,-0.91,-0.90,-0.81,- -,- -,- -,-0.36,-0.36,-0.03,-0.35,-0.13,-0.22,-0.47,-0.61,-0.71,-0.35,-0.23,0.02,0.08,0.09,0.03,0.00,0.39,0.36,0.04,0.04,0.04,0.06,-0.46,-0.71,-0.50,-1.60,0.01
27,Weighted Average Shares Outstanding,2020000,1630000,1610000,1610000,- -,- -,- -,1610000,1610000,1903267,2511600,2511600,2670132,3473115,3473115,3484365,3961885,4088115,4091448,4091448,4130259,4190900,4553681,5894817,7184927,7263626,7457915,7648612,7679696,7693831,7696091,7696091,7710561,7712091
28,Weighted Average Shares Outstanding Diluted,2020000,1630000,1610000,1610000,- -,- -,- -,1610000,1610000,1903267,2511600,2511600,2688707,3473115,3473115,3484365,3961885,4088115,5327052,5481031,5425687,5265889,5342299,6706458,7994261,7765937,7743893,7775474,7730566,7693831,7696091,7696091,7710561,7712091
29,SEC Link,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901299000037/0000909012-99-000037-index.html,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901201000025/0000909012-01-000025-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901202000058/0000909012-02-000058-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901209000114/0000909012-09-000114-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901210000023/0000909012-10-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901212000020/0000909012-12-000020-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901213000023/0000909012-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901214000034/0000909012-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000090901215000020/0000909012-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000090901216000364/0000909012-16-000364-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690617000013/0001096906-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690618000090/passur.htm,https://www.sec.gov/Archives/edgar/data/225628/000109690619000043/0001096906-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690620000040/0001096906-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690621000191/0001096906-21-000191-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000109690622000193/0001096906-22-000193-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1970000,530000,1560000,660000,- -,- -,- -,- -,120000,318595,17731,300000,69090,8961,86334,48980,122849,89029,215366,286992,217316,250626,107069,299455,261053,454650,648727,925508,1523655,275146,100856,145151,2748066,1569587
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1970000,530000,1560000,660000,- -,- -,- -,- -,120000,318595,17731,300000,69090,8961,86334,48980,122849,89029,215366,286992,217316,250626,107069,299455,261053,454650,648727,925508,1523655,275146,100856,145151,2748066,1569587
34,Net Receivables,810000,640000,540000,300000,- -,- -,- -,- -,90000,299586,35341,100000,175188,78973,230676,485693,422641,483617,669108,794487,629888,867043,1853901,1402521,1475665,1637844,1368758,1234986,1073498,1308091,1186664,1141282,662081,808611
35,Inventory,2850000,1920000,1550000,1630000,- -,- -,- -,- -,400000,448775,266916,400000,253049,246901,303633,195254,138648,166118,735847,366751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,960000,1260000,330000,120000,- -,- -,- -,- -,70000,87561,58931,100000,13535,15571,72197,83922,34456,170191,167905,87123,146473,243918,269102,830783,715392,1101731,701462,709601,636299,303045,199173,249118,162843,247940
37,Total Current Assets,6590000,4350000,3980000,2710000,- -,- -,- -,- -,680000,1154517,378919,900000,510862,350406,692840,813849,718594,908955,1788226,1535353,993677,1361587,2230072,2532759,2452110,3194225,2718947,2870095,3233452,1886282,1486693,1535551,3572990,2626138
38,PP&E,2260000,2170000,1970000,1820000,- -,- -,- -,- -,1480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490721,592866
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4038039,6017549,8894705,9807707,10635807,10924405,11608624,- -,12272999,13587354,14003286,14897781,8141000,8319000,1223000,738000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4038039,6017549,8894705,9807707,10635807,10924405,11608624,11464608,12272999,13587354,14003286,14897781,8141000,8319000,1223000,738000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,50000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080779,2817144,2121136,2035088,1658557,1250833,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-40000,-40000,30000,20000,- -,- -,- -,- -,20000,1440779,1416071,700000,1837220,3005937,3757159,3719430,3365987,3378287,202551,376402,481364,541800,412767,580260,1237889,1499736,1465831,1593393,1395913,1021782,5586491,4592709,53031,45719
45,Total Non-Current Assets,2270000,2170000,2000000,1840000,- -,- -,- -,- -,1500000,1440779,1416071,700000,1837220,3005937,3757159,3719430,3365987,3378287,4240590,6393951,9376069,10349507,11048574,12585444,15663657,15085480,15773918,16839304,16650032,15919563,13727491,12911709,1766752,1376585
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8860000,6520000,5980000,4550000,- -,- -,- -,- -,2180000,2595296,1794990,1600000,2348082,3356343,4449999,4533279,4084581,4287242,6028816,7929304,10369746,11711094,13278646,15118203,18115767,18279705,18492865,19709399,19883484,17805845,15214184,14447260,5339742,3837228
48,Accounts Payable,270000,180000,170000,110000,- -,- -,- -,- -,140000,155989,136016,- -,242565,486082,456755,209293,292974,321238,311213,381262,615639,407647,982431,828153,668238,561559,650653,880819,356387,984369,989958,1531112,1486808,731767
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,40000,164834,266612,800000,810806,4404,- -,- -,- -,4815,4815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168923,86195
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784374,842687,990376,712333,805389,911394,1070693,1377106,1503750,1280834,1478141,1931374,1979873,2680244,3140292,2824885,2847323,2863273,1173573,1319859
52,Other Current Liabilities,440000,300000,300000,280000,- -,- -,- -,- -,670000,359812,458856,400000,537510,764681,581656,555242,504710,641472,944965,660495,834132,1648905,1345040,840730,727647,722898,833292,977900,936272,1273170,1189342,789370,2655013,1544623
53,Total Current Liabilities,710000,480000,470000,390000,- -,- -,- -,- -,850000,680635,861484,1200000,1590881,1255167,1822785,1607222,1788060,1679858,2066382,1953151,2520464,3433658,3831221,2949717,2874026,3215831,3463818,4538963,4432951,5082424,5026623,5183755,5484317,3682444
54,Long-Term Debt,- -,- -,950000,910000,- -,- -,- -,- -,670000,721036,625548,300000,152985,3090000,5705000,8466465,8866465,9994695,11214880,12614880,13814880,13914880,14814880,4814880,4764880,4364880,3864880,3500000,2700000,3800000,6050000,8350058,10963571,11022793
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305193,227798,188739,189944,135722,90679,197336,- -,470831,409971,377760,249727,173939
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106505,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423346,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50000,30000,- -,- -,- -,- -,- -,- -,10000,- -,- -,100000,- -,- -,- -,- -,- -,- -,41340,128529,187970,- -,- -,- -,- -,- -,- -,- -,- -,- -,113273,79958,- -,- -
58,Total Non-Current Liabilities,50000,30000,950000,910000,- -,- -,- -,- -,680000,721036,625548,400000,152985,3090000,5705000,8466465,8866465,10101200,11256220,12743409,14002850,14220073,15042678,5003619,4954824,4500602,3955559,3697336,3123346,4270831,6573244,8807776,11213298,11196732
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440869,417363
61,Total Liabilities,760000,510000,1420000,1300000,- -,- -,- -,- -,1530000,1401671,1487032,1600000,1743866,4345167,7527785,10073687,10654525,11781058,13322602,14696560,16523314,17653731,18873899,7953336,7828850,7716433,7419377,8236299,7556297,9353255,11599867,13991531,16697615,14879176
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,20000,20000,- -,- -,- -,- -,20000,32031,32031,- -,41696,41696,41696,41846,47846,47846,47879,47879,48429,49904,53879,78716,78896,80410,82255,84284,84654,84804,84804,84804,84964,84964
64,Retained Earnings,7210000,5720000,4270000,2960000,- -,- -,- -,- -,370000,313248,-567501,-900000,-1473137,-3102627,-5212839,-7698961,-9088497,-10012369,-9909454,-9454872,-8960050,-8805836,-8784473,-6150537,-3289060,-3007158,-2658816,-2379552,-1944904,-6397873,-11882259,-15653562,-27957401,-27864203
65,Other Comprehensive Income/Loss,-2490000,-2680000,-2890000,-3070000,- -,- -,- -,- -,-2960000,- -,- -,-2500000,-2538772,-2593047,-2651000,-2701000,-2735000,-2782000,-2782000,-2782000,-2782000,-3360000,-3597000,-3672000,-3767000,-4025132,-4397651,-4822468,-5319000,-5909000,-20917000,-21623000,-19890000,- -
66,Other Total Stockholders Equity,3360000,2950000,3160000,3340000,- -,- -,- -,- -,3230000,848346,843428,6600000,4574429,4665154,4744357,4817707,5205707,5252707,5349789,5421737,5540053,6173295,6732341,16908688,17264081,17515152,18047700,18590836,19506437,20674659,36328772,37647487,36404524,16737291
67,Total Stockholders Equity,8100000,6010000,4560000,3250000,- -,- -,- -,- -,660000,1193625,307958,3200000,604216,-988824,-3077786,-5540408,-6569944,-7493816,-7293786,-6767256,-6153568,-5942637,-5595253,7164867,10286917,10563272,11073488,11473100,12327187,8452590,3614317,455729,-11357913,-11041948
68,Total Liabilities And Stockholders Equity,8860000,6520000,5980000,4550000,- -,- -,- -,- -,2190000,2595296,1794990,4800000,2348082,3356343,4449999,4533279,4084581,4287242,6028816,7929304,10369746,11711094,13278646,15118203,18115767,18279705,18492865,19709399,19883484,17805845,15214184,14447260,5339702,3837228
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,-3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40,- -
70,Total Liabilities & Equity,8860000,6520000,5980000,4550000,- -,- -,- -,- -,2180000,2595296,1794990,1600000,2348082,3356343,4449999,4533279,4084581,4287242,6028816,7929304,10369746,11711094,13278646,15118203,18115767,18279705,18492865,19709399,19883484,17805845,15214184,14447260,5339742,3837228
71,SEC Link,- -,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901299000037/0000909012-99-000037-index.html,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901201000025/0000909012-01-000025-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901202000058/0000909012-02-000058-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901209000114/0000909012-09-000114-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901210000023/0000909012-10-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/225628/000090901212000020/0000909012-12-000020-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901213000023/0000909012-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/225628/000090901214000034/0000909012-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000090901215000020/0000909012-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000090901216000364/0000909012-16-000364-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690617000013/0001096906-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690618000090/passur.htm,https://www.sec.gov/Archives/edgar/data/225628/000109690619000043/0001096906-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690620000040/0001096906-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/225628/000109690621000191/0001096906-21-000191-index.htm,https://www.sec.gov/Archives/edgar/data/225628/000109690622000193/0001096906-22-000193-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-270000,-1490000,-1450000,-1310000,- -,- -,- -,-580000,-580000,-54500,-880749,-300000,-582824,-1629490,-2110212,-2486122,-1389536,-923872,102915,454582,494822,154214,21363,2633936,2861477,281902,348342,279264,434648,-3520276,-5484386,-3837333,-12303839,93198
74,Depreciation and Amortization,310000,240000,210000,170000,- -,- -,- -,60000,60000,63335,68103,100000,179653,278153,406163,651660,709787,774945,887572,1051446,1381744,1676606,1946476,2155478,2456392,2589668,2805249,3001875,3341349,2967557,3561677,3627604,2122920,707807
75,Deferred Income Tax,-120000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1590219,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34592,119658,259338,250673,275370,310401,341181,401219,578372,646113,612715,466997,222767
77,Change in Working Capital,5920000,-40000,-2010000,-360000,- -,- -,- -,-1190000,-2490000,643882,-956447,182565,-780019,175258,-225184,336572,-276093,298563,492747,-139642,-1108989,-545284,470922,-416958,-4958,400310,-723265,-923997,469369,-1996643,-343788,-108274,1736877,-892823
78,Accounts Receivable,1100000,170000,100000,240000,- -,- -,- -,- -,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226805,-968138,382079,-59697,-149209,267630,116822,155506,-414008,165283,39382,375667,-101249
79,Inventory,210000,930000,370000,-80000,- -,- -,- -,- -,1230000,-49133,181859,-200000,89890,6148,-56732,108379,56606,-27470,-569729,369096,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,330000,90000,10000,60000,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207992,574784,-154278,-159915,-106679,89094,230165,-524432,627982,5589,541154,-44304,-755041
81,Other Working Capital,5920000,5880000,3870000,3510000,- -,- -,- -,2320000,-170000,473882,-482565,-300000,-1080019,-904761,-1129945,-793373,-1069466,-770903,-278156,-417798,-1526787,-2072071,-1601149,-416958,-421916,-21606,-744871,-1668868,-1199499,-3196142,-3539930,-3648204,-1911327,70498
82,Other Non-Cash Items,-6040000,580000,3320000,650000,- -,- -,- -,1770000,2870000,-955374,1510408,-782565,1259535,432207,568666,-539986,1101776,-543107,-858806,523475,1888336,1059715,-1134257,-59366,-1748142,75320,1691998,2510584,263468,4305487,2280713,439801,6614354,-4749181
83,Cash Provided by Operating Activities,-200000,-700000,70000,-850000,- -,- -,- -,60000,-140000,-302657,-258685,-800000,76345,-743872,-1360567,-2037876,145934,-393471,624428,1889861,2655913,2379843,1424162,2982209,3815442,3622570,4432725,5208907,4910053,2334497,660329,734513,-1362691,-4618232
84,CAPEX,-250000,-140000,-10000,-20000,- -,- -,- -,- -,- -,-5633,-21141,- -,-62433,-34205,-14202,-15321,-27484,-73382,-1719076,-3213420,-3113500,-2468658,-2674082,-2656669,-3813744,-2748056,-3590121,-4346413,-3530126,-4683006,-3084619,-2790218,-495789,-54639
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,460000,- -,- -,- -,- -,- -,- -,- -,- -,-5633,-21141,700000,-1178354,-1412665,-1158454,-747872,-444581,-690382,- -,- -,-831039,-2468658,-2537246,-2368259,-3045486,-2748056,-3590121,-3891111,-3199949,-4428018,-2824748,-2588749,-488774,- -
89,Cash Used for Investing Activites,210000,-140000,-10000,-20000,- -,- -,- -,- -,- -,-5633,-21141,700000,-1240787,-1446870,-1172656,-763193,-472065,-763764,-1719076,-3213420,-3944539,-2468658,-2674082,-2656669,-3813744,-2748056,-3590121,-4346413,-3530126,-4683006,-3084619,-2790218,-495789,-54639
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89291,-53242,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-4250000,-50000,-400000,-500000,-364880,-800000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250,- -,- -,799,- -,18950,- -,- -,4250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-260000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283747,-180026,-271953,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,980000,-30000,- -,- -,- -,-50000,170000,596718,32204,300000,940506,2130613,2610596,2761465,400000,1123415,1220186,1395185,1200000,122125,1356363,-133154,9900,2830,31499,51120,18220,1100000,2250000,2100000,4461395,3494392
