,https://roic.ai/company/YEXT,2015,2016,2017,2018,2019,2020,2021,2022
36,Other Current Assets,2560000,3946000,9763000,17045000,31952000,41153000,48318000,47536000
37,Total Current Assets,64132000,58156000,61829000,180042000,230069000,377812000,376184000,410353000
38,PP&E,3907000,11958000,11613000,11438000,11077000,138173000,185188000,171728000
39,Goodwill,4614000,4479000,4444000,4924000,4660000,4534000,4842000,4572000
40,Intangible Assets,5151000,4090000,3128000,2761000,1960000,1343000,767000,217000
41,Intangible Assets,9765000,8569000,7572000,7685000,6620000,5877000,5609000,4789000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5287000,6814000,5451000,4324000,19362000,41758000,29008000,33465000
45,Total Non-Current Assets,18959000,27341000,24636000,23447000,37059000,185808000,219805000,209982000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,83091000,85497000,86465000,203489000,267128000,563620000,595989000,620335000
48,Accounts Payable,4246000,4977000,- -,4253000,8025000,9599000,12974000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,8640000,14165000,18845000
50,Tax Payable,657000,1804000,- -,1846000,2206000,1185000,- -,- -
51,Deferred Revenue,23471000,35954000,57112000,89474000,136688000,177707000,191810000,223427000
52,Other Current Liabilities,5070000,13500000,25625000,24451000,35067000,48982000,41212000,48432000
53,Total Current Liabilities,32787000,54431000,82737000,118178000,179780000,244928000,260161000,290704000
54,Long-Term Debt,- -,- -,5000000,- -,- -,- -,123584000,113776000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1226000,136000,168000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,123513000,126166000,4756000,3858000,2799000,117480000,5009000,3985000
58,Total Non-Current Liabilities,124739000,126302000,9924000,3858000,2799000,117480000,128593000,117761000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,123827000,137749000,132621000
61,Total Liabilities,157526000,180733000,92661000,122036000,182579000,362408000,388754000,408465000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,36000,37000,82000,100000,109000,122000,130000,137000
64,Retained Earnings,-73718000,-123735000,-166885000,-233450000,-301109000,-422653000,-517345000,-610604000
65,Other Comprehensive Income/Loss,-807000,-1267000,-1808000,-1636000,-1428000,-360000,2422000,-187000
66,Other Total Stockholders Equity,54000,29729000,162415000,316439000,386977000,624103000,722028000,822524000
67,Total Stockholders Equity,-74435000,-95236000,-6196000,81453000,84549000,201212000,207235000,211870000
68,Total Liabilities And Stockholders Equity,83091000,85497000,86465000,203489000,267128000,563620000,595989000,620335000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,83091000,85497000,86465000,203489000,267128000,563620000,595989000,620335000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1614178/000161417818000095/0001614178-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417819000075/0001614178-19-000075-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417820000078/0001614178-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417821000065/0001614178-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1614178/000161417822000014/0001614178-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-17273000,-26495000,-43150000,-66565000,-74837000,-121544000,-94692000,-93259000
74,Depreciation and Amortization,1193000,3106000,4082000,5123000,6813000,19193000,22815000,26079000
75,Deferred Income Tax,- -,-1057000,31000,-129000,-43000,- -,- -,- -
76,Stock Based Compensation,2903000,4507000,9851000,22360000,44233000,67770000,72294000,73480000
77,Change in Working Capital,-1106000,-27620000,-24633000,82772000,-11575000,82595000,-16861000,3626000
78,Accounts Receivable,-4952000,-12144000,-4117000,-17036000,-11601000,-26981000,-17990000,-6106000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1976000,-494000
81,Other Working Capital,31345000,3725000,-20908000,61864000,50289000,132884000,116023000,119649000
82,Other Non-Cash Items,57000,37034000,46076000,-75470000,40649000,-78782000,17648000,11923000
83,Cash Provided by Operating Activities,-14226000,-10525000,-7743000,-31909000,5240000,-30768000,1204000,21849000
84,CAPEX,-1922000,-9855000,-3803000,-3674000,-5270000,-11889000,-65111000,-13418000
85,Acquisitions Net,-5914000,-150000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-110644000,-52916000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,26195000,86320000,51197000,- -,- -
88,Other Investing Activites,-1922000,-9855000,-3803000,-3674000,-5270000,-11889000,-65111000,-13418000
89,Cash Used for Investing Activites,-7836000,-10005000,-3803000,-88123000,28134000,39308000,-65111000,-13418000
90,Debt Repayment,- -,- -,- -,-5000000,- -,- -,- -,- -
91,Common Stock Issued,- -,29481000,- -,123527000,- -,147000000,- -,- -
92,Common Stock Repurchased,- -,-28283000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,50362000,449000,5968000,11077000,24384000,21373000,22548000,24617000
95,Cash Used/Provided by Financing Activities,50362000,1647000,5968000,129604000,24384000,168373000,22548000,24617000
96,Effect of Forex Changes on Cash,-30000,-41000,-30000,375000,-370000,-492000,3594000,-2249000
97,Net Change In Cash,28270000,-18924000,-5608000,9947000,57388000,176421000,-37765000,30799000
98,Cash at the End of Period,48952000,30028000,24420000,34367000,91755000,268176000,230411000,261210000
99,Cash at the Beginning of Period,20682000,48952000,30028000,24420000,34367000,91755000,268176000,230411000
100,Free Cash Flow,-16148000,-20380000,-11546000,-35583000,-30000,-42657000,-63907000,8431000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1614178/000161417818000095/0001614178-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417819000075/0001614178-19-000075-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417820000078/0001614178-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/1614178/000161417821000065/0001614178-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1614178/000161417822000014/0001614178-22-000014-index.htm
102,false,,,,,,,,
