,https://roic.ai/company/INN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,185900000,185900000,185900000,27278000,51099000,70737000,85566000,87144000,87343000,99780000,103842000,103939000,104141000,104471000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497645/000115752312001101/0001157523-12-001101-index.html,https://www.sec.gov/Archives/edgar/data/1497612/000115752313001043/0001157523-13-001043-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000110465914022527/a14-4233_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465915015814/a15-1763_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465916099595/0001104659-16-099595-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764517000003/0001497645-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764518000005/0001497645-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764519000005/0001497645-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764520000003/0001497645-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764521000002/0001497645-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1497645/000149764522000003/0001497645-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18153435,8239225,7977418,10537132,13980000,46706000,38581000,29326000,34694000,36545000,44088000,42238000,20719000,64485000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18153435,8239225,7977418,10537132,13980000,46706000,38581000,29326000,34694000,36545000,44088000,42238000,20719000,64485000
34,Net Receivables,2622164,2608198,7285135,3424630,6211000,10352000,18460000,22240000,29392000,29341000,44678000,44217000,35464000,14476000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3849982,3171533,2930776,5732425,17239000,63271000,44315000,174817000,97325000,43337000,49392000,36864000,28365000,50617000
37,Total Current Assets,24625581,14018956,18193329,19694187,37430000,120329000,101356000,226383000,161411000,109223000,138158000,123319000,84548000,129578000
38,PP&E,461894270,482767601,466010777,519171211,- -,- -,- -,- -,- -,- -,- -,29884000,28420000,26942000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6122000,6254000,22764000,- -,11231000,11231000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6122000,6254000,22764000,- -,11231000,11231000,10834000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,17585000,12356000,30700000,30936000,- -,- -
43,Tax Assets,- -,- -,- -,2195820,3997000,49000,176000,112000,2503000,1616000,2046000,2138000,2000,49000
44,Other Non-Current Assets,8235170,21459874,8804424,12943776,769362000,1174098000,1357492000,1348337000,1530752000,2063915000,2051393000,2158175000,2108818000,2097499000
45,Total Non-Current Assets,470129440,504227475,474815201,534310807,773359000,1174147000,1357668000,1354571000,1557094000,2100651000,2084139000,2232364000,2148471000,2135324000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,494755021,518246431,493008530,554004994,810789000,1294476000,1459024000,1580954000,1718505000,2209874000,2222297000,2355683000,2233019000,2264902000
48,Accounts Payable,6944087,1582513,864560,1670994,5013000,7583000,7271000,2947000,4623000,7774000,5391000,4767000,2674000,4462000
49,Short-Term Debt,31797100,155828843,167214145,- -,- -,75000000,200000000,170000000,200000000,165000000,315000000,415000000,497500000,343500000
50,Tax Payable,- -,- -,- -,- -,8893000,10359000,13346000,12901000,11171000,16664000,19570000,21392000,17713000,17448000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,17426237,9182013,11863197,15781577,18985000,-47846000,-161938000,-127826000,-153120000,-108702000,-253992000,-359418000,34249000,50496000
53,Total Current Liabilities,56167424,166593369,179941902,17452571,23998000,34737000,45333000,45121000,51503000,64072000,66399000,60349000,534423000,398458000
54,Long-Term Debt,350826837,270353750,253223062,217103728,312613000,435589000,626533000,677096000,652414000,868236000,958712000,1016163000,615683000,743529000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,641000,1772000,1957000,1811000,1118000,190000,5042000,35781000,30850000,15723000
58,Total Non-Current Liabilities,350826837,270353750,253223062,217103728,313254000,437361000,628490000,678907000,653532000,868426000,963754000,1051944000,646533000,759252000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19604000,18438000,17232000
61,Total Liabilities,406994261,436947119,433164964,234556299,337252000,472098000,673823000,724028000,705035000,932498000,1030153000,1112293000,1180956000,1157710000
62,Preferred Stock,- -,- -,- -,20000,50000,84000,84000,84000,94000,128000,94000,94000,94000,104000
63,Common Stock,89385223,82923775,61468029,272780,462000,854000,861000,868000,935000,1043000,1048000,1052000,1057000,1063000
64,Retained Earnings,- -,- -,- -,- -,-31985000,-72577000,-107779000,-40635000,-1422000,9201000,4838000,-2283000,-179013000,-262639000
65,Other Comprehensive Income/Loss,-59361060,-79607953,-104796502,-11020151,-528000,-1379000,-1746000,-1666000,-977000,1451000,-1441000,-16034000,-30716000,-15639000
66,Other Total Stockholders Equity,59361060,79607953,104796502,288902331,468820000,882858000,888191000,894060000,1011412000,1262679000,1185310000,1190949000,1197320000,1225184000
67,Total Stockholders Equity,89385223,82923775,61468029,278174960,436819000,809840000,779611000,852711000,1010042000,1274502000,1189849000,1173778000,988742000,948073000
68,Total Liabilities And Stockholders Equity,496379484,519870894,494632993,512731259,774071000,1281938000,1453434000,1576739000,1715077000,2207000000,2220002000,2286071000,2169698000,2105783000
69,Minority Interest,-1624463,-1624463,-1624463,41273735,36718000,12538000,5590000,4215000,3428000,2874000,2295000,69612000,63321000,159119000
70,Total Liabilities & Equity,494755021,518246431,493008530,554004994,810789000,1294476000,1459024000,1580954000,1718505000,2209874000,2222297000,2355683000,2233019000,2264902000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497645/000115752312001101/0001157523-12-001101-index.html,https://www.sec.gov/Archives/edgar/data/1497612/000115752313001043/0001157523-13-001043-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000110465914022527/a14-4233_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465915015814/a15-1763_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465916099595/0001104659-16-099595-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764517000003/0001497645-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764518000005/0001497645-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764519000005/0001497645-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764520000003/0001497645-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764521000002/0001497645-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1497645/000149764522000003/0001497645-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,13078716,-16314332,-20920485,-2937092,-1076000,5878000,20871000,124437000,107805000,99214000,90921000,82610000,-143339000,-65573000
74,Depreciation and Amortization,23027566,24243567,27298178,29854930,34871000,53143000,65325000,64052000,72406000,85927000,101013000,99445000,109619000,105955000
75,Deferred Income Tax,- -,- -,- -,-2195820,-1801000,3948000,-127000,64000,-2391000,887000,-430000,-12000,2056000,-19000
76,Stock Based Compensation,- -,- -,- -,479559,1205000,2124000,3524000,4753000,4221000,5887000,6665000,6219000,6476000,10681000
77,Change in Working Capital,-1075942,-121032570,-9174160,163990189,11190384,72160000,-29569000,125239000,-71354000,-64757000,26608000,-8789000,-512845000,12586000
78,Accounts Receivable,570544,13966,-56878,-394554,-1424000,-1753000,-419000,-1727000,-2655000,-5032000,2787000,511000,1286000,-2701000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,53113,- -,5005000,9259000,1077000,714000,4479000,4104000,-424000,-314000,-1422000,1854000
81,Other Working Capital,-31541843,-152574413,-161748573,2241616,13432000,85592000,56023000,181262000,109908000,45151000,71759000,62970000,-449875000,- -
82,Other Non-Cash Items,-8220510,122210800,13219708,-165046192,-9686384,-64817000,42115000,-186329000,27248000,19765000,-63126000,-30995000,495981000,2421000
83,Cash Provided by Operating Activities,26809830,9107465,10423241,24145574,34703000,72436000,102139000,132216000,137935000,146923000,161651000,148478000,-42052000,66051000
84,CAPEX,-19533245,-21424293,-2769879,-83531100,- -,-2800000,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-8232000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,22999367,2370972,-395160,45556,-233005000,-464634000,-192316000,-131112000,-154443000,-515520000,-63057000,-182164000,-30710000,-74244000
89,Cash Used for Investing Activites,3466122,-19053321,-3165039,-83485544,-233005000,-467434000,-200548000,-131112000,-154443000,-515520000,-63057000,-182164000,-30710000,-74244000
90,Debt Repayment,-21852397,-7856256,-11903774,-268716007,-82312000,-497801000,-115829000,-550150000,-424545000,-452082000,-723098000,-302287000,-123748000,-351932000
91,Common Stock Issued,- -,- -,- -,288715552,178858000,381795000,- -,- -,161347000,318307000,- -,- -,- -,96617000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-75025000,-87724000,-839000,-469000,-77694000
93,Dividends Paid,- -,- -,-535261,-19206619,-23066000,-47594000,-56550000,-57602000,-66713000,-85635000,-92245000,-90783000,-34248000,-15521000
94,Other Financing Activites,1953485,7887902,4919026,61106758,128265000,591324000,262663000,597393000,401787000,664883000,811022000,424872000,200290000,414771000
95,Cash Used/Provided by Financing Activities,-19898912,31646,-7520009,61899684,201745000,427724000,90284000,-10359000,21876000,370448000,-92045000,30963000,41825000,66241000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10377040,-9914210,-261807,2559714,3443000,32726000,-8125000,-9255000,5368000,1851000,6549000,-2723000,-30937000,58048000
98,Cash at the End of Period,18153435,8239225,7977418,10537132,13980000,46706000,38581000,29326000,34694000,36545000,72556000,69833000,38896000,96944000
99,Cash at the Beginning of Period,7776395,18153435,8239225,7977418,10537000,13980000,46706000,38581000,29326000,34694000,66007000,72556000,69833000,38896000
100,Free Cash Flow,7276585,-12316828,7653362,-59385526,34703000,69636000,102139000,132216000,137935000,146923000,161651000,148478000,-42052000,66051000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1497645/000115752312001101/0001157523-12-001101-index.html,https://www.sec.gov/Archives/edgar/data/1497612/000115752313001043/0001157523-13-001043-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000110465914022527/a14-4233_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465915015814/a15-1763_110k.htm,https://www.sec.gov/Archives/edgar/data/1497645/000110465916099595/0001104659-16-099595-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764517000003/0001497645-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764518000005/0001497645-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764519000005/0001497645-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764520000003/0001497645-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1497645/000149764521000002/0001497645-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1497645/000149764522000003/0001497645-22-000003-index.htm
102,false,,,,,,,,,,,,,,
