,https://roic.ai/company/LTMAQ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,3326000,133938000,191335000,46252000,158542000,11506000,15707000,731497000,631052000,374407000,650263000,1984903000,989396000,753497000,949327000,1142004000,1081642000,1072579000,1695841000,1046835000
32,Short-Term Investments,- -,- -,- -,- -,- -,30619000,85025000,113290000,112983000,60069000,147952000,394307000,60415000,- -,196484000,477538000,581493000,547226000,613782000,683659000,479684000,330962000,386688000,43472000,70857000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,33945000,218963000,304625000,159235000,218611000,159458000,410014000,791912000,631052000,570891000,1127801000,2566396000,1536622000,1367279000,1632986000,1621688000,1412604000,1459267000,1739313000,1117692000
34,Net Receivables,- -,- -,- -,- -,- -,165014000,168662000,184188000,313131000,361277000,468527000,511699000,492197000,481400000,538244000,1662046000,1841383000,1639161000,1023601000,1276671000,1434960000,1486269000,1484628000,763368000,1029035000
35,Inventory,- -,- -,- -,- -,- -,35385000,33391000,35323000,37283000,46827000,58097000,50609000,46563000,53193000,72787000,181283000,231028000,266039000,224908000,241363000,236666000,279344000,354232000,323574000,287337000
36,Other Current Assets,- -,- -,- -,- -,- -,181495000,65696000,66652000,69576000,79593000,407821000,378709000,78299000,367424000,161429000,376484000,340742000,192802000,207113000,475755000,452185000,128145000,720101000,317283000,201066000
37,Total Current Assets,- -,- -,- -,- -,- -,415839000,486712000,590788000,579225000,706308000,1093903000,1351031000,1408971000,1533069000,1343351000,3347614000,4979549000,3634624000,2822901000,3626775000,3745499000,3306362000,4018228000,3143538000,2635130000
38,PP&E,- -,- -,- -,- -,- -,1026434000,1009507000,978974000,1252270000,1876027000,2351605000,3093368000,4196556000,4948430000,5927982000,11797889000,10982786000,10773076000,10938657000,10498149000,10065335000,9953365000,12919618000,10730269000,9489867000
39,Goodwill,- -,- -,- -,- -,- -,47870000,45071000,42470000,44751000,43469000,36022000,32412000,- -,157994000,163777000,2948462000,3727605000,3313401000,2280575000,2710382000,2672550000,2294072000,2209576000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98607000,45749000,64923000,1848593000,2093308000,1880079000,1321425000,1610313000,1617247000,1441072000,-527035000,1046559000,1018892000
41,Intangible Assets,- -,- -,- -,- -,- -,47870000,45071000,42470000,44751000,43469000,36022000,32412000,98607000,203743000,228700000,4797055000,5820913000,5193480000,3602000000,4320695000,4289797000,3735144000,- -,1046559000,1018892000
42,Investments,- -,- -,- -,- -,- -,43926000,43399000,174334000,224937000,239698000,317925000,210402000,1236000,593000,22824000,10143000,10239000,3715000,30975000,45279000,46513000,21064000,15632000,11642000,12864000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10652000,38084000,60148000,144629000,402962000,407323000,376595000,384580000,364021000,273327000,- -,564816000,15290000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,51371000,43825000,42663000,44600000,63287000,102287000,217648000,55950000,61978000,65654000,435742000,434697000,472212000,330290000,322716000,286807000,277515000,4134328000,153266000,140391000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1169601000,1141802000,1238441000,1566558000,2222481000,2807839000,3553830000,4363001000,5252828000,6305308000,17185458000,17651597000,16849806000,15278517000,15571419000,15052473000,14260415000,17069578000,12506552000,10677304000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,1585440000,1628514000,1829229000,2145783000,2928789000,3901742000,4904861000,5771972000,6785897000,7648659000,20533072000,22631146000,20484430000,18101418000,19198194000,18797972000,17566777000,21087806000,15650090000,13312434000
48,Accounts Payable,- -,- -,- -,- -,- -,158294000,172488000,224057000,236212000,260947000,322897000,361620000,377735000,645571000,531848000,1036710000,969765000,940547000,840598000,869102000,1097300000,904952000,145973000,916621000,979307000
49,Short-Term Debt,- -,- -,- -,- -,- -,65363000,67150000,72915000,86974000,141949000,164113000,214901000,385421000,495261000,537334000,1977255000,1969281000,1397382000,1510146000,1814647000,1288749000,1397156000,1835288000,3050059000,4447780000
50,Tax Payable,- -,- -,- -,- -,- -,- -,35000,- -,- -,- -,- -,- -,11287000,- -,- -,115481000,76453000,74929000,40968000,41153000,35108000,24164000,22036000,12196000,9461000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542832000,810524000,969873000,1909896000,2739125000,2565391000,2423703000,2655086000,2690961000,2330058000,2952152000,2036880000,2273137000
52,Other Current Liabilities,- -,- -,- -,- -,- -,235539000,266774000,284953000,361229000,473387000,635595000,802506000,217351000,192663000,283024000,856428000,830936000,926412000,866525000,883356000,765704000,936586000,2027529000,1488328000,4636105000
53,Total Current Liabilities,- -,- -,- -,- -,- -,459196000,506412000,581925000,684415000,876283000,1122605000,1379027000,1523339000,2144019000,2322079000,5780289000,6509107000,5829732000,5640972000,6222191000,5842714000,5568752000,6960942000,7491888000,12336329000
54,Long-Term Debt,- -,- -,- -,- -,- -,728884000,648472000,552900000,714674000,1227093000,- -,1902416000,2389521000,2875714000,2978973000,4966378000,5900873000,6016165000,6500478000,6035952000,5769927000,4664816000,4635694000,4648956000,5948702000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101259000,77513000,355353000,272130000,213781000,158305000,644702000,- -,702008000,512056000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,22399000,42018000,71303000,95576000,126886000,169885000,228232000,240619000,312012000,369625000,589059000,767228000,1051894000,811565000,915759000,949697000,872121000,- -,384280000,341011000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,62173000,74939000,184846000,145032000,67896000,1616011000,271487000,512567000,154092000,520610000,3927271000,4049966000,2727591000,1938725000,1625207000,1810093000,2069610000,- -,4865343000,1241240000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,813456000,765429000,809049000,955282000,1421875000,1785896000,2402135000,3142707000,3341818000,3869208000,9583967000,10795580000,10151003000,9522898000,8790699000,8688022000,8251249000,4635694000,10600587000,8043009000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15633381000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,14763000,11079000,231118000,195021000,219503000,295728000,242548000,- -,- -,- -,3087820000,2326252000,1709034000,1340638000,1022361000,1109505000,1624854000,4903000000,4735507000,4149820000
61,Total Liabilities,- -,- -,- -,- -,- -,1272652000,1271841000,1390974000,1639697000,2298158000,2908501000,3781162000,4666046000,5485837000,6191287000,15364256000,17304687000,15980735000,15163870000,15012890000,14530736000,13820001000,17958629000,18092475000,20379338000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,134303000,134303000,134303000,134303000,134303000,453444000,453444000,453444000,453444000,473907000,1501018000,2389384000,2545705000,2545705000,3149564000,3146265000,3146265000,3160718000,3146265000,3146265000
64,Retained Earnings,- -,- -,- -,- -,- -,171939000,215641000,300254000,368410000,492017000,534660000,662785000,742704000,949214000,1116798000,1106168000,795303000,536190000,317950000,366404000,475118000,597675000,352272000,-4193615000,-8841106000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-262044000,-320070000,-1353863000,-443710000,-589457000,-698719000,-803230000,-1319341000,-1593953000,-153873000,2535100000,2054312000,1320179000,-6942000,580870000,554884000,-76926000,-367577000,-1388185000,-1361529000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,264664000,322690000,1353863000,443710000,589457000,698667000,804979000,1222020000,1488109000,8492000,-203000,-178000,-178000,-178000,-178000,-178000,-178000,-14631000,-178000,-178000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,308862000,352564000,434557000,502713000,626320000,988052000,1117978000,1098827000,1296814000,1445324000,5142083000,5238821000,4401896000,2856535000,4096660000,4176089000,3666836000,3130782000,-2435713000,-7056548000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1581514000,1624405000,1825531000,2142410000,2924478000,3896553000,4899140000,5764873000,6782651000,7636611000,20506339000,22543508000,20382631000,18020405000,19109550000,18706825000,17486837000,21089411000,15656762000,13322790000
69,Minority Interest,- -,- -,- -,- -,- -,3926000,4109000,3698000,3373000,4311000,5189000,5721000,7099000,3246000,12048000,26733000,87638000,101799000,81013000,88644000,91147000,79940000,-1605000,-6672000,-10356000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1585440000,1628514000,1829229000,2145783000,2928789000,3901742000,4904861000,5771972000,6785897000,7648659000,20533072000,22631146000,20484430000,18101418000,19198194000,18797972000,17566777000,21087806000,15650090000,13312434000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,64100000,31000000,47582000,48386000,10842000,30808000,83555000,163552000,146601000,241300000,308323000,335739000,231126000,419702000,320197000,10956000,-281114000,-259985000,-219274000,69220000,155304000,181935000,190430000,-4545887000,-4647491000
74,Depreciation and Amortization,-16200000,-32200000,37652000,-42035000,-51439000,-67817000,-72631000,-77443000,-80456000,-122802000,146790000,177923000,- -,- -,404672000,- -,1041733000,991264000,- -,- -,- -,- -,1232395000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-4300000,34300000,30961000,29905000,89890000,24576000,88864000,101788000,52336000,64530000,257344000,50653000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,-31700000,1700000,-3577000,-32226000,36098000,-15045000,7474000,45099000,-26083000,-47099000,- -,4231000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-5200000,7400000,4323000,-483000,-7957000,-1824000,1958000,-8967000,-9526000,-9175000,-9345000,4803000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,41100000,25100000,55286000,71041000,63272000,65048000,23745000,47080000,99843000,160734000,- -,21151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39930000,110398000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,59400000,83000000,-3932000,97961000,106264000,151258000,135946000,158856000,158456000,307226000,-5439000,164814000,614701000,716733000,-724869000,1192856000,648079000,600160000,1934749000,922906000,1511436000,-181935000,-1422825000,4545887000,4647491000
83,Cash Provided by Operating Activities,103000000,116100000,112263000,134217000,155557000,138825000,235734000,346753000,276937000,490254000,707018000,729129000,845827000,1125337000,- -,1203812000,1408698000,1331439000,1715475000,992126000,1666740000,- -,- -,- -,- -
84,CAPEX,-178400000,-373900000,-140800000,-145566000,-341271000,-192627000,-64756000,-126911000,-592410000,-920429000,-839851000,-831701000,-538576000,-1048394000,-1394640000,-2448530000,-1425270000,-1496204000,-1622198000,-782957000,-490984000,-756913000,-1416794000,-399697000,-675763000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-126911000,-592410000,- -,- -,- -,-1792000,-10509000,43796000,-3223000,-5517000,518000,- -,- -,6503000,69724000,- -,- -,752000
86,Purchases of Investments,- -,- -,- -,- -,-12227000,-4139000,-69775000,-129464000,-122583000,-30295000,- -,-2607000,-71871000,-60000000,-72000,- -,-440801000,-474656000,-704115000,-2706733000,-3106411000,-3548239000,-4131890000,-1140940000,-208000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7944000,4139000,8693000,51725000,77981000,28057000,- -,21219000,3051000,12915000,9201000,386379000,270485000,524370000,519460000,2969731000,3248693000,3645608000,4063582000,1464012000,35000
88,Other Investing Activites,-23000000,-1200000,22531000,-6848000,2702000,73907000,5485000,178692000,669000000,16921000,-4467000,-18981000,19520000,-13688000,75843000,79792000,278807000,491108000,15335000,-11659000,-32541000,135244000,-74278000,34800000,44013000
89,Cash Used for Investing Activites,-201400000,-375100000,-118269000,-152414000,-342852000,-118720000,-120353000,-152869000,-560422000,-905746000,-844318000,-832070000,-589668000,-1100440000,-1238257000,-1926416000,-1278812000,-899105000,-1739069000,-443031000,-287422000,-358370000,-1419207000,33608000,-542653000
90,Debt Repayment,-344700000,-207700000,-123540000,-30309000,-32246000,-120646000,-75178000,-43725000,-35481000,-223415000,- -,-102644000,-324563000,-608573000,-943392000,-832263000,-2375118000,-2709251000,-1606407000,-2435710000,-2174092000,-1738349000,-2259447000,-915774000,-566414000
91,Common Stock Issued,64000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23153000,83512000,888949000,160982000,- -,608496000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-25800000,-19200000,-13192000,-10447000,-14539000,-1454000,-49101000,-81577000,-43536000,-84910000,-210868000,-222803000,-139937000,-155407000,-192133000,-124827000,-29694000,-35362000,-35032000,-41223000,-66642000,-72620000,-55116000,-571000,- -
94,Other Financing Activites,419700000,471300000,175522000,87956000,236295000,186763000,7229000,-9466000,256905000,812042000,594287000,384207000,563690000,639251000,1331515000,1878977000,2721658000,1263405000,1513079000,1472158000,1061646000,758760000,971042000,2037174000,676056000
95,Cash Used/Provided by Financing Activities,113200000,244400000,38790000,47200000,189510000,64663000,-117050000,-134768000,177888000,503717000,383419000,58760000,99190000,-124729000,219143000,1005196000,1205795000,-1320226000,-128360000,-396279000,-1179088000,-1052209000,-1343521000,1120829000,109642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1525000,-24824000,-613000,-105000,-6736000,-1041000,-107615000,-83945000,43014000,-7553000,-166713000,-73002000,-36478000,-31896000
97,Net Change In Cash,14800000,-14500000,32784000,29003000,2215000,84768000,-1669000,59116000,-105597000,88225000,246119000,-44181000,330525000,-100445000,-256645000,275856000,1334640000,-995507000,-235899000,195830000,192677000,-60362000,-9063000,623262000,-649006000
98,Cash at the End of Period,25200000,10700000,43435000,72438000,74653000,159421000,157752000,216868000,111271000,199496000,445615000,401434000,731497000,631052000,374407000,650263000,1984903000,989396000,753497000,949327000,1142004000,1081642000,1072579000,1695841000,1046835000
99,Cash at the Beginning of Period,10400000,25200000,10651000,43435000,72438000,74653000,159421000,157752000,216868000,111271000,199496000,445615000,400972000,731497000,631052000,374407000,650263000,1984903000,989396000,753497000,949327000,1142004000,1081642000,1072579000,1695841000
100,Free Cash Flow,-75400000,-257800000,-28537000,-11349000,-185714000,-53802000,170978000,219842000,-315473000,-430175000,-132833000,-102572000,307251000,76943000,-632066000,-1244718000,-16572000,-164765000,93277000,209169000,1175756000,760017000,1409873000,-894394000,-859862000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
