,https://roic.ai/company/SRRA,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,624000,349000,223000,319000,549000,729000,647000,1045000
45,Total Non-Current Assets,1000,840000,915000,623000,473000,717000,1431000,1017000,1974000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2460000,40565000,152768000,110973000,102198000,109469000,151328000,107487000,109367000
48,Accounts Payable,165000,622000,358000,2604000,1339000,1287000,1019000,2205000,2158000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,187000,207000,368000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,733000,1473000,7039000,5121000,6133000,8812000,63403000,6941000,10358000
53,Total Current Liabilities,898000,2095000,7397000,7725000,7472000,10099000,64609000,9353000,12884000
54,Long-Term Debt,412000,- -,- -,- -,- -,4891000,374000,175000,485000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,451000,1910000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,863000,1910000,- -,- -,- -,4891000,374000,175000,485000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,561000,382000,853000
61,Total Liabilities,1761000,4005000,7397000,7725000,7472000,14990000,64983000,9528000,13369000
62,Preferred Stock,36548000,144375000,- -,- -,- -,- -,1000,- -,- -
63,Common Stock,1000,2000,30000,30000,52000,74000,74000,11000,16000
64,Retained Earnings,-34691000,-107807000,-534187000,-582054000,-624077000,-677412000,-765687000,-846589000,-941248000
65,Other Comprehensive Income/Loss,-3000,-14000,-122000,-252000,-275000,-361000,-443000,- -,- -
66,Other Total Stockholders Equity,-1156000,4000,679650000,685524000,719026000,772178000,852400000,944537000,1037230000
67,Total Stockholders Equity,699000,36560000,145371000,103248000,94726000,94479000,86345000,97959000,95998000
68,Total Liabilities And Stockholders Equity,2460000,40565000,152768000,110973000,102198000,109469000,151328000,107487000,109367000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2460000,40565000,152768000,110973000,102198000,109469000,151328000,107487000,109367000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1290149/000119312516490742/0001193125-16-490742-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312517066582/0001193125-17-066582-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312518059374/0001193125-18-059374-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312519055556/0001193125-19-055556-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312520059703/0001193125-20-059703-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000156459021012234/0001564590-21-012234-index.htm,https://www.sec.gov/Archives/edgar/data/1290149/000156459022009473/0001564590-22-009473-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6832000,-23873000,-53260000,-47867000,-42015000,-53335000,-88275000,-80902000,-94659000
74,Depreciation and Amortization,1000,12000,111000,197000,258000,111000,83000,238000,305000
75,Deferred Income Tax,- -,-2000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,22000,302000,3186000,5510000,5905000,6796000,5695000,9470000,12890000
77,Change in Working Capital,218000,36069000,106826000,-41831000,-8372000,4400000,-1975000,795000,2539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-89000,186000,6000,2246000,-1217000,-48000,-277000,1194000,-109000
81,Other Working Capital,1561000,37630000,144456000,102625000,94253000,98653000,- -,- -,- -
82,Other Non-Cash Items,3019000,-34294000,-85128000,42828000,8061000,-3087000,33289000,18032000,-39000
83,Cash Provided by Operating Activities,-3572000,-21786000,-28265000,-41163000,-36163000,-45115000,-51183000,-52367000,-78964000
84,CAPEX,-2000,-187000,-414000,-214000,-93000,-118000,-39000,-12000,-72000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-10020000,-21000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,10031000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-75000,-150000,68000,13000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2000,-10282000,9446000,-146000,-80000,-118000,-39000,-12000,-72000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-5438000,- -,- -
91,Common Stock Issued,- -,- -,147270000,- -,27422000,45996000,97731000,8901000,78151000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-5543000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4689000,58793000,-1851000,196000,166000,5135000,445000,- -,1657000
95,Cash Used/Provided by Financing Activities,4689000,58793000,139876000,196000,27588000,51131000,92738000,8901000,79808000
96,Effect of Forex Changes on Cash,- -,- -,-31000,-60000,-4000,-88000,-34000,5000,-78000
97,Net Change In Cash,1115000,26725000,121026000,-41173000,-8659000,5810000,41482000,-43473000,694000
98,Cash at the End of Period,2429000,29154000,150180000,109007000,100348000,106346000,147828000,104355000,105049000
99,Cash at the Beginning of Period,1314000,2429000,29154000,150180000,109007000,100536000,106346000,147828000,104355000
100,Free Cash Flow,-3574000,-21973000,-28679000,-41377000,-36256000,-45233000,-51222000,-52379000,-79036000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1290149/000119312516490742/0001193125-16-490742-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312517066582/0001193125-17-066582-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312518059374/0001193125-18-059374-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312519055556/0001193125-19-055556-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000119312520059703/0001193125-20-059703-index.html,https://www.sec.gov/Archives/edgar/data/1290149/000156459021012234/0001564590-21-012234-index.htm,https://www.sec.gov/Archives/edgar/data/1290149/000156459022009473/0001564590-22-009473-index.htm
102,false,,,,,,,,,
