,https://roic.ai/company/M&M.NS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,6286255000,12047661000,10223004000,13689000000,34165600000,48098300000,51203200000,149820300000,201640600000,254970100000,286965700000,326560000000,367545900000,438037200000,553950500000,617070600000,642791100000
45,Total Non-Current Assets,26508657000,38103070000,58237552000,90119800000,127467700000,153301600000,215681800000,348585400000,424496900000,486758300000,550938700000,616779000000,659392900000,781348900000,939855300000,1029612300000,943245800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,93522238000,135422832000,198633592000,259405100000,313216300000,356463800000,501621800000,638691800000,764697900000,882702600000,948439800000,1082228900000,1148256100000,1372109100000,1633915700000,1670066600000,1664624900000
48,Accounts Payable,15117702000,21398540000,33760851000,37052400000,51044900000,45682200000,77531800000,100434800000,119002800000,117998400000,113552000000,136276200000,155446000000,182873400000,209921700000,149853500000,155057900000
49,Short-Term Debt,2459764000,3044581000,3408388000,3542900000,3547100000,3498900000,4789200000,28896300000,88507900000,96750400000,155844300000,188734300000,101240800000,220887400000,273221300000,302689600000,257182700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2944200000,4041100000,2736700000,3009900000,4388200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,7559101000,9147410000,14823184000,26227300000,29365100000,37375800000,48668100000,89755400000,53522600000,60834800000,67931700000,75560700000,142144300000,87734600000,104290300000,87552100000,102219500000
53,Total Current Liabilities,25136567000,33590531000,51992423000,66822600000,83957100000,86556900000,130989100000,219086500000,261033300000,275583600000,337328000000,400571200000,398831100000,491495400000,587433300000,540095200000,514460100000
54,Long-Term Debt,37945243000,52713440000,78290267000,98810100000,121903100000,134858500000,170680800000,160398600000,198602600000,254917500000,223270300000,250963000000,301573300000,338091800000,435261700000,522980500000,549065600000
55,Deferred Revenue,1603092000,2220964000,3195120000,4779500000,6358900000,8040700000,12373900000,- -,12531100000,13930700000,15086600000,16893200000,19964800000,21441100000,50428900000,53503700000,47660000000
56,Deferred Tax Liabilities,1353396000,1156570000,- -,- -,- -,482100000,1370800000,7226200000,8935000000,12019700000,12868300000,15520300000,17874500000,15874200000,21713100000,15118900000,14941600000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,19400000,- -,39026800000,31019200000,35851500000,42400500000,48814500000,49063500000,54950000000,55638900000,61757800000,31975300000
58,Total Non-Current Liabilities,40901731000,56090974000,81485387000,103589600000,128262000000,143400700000,184425500000,206651600000,251087900000,316719400000,293625700000,332191000000,388476100000,430357100000,563042600000,653360900000,643642500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27735500000,26664600000
61,Total Liabilities,66038298000,89681505000,133477810000,170412200000,212219100000,229957600000,315414600000,425738100000,512121200000,592303000000,630953700000,732762200000,787307200000,921852500000,1150475900000,1193456100000,1158102600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1116479000,2333996000,2380327000,2390700000,2726200000,2829500000,2936200000,2945200000,2951600000,2951600000,2957000000,2963200000,2708900000,5431300000,5439600000,5542800000,5551500000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,122694900000,147694900000,170569700000,192269800000,- -,278236200000,307569900000,309080500000,336679600000
65,Other Comprehensive Income/Loss,-15507903000,-20402268000,-35843244000,- -,- -,-56324200000,-141011900000,-161826700000,-183571600000,-196295200000,-213466100000,-244824100000,-241390400000,-272581600000,-291931400000,-332017900000,- -
66,Other Total Stockholders Equity,38241208000,55284531000,82023882000,59257000000,67698400000,155377400000,280916500000,326583600000,257532100000,278717300000,298503200000,335787500000,536061400000,356666000000,378756000000,417087700000,73588100000
67,Total Stockholders Equity,23849784000,37216259000,48560965000,61647700000,70424600000,101882700000,142840800000,167702100000,199607000000,233068600000,258563800000,286196400000,297379900000,367751900000,399834100000,399693100000,415819200000
68,Total Liabilities And Stockholders Equity,89888082000,126897764000,182038775000,232059900000,282643700000,331840300000,458255400000,593440200000,711728200000,825371600000,889517500000,1018958600000,1084687100000,1289604400000,1550310000000,1593149200000,1573921800000
69,Minority Interest,3634156000,8525068000,16594817000,27345200000,30572600000,24623500000,43366400000,45251600000,52969700000,57331000000,58922300000,63270300000,63569000000,82504700000,83605700000,76917400000,90703100000
70,Total Liabilities & Equity,93522238000,135422832000,198633592000,259405100000,313216300000,356463800000,501621800000,638691800000,764697900000,882702600000,948439800000,1082228900000,1148256100000,1372109100000,1633915700000,1670066600000,1664624900000
71,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,6815378000,12697166000,14971459000,15711200000,14054100000,24785600000,30797300000,30599200000,40992000000,46669300000,31374700000,32112600000,36980400000,75103900000,53154600000,1270400000,18124900000
74,Depreciation and Amortization,2423840000,2928169000,3891501000,5866300000,7651400000,8834500000,10094700000,19406500000,20845500000,21749500000,21275800000,26123000000,29415100000,32799000000,39907700000,49762900000,43988900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,982800000,766600000,515100000,1133300000,1707000000,1120000000,1430400000,1744700000,1328400000
77,Change in Working Capital,-11761563000,-17411925000,-17113241000,-13504500000,9260500000,-11475200000,-65918800000,-48585400000,-68039400000,-70554200000,-36975600000,-42375800000,-58408000000,-68133000000,-125222300000,-69684500000,121711900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-3602496000,-2891631000,-4456409000,-7033400000,1779400000,-2783400000,-9477400000,-17716900000,-13022100000,-777800000,-624600000,-12754400000,2125900000,-2563200000,-22762000000,13163600000,2257400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-828332000,-2802147000,-3373989000,-1084300000,3049000000,5842700000,1765800000,-807200000,-3997600000,-1068600000,-5641400000,-7286200000,-9036100000,-34071300000,-12743300000,2397200000,-6065800000
83,Cash Provided by Operating Activities,-3350677000,-4588737000,-1624270000,6988700000,34015000000,27987600000,-23261000000,613100000,-9216700000,-2437400000,10548600000,9706900000,658400000,6818600000,-43472900000,-14509300000,179088300000
84,CAPEX,-4372014000,-5252914000,-13745821000,-19723000000,-29413300000,-26998600000,-8077500000,-33370200000,-32913900000,-36652800000,-47589300000,-43342700000,-50261500000,-59057800000,-73400100000,-68960200000,-59894900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-36295315000,-53964280000,-97525013000,-163072700000,-201489700000,-238231100000,-274127800000,-250936900000,-462055000000,-666458300000,-806037300000,-883305200000,-1321727400000,-1573392000000,-1992253400000,-2019094800000,-1670415200000
87,Sales/Maturities of Investments,35664750000,47715368000,99296566000,159370000000,196928100000,208692300000,275804400000,247796400000,456761300000,647890300000,799335200000,867649800000,1316041900000,1565637500000,1981481900000,2007149900000,1525167000000
88,Other Investing Activites,1830730000,2683660000,759416000,-4270200000,-458000000,9279300000,6425600000,5702500000,10331500000,10323500000,9850700000,6614400000,-893400000,12133000000,12489900000,11896800000,20675500000
89,Cash Used for Investing Activites,-3171849000,-8818166000,-11214852000,-27695900000,-34432900000,-47258100000,24700000,-30808200000,-27876100000,-44897300000,-44440700000,-52383700000,-56840400000,-54679300000,-71681700000,-69008300000,-184467600000
90,Debt Repayment,-23026145000,-56218280000,-139447969000,-303762300000,-58114600000,-583224600000,-365335300000,-400470300000,-543921700000,-532646900000,-450844000000,-940977500000,-700218300000,-602135300000,-565738200000,-438385200000,-357720900000
91,Common Stock Issued,- -,- -,- -,- -,- -,724000000,86800000,- -,- -,1839000000,26000000,- -,121900000,44100000,10000000,12430400000,5800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1282522000,-1780781000,-5022428000,-1317200000,-3717800000,-3671300000,-7399000000,-9002700000,-9973000000,-10942000000,-11996400000,-10679400000,-9359400000,-8457300000,-9374600000,-11350900000,-2643300000
94,Other Financing Activites,36566766000,72681124000,165669090000,321981100000,73897700000,604600200000,387018000000,452029200000,598977600000,597523700000,479508200000,991371500000,768372900000,673693500000,707039100000,506633200000,364420700000
95,Cash Used/Provided by Financing Activities,12258099000,14682063000,21198693000,16901600000,12065300000,18428300000,14370500000,42556200000,45082900000,55773800000,16693800000,39714600000,58917100000,63145000000,131936300000,69327500000,4062300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1157500000,- -,- -,- -,900000,7100000,-58000000,250400000,140500000
97,Net Change In Cash,5735573000,1663072000,9051219000,-2994900000,11674000000,-2057100000,-5281800000,12611100000,6839600000,8100400000,-19124100000,-2076500000,4157700000,15291400000,16723700000,-13939700000,-13704400000
98,Cash at the End of Period,10137253000,11800325000,20851544000,17856700000,29530700000,27473600000,22191800000,34802900000,38228400000,46328800000,27204700000,27920200000,29374900000,44666300000,61390000000,47450300000,33745900000
99,Cash at the Beginning of Period,4401680000,10137253000,11800325000,20851600000,17856700000,29530700000,27473600000,22191800000,31388800000,38228400000,46328800000,29996700000,25217200000,29374900000,44666300000,61390000000,47450300000
100,Free Cash Flow,-7722691000,-9841651000,-15370091000,-12734300000,4601700000,989000000,-31338500000,-32757100000,-42130600000,-39090200000,-37040700000,-33635800000,-49603100000,-52239200000,-116873000000,-83469500000,119193400000
101,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
