,https://roic.ai/company/KREF,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,4716927000,6265403000,7386470000,5215667000,5040713000,4965612000,6703239000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1631596/000163159618000003/0001631596-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159619000005/0001631596-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159620000006/0001631596-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159621000013/0001631596-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159622000012/0001631596-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,16763000,31157000,59062000,89744000,89965000,54397000,137183000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,15731000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,65000,1973000,4091000,5676000,7427000
77,Change in Working Capital,-145000,- -,-5185407000,4149829000,1062195000,-26617000,6603461000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3070000,-6870000,-6281000,1765000,-647000,1619000,621000
81,Other Working Capital,- -,- -,-5185407000,-1035578000,26617000,- -,6603461000
82,Other Non-Cash Items,-5076000,-5751000,5180081000,-4164716000,-1064538000,81606000,-6639009000
83,Cash Provided by Operating Activities,11542000,25406000,53801000,76830000,91713000,115062000,124793000
84,CAPEX,-274000,-455000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-23887000,-10240000,- -,- -,-94007000,- -,- -
87,Sales/Maturities of Investments,- -,- -,37310000,- -,94071000,- -,-5126000
88,Other Investing Activites,-340420000,-446208000,-1120987000,-1997213000,-926378000,88709000,-1535710000
89,Cash Used for Investing Activites,-364307000,-456448000,-1083677000,-1997213000,-926314000,88709000,-1540836000
90,Debt Repayment,- -,-198726000,-460432000,-1314812000,-2284819000,-1332822000,-2487673000
91,Common Stock Issued,256825000,210004000,581255000,109500000,- -,- -,120711000
92,Common Stock Repurchased,- -,- -,-648000,-31347000,-4106000,-25061000,- -
93,Dividends Paid,-7560000,-21924000,-50716000,-89233000,-99546000,-97085000,-95680000
94,Other Financing Activites,130225000,511248000,967591000,3229286000,3204160000,1294410000,4041623000
95,Cash Used/Provided by Financing Activities,379490000,500602000,1037050000,1903394000,815689000,-160558000,1578981000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26725000,69560000,7174000,-16989000,-18912000,43213000,- -
98,Cash at the End of Period,26786000,96346000,103520000,86531000,67619000,110832000,- -
99,Cash at the Beginning of Period,61000,26786000,96346000,103520000,86531000,67619000,- -
100,Free Cash Flow,11268000,24951000,53801000,76830000,91713000,115062000,124793000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1631596/000163159618000003/0001631596-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159619000005/0001631596-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159620000006/0001631596-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159621000013/0001631596-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1631596/000163159622000012/0001631596-22-000012-index.htm
102,false,,,,,,,
