,https://roic.ai/company/PTN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,82547,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-100000,300000,804092,658092,1647570,491456,603005,1883158,1512296,1323446,732198,729364,736701,604787,324992,58131,57308,155279,146428,56916,338916,179916,56916,56916
45,Total Non-Current Assets,178901,1000000,1600000,1800000,2377232,2583054,4064069,3890637,3537744,8347482,7860001,7393672,5860274,4380147,3125066,1910118,643645,324546,218056,278437,244229,255069,502951,321455,1463264,1389546
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7041205,14100000,6500000,4700000,8885397,14244209,12358216,22721134,24379087,35166270,40047287,42781234,19124924,13199811,12388877,21172853,5380484,25074099,12559054,29474452,11051735,56833273,39016810,104735136,85053750,67296587
48,Accounts Payable,214424,300000,500000,1100000,1012070,1129660,1579336,1344789,2019970,4773297,3092962,1120894,635183,206363,155795,496908,294894,338726,261280,1106484,713890,1551367,2223693,504787,715672,640650
49,Short-Term Debt,1411695,900000,900000,- -,- -,- -,- -,188015,33491,11269,86564,216841,263128,- -,- -,- -,- -,- -,- -,- -,5485392,7824935,5948763,332896,312784,351853
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,166666,794018,407420,242000,3790828,3995575,4864833,1666669,6995553,- -,46105,37217,- -,1000000,- -,- -,35050572,- -,- -,- -,- -
52,Other Current Liabilities,733281,1500000,1100000,1300000,968166,1004405,1298083,2047882,2666783,4471276,5270328,3362137,2434137,1468416,2239136,2263024,3124889,1721636,1508958,6249354,7795157,10535422,2590509,3348209,2899097,9519285
53,Total Current Liabilities,2359400,2700000,2500000,2400000,1980236,2300731,3671437,3988106,4962244,13046670,12445429,9564705,4999117,8670332,2394931,2806037,3457000,2060362,2770238,7355838,13994439,54962296,10762965,4185892,3927553,10511788
54,Long-Term Debt,1843598,900000,- -,2000000,- -,27778,- -,76432,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9781086,14189809,6281660,332898,- -,953348,900520
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1182026,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,700000,600000,- -,- -,- -,- -,- -,30203,12894352,9302077,14684841,7573643,33954,675673,175041,92586,35460,- -,133053,453454,753961,456038,- -,- -,6232907
58,Total Non-Current Liabilities,1843598,1600000,600000,2000000,- -,27778,- -,76432,30203,12894352,9302077,14684841,7573643,1215980,675673,175041,92586,35460,- -,9914139,14643263,7035621,1288936,- -,953348,7133427
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,30203,18934,229585,275126,121629,121629,33954,77109,42186,19909,- -,67620,41748,14324,- -,- -,1266132,1252373
61,Total Liabilities,4202998,4300000,3100000,4400000,1980236,2328509,3671437,4064538,4992447,25941022,21747506,24249546,12572760,9886312,3070604,2981078,3549586,2095822,2770238,17269977,28637702,61997917,12051901,4185892,4880901,17645215
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,149,117,114,100,50,50,50,50,50,50,47,47,47,40,40,40,40,40,40
63,Common Stock,115388,- -,- -,100000,79024,111997,174231,429941,527906,542365,708785,851269,855241,866629,117028,349006,349006,391169,394166,571284,685680,1605153,2005542,2268154,2292584,2300497
64,Retained Earnings,-8132938,-13400000,-23300000,-35300000,-43505802,-54105039,-70243616,-90808827,-117126686,-131484662,-160443544,-188195069,-202579438,-207381670,-209174178,-221990107,-239243285,-260105459,-274033753,-291699316,-343412252,-356743785,-332045906,-295772879,-318198902,-351795397
65,Other Comprehensive Income/Loss,- -,-200000,-500000,-700000,-914846,-1192923,-2335895,-2905148,-3567132,-3955732,-5218518,-6619680,-8012757,-9230756,-10500169,-11491854,-8244780,-1976390,-2088296,-2205886,-2248938,-2281989,-2338558,-2388644,-2452845,- -
66,Other Total Stockholders Equity,10855757,23400000,27200000,36200000,51246785,67101665,81092059,111940481,139552435,144123163,183252958,212495118,216289068,219059246,228875542,251324680,248969907,284668910,285516652,305538346,327389503,352255937,359343791,396442573,398531972,399146232
67,Total Stockholders Equity,2838207,9800000,3400000,300000,6905161,11915700,8686779,18656596,19386640,9225248,18299781,18531688,6552164,3313499,9318273,18191775,1830898,22978277,9788816,12204475,-17585967,-5164644,26964909,100549244,80172849,49651372
68,Total Liabilities And Stockholders Equity,7041205,14100000,6500000,4700000,8885397,14244209,12358216,22721134,24379087,35166270,40047287,42781234,19124924,13199811,12388877,21172853,5380484,25074099,12559054,29474452,11051735,56833273,39016810,104735136,85053750,67296587
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7041205,14100000,6500000,4700000,8885397,14244209,12358216,22721134,24379087,35166270,40047287,42781234,19124924,13199811,12388877,21172853,5380484,25074099,12559054,29474452,11051735,56833273,39016810,104735136,85053750,67296587
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911216/000108802006000058/0001088020-06-000058-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802007000042/0001088020-07-000042-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802008000050/0001088020-08-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802009000050/0001088020-09-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802010000043/0001088020-10-000043-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802011000069/0001088020-11-000069-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000138713112002955/0001387131-12-002955-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448813005466/0001354488-13-005466-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448814004608/0001354488-14-004608-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448815004334/0001354488-15-004334-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495416002272/0001654954-16-002272-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495417008792/0001654954-17-008792-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495418010150/0001654954-18-010150-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495419010679/0001654954-19-010679-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495420010471/0001654954-20-010471-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495421010495/0001654954-21-010495-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3900000,-5300000,-9900000,-12000000,-8183438,-10599237,-16138577,-20565211,-26317859,-14357976,-28958882,-27751524,-14384369,-4802232,-1792508,-12815929,-17253178,-20862174,-13928294,-17665563,-51712936,-13331533,24702714,35773027,-22426023,-33596495
74,Depreciation and Amortization,70000,500000,1900000,1500000,267049,288086,1156874,579258,671989,1075306,1263899,1449577,1393077,1364644,1269413,1138183,949542,111844,111906,117590,43052,33051,56569,58635,64203,51121
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1476573,968561,756597,892301,625031,821340,1167279,1843365,1757259,3518351,3482077,3138464,3168656
77,Change in Working Capital,5700000,5897096,-8000000,-1900000,4027929,4832495,-4737714,10219681,1036708,-2106981,5969739,6081000,-17557324,-8116201,6719548,9587818,-15176859,21409352,-13118431,12269417,-25027110,4802841,26134986,72476895,-20564856,-24267680
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-502781,505649,-128270,103518,27631,- -,- -,- -,-15116822,15116822,-60265970,60265970,-1580443
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1382160,1382160,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-987237
80,Accounts Payable,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-428820,-50568,341113,-202014,43832,-77446,845204,-392594,837477,672326,-1718906,210885,-75022
81,Other Working Capital,4502904,10400000,2400000,500000,4527929,9360424,4622710,14842391,15879099,13772118,19741857,25822857,8265533,149332,6868880,16456698,1279839,22689191,9570760,21840177,-3186933,1615908,27750894,100227789,79662933,55395253
82,Other Non-Cash Items,-4580000,-5197096,8600000,2000000,-4651647,-2918701,6573070,-10125292,866929,10326101,-1722662,-1830285,9970691,4633619,-12894758,-9696903,15101292,-14933423,13905823,-9246765,27489815,19619909,-52209517,-133573475,81114627,31996407
83,Cash Provided by Operating Activities,-2710000,-4100000,-7400000,-10400000,-8540107,-8397357,-13146347,-19891564,-23742233,-5063550,-23447906,-22051232,-20577925,-5443597,-5729744,-11030234,-15486902,-13649370,-12207656,-13358042,-47363814,12881527,1703103,-21782841,41326415,-22647991
84,CAPEX,-30000,-300000,-1500000,-100000,-354019,-629899,-1634509,-1134015,-197541,-968001,-819953,-862471,-263938,-36383,-6995,- -,-15000,-59607,-6239,- -,-17695,-133403,-22451,-36139,-62880,-5722
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-400000,-1700790,- -,-1172007,-2970453,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5998289,- -,- -,-1387022,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2155617,- -,- -,1420712,50000,- -,- -,-1000012,- -,- -,3442885,- -,750000,5249654,- -,- -,1124999,250000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,45000,5300,494384,4620,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-30000,-300000,-1500000,-500000,-2054809,1525718,-2806516,-4104468,1223171,-918001,-819953,-862471,-1263950,663617,38005,3448185,479384,-5303276,5243415,- -,-1404717,991596,227549,-36139,-62880,-5722
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-263128,-87675,-22960,-34923,-22277,-19909,-12380,-25872,-5694090,-8014324,-6500000,-832851,- -
91,Common Stock Issued,- -,11600000,1600000,7500000,11480708,15108470,12440703,30499844,26372288,3788330,36920974,26201871,110229,- -,6972043,- -,- -,34402768,- -,18556111,19834278,23856973,1257774,33136060,1581498,- -
92,Common Stock Repurchased,9140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-90000,-1200000,-1000000,1200000,- -,- -,- -,-153473,-200753,-33491,-40268,-173764,-294199,- -,-165861,21069218,- -,-87411,1123,9928974,9663525,161650,2625745,693171,-2670334,-93638
95,Cash Used/Provided by Financing Activities,9050000,10400000,600000,8700000,11480708,15108470,12440703,30346371,26171535,3754839,36880706,26028107,-183970,-263128,6718507,21046258,-34923,34293080,-18786,28472705,29471931,18324533,-4130805,27329231,-1921687,-93638
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6320000,10400000,600000,-2000000,885792,8236831,-3512160,6350339,3652473,-2226712,12612847,3114404,-22025845,-5043108,1026768,13464209,-15042441,15340434,-6983027,15114663,-19296600,32197656,-2200153,5510251,39341848,-22747351
98,Cash at the End of Period,6820000,- -,- -,2300000,3219593,11456424,7944264,14294603,17947076,15720364,28333211,31447615,9421770,4378662,5405430,18869639,3827198,19167632,12184605,27299268,8002668,40200324,38000171,43510422,82852270,60104919
99,Cash at the Beginning of Period,500000,6800000,12800000,4300000,2333801,3219593,11456424,7944264,14294603,17947076,15720364,28333211,31447615,9421770,4378662,5405430,18869639,3827198,19167632,12184605,27299268,8002668,40200324,38000171,43510422,82852270
100,Free Cash Flow,-2740000,-4400000,-8900000,-10500000,-8894126,-9027256,-14780856,-21025579,-23939774,-6031551,-24267859,-22913703,-20841863,-5479980,-5736739,-11030234,-15501902,-13708977,-12213895,-13358042,-47381509,12748124,1680652,-21818980,41263535,-22653713
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911216/000108802006000058/0001088020-06-000058-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802007000042/0001088020-07-000042-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802008000050/0001088020-08-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802009000050/0001088020-09-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802010000043/0001088020-10-000043-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802011000069/0001088020-11-000069-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000138713112002955/0001387131-12-002955-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448813005466/0001354488-13-005466-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448814004608/0001354488-14-004608-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448815004334/0001354488-15-004334-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495416002272/0001654954-16-002272-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495417008792/0001654954-17-008792-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495418010150/0001654954-18-010150-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495419010679/0001654954-19-010679-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495420010471/0001654954-20-010471-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495421010495/0001654954-21-010495-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
