,https://roic.ai/company/CRESY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,228727393,194869607,183398941,204489070,359936403,570659415,648211757,742813649,871062565,1046642797,2066166971,4540074000,5212880000,7386970000,7764434000,10201625000,13310185000,12891710000,151790000000,208678000000,299374000000,435809000000,589946000000,265725000000
69,Minority Interest,- -,-0,- -,- -,- -,207832,65674,276828,560492,817805,1158965,1435982000,1625008000,2346448000,1990778000,2209100000,2473503000,2383733000,14211000000,32768000000,54396000000,72180000000,96994000000,73447000000
70,Total Liabilities & Equity,228727393,194869607,183398941,204489070,359936403,570867247,648277431,743090477,871623058,1047460602,2067325937,5976056000,6837888000,9733418000,9755212000,12410725000,15783688000,15275443000,166001000000,241446000000,353770000000,507989000000,686940000000,339172000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,18868439,1040820,1354482,3834473,-40600353,65378172,32212258,76765682,32919803,48237688,22921049,124616000,185406000,212565000,78263000,-26907000,-1067880000,-249619000,-1038000000,1511000000,5392000000,-18749000000,3929000000,-12569000000
74,Depreciation and Amortization,1172913,1541582,1689893,1687811,3629268,3573171,3603275,4167335,5117766,4357479,6466231,87595000,136864000,124718000,181967000,279738000,296919000,257822000,2769000000,4857000000,3764000000,7605000000,16425000000,3452000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92682000,145952000,125443000,13419000,33519000,-389415000,303350000,-197000000,2862000000,233000000,1830000000,8107000000,27940000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2799000,10549000,68614000,30823000,54000000,101000000,33000000,44000000,211000000,- -
77,Change in Working Capital,-35579769,-1237789,9577791,9434881,12197698,21513040,-19958307,-13653058,-22501774,-59891723,-60120266,-84217000,-298845000,-299956000,-106483000,183654000,259252000,-275097000,-169000000,1332000000,1386000000,92000000,7572000000,5075000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122966000,-143336000,-156883000,-202896000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-28100958,7874191,6056465,5450927,-3379004,19095238,-17150946,-8817176,9951669,-27629899,-71005593,92991000,-36908000,-58549000,279930000,234268000,96868000,-17016000,285000000,1315000000,547000000,1369000000,6840000000,4346000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51101000,25105000,8963000,-51317000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,11829818,-1794285,-5714679,-12612000,-102181000,-47236000,-1127000,-25014000,-7561000,-7887000,-149000000,74000000,-304000000,-331000000,-3712000000,-2151000000
82,Other Non-Cash Items,-2533746,-2903782,-2627202,-7075037,45571139,-78972826,-16190977,-77376463,-37029686,-47565226,-45460712,78860000,-1768000,390467000,687073000,167966000,1715673000,427235000,2636000000,-1422000000,2967000000,27052000000,-510000000,-15012000000
83,Cash Provided by Operating Activities,-18072163,-1559169,9994964,7882128,20797752,11491558,-333751,-10096504,-21493890,-54861783,-76193698,299536000,167609000,553237000,857038000,648519000,883163000,494514000,4055000000,9241000000,13775000000,17874000000,35734000000,8886000000
84,CAPEX,-20637707,-6031500,-2674725,-1436166,-843785,-31166596,- -,- -,-55832573,-28658498,-27985718,-317188000,-211604000,-169952000,-245825000,-156005000,-183677000,-244762000,-1282000000,-4153000000,-3070000000,-8525000000,-10159000000,-2107000000
85,Acquisitions Net,-3673975,-1000001,-815525,- -,- -,-185782503,-14629603,-25948379,-1860050,- -,- -,-41453000,-32051000,-346599000,-7120000,-211211000,-1169351000,-1312106000,8995000000,-584000000,32000000,5749000000,3614000000,-2863000000
86,Purchases of Investments,- -,- -,- -,-70073798,-59361326,- -,-1203752,-34403015,-64680062,-710245,-407037149,-60519000,-323010000,-356337000,-482824000,-1070005000,-3682960000,-4609605000,-13513000000,-6317000000,-27128000000,-36949000000,-12837000000,-16758000000
87,Sales/Maturities of Investments,- -,- -,- -,34973650,44021187,- -,- -,93487671,- -,- -,- -,- -,19951000,67260000,- -,1193417000,3866661000,4486616000,14129000000,6789000000,26057000000,49915000000,36619000000,31974000000
88,Other Investing Activites,-5995458,25167941,-1923942,7284673,51579223,15376931,-8784761,29570608,11383597,28521615,28855027,51981000,23275000,14116000,3604000,148101000,268823000,2543633000,186000000,1343000000,-8497000000,-5621000000,19031000000,63326000000
89,Cash Used for Investing Activites,-30307139,18136440,-5414192,-29251641,35395299,-201572168,-24618116,62706886,-110989089,-847128,-406167840,-367179000,-523439000,-791512000,-728777000,-93012000,-885945000,873910000,8652000000,-2415000000,-11972000000,7383000000,40311000000,73657000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234671000,-335428000,-480841000,-1079673000,-957955000,-1562453000,-2832503000,-15609000000,-22165000000,-23380000000,-49833000000,-86234000000,-100314000000
91,Common Stock Issued,- -,- -,- -,- -,563128,3583368,23480701,11154550,53646722,82257851,895210469,- -,- -,- -,- -,- -,- -,- -,- -,2112000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-15108799,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73201000,- -,- -,- -,- -,-97726000,-32851000,- -,- -,-763000000,-859000000,- -,- -
93,Dividends Paid,- -,-3774064,-10996609,-1286758,-7311033,-1726845,-1505104,-2998702,-10011109,-5374698,-8240297,-8413000,-97262000,-69000000,-63800000,-239352000,-243637000,-33509000,-239000000,-2610000000,-940000000,-466000000,- -,- -
94,Other Financing Activites,-20059,-8566870,-868853,13396097,-12792967,164687622,-5248625,-6465122,48717404,36292110,29783169,74518000,752497000,1318007000,859499000,1180147000,1457567000,1120622000,11353000000,24573000000,22784000000,33152000000,13610000000,46149000000
95,Cash Used/Provided by Financing Activities,-20059,-27449733,-11865462,12109339,-19540872,166544145,16726972,1690726,92353017,113175262,916753341,-241767000,319807000,768166000,-283974000,-17160000,-446249000,-1778241000,-4495000000,1910000000,-2299000000,-18006000000,-72624000000,-54165000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37317000,404433000,40523000,5250000000,2688000000,14130000000,-4727000000,8651000000,-6910000000
97,Net Change In Cash,-48399361,-10872461,-7284691,-9260174,36652175,-23536468,-8224892,54301105,-40129966,57466352,434391803,-309410000,-36023000,529891000,-155713000,575664000,-44598000,-369294000,13462000000,11267000000,13287000000,2355000000,11622000000,-124062000000
98,Cash at the End of Period,34612119,23923897,11188388,1928214,40522120,21043919,12715143,67433352,27407461,84219692,520473579,211676000,175653000,705544000,549831000,1047586000,1002988000,633693000,14096000000,25363000000,38650000000,62484000000,100926000000,27529000000
99,Cash at the Beginning of Period,83011480,34796358,18473079,11188388,3869945,44580387,20940035,13132247,67537427,26753340,86081776,521086000,211676000,175653000,705544000,471922000,1047586000,1002987000,634000000,14096000000,25363000000,60129000000,89304000000,151591000000
100,Free Cash Flow,-38709869,-7590669,7320239,6445961,19953967,-19675038,-333751,-10096504,-77326463,-83520281,-104179416,-17652000,-43995000,383285000,611213000,492514000,699486000,249752000,2773000000,5088000000,10705000000,9349000000,25575000000,6779000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,0.3465,0.3243,0.3234,0.3307,0.26335,0.25435,0.24325,0.22089,0.18562,0.12296,0.10988,0.06644,0.0601,0.03449,0.02354,0.01419,0.01045
