,https://roic.ai/company/NCR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3567000000,1836000000,1817000000,1820000000,1806000000,1662000000,1608000000,1398000000,1404000000,1383000000,1321000000,1293000000,821000000,861000000,786000000,865000000,982000000,1113000000,1074000000,1275000000,1272000000,1168000000,1188000000,1257000000,1310000000,1285000000,1419000000
11,COGS and Expenses,10533000000,6833000000,6608000000,6403000000,6118000000,5754000000,5731000000,5396000000,5468000000,5751000000,5618000000,5669000000,4751000000,4993000000,4515000000,4720000000,5290000000,5498000000,5457000000,6134000000,6176000000,5929000000,5840000000,5987000000,6304000000,5968000000,6682000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,6000000,5000000,5000000,6000000,6000000,6000000,5000000,4000000,3000000,5000000,5000000,8000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,10000000,2000000,13000000,42000000,103000000,181000000,173000000,170000000,163000000,168000000,197000000,218000000,238000000
14,Depreciation and Amortization,350000000,385000000,383000000,364000000,358000000,361000000,423000000,328000000,315000000,275000000,247000000,159000000,110000000,109000000,124000000,138000000,168000000,166000000,208000000,284000000,308000000,344000000,354000000,330000000,333000000,364000000,517000000
15,EBITDA,-2066000000,495000000,410000000,576000000,593000000,636000000,543000000,111000000,387000000,526000000,643000000,637000000,445000000,417000000,44000000,246000000,234000000,396000000,852000000,608000000,358000000,876000000,991000000,483000000,821000000,450000000,1038000000
16,EBITDA ratio,-0.2531,0.0711,0.0622,0.0885,0.0957,0.1067,0.0918,0.0199,0.0691,0.0879,0.1067,0.1037,0.0895,0.0785,0.0095,0.0510,0.0430,0.0691,0.1391,0.0922,0.0562,0.1339,0.1521,0.0754,0.1187,0.0725,0.1451
17,Operating Income,-2371000000,130000000,-19000000,102000000,78000000,205000000,186000000,189000000,130000000,233000000,410000000,473000000,219000000,322000000,97000000,99000000,65000000,232000000,666000000,353000000,135000000,599000000,676000000,191000000,611000000,221000000,474000000
18,Operating Income ratio,-0.2905,0.0187,-0.0029,0.0157,0.0126,0.0344,0.0314,0.0338,0.0232,0.0389,0.0680,0.0770,0.0441,0.0606,0.0210,0.0205,0.0119,0.0405,0.1088,0.0536,0.0212,0.0915,0.1037,0.0298,0.0884,0.0356,0.0662
19,Total Other Income Expenses (Gains),-45000000,-20000000,46000000,110000000,157000000,70000000,-62000000,-58000000,-58000000,18000000,-14000000,5000000,13000000,-33000000,-184000000,-13000000,-16000000,-50000000,-112000000,-216000000,-230000000,-220000000,-194000000,-152000000,-270000000,-280000000,-190000000
20,Income Before Tax,-2416000000,110000000,27000000,212000000,235000000,275000000,124000000,131000000,72000000,251000000,396000000,478000000,232000000,289000000,-87000000,86000000,49000000,182000000,554000000,137000000,-95000000,379000000,482000000,39000000,341000000,-59000000,284000000
21,Income Before Tax Ratio,-0.2960,0.0158,0.0041,0.0326,0.0379,0.0461,0.0210,0.0235,0.0129,0.0419,0.0657,0.0778,0.0467,0.0544,-0.0189,0.0178,0.0090,0.0318,0.0905,0.0208,-0.0149,0.0579,0.0740,0.0061,0.0493,-0.0095,0.0397
22,Income Tax expense (Gain),-136000000,219000000,20000000,90000000,-102000000,97000000,-97000000,3000000,14000000,-39000000,-133000000,96000000,61000000,58000000,-57000000,-28000000,- -,42000000,98000000,-48000000,55000000,92000000,242000000,73000000,-273000000,-53000000,186000000
23,Net Income,-2280000000,-109000000,7000000,122000000,337000000,178000000,217000000,-220000000,58000000,290000000,529000000,382000000,274000000,228000000,-33000000,134000000,53000000,146000000,443000000,191000000,-178000000,270000000,232000000,-88000000,564000000,-79000000,97000000
24,Net Income ratio,-0.2793,-0.0157,0.0011,0.0188,0.0544,0.0299,0.0367,-0.0394,0.0104,0.0485,0.0878,0.0622,0.0551,0.0429,-0.0072,0.0278,0.0097,0.0255,0.0724,0.0290,-0.0279,0.0413,0.0356,-0.0137,0.0816,-0.0127,0.0136
25,EPS,-11.24,-0.54,0.04,0.60,1.73,0.94,1.13,-1.13,0.30,1.55,2.86,2.12,1.52,1.38,-0.21,0.84,0.34,0.92,2.68,1.14,-1.09,1.76,1.01,-1.16,3.72,-0.86,0.75
26,EPS Diluted,-11.24,-0.54,0.04,0.60,1.68,0.91,1.09,-1.13,0.30,1.51,2.80,2.09,1.50,1.36,-0.21,0.83,0.33,0.89,2.62,1.12,-1.09,1.71,0.97,-1.16,3.36,-0.86,0.71
27,Weighted Average Shares Outstanding,202756781,202800000,204000000,202000000,195200000,190200000,193400000,195800000,190000000,187600000,185000000,180000000,180100000,165300000,158900000,159800000,158000000,159300000,165400000,167900000,167600000,125600000,121900000,118400000,122100000,128400000,131500000
28,Weighted Average Shares Outstanding Diluted,202756781,203508772,204000000,204200000,201200000,196000000,199200000,199800000,191800000,191500000,189100000,182900000,182700000,167900000,158900000,161200000,161000000,163800000,169300000,171200000,167600000,129200000,127000000,118400000,145200000,128400000,137800000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70866/000095013101001488/0000950131-01-001488-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70866/000119312504041587/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312505043533/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312506051223/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312507044457/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312508043581/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312509037725/0001193125-09-037725-index.html,https://www.sec.gov/Archives/edgar/data/70866/000119312510041121/0001193125-10-041121-index.html,https://www.sec.gov/Archives/edgar/data/70866/000119312511045769/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086612000002/0000070866-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086613000009/0000070866-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086614000011/ncr201310-k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086615000009/ncr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086616000069/0000070866-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086617000013/0000070866-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086618000010/0000070866-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086619000007/0000070866-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086620000007/0000070866-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086621000011/0000070866-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086622000008/0000070866-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1163000000,886000000,488000000,571000000,347000000,336000000,526000000,689000000,750000000,810000000,947000000,952000000,711000000,451000000,496000000,398000000,1069000000,528000000,511000000,328000000,498000000,537000000,464000000,509000000,338000000,447000000
32,Short-Term Investments,- -,40000000,243000000,26000000,192000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1203000000,1129000000,514000000,763000000,357000000,336000000,526000000,689000000,750000000,810000000,947000000,952000000,711000000,451000000,496000000,398000000,1069000000,528000000,511000000,328000000,498000000,537000000,464000000,509000000,338000000,447000000
34,Net Receivables,- -,1457000000,1471000000,1556000000,1197000000,1338000000,1126000000,1204000000,1230000000,1304000000,1305000000,1408000000,1167000000,913000000,896000000,928000000,1038000000,1086000000,1339000000,1404000000,1251000000,1282000000,1270000000,1356000000,1490000000,1117000000,959000000
35,Inventory,- -,439000000,489000000,384000000,299000000,288000000,280000000,263000000,308000000,355000000,361000000,677000000,717000000,692000000,686000000,741000000,774000000,797000000,790000000,669000000,643000000,699000000,780000000,806000000,784000000,601000000,754000000
36,Other Current Assets,- -,219000000,182000000,178000000,282000000,251000000,221000000,193000000,195000000,224000000,217000000,300000000,252000000,241000000,266000000,313000000,305000000,454000000,1682000000,504000000,327000000,278000000,243000000,397000000,361000000,422000000,716000000
37,Total Current Assets,- -,3318000000,3271000000,2632000000,2541000000,2234000000,1963000000,2186000000,2422000000,2633000000,2693000000,3332000000,3088000000,2557000000,2299000000,2478000000,2515000000,3406000000,4339000000,3088000000,2549000000,2757000000,2830000000,3023000000,3144000000,2478000000,2876000000
38,PP&E,- -,1207000000,1106000000,1104000000,1002000000,960000000,629000000,558000000,514000000,446000000,613000000,378000000,313000000,308000000,356000000,429000000,365000000,308000000,352000000,396000000,322000000,287000000,341000000,359000000,804000000,717000000,1122000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,64000000,84000000,100000000,115000000,913000000,1003000000,1534000000,2760000000,2733000000,2727000000,2741000000,2692000000,2832000000,2837000000,4519000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,102000000,105000000,124000000,129000000,- -,- -,- -,- -,- -,312000000,304000000,494000000,926000000,798000000,672000000,578000000,595000000,607000000,532000000,1316000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,102000000,105000000,124000000,129000000,150000000,64000000,84000000,100000000,115000000,1225000000,1307000000,2028000000,3686000000,3531000000,3399000000,3319000000,3287000000,3439000000,3369000000,5835000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,558000000,372000000,522000000,374000000,210000000,645000000,617000000,630000000,714000000,534000000,441000000,349000000,582000000,575000000,460000000,448000000,821000000,965000000,732000000
44,Other Non-Current Assets,- -,755000000,916000000,1156000000,1352000000,1912000000,2263000000,1826000000,1881000000,1979000000,1330000000,993000000,1105000000,661000000,722000000,709000000,772000000,816000000,948000000,1088000000,651000000,655000000,704000000,644000000,779000000,885000000,1076000000
45,Total Non-Current Assets,- -,1962000000,2022000000,2260000000,2354000000,2872000000,2892000000,2486000000,3058000000,2921000000,2594000000,1895000000,1692000000,1698000000,1795000000,1883000000,3076000000,2965000000,3769000000,5519000000,5086000000,4916000000,4824000000,4738000000,5843000000,5936000000,8765000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5280000000,5293000000,4892000000,4895000000,5106000000,4855000000,4672000000,5480000000,5554000000,5287000000,5227000000,4780000000,4255000000,4094000000,4361000000,5591000000,6371000000,8108000000,8607000000,7635000000,7673000000,7654000000,7761000000,8987000000,8414000000,11641000000
48,Accounts Payable,- -,352000000,378000000,376000000,378000000,521000000,362000000,364000000,414000000,492000000,490000000,534000000,516000000,492000000,557000000,499000000,525000000,611000000,670000000,712000000,657000000,781000000,762000000,897000000,840000000,632000000,826000000
49,Short-Term Debt,- -,28000000,59000000,50000000,37000000,96000000,138000000,5000000,3000000,2000000,2000000,1000000,1000000,301000000,4000000,1000000,1000000,72000000,34000000,187000000,13000000,50000000,52000000,185000000,282000000,8000000,57000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,444000000,492000000,359000000,317000000,329000000,- -,- -,455000000,525000000,494000000,476000000,468000000,458000000,461000000,502000000,507000000,516000000
52,Other Current Liabilities,- -,1587000000,1527000000,1274000000,1247000000,1219000000,1018000000,1048000000,1162000000,1230000000,709000000,743000000,654000000,583000000,492000000,916000000,1039000000,604000000,652000000,677000000,635000000,666000000,617000000,739000000,914000000,941000000,1409000000
53,Total Current Liabilities,- -,1967000000,1964000000,1700000000,1662000000,1836000000,1518000000,1417000000,1579000000,1724000000,1645000000,1770000000,1530000000,1693000000,1382000000,1416000000,1565000000,1742000000,1881000000,2070000000,1781000000,1965000000,1889000000,2282000000,2538000000,2088000000,2808000000
54,Long-Term Debt,- -,48000000,35000000,33000000,40000000,11000000,10000000,306000000,307000000,307000000,305000000,306000000,307000000,7000000,11000000,10000000,852000000,1891000000,3320000000,3472000000,3239000000,3001000000,2939000000,2980000000,3277000000,3595000000,5893000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,45000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1580000000,1677000000,1668000000,1548000000,1474000000,1278000000,1604000000,1697000000,1419000000,1281000000,1223000000,1122000000,2081000000,2109000000,2019000000,2339000000,1461000000,1124000000,1182000000,1091000000,1161000000,1294000000,1241000000,1670000000,1680000000,1681000000
58,Total Non-Current Liabilities,- -,1628000000,1712000000,1701000000,1588000000,1485000000,1288000000,1910000000,2004000000,1726000000,1586000000,1556000000,1474000000,2097000000,2120000000,2029000000,3191000000,3352000000,4444000000,4654000000,4330000000,4162000000,4233000000,4221000000,4947000000,5275000000,7574000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369000000,325000000,388000000
61,Total Liabilities,- -,3595000000,3676000000,3401000000,3250000000,3321000000,2806000000,3327000000,3583000000,3450000000,3231000000,3326000000,3004000000,3790000000,3502000000,3445000000,4756000000,5094000000,6325000000,6724000000,6111000000,6127000000,6122000000,6503000000,7485000000,7363000000,10382000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,7000000,129000000,466000000,644000000,861000000,641000000,699000000,989000000,1518000000,1900000000,1608000000,1834000000,1801000000,1935000000,1988000000,2134000000,1372000000,1563000000,869000000,867000000,857000000,606000000,1060000000,950000000,1031000000
65,Other Comprehensive Income/Loss,- -,-1864000000,-1346000000,-1666000000,-1346000000,-1385000000,-1073000000,-1132000000,-1114000000,-1092000000,-279000000,-676000000,-536000000,-1644000000,-1509000000,-1335000000,-1492000000,-37000000,-38000000,-136000000,-150000000,-205000000,-199000000,-246000000,-269000000,-271000000,-291000000
66,Other Total Stockholders Equity,- -,3259000000,2691000000,2983000000,2475000000,2498000000,2238000000,1815000000,2289000000,2187000000,794000000,655000000,683000000,248000000,270000000,281000000,301000000,-852000000,433000000,442000000,- -,32000000,60000000,34000000,312000000,368000000,515000000
67,Total Stockholders Equity,- -,1396000000,1353000000,1447000000,1596000000,1758000000,2027000000,1325000000,1875000000,2086000000,2035000000,1881000000,1757000000,440000000,564000000,883000000,799000000,1247000000,1769000000,1871000000,720000000,695000000,719000000,395000000,1104000000,1048000000,1256000000
68,Total Liabilities And Stockholders Equity,- -,4991000000,5029000000,4848000000,4846000000,5079000000,4833000000,4652000000,5458000000,5536000000,5266000000,5207000000,4761000000,4230000000,4066000000,4328000000,5555000000,6341000000,8094000000,8595000000,6831000000,6822000000,6841000000,6898000000,8589000000,8411000000,11638000000
69,Minority Interest,- -,289000000,264000000,44000000,49000000,27000000,22000000,20000000,22000000,18000000,21000000,20000000,19000000,25000000,28000000,33000000,36000000,30000000,14000000,12000000,804000000,851000000,813000000,863000000,398000000,3000000,3000000
70,Total Liabilities & Equity,- -,5280000000,5293000000,4892000000,4895000000,5106000000,4855000000,4672000000,5480000000,5554000000,5287000000,5227000000,4780000000,4255000000,4094000000,4361000000,5591000000,6371000000,8108000000,8607000000,7635000000,7673000000,7654000000,7761000000,8987000000,8414000000,11641000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/70866/000095013101001488/0000950131-01-001488-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/70866/000119312504041587/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312505043533/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312506051223/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312507044457/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312508043581/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000119312509037725/0001193125-09-037725-index.html,https://www.sec.gov/Archives/edgar/data/70866/000119312510041121/0001193125-10-041121-index.html,https://www.sec.gov/Archives/edgar/data/70866/000119312511045769/d10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086612000002/0000070866-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086613000009/0000070866-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086614000011/ncr201310-k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086615000009/ncr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086616000069/0000070866-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086617000013/0000070866-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086618000010/0000070866-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086619000007/0000070866-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086620000007/0000070866-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/70866/000007086621000011/0000070866-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/70866/000007086622000008/0000070866-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2280000000,-109000000,7000000,122000000,337000000,178000000,217000000,-220000000,58000000,290000000,529000000,382000000,274000000,228000000,-33000000,134000000,53000000,146000000,443000000,191000000,-178000000,270000000,232000000,-88000000,564000000,-79000000,97000000
74,Depreciation and Amortization,350000000,385000000,383000000,364000000,358000000,361000000,423000000,328000000,315000000,275000000,247000000,159000000,110000000,109000000,124000000,138000000,168000000,166000000,208000000,284000000,308000000,344000000,354000000,330000000,333000000,364000000,517000000
75,Deferred Income Tax,-236000000,241000000,13000000,54000000,-187000000,32000000,11000000,-27000000,9000000,-15000000,55000000,31000000,-7000000,- -,-132000000,-65000000,-64000000,-37000000,3000000,-125000000,24000000,10000000,173000000,14000000,-355000000,-112000000,89000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,12000000,21000000,33000000,49000000,41000000,31000000,42000000,61000000,77000000,72000000,107000000,108000000,154000000
77,Change in Working Capital,-306000000,1351000000,-44000000,-375000000,-53000000,-481000000,47000000,324000000,74000000,66000000,139000000,514000000,-4000000,-694000000,53000000,145000000,-112000000,714000000,794000000,-1440000000,-250000000,24000000,149000000,-200000000,-135000000,-216000000,153000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-72000000,182000000,-50000000,15000000,85000000,28000000,8000000,18000000,-45000000,-46000000,-6000000,-83000000,-76000000,25000000,5000000,-54000000,1000000,-42000000,10000000,121000000,-46000000,-86000000,-68000000,-70000000,5000000,168000000,-195000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,1351000000,1307000000,932000000,879000000,398000000,445000000,769000000,843000000,909000000,1048000000,1562000000,1558000000,864000000,917000000,1062000000,950000000,1664000000,2458000000,1018000000,768000000,792000000,941000000,741000000,606000000,390000000,-122000000
82,Other Non-Cash Items,1648000000,-1500000000,-111000000,-222000000,152000000,81000000,-552000000,-158000000,-15000000,-180000000,-362000000,-604000000,1000000,712000000,199000000,-110000000,273000000,-1332000000,-1260000000,1582000000,692000000,146000000,-238000000,408000000,90000000,576000000,67000000
83,Cash Provided by Operating Activities,-824000000,368000000,248000000,-57000000,607000000,171000000,146000000,247000000,441000000,436000000,608000000,482000000,374000000,396000000,223000000,263000000,351000000,-294000000,229000000,523000000,638000000,855000000,747000000,536000000,604000000,641000000,1077000000
84,CAPEX,-498000000,-423000000,-309000000,-367000000,-355000000,-324000000,-141000000,-81000000,-159000000,-162000000,-167000000,-212000000,-112000000,-138000000,-182000000,-231000000,-163000000,-160000000,-226000000,-258000000,-229000000,-227000000,-294000000,-313000000,-329000000,-263000000,-348000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1085000000,-108000000,-780000000,-1647000000,- -,47000000,-8000000,-160000000,-203000000,-25000000,-2473000000
86,Purchases of Investments,-493000000,-284000000,-685000000,-356000000,-354000000,-26000000,-23000000,- -,- -,-30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-13000000
87,Sales/Maturities of Investments,667000000,268000000,482000000,573000000,189000000,208000000,32000000,1000000,- -,80000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,14000000
88,Other Investing Activites,313000000,44000000,-12000000,-58000000,194000000,-225000000,-101000000,-140000000,-66000000,-60000000,-88000000,32000000,19000000,-69000000,-82000000,-37000000,-60000000,-68000000,-1209000000,977000000,-130000000,-163000000,-154000000,-217000000,-233000000,-228000000,-354000000
89,Cash Used for Investing Activites,-11000000,-395000000,-524000000,-208000000,-326000000,-367000000,-233000000,-220000000,-225000000,-172000000,-255000000,-180000000,-93000000,-144000000,-203000000,-211000000,-1246000000,-256000000,-2105000000,-788000000,-209000000,-189000000,-290000000,-520000000,-527000000,-277000000,-2826000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330000000,-80000000,-260000000,-860000000,-1045000000,-1087000000,-2077000000,-1528000000,-2001000000,-2284000000,-4877000000,-3338000000,-2174000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,101000000,51000000,35000000,260000000,138000000,89000000,48000000,- -,9000000,11000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-200000000,-269000000,-110000000,-60000000,-66000000,-90000000,-428000000,-415000000,-280000000,-83000000,-494000000,-1000000,-20000000,-70000000,- -,- -,- -,-1005000000,-250000000,-350000000,-210000000,-398000000,-185000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-15000000
94,Other Financing Activites,696000000,895000000,62000000,46000000,75000000,103000000,46000000,166000000,-21000000,-1000000,- -,14000000,-187000000,19000000,34000000,75000000,1115000000,1991000000,2402000000,1371000000,2499000000,1311000000,1917000000,2436000000,5244000000,3018000000,4367000000
95,Cash Used/Provided by Financing Activities,696000000,895000000,62000000,-154000000,-194000000,-7000000,87000000,151000000,-76000000,-169000000,-277000000,-177000000,-222000000,-475000000,-288000000,-14000000,802000000,1131000000,1357000000,284000000,-583000000,-467000000,-434000000,-58000000,-31000000,-514000000,2178000000
96,Effect of Forex Changes on Cash,-10000000,-19000000,-63000000,21000000,-4000000,-21000000,-12000000,13000000,23000000,16000000,-16000000,12000000,20000000,-18000000,8000000,7000000,-5000000,-9000000,-22000000,-36000000,-29000000,-29000000,16000000,-25000000,-6000000,-7000000,-18000000
97,Net Change In Cash,696000000,849000000,-277000000,-398000000,83000000,-224000000,-12000000,191000000,163000000,111000000,60000000,137000000,5000000,-241000000,-260000000,45000000,-98000000,671000000,-541000000,-17000000,-183000000,170000000,39000000,-67000000,40000000,-157000000,343000000
98,Cash at the End of Period,- -,1163000000,886000000,488000000,571000000,347000000,335000000,526000000,689000000,750000000,810000000,947000000,952000000,711000000,451000000,496000000,398000000,1069000000,528000000,511000000,328000000,498000000,537000000,476000000,516000000,406000000,749000000
99,Cash at the Beginning of Period,463000000,314000000,1163000000,886000000,488000000,571000000,347000000,335000000,526000000,639000000,750000000,810000000,947000000,952000000,711000000,451000000,496000000,398000000,1069000000,528000000,511000000,328000000,498000000,543000000,476000000,563000000,406000000
