,https://roic.ai/company/IDEX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,- -,497680976,7126,620048,671085,804435,2930910,9759186,11099746,15226216,19600510,23948487,35998001,61182209,78386116,119766859,213490535
28,Weighted Average Shares Outstanding Diluted,- -,497680976,7126,620048,671085,804435,2930910,9759186,11099746,15226216,19600510,23948487,35998001,61182209,78386116,119766859,213490535
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/837852/000117347306000247/0001173473-06-000247-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420407028901/0001144204-07-028901-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409009945/0001144204-09-009945-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409020856/0001144204-09-020856-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420410020575/0001144204-10-020575-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036111022287/0001140361-11-022287-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036112018388/0001140361-12-018388-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036113015816/0001140361-13-015816-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299314001771/0001062993-14-001771-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299315001568/0001062993-15-001568-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299316008570/0001062993-16-008570-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000157104917003067/0001571049-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420418018076/0001144204-18-018076-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420419017205/0001144204-19-017205-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465920034169/0001104659-20-034169-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465921044740/0001104659-21-044740-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,100000,472670,4425529,2190494,6584396,7519574,4381043,3822889,10812371,3768897,2538976,7205096,3106244,2632886,165764
32,Short-Term Investments,- -,- -,- -,- -,254496,47244,9433,2229,2229,1371,- -,- -,- -,- -,- -,- -,8570
33,Cash and Short-Term Investments,- -,- -,100000,472670,4680025,2237738,6593829,7521803,4383272,3824260,10812371,3768897,2538976,7205096,3106244,2632886,174334
34,Net Receivables,- -,- -,- -,136655,136709,672594,709541,2703893,382,175211,1091076,1689415,1260529,26962085,19370665,2404869,7400
35,Inventory,- -,- -,- -,642313,877309,455492,428280,413562,384088,- -,- -,- -,- -,216453,- -,- -,- -
36,Other Current Assets,- -,- -,- -,88728,199657,316182,1353823,929212,1240842,934771,1260525,4622188,732390,21417604,22595132,2414066,-1975
37,Total Current Assets,- -,- -,- -,1340366,5893700,3682006,9085473,11568470,6008584,4934242,13163972,10080500,4531895,55801238,45072041,7451821,179759
38,PP&E,- -,- -,- -,10333105,9299473,7362641,4463920,5099050,4099000,499858,320671,154434,4636188,113993,15029427,19873061,330
39,Goodwill,- -,- -,- -,- -,- -,- -,6105478,6105478,6105478,6105478,6648911,6648911,6648911,- -,704884,23344299,1165
40,Intangible Assets,- -,- -,- -,670478,4218758,4294614,8592244,7149748,5589555,2784173,2355751,2433676,17983148,148874,3036352,52770639,29705
41,Intangible Assets,- -,- -,- -,670478,4218758,4294614,14697722,13255226,11695033,8889651,9004662,9082587,24632059,148874,3741236,76114938,30870
42,Investments,- -,- -,- -,- -,- -,- -,574486,582652,655834,673567,850054,450115,6654664,6975511,26408609,22621497,8570000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,110000,- -,692911,430561,1811611,552006,-406,- -,365006,58089,842782,- -,3983799,883126,-8570000
45,Total Non-Current Assets,- -,- -,110000,11003583,14211142,12087816,21547739,19488934,16449461,10063076,10540393,9745225,36765693,7238378,49163071,119492622,31200
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,12343949,20104842,15769822,30633212,31057404,22458045,14997318,23704365,19825725,41297588,63039616,94235112,126944443,210959
48,Accounts Payable,- -,- -,- -,835257,1237251,1350076,1620481,3298041,2130507,656545,110814,45788,5817,26829593,19265094,3380482,5057
49,Short-Term Debt,- -,- -,- -,- -,2941151,304853,- -,- -,3000000,3000000,3000000,3000000,3000000,3000000,4000000,9125578,998000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1382103,1637283,1711796,1856674,2091788,68969,13431,15080,824563,222350,405929,476716,1129
52,Other Current Liabilities,- -,- -,- -,3888421,1008147,4015802,2133511,2640493,4769030,4199892,2979840,6889473,4785635,1603066,6262574,23772790,-991125
53,Total Current Liabilities,- -,- -,- -,4723678,6568652,7308014,5465788,7795208,11991325,7925406,6104085,9950341,8616015,31655009,29933597,36755566,13061
54,Long-Term Debt,- -,- -,- -,- -,4564427,4665306,- -,- -,- -,2000000,- -,- -,- -,- -,11313770,6639511,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,124082,790617,454578,1180323,810616,305849,125809,364572,330124,- -,- -,513935,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,410053,- -,- -,8574458,7556541,829175,- -,- -,- -,- -,- -,8000000,23551450,535
58,Total Non-Current Liabilities,- -,- -,- -,534135,5355044,5119884,9754781,8367157,1135024,2125809,364572,330124,- -,- -,19827705,30190961,535
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20117
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7335153,7189000
61,Total Liabilities,- -,- -,- -,5257813,11923696,12427898,15220569,16162365,13126349,10051215,6468657,10280465,8616015,31655009,49761302,66946527,32643
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,5113438,5481749,1269360,1269250,1269150,1261995,1261995,1261995,1262000
63,Common Stock,- -,- -,535,50048,50586,64762,660769,10467,13742,15794,23794,24249,53918,68509,102765,149692,345
64,Retained Earnings,- -,-6710000,-6706453,-8808146,-12200287,-17215041,-32434324,-43704225,-58841664,-65856053,-78356567,-86457840,-112293781,-125865391,-149975302,-248482826,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,397759,320858,331283,246983,468471,604632,-715090,-66032,-414910,-1415717,-759687,-1664598,-663579,1256000
66,Other Total Stockholders Equity,- -,5905020,- -,10485874,13372358,14901493,42255089,54505825,62388502,67417025,96347272,97512542,149021460,157968548,195779576,282553877,185327655
67,Total Stockholders Equity,- -,- -,- -,2125535,1543515,-1917503,10728517,11280538,9278650,6343425,19217827,11933291,36635030,32673974,45504436,34819159,187846000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,7383348,13467211,10510395,25949086,27442903,22404999,16394640,25686484,22213756,45251045,64328983,95265738,101765686,187878643
69,Minority Interest,- -,- -,- -,4960601,6637631,5259427,4684126,3614501,53046,-1397322,-1982119,-2388031,-3953457,-1289367,-1030626,25178757,-187667684
70,Total Liabilities & Equity,- -,- -,- -,12343949,20104842,15769822,30633212,31057404,22458045,14997318,23704365,19825725,41297588,63039616,94235112,126944443,210959
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/837852/000117347306000247/0001173473-06-000247-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420407028901/0001144204-07-028901-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409009945/0001144204-09-009945-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409020856/0001144204-09-020856-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420410020575/0001144204-10-020575-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036111022287/0001140361-11-022287-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036112018388/0001140361-12-018388-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036113015816/0001140361-13-015816-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299314001771/0001062993-14-001771-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299315001568/0001062993-15-001568-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299316008570/0001062993-16-008570-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000157104917003067/0001571049-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420418018076/0001144204-18-018076-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420419017205/0001144204-19-017205-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465920034169/0001104659-20-034169-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465921044740/0001104659-21-044740-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1000000,-174940,-1976753,-3354865,-5439125,-12903974,-11269901,-14213307,-6831532,-12408460,-8101273,-25835941,-9835601,-27426356,-97680615,-106043000
74,Depreciation and Amortization,- -,- -,- -,1744430,3369930,3578309,4282586,4423760,4082936,1616966,536689,390373,489938,306801,352332,2228653,5310000
75,Deferred Income Tax,- -,- -,- -,-50068,423945,-243655,-610781,-369707,-353085,-111266,-304670,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,294213,891008,634012,1376617,1146000,1339863,1240615,319718,1305829,3412977,9112633,11971000
77,Change in Working Capital,- -,-1010000,6763,1268723,684299,1897496,-1210114,2113557,518156,658301,-2451769,535861,-1235829,-2684367,2300976,15130280,-11275000
78,Accounts Receivable,- -,497911000,- -,- -,- -,-77004,449,-207358,-182094,-174032,-915865,-607426,-2615801,-18802766,7591420,-2277822,-6214000
79,Inventory,- -,801436000,- -,667357,-234996,421817,44095,33990,34093,-65367,- -,- -,- -,- -,216453,- -,- -
80,Accounts Payable,- -,-638242000,- -,- -,- -,- -,- -,1556689,-29787,-324034,-545731,-65026,-38715,13493865,-7564499,2861561,2206000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,22174,281687,938067,233512,-55538,1649,809483,-1124119,183579,167545,652000
82,Other Non-Cash Items,- -,1960000,50000,438674,308204,764269,7116037,-1266760,-2012142,-5239629,3114276,-501096,16896941,934645,1199861,57425069,58569000
83,Cash Provided by Operating Activities,- -,-50000,-118177,1425006,1431513,851507,-2435238,-5735039,-10600825,-8761160,-10174071,-6435520,-9365173,-9972693,-20160210,-13783980,-41468000
84,CAPEX,- -,407517000,- -,-2443055,-2061401,-1134926,-1443437,-2989822,-1237033,-453437,-70658,-253199,-6704136,-48555,-7063743,-1816390,-191000
85,Acquisitions Net,- -,- -,- -,- -,- -,17568,- -,-46411,- -,3728759,-216309,- -,- -,-763114,-2826219,21534,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-126038,-574907,- -,- -,- -,-208760,- -,-3733750,-2250000,-5266880,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,361121,174504,9350,- -,- -,- -,- -,- -,- -,35612,- -,- -,- -
88,Other Investing Activites,- -,-407467000,- -,- -,- -,- -,-13684,-701134,-275751,-22662,205399,-218020,-3964149,2515923,-4285294,- -,-3309000
89,Cash Used for Investing Activites,- -,50000,- -,-2443055,-1700280,-1068892,-2022678,-3294665,-1240141,3275322,-286967,-253199,-11409963,-510134,-19140641,-1794856,-3500000
90,Debt Repayment,- -,- -,- -,- -,- -,-2643204,-14471,- -,- -,- -,- -,- -,- -,-243507,- -,- -,-2540000
91,Common Stock Issued,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,20000000,13618207,21532127,2821323,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92054,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-177890,221347,-2648703,4232529,597210,9128272,10247398,8659832,4909018,17609556,-310156,-294890,490000,13366792,12293541,210589000
95,Cash Used/Provided by Financing Activities,- -,-177890,221347,1351297,4232529,-2045994,9113801,10247398,8659832,4909018,17517502,-310156,19705110,13864700,34898919,15114864,208049000
96,Effect of Forex Changes on Cash,- -,- -,- -,36252,-10903,28344,-261983,-282516,42603,18666,-66982,-44599,-159895,61409,-69141,-9386,50000
97,Net Change In Cash,- -,- -,- -,369500,3952859,-2235035,4393902,935178,-3138531,-558154,6989482,-7043474,-1229921,3443282,-4471073,-473358,163131000
98,Cash at the End of Period,- -,260000,103170,472670,4425529,2190494,6584396,7519574,4381043,3822889,10812371,3768897,2538976,7205096,3106244,2632886,165764000
99,Cash at the Beginning of Period,- -,260000,- -,103170,472670,4425529,2190494,6584396,7519574,4381043,3822889,10812371,3768897,3761814,7577317,3106244,2633000
100,Free Cash Flow,- -,-50000,-118177,-1018049,-629888,-283419,-3878675,-8724861,-11837858,-9214597,-10244729,-6688719,-16069309,-10021248,-27223953,-15600370,-41659000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/837852/000117347306000247/0001173473-06-000247-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420407028901/0001144204-07-028901-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409009945/0001144204-09-009945-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420409020856/0001144204-09-020856-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420410020575/0001144204-10-020575-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036111022287/0001140361-11-022287-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036112018388/0001140361-12-018388-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114036113015816/0001140361-13-015816-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299314001771/0001062993-14-001771-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299315001568/0001062993-15-001568-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000106299316008570/0001062993-16-008570-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000157104917003067/0001571049-17-003067-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420418018076/0001144204-18-018076-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000114420419017205/0001144204-19-017205-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465920034169/0001104659-20-034169-index.htm,https://www.sec.gov/Archives/edgar/data/837852/000110465921044740/0001104659-21-044740-index.htm
102,false,,,,,,,,,,,,,,,,,
