,https://roic.ai/company/TBTC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,1715,7818,5228,-9324,10649,-521,-1761,-3811,-89706,-66086,-86039,59116,38228,661,-44059,-280126,-418965,237606,-187096,377026,-295958,-501424,-529870,166056
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160048,-85860,- -,- -,- -,- -,- -,- -,- -,99149,-184617,-74304,-263980,152595
81,Other Working Capital,- -,- -,- -,- -,2344000,-72266000,34577000,351996000,430000,1120000,2250000,2150000,2430000,2320000,2910000,3380000,3247770,2311860,2627060,4623250,4398980,4893420,4841996,6034495
82,Other Non-Cash Items,1333,-4422,36033,8407,-2285629,171325453,-211125183,-620126426,351694823,-1597868,-1776892,428292,-870094,415009,-935307,-977463,495058,901885,-916465,-1053408,-236757,-1335823,-119444,8316
83,Cash Provided by Operating Activities,-7789,-138407,-101637,-351121,-160834,-1182,3182,66939,205188,283221,891422,376878,-334973,-72412,-214068,439505,221256,-705153,-141942,1315054,138788,55131,-5293,2797644
84,CAPEX,-507,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35065,-17943,-96299,-25498,- -,- -,- -,-20540,- -,-38875,-50715,-35445,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2500,-5000,- -,- -,- -,- -,- -,- -,- -,-250000,-2060,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57000
87,Sales/Maturities of Investments,- -,- -,- -,295173,111490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-176706
88,Other Investing Activites,-6774,-2279,-412919,- -,- -,5637,- -,- -,- -,- -,- -,- -,-59046,- -,- -,- -,- -,-20540,- -,-37375,-50715,-28445,- -,176706
89,Cash Used for Investing Activites,-7281,-2279,-415419,290173,111490,5637,- -,- -,- -,- -,-35065,-267943,-92859,-25498,- -,- -,- -,-20540,- -,-37375,-50715,-28445,- -,-57000
90,Debt Repayment,- -,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2726,-10907,- -,- -,-1269,-8119,-57625,-7779,-2221,- -,- -
91,Common Stock Issued,18000,215299,431379,- -,3320,- -,- -,13281,2187,19563,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45747,-942,- -,- -,- -,- -,-43163,-192134,-36355,- -,-112240,-51500,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6000,- -,115167,- -,- -,12000,- -,- -,- -,- -,- -,- -,42187,- -,- -,-10907,-8180,- -,- -,- -,- -,- -,473400,473400
95,Cash Used/Provided by Financing Activities,24000,209299,546546,- -,3320,12000,- -,13281,2187,19563,-253559,-942,42187,-2726,-10907,-10907,-51343,-193403,-44474,-57625,-120019,-53721,473400,473400
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8930,68613,29490,-60948,-46024,16455,3182,80220,207375,302784,602798,107993,-385645,-100636,-224975,428598,169913,-919096,-186416,1220054,-31946,-27035,468107,3214044
98,Cash at the End of Period,9008,77621,107111,46163,139,16594,19776,99996,307371,610155,1212953,1320946,935301,834665,609690,1038288,1208201,289105,102689,1322743,1290797,1263762,1731869,4945913
99,Cash at the Beginning of Period,78,9008,77621,107111,46163,139,16594,19776,99996,307371,610155,1212953,1320946,935301,834665,609690,1038288,1208201,289105,102689,1322743,1290797,1263762,1731869
100,Free Cash Flow,-8296,-138407,-101637,-351121,-160834,-1182,3182,66939,205188,283221,856357,358935,-431272,-97910,-214068,439505,221256,-725693,-141942,1276179,88073,19686,-5293,2797644
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1090396/000109039604000002/0001090396-04-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039605000002/0001090396-05-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039606000007/0001090396-06-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039607000001/0001090396-07-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039608000002/0001090396-08-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000109039609000001/0001090396-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420410017616/0001144204-10-017616-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420411019170/0001144204-11-019170-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420412017948/0001144204-12-017948-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420413018121/0001144204-13-018121-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420414017787/0001144204-14-017787-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420415019192/0001144204-15-019192-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420416091605/0001144204-16-091605-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420417017231/0001144204-17-017231-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000114420418018239/0001144204-18-018239-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000161577419004791/0001615774-19-004791-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000121390020007284/0001213900-20-007284-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774921007795/0001437749-21-007795-index.htm,https://www.sec.gov/Archives/edgar/data/1090396/000143774922007336/0001437749-22-007336-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
